arch,ts_code,entry_date,exit_date,hold_days,levels,pnl
A0,002475.SZ,2023-09-08,2023-10-11,17,1,13314.679056360037
A0,300014.SZ,2023-02-21,2023-11-06,172,5,-281648.9383369199
A0,600519.SH,2023-10-16,2023-12-29,54,3,2568.911065380147
A0,601318.SH,2023-11-10,2024-01-25,53,3,-17632.113424199924
A0,300750.SZ,2023-10-17,2024-02-08,81,3,-9141.909842339926
A0,002230.SZ,2024-01-04,2024-02-08,25,2,14136.106295520032
A0,601012.SH,2024-01-30,2024-03-12,24,2,49915.919160360005
A0,601318.SH,2024-03-25,2024-04-29,23,2,32025.780640259967
A0,000628.SZ,2024-04-01,2024-05-21,31,3,-131429.80281221983
A0,000977.SZ,2024-05-29,2024-07-09,28,1,8939.030455080007
A0,000625.SZ,2024-05-07,2024-07-10,45,2,7022.001232619979
A0,603019.SH,2024-03-28,2024-07-17,73,2,-12591.667527119862
A0,601919.SH,2024-07-15,2024-09-20,47,2,-320.17370615992695
A0,601138.SH,2024-07-19,2024-09-24,45,3,-53626.77789083985
A0,601899.SH,2024-07-24,2024-09-25,43,3,23685.022253150004
A0,600150.SH,2024-09-23,2024-12-18,57,2,25549.931969100027
A0,600418.SH,2024-11-28,2024-12-31,23,1,16133.701312079997
A1,300750.SZ,2020-03-02,2020-04-15,31,3,-17564.68204523984
A1,601318.SH,2020-03-02,2020-04-17,33,3,-17726.73409781989
A1,000725.SZ,2020-03-17,2020-05-11,35,2,27272.019758470036
A1,002714.SZ,2020-05-12,2020-06-18,27,1,-73422.30253895996
A1,000063.SZ,2020-05-26,2020-06-18,17,1,16543.11587328001
A1,002415.SZ,2020-05-26,2020-06-18,17,1,14247.334767060034
A1,600703.SH,2020-06-16,2020-07-06,12,1,30812.556351060048
A1,600030.SH,2020-09-08,2020-10-12,18,1,6613.851740760059
A1,002456.SZ,2020-09-02,2020-10-28,34,4,-11434.84769186005
A1,300136.SZ,2020-10-13,2020-11-09,19,2,3092.143930660037
A1,600745.SH,2020-09-09,2020-12-07,57,1,-10956.539631239983
A1,601012.SH,2020-11-16,2020-12-09,17,1,19457.831472840015
A1,300122.SZ,2020-11-12,2020-12-21,27,2,34561.26925740004
A1,002475.SZ,2020-11-17,2020-12-23,26,2,22286.588768640067
A1,002241.SZ,2020-11-17,2020-12-25,28,1,5507.658081720059
A1,000651.SZ,2020-12-10,2021-01-05,17,1,6024.435667020065
A1,601318.SH,2021-01-29,2021-02-25,14,3,43016.16340800008
A1,300059.SZ,2021-02-23,2021-04-02,28,2,-11291.664513519965
A1,600030.SH,2021-03-02,2021-04-06,24,1,-468.07886427999983
A1,002241.SZ,2021-02-01,2021-04-13,45,1,-24107.99475959997
A1,300750.SZ,2021-02-01,2021-04-14,46,2,9928.487663820037
A1,002475.SZ,2021-01-29,2021-04-19,50,1,-58658.76237851998
A1,601899.SH,2021-03-25,2021-04-20,17,1,249.75969866000014
A1,601166.SH,2021-04-16,2021-05-12,15,1,20247.208778700005
