date,n_positions,cash,candidate_count,k_full,cash_insufficient
2022-03-03,2,596757.5938180324,2,0,0
2022-03-04,3,398530.0900637525,2,1,0
2022-03-07,3,398530.0900637525,5,1,0
2022-03-08,3,13481.439437112538,4,1,0
2022-03-09,3,13481.439437112538,2,1,0
2022-03-10,3,13481.439437112538,0,1,0
2022-03-11,3,13481.439437112538,0,1,0
2022-03-14,3,13481.439437112538,3,1,0
2022-03-15,3,13481.439437112538,4,1,0
2022-03-16,3,13481.439437112538,0,1,0
2022-03-17,3,13481.439437112538,0,1,0
2022-03-18,3,13481.439437112538,0,1,0
2022-03-21,3,13481.439437112538,0,1,0
2022-03-22,3,13481.439437112538,0,1,0
2022-03-23,3,13481.439437112538,0,1,0
2022-03-24,3,13481.439437112538,0,1,0
2022-03-25,3,13481.439437112538,0,1,0
2022-03-28,3,13481.439437112538,0,1,0
2022-03-29,3,13481.439437112538,2,1,0
2022-03-30,3,13481.439437112538,0,1,0
2022-03-31,3,13481.439437112538,1,1,0
2022-04-01,3,13481.439437112538,0,1,0
2022-04-06,3,13481.439437112538,1,1,0
2022-04-07,3,13481.439437112538,0,1,0
2022-04-08,3,13481.439437112538,0,1,0
2022-04-11,3,13481.439437112538,2,1,0
2022-04-12,3,13481.439437112538,0,1,0
2022-04-13,3,13481.439437112538,0,1,0
2022-04-14,3,13481.439437112538,2,1,0
2022-04-15,3,13481.439437112538,0,1,0
2022-04-18,3,13481.439437112538,1,1,0
2022-04-19,3,13481.439437112538,1,1,0
2022-04-20,3,13481.439437112538,2,1,0
2022-04-21,3,13481.439437112538,2,1,0
2022-04-22,3,13481.439437112538,1,1,0
2022-04-25,3,13481.439437112538,3,1,0
2022-04-26,3,13481.439437112538,1,1,0
2022-04-27,3,13481.439437112538,0,1,0
2022-04-28,3,13481.439437112538,0,1,0
2022-04-29,3,13481.439437112538,0,1,0
2022-05-05,2,682619.6086798926,0,0,0
2022-05-06,2,682619.6086798926,1,0,0
2022-05-09,3,485171.0854078926,1,1,0
2022-05-10,3,485171.0854078926,0,1,0
2022-05-11,3,285399.6383326926,0,1,0
2022-05-12,3,285399.6383326926,0,1,0
2022-05-13,3,285399.6383326926,1,1,0
2022-05-16,3,86252.97765973266,0,1,0
2022-05-17,3,86252.97765973266,0,1,0
2022-05-18,3,86252.97765973266,0,1,0
2022-05-19,3,86252.97765973266,0,1,0
2022-05-20,3,86252.97765973266,0,1,0
2022-05-23,3,86252.97765973266,0,1,0
2022-05-24,3,86252.97765973266,0,1,0
2022-05-25,3,86252.97765973266,0,1,0
2022-05-26,3,86252.97765973266,0,1,0
2022-05-27,3,86252.97765973266,0,1,0
2022-05-30,2,267573.49458079267,0,0,0
2022-05-31,2,267573.49458079267,0,0,0
2022-06-01,2,267573.49458079267,0,0,0
2022-06-02,1,709961.9918521927,0,0,0
