sig_date,ts_code,block_reason,wait_days,release_date,ind_return,ind_time_to_breakeven,natural_exit_before_release
2024-07-25,300502.SZ,BLOCKED_K,39.0,2024-09-20,13.964744747831642,0.0,1.0
2024-07-30,600519.SH,BLOCKED_K,36.0,2024-09-20,4.979956385509713,0.0,1.0
2024-08-02,002594.SZ,BLOCKED_K,33.0,2024-09-20,6.379967880191982,0.0,1.0
2024-08-05,002475.SZ,BLOCKED_K,32.0,2024-09-20,8.544910470004318,3.0,1.0
2024-08-05,300502.SZ,BLOCKED_K,32.0,2024-09-20,,,
2024-08-06,002594.SZ,BLOCKED_K,31.0,2024-09-20,,,
2024-08-22,000063.SZ,BLOCKED_K,19.0,2024-09-20,,,
2024-08-22,000858.SZ,BLOCKED_K,19.0,2024-09-20,9.447704740723928,0.0,0.0
2024-08-23,688012.SH,BLOCKED_K,18.0,2024-09-20,,,
2024-08-26,000858.SZ,BLOCKED_K,17.0,2024-09-20,,,
2024-08-28,601127.SH,BLOCKED_K,15.0,2024-09-20,11.860904824260553,0.0,0.0
2024-08-28,000858.SZ,BLOCKED_K,15.0,2024-09-20,,,
2024-08-28,600809.SH,BLOCKED_K,15.0,2024-09-20,,,
2024-08-29,300308.SZ,BLOCKED_K,14.0,2024-09-20,,,
2024-09-02,600150.SH,BLOCKED_K,12.0,2024-09-20,,,
2024-09-05,688256.SH,BLOCKED_K,9.0,2024-09-20,22.25002533076108,0.0,0.0
2024-09-06,688256.SH,BLOCKED_K,8.0,2024-09-20,,,
2024-09-09,600519.SH,BLOCKED_K,7.0,2024-09-20,13.065449104192648,0.0,0.0
2024-09-09,600036.SH,BLOCKED_K,7.0,2024-09-20,12.650986424212691,3.0,0.0
2024-09-11,600900.SH,BLOCKED_K,5.0,2024-09-20,8.228584541518643,0.0,0.0
2024-09-12,600519.SH,BLOCKED_K,4.0,2024-09-20,,,
2024-09-13,600519.SH,BLOCKED_K,3.0,2024-09-20,,,
2024-09-13,000858.SZ,BLOCKED_K,3.0,2024-09-20,,,
2024-09-18,600519.SH,BLOCKED_K,2.0,2024-09-20,,,
2024-09-18,000858.SZ,BLOCKED_K,2.0,2024-09-20,,,
