hypothesis_id,mean_regime_excess_v2,hac_t_v2,raw_p_v2,bh_q_v2,boot_p_v2,nullA_p_v2,nullC_p_v2,status_v2,mean_regime_excess_v3,hac_t_v3,raw_p_v3,bh_q_v3,boot_p_v3,nullA_p_v3,nullC_p_v3,status_v3,boot_ci_lo,boot_ci_hi,positive_boot_support,negative_boot_support,nw_lag,excess_delta,rawp_delta,nullA_delta,nullC_delta,bootp_delta,status_changed,bhq_changed_significance
P0091,-0.0034434926583332,-2.750918126059393,0.0060940695844273,0.0581282075736941,0.998,0.0,0.0104,VALID_SAMPLE,-0.0034434926583332593,-2.750918126059393,0.006094069584427399,0.05812820757369419,0.9965,0.0,0.0052,VALID_SAMPLE,-0.006653117009806861,-0.0009701153378383859,False,True,6.0,-5.941427905220564e-17,9.974659986866641e-17,0.0,-0.0052,-0.0014999999999999458,False,False
P0092,-0.0044232407407214,-2.4854503187882493,0.0131675356226603,0.0877835708177353,0.9895,0.0084,0.0344,VALID_SAMPLE,-0.0044232407407214305,-2.4854503187882493,0.013167535622660305,0.08778357081773537,0.9815,0.0094,0.0196,VALID_SAMPLE,-0.009271175101660726,-0.0002699168467887513,False,True,6.0,-3.0357660829594124e-17,5.204170427930421e-18,0.0010000000000000009,-0.0148,-0.008000000000000007,False,False
P0093,-0.0034483740811856,-2.749836328847608,0.0061301327137061,0.0581282075736941,0.991,0.0,0.02,VALID_SAMPLE,-0.0034483740811856855,-2.749836328847608,0.006130132713706103,0.05812820757369419,0.9905,0.0036,0.0088,VALID_SAMPLE,-0.006554709390657065,-0.0005805544769212659,False,True,6.0,-8.543513119185775e-17,2.6020852139652106e-18,0.0036,-0.0112,-0.0004999999999999449,False,False
P0094,-0.0057641068591869,-3.3665112524647514,0.0008066120617721,0.0399743589418026,0.998,0.0,0.0154,VALID_SAMPLE,-0.0057641068591869175,-3.3665112524647514,0.0008066120617721245,0.03997435894180264,0.999,0.0024,0.007,VALID_SAMPLE,-0.010096995146056728,-0.0019101685255624873,False,True,6.0,-1.734723475976807e-17,2.45029690981724e-17,0.0024,-0.008400000000000001,0.0010000000000000009,False,False
P0095,-0.0055245511433852,-3.14742939058018,0.0017580641152452,0.0399743589418026,1.0,0.0066,0.0324,VALID_SAMPLE,-0.005524551143385228,-3.14742939058018,0.001758064115245272,0.03997435894180264,1.0,0.0154,0.0126,VALID_SAMPLE,-0.009193295553925545,-0.0021298376045786557,False,True,5.0,-2.7755575615628914e-17,7.19910242530375e-17,0.0088,-0.019799999999999998,0.0,False,False
P0096,-0.0072097763745474,-3.108882403073166,0.0019987179470901,0.0399743589418026,1.0,0.0186,0.0532,VALID_SAMPLE,-0.0072097763745474185,-3.108882403073166,0.001998717947090132,0.03997435894180264,1.0,0.0134,0.0294,VALID_SAMPLE,-0.012182679763903038,-0.0031004628185515395,False,True,5.0,-1.8214596497756474e-17,3.209238430557093e-17,-0.005199999999999998,-0.023799999999999998,0.0,False,False
P0097,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,,,,False,False
P0098,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,,,,False,False
P0099,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,,,,False,False
P0100,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,,,,False,False
P0101,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,,,,False,False
P0102,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,,,,False,False
P0103,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,,,,False,False
P0104,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,,,,False,False
