date,equity,cash,stock_val,etf_val,etf_shares,holding
2024-10-18,2450641.31,4786.55,0.0,2445854.76,1239600,
2024-10-21,2436137.99,4786.55,0.0,2431351.44,1239600,
2024-10-22,2443575.59,4786.55,0.0,2438789.04,1239600,
2024-10-23,2421634.67,4786.55,0.0,2416848.12,1239600,
2024-10-24,2428328.51,4786.55,0.0,2423541.96,1239600,
2024-10-25,2420890.91,4786.55,0.0,2416104.36,1239600,
2024-10-28,2434774.43,4786.55,0.0,2429987.88,1239600,
2024-10-29,2438121.35,4786.55,0.0,2433334.8,1239600,
2024-10-30,2433658.79,4786.55,0.0,2428872.24,1239600,
2024-10-31,2383578.95,4786.55,0.0,2378792.4,1239600,
2024-11-01,2389776.95,4786.55,0.0,2384990.4,1239600,
2024-11-04,2385314.39,4786.55,0.0,2380527.84,1239600,
2024-11-05,2408123.03,4786.55,0.0,2403336.48,1239600,
2024-11-06,2468119.67,4786.55,0.0,2463333.12,1239600,
2024-11-07,2509646.27,4786.55,0.0,2504859.72,1239600,
2024-11-08,2511381.71,4786.55,0.0,2506595.16,1239600,
2024-11-11,2525637.11,4786.55,0.0,2520850.56,1239600,
2024-11-12,2523405.83,4786.55,0.0,2518619.28,1239600,
2024-11-13,2526380.87,4786.55,0.0,2521594.32,1239600,
2024-11-14,2511009.83,4786.55,0.0,2506223.28,1239600,
2024-11-15,2478904.19,4786.55,0.0,2474117.64,1239600,
2024-11-18,2485969.91,4786.55,0.0,2481183.36,1239600,
2024-11-19,2495762.75,4786.55,0.0,2490976.2,1239600,
2024-11-20,2496630.47,4786.55,0.0,2491843.92,1239600,
2024-11-21,2510018.15,4786.55,0.0,2505231.6,1239600,
2024-11-22,2518943.27,4786.55,0.0,2514156.72,1239600,
2024-11-25,2526008.99,4786.55,0.0,2521222.44,1239600,
2024-11-26,2540140.43,4786.55,0.0,2535353.88,1239600,
2024-11-27,2545690.93,5064.03,198873.0,2341753.9,1148200,600418.SH
2024-11-28,2548809.32,4984.02,390920.0,2152905.3,1056900,600418.SH
2024-11-29,2576896.91,4984.02,407276.0,2164636.89,1056900,600418.SH
2024-12-02,2593938.65,4984.02,419456.0,2169498.63,1056900,600418.SH
2024-12-03,2583710.08,4984.02,404260.0,2174466.06,1056900,600418.SH
2024-12-04,2593289.22,4984.02,402636.0,2185669.2,1056900,600418.SH
2024-12-05,2589775.65,4984.02,404724.0,2180067.63,1056900,600418.SH
2024-12-06,2594531.7,4984.02,404724.0,2184823.68,1056900,600418.SH
2024-12-09,2583694.59,4984.02,406464.0,2172246.57,1056900,600418.SH
2024-12-10,2595165.64,4984.02,423748.0,2166433.62,1056900,600418.SH
2024-12-11,2647412.21,4984.02,459824.0,2182604.19,1056900,600418.SH
2024-12-12,2632053.69,4984.02,455880.0,2171189.67,1056900,600418.SH
2024-12-13,2622943.83,4984.02,446136.0,2171823.81,1056900,600418.SH
2024-12-16,2613398.41,4984.02,427924.0,2180490.39,1056900,600418.SH
2024-12-17,2607822.59,4984.02,430592.0,2172246.57,1056900,600418.SH
2024-12-18,2553454.0,4984.02,440800.0,2107669.98,1056900,600418.SH
2024-12-19,2550657.1,4984.02,439060.0,2106613.08,1056900,600418.SH
2024-12-20,2565366.14,4984.02,430940.0,2129442.12,1056900,600418.SH
2024-12-23,2584939.36,4984.02,435928.0,2144027.34,1056900,600418.SH
2024-12-24,2621141.92,4984.02,448456.0,2167701.9,1056900,600418.SH
2024-12-25,2617924.85,4984.02,445556.0,2167384.83,1056900,600418.SH
2024-12-26,2624526.54,4984.02,452052.0,2167490.52,1056900,600418.SH
2024-12-27,2606218.91,4984.02,457736.0,2143498.89,1056900,600418.SH
2024-12-30,2577040.8,4984.02,451704.0,2120352.78,1056900,600418.SH
2024-12-31,2551141.77,4984.02,435000.0,2111157.75,1056900,600418.SH
2025-01-02,2529006.34,4984.02,417832.0,2106190.32,1056900,600418.SH
2025-01-03,2551453.91,4984.02,413540.0,2132929.89,1056900,600418.SH
2025-01-06,2555962.57,4984.02,406000.0,2144978.55,1056900,600418.SH
2025-01-07,2547842.32,4984.02,421660.0,2121198.3,1056900,600418.SH
2025-01-08,2547174.71,4984.02,417716.0,2124474.69,1056900,600418.SH
2025-01-09,2544865.02,4984.02,415512.0,2124369.0,1056900,600418.SH
2025-01-10,2506017.57,4984.02,408900.0,2092133.55,1056900,600418.SH
2025-01-13,2498567.82,4984.02,398808.0,2094775.8,1056900,600418.SH
2025-01-14,2539087.93,4984.02,437320.0,2096783.91,1056900,600418.SH
2025-01-15,2583676.16,4984.02,443120.0,2135572.14,1056900,600418.SH
2025-01-16,2577644.11,4984.02,441844.0,2130816.09,1056900,600418.SH
2025-01-17,2602347.18,4984.02,445092.0,2152271.16,1056900,600418.SH
2025-01-20,2614547.8,4984.02,457504.0,2152059.78,1056900,600418.SH
2025-01-21,2634633.98,4984.02,464696.0,2164953.96,1056900,600418.SH
2025-01-22,2627402.71,4907.46,0.0,2622495.25,1272500,
2025-01-23,2641654.71,4907.46,0.0,2636747.25,1272500,
2025-01-24,2634274.21,4907.46,0.0,2629366.75,1272500,
2025-01-27,2595335.71,4907.46,0.0,2590428.25,1272500,
2025-02-05,2616586.46,4907.46,0.0,2611679.0,1272500,
2025-02-06,2626002.96,4907.46,0.0,2621095.5,1272500,
2025-02-07,2601698.21,4907.46,0.0,2596790.75,1272500,
2025-02-10,2619385.96,4907.46,0.0,2614478.5,1272500,
2025-02-11,2620531.21,4907.46,0.0,2615623.75,1272500,
2025-02-12,2613532.46,4907.46,0.0,2608625.0,1272500,
2025-02-13,2641272.96,4907.46,0.0,2636365.5,1272500,
2025-02-14,2641527.46,4907.46,0.0,2636620.0,1272500,
2025-02-17,2641145.71,4907.46,0.0,2636238.25,1272500,
2025-02-18,2647508.21,4907.46,0.0,2642600.75,1272500,
2025-02-19,2654125.21,4907.46,0.0,2649217.75,1272500,
2025-02-20,2642927.21,4907.46,0.0,2638019.75,1272500,
2025-02-21,2597117.21,4907.46,0.0,2592209.75,1272500,
2025-02-24,2584646.71,4907.46,0.0,2579739.25,1272500,
2025-02-25,2572557.96,4907.46,0.0,2567650.5,1272500,
2025-02-26,2573194.21,4907.46,0.0,2568286.75,1272500,
2025-02-27,2532092.46,4907.46,0.0,2527185.0,1272500,
2025-02-28,2572303.46,4907.46,0.0,2567396.0,1272500,
2025-03-03,2535366.6,5170.0,198770.0,2331426.6,1176300,000063.SZ
2025-03-04,2511802.77,5170.0,203555.0,2303077.77,1176300,000063.SZ
2025-03-05,2536387.44,5170.0,203555.0,2327662.44,1176300,000063.SZ
2025-03-06,2499485.64,5170.0,209000.0,2285315.64,1176300,000063.SZ
2025-03-07,2508755.2,5170.0,205095.0,2298490.2,1176300,000063.SZ
2025-03-10,2446912.34,5170.0,204655.0,2237087.34,1176300,000063.SZ
2025-03-11,2429383.88,5170.0,203830.0,2220383.88,1176300,000063.SZ
2025-03-12,2448607.17,5170.0,213290.0,2230147.17,1176300,000063.SZ
2025-03-13,2409403.63,5170.0,204435.0,2199798.63,1176300,000063.SZ
2025-03-14,2459738.78,5170.0,207130.0,2247438.78,1176300,000063.SZ
2025-03-17,2470525.45,5170.0,205095.0,2260260.45,1176300,000063.SZ
2025-03-18,2448137.6,5170.0,205645.0,2237322.6,1176300,000063.SZ
2025-03-19,2467610.45,5170.0,202180.0,2260260.45,1176300,000063.SZ
2025-03-20,2461589.7,5170.0,199100.0,2257319.7,1176300,000063.SZ
2025-03-21,2458064.93,5170.0,193105.0,2259789.93,1176300,000063.SZ
2025-03-24,2497084.39,5170.0,191895.0,2300019.39,1176300,000063.SZ
2025-03-25,2497108.55,5170.0,188155.0,2303783.55,1176300,000063.SZ
2025-03-26,2470776.28,5170.0,188760.0,2276846.28,1176300,000063.SZ
2025-03-27,2464858.22,5170.0,190135.0,2269553.22,1176300,000063.SZ
2025-03-28,2420293.3,5170.0,190740.0,2224383.3,1176300,000063.SZ
2025-03-31,2431173.12,5170.0,188210.0,2237793.12,1176300,000063.SZ
2025-04-01,2440734.85,5170.0,189420.0,2246144.85,1176300,000063.SZ
2025-04-02,2459562.01,5170.0,192720.0,2261672.01,1176300,000063.SZ
2025-04-03,2350625.82,5170.0,191180.0,2154275.82,1176300,000063.SZ
2025-04-07,2201387.04,5170.0,172040.0,2024177.04,1176300,000063.SZ
2025-04-08,2174196.33,6463.41,364320.0,1803412.92,1064400,000063.SZ
2025-04-09,2354148.45,6463.41,371520.0,1976165.04,1064400,000063.SZ
2025-04-10,2294293.29,6463.41,379680.0,1908149.88,1064400,000063.SZ
2025-04-11,2334059.85,6463.41,384960.0,1942636.44,1064400,000063.SZ
2025-04-14,2356025.85,6463.41,390960.0,1958602.44,1064400,000063.SZ
2025-04-15,2347353.33,6463.41,385800.0,1955089.92,1064400,000063.SZ
2025-04-16,2294538.69,6463.41,376200.0,1911875.28,1064400,000063.SZ
2025-04-17,2294228.85,6463.41,374400.0,1913365.44,1064400,000063.SZ
2025-04-18,2308323.09,6463.41,388920.0,1912939.68,1064400,000063.SZ
2025-04-21,2261086.77,6463.41,387240.0,1867383.36,1064400,000063.SZ
2025-04-22,2303369.85,6463.41,380880.0,1916026.44,1064400,000063.SZ
2025-04-23,2340233.37,6463.41,384960.0,1948809.96,1064400,000063.SZ
2025-04-24,2373070.41,6463.41,378840.0,1987767.0,1064400,000063.SZ
2025-04-25,2387188.29,6463.41,379440.0,2001284.88,1064400,000063.SZ
2025-04-28,2384840.49,6463.41,376560.0,2001817.08,1064400,000063.SZ
2025-04-29,2396976.69,6463.41,377520.0,2012993.28,1064400,000063.SZ
2025-04-30,2405291.25,6463.41,383280.0,2015547.84,1064400,000063.SZ
2025-05-06,2428649.13,6463.41,393120.0,2029065.72,1064400,000063.SZ
2025-05-07,2438838.33,4934.48,0.0,2433903.85,1271300,
2025-05-08,2455238.1,4934.48,0.0,2450303.62,1271300,
2025-05-09,2456165.99,6479.39,197409.0,2252277.6,1168800,688981.SH
2025-05-12,2530109.23,6479.39,198536.0,2325093.84,1168800,688981.SH
2025-05-13,2542996.11,6479.39,196696.0,2339820.72,1168800,688981.SH
2025-05-14,2545640.67,6479.39,197938.0,2341223.28,1168800,688981.SH
2025-05-15,2550458.73,9714.73,388332.0,2152412.0,1070000,688981.SH
2025-05-16,2566298.73,9714.73,389620.0,2166964.0,1070000,688981.SH
2025-05-19,2569008.73,9714.73,391046.0,2168248.0,1070000,688981.SH
2025-05-20,2561121.73,9714.73,391184.0,2160223.0,1070000,688981.SH
2025-05-21,2521991.73,9714.73,386722.0,2125555.0,1070000,688981.SH
2025-05-22,2518762.73,9714.73,385526.0,2123522.0,1070000,688981.SH
2025-05-23,2500880.73,9714.73,381340.0,2109826.0,1070000,688981.SH
2025-05-26,2503357.73,9714.73,386492.0,2107151.0,1070000,688981.SH
2025-05-27,2543284.73,9714.73,381800.0,2151770.0,1070000,688981.SH
2025-05-28,2527281.73,9714.73,377246.0,2140321.0,1070000,688981.SH
2025-05-29,2542740.73,9714.73,383824.0,2149202.0,1070000,688981.SH
2025-05-30,2534390.73,9714.73,377614.0,2147062.0,1070000,688981.SH
2025-06-03,2558287.73,9714.73,379362.0,2169211.0,1070000,688981.SH
2025-06-04,2562195.73,9714.73,382628.0,2169853.0,1070000,688981.SH
2025-06-05,2555670.73,9714.73,388194.0,2157762.0,1070000,688981.SH
2025-06-06,2578280.73,9714.73,388976.0,2179590.0,1070000,688981.SH
2025-06-09,2579929.73,9714.73,388378.0,2181837.0,1070000,688981.SH
2025-06-10,2581993.73,9714.73,378672.0,2193607.0,1070000,688981.SH
2025-06-11,2577859.73,9714.73,381386.0,2186759.0,1070000,688981.SH
2025-06-12,2582833.73,9714.73,378442.0,2194677.0,1070000,688981.SH
2025-06-13,2559117.73,9714.73,380834.0,2168569.0,1070000,688981.SH
2025-06-16,2581299.73,9714.73,381616.0,2189969.0,1070000,688981.SH
2025-06-17,2558714.73,9714.73,379040.0,2169960.0,1070000,688981.SH
2025-06-18,2557027.73,9714.73,377246.0,2170067.0,1070000,688981.SH
2025-06-19,2554408.73,9714.73,375590.0,2169104.0,1070000,688981.SH
2025-06-20,2546821.73,9714.73,373888.0,2163219.0,1070000,688981.SH
2025-06-23,2587554.67,4930.67,0.0,2582624.0,1265000,
2025-06-24,2615005.17,4930.67,0.0,2610074.5,1265000,
2025-06-25,2615384.67,4930.67,0.0,2610454.0,1265000,
2025-06-26,2634486.17,4930.67,0.0,2629555.5,1265000,
2025-06-27,2648527.67,4930.67,0.0,2643597.0,1265000,
2025-06-30,2660545.17,4930.67,0.0,2655614.5,1265000,
2025-07-01,2655738.17,4930.67,0.0,2650807.5,1265000,
2025-07-02,2668894.17,4930.67,0.0,2663963.5,1265000,
2025-07-03,2690525.67,4930.67,0.0,2685595.0,1265000,
2025-07-04,2690905.17,4930.67,0.0,2685974.5,1265000,
2025-07-07,2668388.17,4930.67,0.0,2663457.5,1265000,
2025-07-08,2667629.17,4930.67,0.0,2662698.5,1265000,
2025-07-09,2684074.17,4930.67,0.0,2679143.5,1265000,
2025-07-10,2690525.67,4930.67,0.0,2685595.0,1265000,
2025-07-11,2680152.67,4930.67,0.0,2675222.0,1265000,
2025-07-14,2684074.17,4930.67,0.0,2679143.5,1265000,
2025-07-15,2673954.17,4930.67,0.0,2669023.5,1265000,
2025-07-16,2683441.67,4930.67,0.0,2678511.0,1265000,
2025-07-17,2695206.17,4930.67,0.0,2690275.5,1265000,
2025-07-18,2696597.67,4930.67,0.0,2691667.0,1265000,
2025-07-21,2701278.17,4930.67,0.0,2696347.5,1265000,
2025-07-22,2700898.67,4930.67,0.0,2695968.0,1265000,
2025-07-23,2719620.67,4930.67,0.0,2714690.0,1265000,
2025-07-24,2720506.17,4930.67,0.0,2715575.5,1265000,
2025-07-25,2732523.67,4930.67,0.0,2727593.0,1265000,
2025-07-28,2734674.17,4930.67,0.0,2729743.5,1265000,
2025-07-29,2728222.67,4930.67,0.0,2723292.0,1265000,
2025-07-30,2722024.17,4930.67,0.0,2717093.5,1265000,
2025-07-31,2714054.67,4930.67,0.0,2709124.0,1265000,
2025-08-01,2670538.67,4930.67,0.0,2665608.0,1265000,
2025-08-04,2706085.17,4930.67,0.0,2701154.5,1265000,
2025-08-05,2691790.67,4930.67,0.0,2686860.0,1265000,
2025-08-06,2713042.67,4930.67,0.0,2708112.0,1265000,
2025-08-07,2708488.67,4930.67,0.0,2703558.0,1265000,
2025-08-08,2731385.17,4930.67,0.0,2726454.5,1265000,
2025-08-11,2725566.17,4930.67,0.0,2720635.5,1265000,
2025-08-12,2756938.17,4930.67,0.0,2752007.5,1265000,
2025-08-13,2763136.67,4930.67,0.0,2758206.0,1265000,
2025-08-14,2763642.67,4930.67,0.0,2758712.0,1265000,
2025-08-15,2757317.67,4930.67,0.0,2752387.0,1265000,
2025-08-18,2755040.67,4930.67,0.0,2750110.0,1265000,
2025-08-19,2740619.67,4930.67,0.0,2735689.0,1265000,
2025-08-20,2734547.67,4930.67,0.0,2729617.0,1265000,
2025-08-21,2720126.67,4930.67,0.0,2715196.0,1265000,
2025-08-22,2762883.67,4930.67,0.0,2757953.0,1265000,
2025-08-25,2744794.17,4930.67,0.0,2739863.5,1265000,
2025-08-26,2757064.67,4930.67,0.0,2752134.0,1265000,
2025-08-27,2760480.17,4930.67,0.0,2755549.5,1265000,
2025-08-28,2767437.67,4930.67,0.0,2762507.0,1265000,
2025-08-29,2748589.17,4930.67,0.0,2743658.5,1265000,
2025-09-01,2750107.17,4930.67,0.0,2745176.5,1265000,
2025-09-02,2732017.67,4930.67,0.0,2727087.0,1265000,
2025-09-03,2746818.17,4930.67,0.0,2741887.5,1265000,
2025-09-04,2767564.17,4930.67,0.0,2762633.5,1265000,
2025-09-05,2759594.67,4930.67,0.0,2754664.0,1265000,
2025-09-08,2764401.67,4930.67,0.0,2759471.0,1265000,
2025-09-09,2771232.67,4930.67,0.0,2766302.0,1265000,
2025-09-10,2781226.17,4930.67,0.0,2776295.5,1265000,
2025-09-11,2803490.17,4930.67,0.0,2798559.5,1265000,
2025-09-12,2801719.17,4930.67,0.0,2796788.5,1265000,
2025-09-15,2816646.17,4930.67,0.0,2811715.5,1265000,
2025-09-16,2811839.17,4930.67,0.0,2806908.5,1265000,
2025-09-17,2808297.17,4930.67,0.0,2803366.5,1265000,
2025-09-18,2824742.17,4930.67,0.0,2819811.5,1265000,
2025-09-19,2840175.17,4930.67,0.0,2835244.5,1265000,
2025-09-22,2851939.67,4930.67,0.0,2847009.0,1265000,
2025-09-23,2833976.67,4930.67,0.0,2829046.0,1265000,
2025-09-24,2826513.17,4930.67,0.0,2821582.5,1265000,
2025-09-25,2813989.67,4930.67,0.0,2809059.0,1265000,
2025-09-26,2831699.67,4930.67,0.0,2826769.0,1265000,
2025-09-29,2836506.67,4930.67,0.0,2831576.0,1265000,
2025-09-30,2846500.17,4930.67,0.0,2841569.5,1265000,
2025-10-09,2868511.17,4930.67,0.0,2863580.5,1265000,
2025-10-10,2789069.17,4930.67,0.0,2784138.5,1265000,
2025-10-13,2830814.17,4930.67,0.0,2825883.5,1265000,
2025-10-14,2829513.79,30929.89,173050.0,2625533.9,1177000,300308.SZ
2025-10-15,2847304.19,26371.31,354120.0,2466812.88,1101600,300308.SZ
2025-10-16,2843630.19,26371.31,366970.0,2450288.88,1101600,300308.SZ
2025-10-17,2862598.11,26371.31,373600.0,2462626.8,1101600,300308.SZ
2025-10-20,2918766.99,26371.31,403000.0,2489395.68,1101600,300308.SZ
2025-10-21,2955284.11,26371.31,441500.0,2487412.8,1101600,300308.SZ
2025-10-22,2945305.55,26371.31,444300.0,2474634.24,1101600,300308.SZ
2025-10-23,2954994.59,26371.31,440880.0,2487743.28,1101600,300308.SZ
2025-10-24,2996521.74,5069.34,0.0,2991452.4,1314000,
2025-10-27,3031342.74,5069.34,0.0,3026273.4,1314000,
2025-10-28,3037255.74,5069.34,0.0,3032186.4,1314000,
2025-10-29,3036730.14,5069.34,0.0,3031660.8,1314000,
2025-10-30,3007296.54,5069.34,0.0,3002227.2,1314000,
2025-10-31,3015837.54,5069.34,0.0,3010768.2,1314000,
2025-11-03,3020699.34,5069.34,0.0,3015630.0,1314000,
2025-11-04,2986009.74,5069.34,0.0,2980940.4,1314000,
2025-11-05,2997835.74,5069.34,0.0,2992766.4,1314000,
2025-11-06,2962489.14,5069.34,0.0,2957419.8,1314000,
2025-11-07,2965248.54,5069.34,0.0,2960179.2,1314000,
2025-11-10,3012026.94,5069.34,0.0,3006957.6,1314000,
2025-11-11,3018596.94,5069.34,0.0,3013527.6,1314000,
2025-11-12,3019253.94,5069.34,0.0,3014184.6,1314000,
2025-11-13,2970767.34,5069.34,0.0,2965698.0,1314000,
2025-11-14,2967745.14,5069.34,0.0,2962675.8,1314000,
2025-11-17,2940151.14,5069.34,0.0,2935081.8,1314000,
2025-11-18,2917550.34,5069.34,0.0,2912481.0,1314000,
2025-11-19,2929376.34,5069.34,0.0,2924307.0,1314000,
2025-11-20,2885225.94,5069.34,0.0,2880156.6,1314000,
2025-11-21,2924729.54,18968.99,185000.0,2720760.55,1229500,300750.SZ
2025-11-24,2966069.84,18968.99,185275.0,2761825.85,1229500,300750.SZ
2025-11-25,2991441.89,18968.99,186180.0,2786292.9,1229500,300750.SZ
2025-11-26,3009745.54,18968.99,186410.0,2804366.55,1229500,300750.SZ
2025-11-27,3008197.84,18968.99,185600.0,2803628.85,1229500,300750.SZ
2025-11-28,3024443.64,18968.99,186600.0,2818874.65,1229500,300750.SZ
2025-12-01,3014082.84,18968.99,191485.0,2803628.85,1229500,300750.SZ
2025-12-02,3020752.54,18968.99,190040.0,2811743.55,1229500,300750.SZ
2025-12-03,3025760.69,18968.99,188040.0,2818751.7,1229500,300750.SZ
2025-12-04,3031362.89,18968.99,191675.0,2820718.9,1229500,300750.SZ
2025-12-05,3040503.34,18968.99,194545.0,2826989.35,1229500,300750.SZ
2025-12-08,3032864.14,18968.99,196250.0,2817645.15,1229500,300750.SZ
2025-12-09,3028196.04,18968.99,193795.0,2815432.05,1229500,300750.SZ
2025-12-10,3043664.69,18968.99,191190.0,2833505.7,1229500,300750.SZ
2025-12-11,3049920.49,18968.99,194495.0,2836456.5,1229500,300750.SZ
2025-12-12,3018989.64,18968.99,195900.0,2804120.65,1229500,300750.SZ
2025-12-15,3012151.14,18968.99,192750.0,2800432.15,1229500,300750.SZ
2025-12-16,2999876.69,18968.99,189205.0,2791702.7,1229500,300750.SZ
2025-12-17,2969062.24,18968.99,191710.0,2758383.25,1229500,300750.SZ
2025-12-18,2985606.19,18968.99,186000.0,2780637.2,1229500,300750.SZ
2025-12-19,3009474.89,18968.99,187000.0,2803505.9,1229500,300750.SZ
2025-12-22,3026837.39,18968.99,185920.0,2821948.4,1229500,300750.SZ
2025-12-23,3040786.99,18968.99,189050.0,2832768.0,1229500,300750.SZ
2025-12-24,3046545.14,18968.99,187800.0,2839776.15,1229500,300750.SZ
2025-12-25,3041930.49,18968.99,186505.0,2836456.5,1229500,300750.SZ
2025-12-26,3040796.24,18968.99,187215.0,2834612.25,1229500,300750.SZ
2025-12-29,3027047.79,18968.99,184655.0,2823423.8,1229500,300750.SZ
2025-12-30,3023796.09,18968.99,184600.0,2820227.1,1229500,300750.SZ
2025-12-31,2999711.49,18968.99,183630.0,2797112.5,1229500,300750.SZ
2026-01-05,3025118.24,18968.99,188750.0,2817399.25,1229500,300750.SZ
2026-01-06,3038609.04,18968.99,186995.0,2832645.05,1229500,300750.SZ
2026-01-07,3028512.54,18968.99,185505.0,2824038.55,1229500,300750.SZ
2026-01-08,3027735.49,18968.99,184605.0,2824161.5,1229500,300750.SZ
2026-01-09,3042868.34,18968.99,184615.0,2839284.35,1229500,300750.SZ
