round,ts_code,name,entry_date,exit_date,exit_type,levels_used,shares,pnl,return_pct,hold_days
115,300760.SZ,,2022-09-22,2022-10-14,TAKE_PROFIT_DYN,2,1400,94426.04608164012,26.1,11
116,603259.SH,,2022-07-28,2022-10-17,TAKE_PROFIT_DYN,5,11100,-63685.73171682004,-6.55,51
117,601012.SH,,2022-08-04,2022-10-27,TAKE_PROFIT_DYN,3,11300,-9355.142538539832,-1.57,54
118,688599.SH,,2022-08-22,2022-10-27,TAKE_PROFIT_DYN,2,5800,19306.64288988005,4.9,42
119,002459.SZ,,2022-08-22,2022-10-27,TAKE_PROFIT_DYN,2,6000,22228.184554200096,5.63,42
120,601899.SH,,2022-09-27,2022-10-28,TAKE_PROFIT_DYN,2,52000,27654.88521276001,6.92,18
121,002460.SZ,,2022-08-26,2022-11-01,TAKE_PROFIT_DYN,5,12200,21964.795079400064,2.23,41
122,002271.SZ,,2022-08-24,2022-11-02,TAKE_PROFIT_DYN,3,20300,-35551.88611758,-5.97,44
123,600703.SH,,2022-09-21,2022-11-03,TAKE_PROFIT_DYN,2,21000,5709.158811720088,1.44,26
124,002594.SZ,,2022-07-13,2022-11-04,TAKE_PROFIT_DYN,5,3300,-20886.239206799888,-2.23,76
125,002466.SZ,,2022-09-02,2022-11-04,TAKE_PROFIT_DYN,2,3800,1641.5051238001324,0.42,39
126,002050.SZ,,2022-10-12,2022-11-04,TAKE_PROFIT_DYN,1,9200,17200.50627240003,8.65,17
127,603799.SH,,2022-09-30,2022-11-07,TAKE_PROFIT_DYN,2,6100,7457.20996104012,1.9,21
128,600030.SH,,2022-09-19,2022-11-11,TAKE_PROFIT_DYN,2,21700,13108.441740660055,3.29,34
129,600036.SH,,2022-10-11,2022-11-11,TAKE_PROFIT_DYN,3,19800,28237.720775220194,4.75,23
130,601166.SH,,2022-08-30,2022-11-14,TAKE_PROFIT_DYN,4,49700,23833.14071544027,2.99,48
131,601318.SH,,2022-10-25,2022-11-14,TAKE_PROFIT_DYN,3,15900,68380.03759572003,11.54,14
132,000651.SZ,,2022-11-01,2022-11-14,TAKE_PROFIT_DYN,1,6900,22020.486865200015,11.09,9
133,300059.SZ,,2022-08-03,2022-11-15,TAKE_PROFIT_DYN,5,53400,13075.465312079992,1.31,68
134,000625.SZ,,2022-08-25,2022-11-30,TAKE_PROFIT_DYN,3,47300,13858.658773740055,2.31,63
135,000858.SZ,,2022-10-25,2022-11-30,TAKE_PROFIT_DYN,2,2800,50772.83168412,13.01,26
136,600519.SH,,2022-09-06,2022-12-01,TAKE_PROFIT_DYN,5,500,-51563.99595131981,-5.86,56
137,000568.SZ,,2022-10-11,2022-12-01,TAKE_PROFIT_DYN,5,5200,56404.55472678004,5.89,37
138,600887.SH,,2022-10-21,2022-12-01,TAKE_PROFIT_DYN,3,21300,39977.748472680105,6.71,29
139,002714.SZ,,2022-10-27,2022-12-06,TAKE_PROFIT_DYN,3,12500,31025.12584284006,5.23,28
140,300750.SZ,,2022-09-02,2022-12-07,TAKE_PROFIT_DYN,2,900,-5179.083624359919,-1.4,62
141,002371.SZ,,2022-10-13,2022-12-14,TAKE_PROFIT_DYN,1,800,19113.42458592003,10.6,44
142,603259.SH,,2022-11-29,2022-12-29,TAKE_PROFIT_DYN,2,5200,26726.337087840075,6.74,22
143,600522.SH,,2022-11-02,2023-01-03,TAKE_PROFIT_DYN,2,22200,-22526.950726800016,-5.68,43
144,300274.SZ,,2022-12-07,2023-01-03,TAKE_PROFIT_DYN,2,3800,48201.52225410007,12.35,18
145,002241.SZ,,2022-11-14,2023-01-05,TAKE_PROFIT_DYN,2,23700,34076.419577819994,8.55,37
146,002812.SZ,,2022-11-24,2023-01-06,TAKE_PROFIT_DYN,3,4500,71190.55750770017,12.27,30
147,601012.SH,,2022-12-23,2023-01-18,TAKE_PROFIT_DYN,1,4900,22382.58724128001,11.35,17
148,000625.SZ,,2022-12-29,2023-01-30,TAKE_PROFIT_DYN,1,16200,30657.52661328003,15.4,16
149,002709.SZ,,2023-01-03,2023-01-30,TAKE_PROFIT_DYN,2,9100,61333.71345738013,15.54,14
150,300014.SZ,,2023-01-12,2023-02-01,TAKE_PROFIT_DYN,1,2300,13742.55426942007,6.98,9
151,300750.SZ,,2023-02-20,2023-03-31,TAKE_PROFIT_DYN,3,1300,18777.097441440157,3.63,29
152,600519.SH,,2023-03-09,2023-03-31,TAKE_PROFIT_DYN,2,200,11832.07440599997,3.36,16
153,300059.SZ,,2023-03-08,2023-04-03,TAKE_PROFIT_DYN,2,20500,26668.556488800037,6.7,18
154,300274.SZ,,2023-03-15,2023-04-18,TAKE_PROFIT_DYN,2,3700,14762.781958140084,3.87,23
155,002594.SZ,,2023-03-13,2023-04-28,TAKE_PROFIT_DYN,2,1600,30343.865333760157,7.84,33
156,000858.SZ,,2023-04-11,2023-05-22,TAKE_PROFIT_DYN,2,2100,-10014.006498299947,-2.65,26
157,000651.SZ,,2023-05-05,2023-06-09,TAKE_PROFIT_DYN,3,17300,36473.63271822012,6.14,25
158,601899.SH,,2023-05-15,2023-06-09,TAKE_PROFIT_DYN,1,18100,13386.752086680004,6.73,19
159,600519.SH,,2023-04-13,2023-06-16,TAKE_PROFIT_DYN,2,200,21578.429080440023,6.51,43
