ts_code,signal_date,v1_entry,v2a_entry,v1_exit,v2a_exit,v1_type,v2a_type,v1_ret,v2a_ret,status,p2_rawhist_lt19,p2_rawhist_affected,entry_date_diff
002129.SZ,2024-01-30,2024-01-31,2024-01-31,2024-05-22,2024-05-22,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-6.5866863796632105,-6.5866863796632105,MATCHED,19.0,False,0.0
002230.SZ,2023-08-16,2023-08-17,2023-08-17,2023-10-10,2023-10-10,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-4.04018826584394,-4.04018826584394,MATCHED,19.0,False,0.0
002230.SZ,2024-01-03,2024-01-04,2024-01-04,2024-02-08,2024-02-08,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,3.585730933845497,3.585730933845497,MATCHED,19.0,False,0.0
002230.SZ,2024-04-23,2024-04-24,2024-04-24,2024-06-18,2024-06-18,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,5.3407176576942215,5.3407176576942215,MATCHED,19.0,False,0.0
002241.SZ,2020-11-16,2020-11-17,2020-11-17,2020-12-25,2020-12-25,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,2.7641560070263713,2.7641560070263713,MATCHED,19.0,False,0.0
002241.SZ,2021-01-29,2021-02-01,2021-02-01,2021-04-13,2021-04-13,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-2.3809753380773024,-2.3809753380773024,MATCHED,19.0,False,0.0
002241.SZ,2021-07-22,2021-07-23,2021-07-23,2021-08-05,2021-08-05,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,10.273218124699701,10.273218124699701,MATCHED,19.0,False,0.0
002241.SZ,2022-06-23,2022-06-24,2022-06-24,2022-08-05,2022-08-05,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,2.8400230023871615,2.8400230023871615,MATCHED,19.0,False,0.0
002241.SZ,2022-11-11,2022-11-14,2022-11-14,2023-01-05,2023-01-05,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,8.552942953591648,8.552942953591648,MATCHED,19.0,False,0.0
002261.SZ,2025-03-24,2025-03-25,2025-03-25,2025-04-28,2025-04-28,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,2.6716085217561965,2.6716085217561965,MATCHED,19.0,False,0.0
002271.SZ,2022-08-23,2022-08-24,2022-08-24,2022-11-02,2022-11-02,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-5.965240206705305,-5.965240206705305,MATCHED,19.0,False,0.0
002340.SZ,2021-06-07,2021-06-08,2021-06-08,2021-07-06,2021-07-06,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,5.290865136021748,5.290865136021748,MATCHED,19.0,False,0.0
002352.SZ,2021-04-12,2021-04-13,2021-04-13,2021-05-18,2021-05-18,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,1.806031845385725,1.806031845385725,MATCHED,19.0,False,0.0
002371.SZ,2022-10-12,2022-10-13,2022-10-13,2022-12-14,2022-12-14,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,10.597667780822029,10.597667780822029,MATCHED,19.0,False,0.0
002384.SZ,2026-07-29,2026-07-30,2026-07-30,2026-08-25,2026-08-25,FINAL_SETTLE,FINAL_SETTLE,6.860142611567042,6.860142611567042,MATCHED,19.0,False,0.0
002415.SZ,2020-05-25,2020-05-26,2020-05-26,2020-06-18,2020-06-18,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,7.15509150196319,7.15509150196319,MATCHED,19.0,False,0.0
002415.SZ,2022-05-06,2022-05-09,2022-05-09,2022-06-06,2022-06-06,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,3.5450375895839463,3.5450375895839463,MATCHED,19.0,False,0.0
002415.SZ,2023-06-09,2023-06-12,2023-06-12,2023-07-27,2023-07-27,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,9.253968396028046,9.253968396028046,MATCHED,19.0,False,0.0
002456.SZ,2020-09-01,2020-09-02,2020-09-02,2020-10-28,2020-10-28,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,0.3287151054327302,0.3287151054327302,MATCHED,19.0,False,0.0
002456.SZ,2023-12-14,2023-12-15,2023-12-15,2024-03-01,2024-03-01,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,9.13490121758614,9.13490121758614,MATCHED,19.0,False,0.0
002459.SZ,2022-08-19,2022-08-22,2022-08-22,2022-10-27,2022-10-27,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,5.627000867343111,5.627000867343111,MATCHED,19.0,False,0.0
002460.SZ,2021-08-16,2021-08-17,2021-08-17,2021-08-30,2021-08-30,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,24.025427124052413,24.025427124052413,MATCHED,19.0,False,0.0
002460.SZ,2021-12-20,2021-12-21,2021-12-21,2022-02-17,2022-02-17,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,7.327370162653349,7.327370162653349,MATCHED,19.0,False,0.0
002460.SZ,2022-03-08,2022-03-09,2022-03-09,2022-05-23,2022-05-23,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,17.706849570514894,17.706849570514894,MATCHED,19.0,False,0.0
002460.SZ,2022-08-25,2022-08-26,2022-08-26,2022-11-01,2022-11-01,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,2.226213115920718,2.226213115920718,MATCHED,19.0,False,0.0
002460.SZ,2025-11-24,2025-11-25,2025-11-25,2025-12-22,2025-12-22,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,9.614217661278927,9.614217661278927,MATCHED,19.0,False,0.0
002466.SZ,2021-09-22,2021-09-23,2021-09-23,2021-11-09,2021-11-09,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,5.276533723848393,5.276533723848393,MATCHED,19.0,False,0.0
