feature_id,quintile,n_days,n_episodes,equal_day_mean_return_pct,positive_day_fraction,equal_day_mean_episode_win_rate_pct,episode_weighted_mean_return_pct,episode_weighted_win_rate_pct
F12,4,534,6933,4.568470751180044,0.8314606741573034,76.23433251887714,5.5026188531195475,80.57118130679359
F12,5,534,7147,4.636601959413081,0.8389513108614233,76.07573421037313,5.422787940171347,79.7537428291591
F13,1,534,6733,3.696136360681651,0.8445692883895131,78.52880726461758,4.282621529967044,81.92484776474083
F13,2,534,6935,4.2097609422175175,0.8239700374531835,76.42042512638315,5.183787140056545,81.61499639509732
F13,3,534,6944,4.462480164308014,0.8333333333333334,76.34196179030653,5.637762217711264,80.48675115207374
F13,4,534,6935,4.871135487246124,0.8071161048689138,73.20582672381666,6.02733830735739,79.32227829848594
F13,5,534,7145,5.121688821931802,0.8164794007490637,72.01259293419483,6.224426948185943,76.2631210636809
F14,1,534,6723,4.529411329952374,0.8127340823970037,72.35904521768217,5.992818989450789,77.95626952253458
F14,2,530,6861,4.736843415674408,0.8509433962264151,76.50193891205599,5.44082756565318,79.93003935286401
F14,3,528,6991,4.292624910821543,0.8106060606060606,74.44325931231138,5.147488492465376,80.03146903161206
F14,4,531,7023,4.087611150435586,0.815442561205273,75.34640136358905,5.154332809715543,80.74896767763065
F14,5,533,7094,4.869107992997486,0.8555347091932458,76.72905333503374,5.695233402336835,80.6879052720609
F15,1,534,6733,4.919164624282952,0.797752808988764,70.82218322648046,6.24632802071575,76.0433684835883
F15,2,534,6936,4.858868253303086,0.8108614232209738,73.80263186998366,5.918019914425944,79.1955017301038
F15,3,534,6943,4.540266220643167,0.8277153558052435,75.95977718217577,5.4591460808027215,80.69998559700417
F15,4,534,6934,4.557412512396991,0.8539325842696629,77.9881961271696,5.375699332761839,82.27574271704644
F15,5,534,7146,3.7169019848343403,0.8314606741573034,76.70110279020427,4.467441088908194,81.08032465715085
F16,1,534,6733,4.719901736683649,0.7846441947565543,68.64404491116282,6.206504881720188,75.43442744690331
F16,2,534,6935,4.517385350942616,0.8146067415730337,73.75477024811025,5.720025745652393,78.58687815428983
F16,3,534,6944,5.205663105881759,0.8426966292134831,77.15270460474046,5.907333364835733,81.20679723502305
F16,4,534,6935,4.612917015919995,0.848314606741573,77.5747757252244,5.2854068358827835,82.22062004325883
F16,5,534,7145,3.7058214856921667,0.8576779026217228,78.29120446815635,4.349139526476072,81.80545836249125
F17,1,533,6729,5.164533368801745,0.8255159474671669,74.39056678908213,6.641159192503197,79.50661316688958
F17,2,533,6930,4.409075523317715,0.8236397748592871,73.57876629367848,5.830693985655799,79.84126984126985
F17,3,533,6938,4.519415804646604,0.8180112570356473,75.36803392004609,5.42494176957403,80.1671951571058
F17,4,533,6931,4.2776094419732855,0.8086303939962477,75.07049279815648,4.967718676887887,80.19044870870005
F17,5,533,7140,4.163271580243027,0.8536585365853658,76.75820870974039,4.585512618840409,79.71988795518207
