hypothesis_id,regime_dimension,regime_bin,oversold_bin,forward_horizon,n_stock_events,n_event_days,n_non_tradable_t1,status,mean_raw_return,benchmark,mean_regime_excess,median_regime_excess,stock_event_win_rate,daily_raw_positive_rate,daily_excess_positive_rate,hac_effect,hac_se,hac_t,raw_p,ci_lo,ci_hi,boot_p,nullA_p,nullC_p,nullB_p,nullB_note,nw_lag,bh_q
P0033,BREADTH,MID,B1,5D,109676,448,44,VALID_SAMPLE,-0.0040649363820613365,-0.0005549212477501823,-0.0035100151343111542,-0.0011907012873811976,0.4749899704584412,0.47767857142857145,0.4888392857142857,-0.00914616846825879,0.005078379126199898,-1.8010015087437516,0.07211808024247339,-0.008137567034826654,0.00024905479410941117,0.967,0.0506,0.1222,1.0,STRUCTURAL_INVARIANT,6.0,0.24206701865175206
P0034,BREADTH,MID,B1,10D,109641,448,44,VALID_SAMPLE,-0.005501234027511968,-0.001027659277095657,-0.004473574750416312,-0.0026869858310728024,0.45597905892868545,0.4732142857142857,0.48214285714285715,-0.01165694926004534,0.007230229202193393,-1.6122516913445895,0.10734237501281689,-0.011288805658377882,0.0016129623270610734,0.932,0.1218,0.258,0.9,STRUCTURAL_INVARIANT,6.0,0.29275193185313697
P0035,BREADTH,MID,B2,5D,36429,444,18,VALID_SAMPLE,-0.007110650221590293,-0.002610906515525874,-0.004499743706064419,-0.0018683993415760853,0.49559416948035906,0.4166666666666667,0.46621621621621623,-0.011926829971836198,0.005596802366073035,-2.131007884812018,0.033430943194145205,-0.009711957979941954,-0.00018962433560823,0.9785,0.018,0.0702,0.15,STRUCTURAL_INVARIANT,6.0,0.15577046125254732
P0036,BREADTH,MID,B2,10D,36415,444,18,VALID_SAMPLE,-0.010345854783293282,-0.004230534650693526,-0.006115320132599756,-0.0030280529203195287,0.48757380200466843,0.4594594594594595,0.48423423423423423,-0.01620900838120311,0.00767443353828633,-2.112078800388246,0.03502785796918583,-0.013006382244408596,0.00016578837968788586,0.9715,0.0394,0.143,1.0,STRUCTURAL_INVARIANT,6.0,0.15577046125254732
P0037,BREADTH,MID,B3,5D,8612,412,15,VALID_SAMPLE,-0.011052202340964804,-0.006917841206622212,-0.004134361134342592,-0.0024228433494296927,0.5085926614026939,0.42475728155339804,0.4733009708737864,-0.011444905286055653,0.006364775814140751,-1.798163143567174,0.07262010559552562,-0.009250229939974893,0.0004113856024171763,0.958,0.032,0.132,1.0,STRUCTURAL_INVARIANT,6.0,0.24206701865175206
P0038,BREADTH,MID,B3,10D,8613,412,15,VALID_SAMPLE,-0.014284742740128368,-0.00878817028122094,-0.005496572458907428,-0.00325394571861172,0.5166608614884477,0.41019417475728154,0.47572815533980584,-0.015215833630881043,0.009065470905963428,-1.6784383060423036,0.0937474518081538,-0.012655129256897728,0.0009153568747915957,0.9495,0.1018,0.2112,1.0,STRUCTURAL_INVARIANT,6.0,0.26784986230901087
P0039,BREADTH,MID,B4,5D,1635,285,5,VALID_SAMPLE,-0.019208060972618065,-0.01397222191056839,-0.005235839062049675,0.00572398960859952,0.5174311926605505,0.4245614035087719,0.5578947368421052,-0.014504249824063092,0.008574145266179993,-1.6916263223663712,0.091418915302507,-0.012447460413711576,0.0008886566245447807,0.955,0.1314,0.2836,1.0,STRUCTURAL_INVARIANT,5.0,0.26784986230901087
P0040,BREADTH,MID,B4,10D,1638,285,5,VALID_SAMPLE,-0.021833290093931704,-0.016064238645175817,-0.005769051448755887,0.011205673372695114,0.5500610500610501,0.47719298245614034,0.5543859649122806,-0.015981347491584634,0.012522134360247886,-1.2762478848907888,0.20253508157521322,-0.01648041026399929,0.0033731142925969787,0.8795,0.238,0.4272,1.0,STRUCTURAL_INVARIANT,5.0,0.46738864978895356
P0041,BREADTH,HIGH,B1,5D,4811,107,2,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,,,,,,,,
P0042,BREADTH,HIGH,B1,10D,4806,107,2,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,,,,,,,,
P0043,BREADTH,HIGH,B2,5D,1108,100,0,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,,,,,,,,
P0044,BREADTH,HIGH,B2,10D,1108,100,0,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,,,,,,,,
P0045,BREADTH,HIGH,B3,5D,221,70,0,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,,,,,,,,
P0046,BREADTH,HIGH,B3,10D,221,70,0,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,,,,,,,,
P0047,BREADTH,HIGH,B4,5D,43,30,0,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,,,,,,,,
P0048,BREADTH,HIGH,B4,10D,43,30,0,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,,,,,,,,
P0049,VOLATILITY,LOW,B1,5D,52804,156,29,VALID_SAMPLE,0.0005678068715379974,-0.0005549212477501823,0.0011227281192881797,0.0029232454184356035,0.4610256798727369,0.5384615384615384,0.5576923076923077,0.0014294629469746131,0.006362995846175298,0.22465250355834226,0.8223129161401613,-0.011562947584474187,0.011959121584924801,0.4265,0.8106,0.7754,0.8,STRUCTURAL_INVARIANT,6.0,0.8814683612720997
P0050,VOLATILITY,LOW,B1,10D,52784,156,29,VALID_SAMPLE,0.004688666493280096,-0.001027659277095657,0.005716325770375752,0.0045959585529653495,0.46790694149742346,0.5256410256410257,0.532051282051282,0.007278054001861914,0.009285447044611582,0.7838129889594735,0.4334058419854437,-0.01332100223797297,0.024605046748299775,0.2755,0.546,0.4168,1.0,STRUCTURAL_INVARIANT,6.0,0.6287141132016045
P0051,VOLATILITY,LOW,B2,5D,21248,156,13,VALID_SAMPLE,-0.0024030885650837774,-0.002610906515525874,0.00020781795044209645,-0.001138959623755233,0.4537368222891566,0.46794871794871795,0.48717948717948717,0.00026602190065568455,0.006611929620360262,0.04023362557225615,0.9679181646763726,-0.012195596569373126,0.010691801213790354,0.489,0.9748,0.9616,0.9,STRUCTURAL_INVARIANT,6.0,0.9843235572980061
