stop_pct,sample,stratum,n,mean_delta,trig_rate
-30.0,SECONDARY,10to20,18727,-0.9726214308470221,2.9422758583862874
-30.0,SECONDARY,gt20,5251,-3.07991118670212,6.551133117501429
-35.0,PRIMARY,lt-30,1,-1.7427723731542173,100.0
-35.0,PRIMARY,-30to-20,7,-0.1815633150545877,100.0
-35.0,PRIMARY,-20to-10,16,-2.8175894096499396,43.75
-35.0,PRIMARY,-10to0,48,0.0,0.0
-35.0,PRIMARY,0to5,75,-0.27484618246396375,1.3333333333333335
-35.0,PRIMARY,5to10,74,0.0,0.0
-35.0,PRIMARY,10to20,58,0.0,0.0
-35.0,PRIMARY,gt20,20,-2.944922264744799,5.0
-35.0,SECONDARY,lt-30,623,7.972002262119728,99.51845906902086
-35.0,SECONDARY,-30to-20,1228,-2.5269940576274563,82.89902280130293
-35.0,SECONDARY,-20to-10,3589,-4.424779515785814,40.791306770688216
-35.0,SECONDARY,-10to0,14455,-1.4552308655383066,7.762020062262192
-35.0,SECONDARY,0to5,22345,-0.46169901021375886,1.7498321772208547
-35.0,SECONDARY,5to10,22828,-0.4522794407025662,1.4543543017347118
-35.0,SECONDARY,10to20,18727,-0.6780017359050949,1.8422598387355156
-35.0,SECONDARY,gt20,5251,-2.218889694453558,4.322986097886117
-40.0,PRIMARY,lt-30,1,-2.804567262532366,100.0
-40.0,PRIMARY,-30to-20,7,-8.149856349855225,100.0
-40.0,PRIMARY,-20to-10,16,-2.5657521365615685,25.0
-40.0,PRIMARY,-10to0,48,0.0,0.0
-40.0,PRIMARY,0to5,75,0.0,0.0
-40.0,PRIMARY,5to10,74,0.0,0.0
-40.0,PRIMARY,10to20,58,0.0,0.0
-40.0,PRIMARY,gt20,20,0.0,0.0
-40.0,SECONDARY,lt-30,623,3.81710961353019,96.78972712680579
-40.0,SECONDARY,-30to-20,1228,-3.9575062727317625,58.876221498371336
-40.0,SECONDARY,-20to-10,3589,-3.5821022280119674,23.906380607411535
-40.0,SECONDARY,-10to0,14455,-0.9632937635813275,4.088550674507091
