hypothesis_id,family,regime_dimension,regime_variable,regime_formula,regime_bin,oversold_feature,oversold_bin,oversold_range,forward_horizon,outcome_type,benchmark,test,fdr_family
P0067,PRIMARY,VOLATILITY,rv20_pctile,"rv20=std(mkt_ret[T-19..T])乘以sqrt(245); pctile=mean(rv20[T-252..T-1]小于rv20[T]); min_periods=100否则WARMUP; LOW<=0.20; NORMAL 0.20-0.60; HIGH 0.60-0.90; EXTREME>0.90; 信息集=T日收盘含T, 仅用T前历史",HIGH,BB_zscore,B2,-2.5<z<=-2.0,5D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0068,PRIMARY,VOLATILITY,rv20_pctile,"rv20=std(mkt_ret[T-19..T])乘以sqrt(245); pctile=mean(rv20[T-252..T-1]小于rv20[T]); min_periods=100否则WARMUP; LOW<=0.20; NORMAL 0.20-0.60; HIGH 0.60-0.90; EXTREME>0.90; 信息集=T日收盘含T, 仅用T前历史",HIGH,BB_zscore,B2,-2.5<z<=-2.0,10D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0069,PRIMARY,VOLATILITY,rv20_pctile,"rv20=std(mkt_ret[T-19..T])乘以sqrt(245); pctile=mean(rv20[T-252..T-1]小于rv20[T]); min_periods=100否则WARMUP; LOW<=0.20; NORMAL 0.20-0.60; HIGH 0.60-0.90; EXTREME>0.90; 信息集=T日收盘含T, 仅用T前历史",HIGH,BB_zscore,B3,-3.0<z<=-2.5,5D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0070,PRIMARY,VOLATILITY,rv20_pctile,"rv20=std(mkt_ret[T-19..T])乘以sqrt(245); pctile=mean(rv20[T-252..T-1]小于rv20[T]); min_periods=100否则WARMUP; LOW<=0.20; NORMAL 0.20-0.60; HIGH 0.60-0.90; EXTREME>0.90; 信息集=T日收盘含T, 仅用T前历史",HIGH,BB_zscore,B3,-3.0<z<=-2.5,10D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0071,PRIMARY,VOLATILITY,rv20_pctile,"rv20=std(mkt_ret[T-19..T])乘以sqrt(245); pctile=mean(rv20[T-252..T-1]小于rv20[T]); min_periods=100否则WARMUP; LOW<=0.20; NORMAL 0.20-0.60; HIGH 0.60-0.90; EXTREME>0.90; 信息集=T日收盘含T, 仅用T前历史",HIGH,BB_zscore,B4,z<=-3.0,5D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0072,PRIMARY,VOLATILITY,rv20_pctile,"rv20=std(mkt_ret[T-19..T])乘以sqrt(245); pctile=mean(rv20[T-252..T-1]小于rv20[T]); min_periods=100否则WARMUP; LOW<=0.20; NORMAL 0.20-0.60; HIGH 0.60-0.90; EXTREME>0.90; 信息集=T日收盘含T, 仅用T前历史",HIGH,BB_zscore,B4,z<=-3.0,10D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0073,PRIMARY,VOLATILITY,rv20_pctile,"rv20=std(mkt_ret[T-19..T])乘以sqrt(245); pctile=mean(rv20[T-252..T-1]小于rv20[T]); min_periods=100否则WARMUP; LOW<=0.20; NORMAL 0.20-0.60; HIGH 0.60-0.90; EXTREME>0.90; 信息集=T日收盘含T, 仅用T前历史",EXTREME,BB_zscore,B1,-2.0<z<=-1.5,5D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0074,PRIMARY,VOLATILITY,rv20_pctile,"rv20=std(mkt_ret[T-19..T])乘以sqrt(245); pctile=mean(rv20[T-252..T-1]小于rv20[T]); min_periods=100否则WARMUP; LOW<=0.20; NORMAL 0.20-0.60; HIGH 0.60-0.90; EXTREME>0.90; 信息集=T日收盘含T, 仅用T前历史",EXTREME,BB_zscore,B1,-2.0<z<=-1.5,10D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0075,PRIMARY,VOLATILITY,rv20_pctile,"rv20=std(mkt_ret[T-19..T])乘以sqrt(245); pctile=mean(rv20[T-252..T-1]小于rv20[T]); min_periods=100否则WARMUP; LOW<=0.20; NORMAL 0.20-0.60; HIGH 0.60-0.90; EXTREME>0.90; 信息集=T日收盘含T, 仅用T前历史",EXTREME,BB_zscore,B2,-2.5<z<=-2.0,5D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0076,PRIMARY,VOLATILITY,rv20_pctile,"rv20=std(mkt_ret[T-19..T])乘以sqrt(245); pctile=mean(rv20[T-252..T-1]小于rv20[T]); min_periods=100否则WARMUP; LOW<=0.20; NORMAL 0.20-0.60; HIGH 0.60-0.90; EXTREME>0.90; 信息集=T日收盘含T, 仅用T前历史",EXTREME,BB_zscore,B2,-2.5<z<=-2.0,10D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0077,PRIMARY,VOLATILITY,rv20_pctile,"rv20=std(mkt_ret[T-19..T])乘以sqrt(245); pctile=mean(rv20[T-252..T-1]小于rv20[T]); min_periods=100否则WARMUP; LOW<=0.20; NORMAL 0.20-0.60; HIGH 0.60-0.90; EXTREME>0.90; 信息集=T日收盘含T, 仅用T前历史",EXTREME,BB_zscore,B3,-3.0<z<=-2.5,5D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0078,PRIMARY,VOLATILITY,rv20_pctile,"rv20=std(mkt_ret[T-19..T])乘以sqrt(245); pctile=mean(rv20[T-252..T-1]小于rv20[T]); min_periods=100否则WARMUP; LOW<=0.20; NORMAL 0.20-0.60; HIGH 0.60-0.90; EXTREME>0.90; 信息集=T日收盘含T, 仅用T前历史",EXTREME,BB_zscore,B3,-3.0<z<=-2.5,10D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0079,PRIMARY,VOLATILITY,rv20_pctile,"rv20=std(mkt_ret[T-19..T])乘以sqrt(245); pctile=mean(rv20[T-252..T-1]小于rv20[T]); min_periods=100否则WARMUP; LOW<=0.20; NORMAL 0.20-0.60; HIGH 0.60-0.90; EXTREME>0.90; 信息集=T日收盘含T, 仅用T前历史",EXTREME,BB_zscore,B4,z<=-3.0,5D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0080,PRIMARY,VOLATILITY,rv20_pctile,"rv20=std(mkt_ret[T-19..T])乘以sqrt(245); pctile=mean(rv20[T-252..T-1]小于rv20[T]); min_periods=100否则WARMUP; LOW<=0.20; NORMAL 0.20-0.60; HIGH 0.60-0.90; EXTREME>0.90; 信息集=T日收盘含T, 仅用T前历史",EXTREME,BB_zscore,B4,z<=-3.0,10D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0081,PRIMARY,LIQUIDITY,amt_ratio,"amt_ratio=market_amount[T]除以MA20(market_amount)[T]; market_amount=sum(amount,PIT eligible且非ST,千元); LOW<0.80; NORMAL 0.80-1.20; HIGH>1.20; 信息集=T日收盘含T",LOW,BB_zscore,B1,-2.0<z<=-1.5,5D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0082,PRIMARY,LIQUIDITY,amt_ratio,"amt_ratio=market_amount[T]除以MA20(market_amount)[T]; market_amount=sum(amount,PIT eligible且非ST,千元); LOW<0.80; NORMAL 0.80-1.20; HIGH>1.20; 信息集=T日收盘含T",LOW,BB_zscore,B1,-2.0<z<=-1.5,10D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0083,PRIMARY,LIQUIDITY,amt_ratio,"amt_ratio=market_amount[T]除以MA20(market_amount)[T]; market_amount=sum(amount,PIT eligible且非ST,千元); LOW<0.80; NORMAL 0.80-1.20; HIGH>1.20; 信息集=T日收盘含T",LOW,BB_zscore,B2,-2.5<z<=-2.0,5D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0084,PRIMARY,LIQUIDITY,amt_ratio,"amt_ratio=market_amount[T]除以MA20(market_amount)[T]; market_amount=sum(amount,PIT eligible且非ST,千元); LOW<0.80; NORMAL 0.80-1.20; HIGH>1.20; 信息集=T日收盘含T",LOW,BB_zscore,B2,-2.5<z<=-2.0,10D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0085,PRIMARY,LIQUIDITY,amt_ratio,"amt_ratio=market_amount[T]除以MA20(market_amount)[T]; market_amount=sum(amount,PIT eligible且非ST,千元); LOW<0.80; NORMAL 0.80-1.20; HIGH>1.20; 信息集=T日收盘含T",LOW,BB_zscore,B3,-3.0<z<=-2.5,5D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0086,PRIMARY,LIQUIDITY,amt_ratio,"amt_ratio=market_amount[T]除以MA20(market_amount)[T]; market_amount=sum(amount,PIT eligible且非ST,千元); LOW<0.80; NORMAL 0.80-1.20; HIGH>1.20; 信息集=T日收盘含T",LOW,BB_zscore,B3,-3.0<z<=-2.5,10D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0087,PRIMARY,LIQUIDITY,amt_ratio,"amt_ratio=market_amount[T]除以MA20(market_amount)[T]; market_amount=sum(amount,PIT eligible且非ST,千元); LOW<0.80; NORMAL 0.80-1.20; HIGH>1.20; 信息集=T日收盘含T",LOW,BB_zscore,B4,z<=-3.0,5D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0088,PRIMARY,LIQUIDITY,amt_ratio,"amt_ratio=market_amount[T]除以MA20(market_amount)[T]; market_amount=sum(amount,PIT eligible且非ST,千元); LOW<0.80; NORMAL 0.80-1.20; HIGH>1.20; 信息集=T日收盘含T",LOW,BB_zscore,B4,z<=-3.0,10D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0089,PRIMARY,LIQUIDITY,amt_ratio,"amt_ratio=market_amount[T]除以MA20(market_amount)[T]; market_amount=sum(amount,PIT eligible且非ST,千元); LOW<0.80; NORMAL 0.80-1.20; HIGH>1.20; 信息集=T日收盘含T",NORMAL,BB_zscore,B1,-2.0<z<=-1.5,5D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0090,PRIMARY,LIQUIDITY,amt_ratio,"amt_ratio=market_amount[T]除以MA20(market_amount)[T]; market_amount=sum(amount,PIT eligible且非ST,千元); LOW<0.80; NORMAL 0.80-1.20; HIGH>1.20; 信息集=T日收盘含T",NORMAL,BB_zscore,B1,-2.0<z<=-1.5,10D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0091,PRIMARY,LIQUIDITY,amt_ratio,"amt_ratio=market_amount[T]除以MA20(market_amount)[T]; market_amount=sum(amount,PIT eligible且非ST,千元); LOW<0.80; NORMAL 0.80-1.20; HIGH>1.20; 信息集=T日收盘含T",NORMAL,BB_zscore,B2,-2.5<z<=-2.0,5D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0092,PRIMARY,LIQUIDITY,amt_ratio,"amt_ratio=market_amount[T]除以MA20(market_amount)[T]; market_amount=sum(amount,PIT eligible且非ST,千元); LOW<0.80; NORMAL 0.80-1.20; HIGH>1.20; 信息集=T日收盘含T",NORMAL,BB_zscore,B2,-2.5<z<=-2.0,10D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0093,PRIMARY,LIQUIDITY,amt_ratio,"amt_ratio=market_amount[T]除以MA20(market_amount)[T]; market_amount=sum(amount,PIT eligible且非ST,千元); LOW<0.80; NORMAL 0.80-1.20; HIGH>1.20; 信息集=T日收盘含T",NORMAL,BB_zscore,B3,-3.0<z<=-2.5,5D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0094,PRIMARY,LIQUIDITY,amt_ratio,"amt_ratio=market_amount[T]除以MA20(market_amount)[T]; market_amount=sum(amount,PIT eligible且非ST,千元); LOW<0.80; NORMAL 0.80-1.20; HIGH>1.20; 信息集=T日收盘含T",NORMAL,BB_zscore,B3,-3.0<z<=-2.5,10D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0095,PRIMARY,LIQUIDITY,amt_ratio,"amt_ratio=market_amount[T]除以MA20(market_amount)[T]; market_amount=sum(amount,PIT eligible且非ST,千元); LOW<0.80; NORMAL 0.80-1.20; HIGH>1.20; 信息集=T日收盘含T",NORMAL,BB_zscore,B4,z<=-3.0,5D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0096,PRIMARY,LIQUIDITY,amt_ratio,"amt_ratio=market_amount[T]除以MA20(market_amount)[T]; market_amount=sum(amount,PIT eligible且非ST,千元); LOW<0.80; NORMAL 0.80-1.20; HIGH>1.20; 信息集=T日收盘含T",NORMAL,BB_zscore,B4,z<=-3.0,10D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0097,PRIMARY,LIQUIDITY,amt_ratio,"amt_ratio=market_amount[T]除以MA20(market_amount)[T]; market_amount=sum(amount,PIT eligible且非ST,千元); LOW<0.80; NORMAL 0.80-1.20; HIGH>1.20; 信息集=T日收盘含T",HIGH,BB_zscore,B1,-2.0<z<=-1.5,5D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0098,PRIMARY,LIQUIDITY,amt_ratio,"amt_ratio=market_amount[T]除以MA20(market_amount)[T]; market_amount=sum(amount,PIT eligible且非ST,千元); LOW<0.80; NORMAL 0.80-1.20; HIGH>1.20; 信息集=T日收盘含T",HIGH,BB_zscore,B1,-2.0<z<=-1.5,10D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0099,PRIMARY,LIQUIDITY,amt_ratio,"amt_ratio=market_amount[T]除以MA20(market_amount)[T]; market_amount=sum(amount,PIT eligible且非ST,千元); LOW<0.80; NORMAL 0.80-1.20; HIGH>1.20; 信息集=T日收盘含T",HIGH,BB_zscore,B2,-2.5<z<=-2.0,5D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0100,PRIMARY,LIQUIDITY,amt_ratio,"amt_ratio=market_amount[T]除以MA20(market_amount)[T]; market_amount=sum(amount,PIT eligible且非ST,千元); LOW<0.80; NORMAL 0.80-1.20; HIGH>1.20; 信息集=T日收盘含T",HIGH,BB_zscore,B2,-2.5<z<=-2.0,10D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0101,PRIMARY,LIQUIDITY,amt_ratio,"amt_ratio=market_amount[T]除以MA20(market_amount)[T]; market_amount=sum(amount,PIT eligible且非ST,千元); LOW<0.80; NORMAL 0.80-1.20; HIGH>1.20; 信息集=T日收盘含T",HIGH,BB_zscore,B3,-3.0<z<=-2.5,5D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0102,PRIMARY,LIQUIDITY,amt_ratio,"amt_ratio=market_amount[T]除以MA20(market_amount)[T]; market_amount=sum(amount,PIT eligible且非ST,千元); LOW<0.80; NORMAL 0.80-1.20; HIGH>1.20; 信息集=T日收盘含T",HIGH,BB_zscore,B3,-3.0<z<=-2.5,10D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0103,PRIMARY,LIQUIDITY,amt_ratio,"amt_ratio=market_amount[T]除以MA20(market_amount)[T]; market_amount=sum(amount,PIT eligible且非ST,千元); LOW<0.80; NORMAL 0.80-1.20; HIGH>1.20; 信息集=T日收盘含T",HIGH,BB_zscore,B4,z<=-3.0,5D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0104,PRIMARY,LIQUIDITY,amt_ratio,"amt_ratio=market_amount[T]除以MA20(market_amount)[T]; market_amount=sum(amount,PIT eligible且非ST,千元); LOW<0.80; NORMAL 0.80-1.20; HIGH>1.20; 信息集=T日收盘含T",HIGH,BB_zscore,B4,z<=-3.0,10D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
