ts_code,signal_date,entry_date,exit_date,exit_type,levels_used,hold_days,total_cost,proceeds,pnl,return_pct
300750.SZ,2021-12-20,2021-12-21,2022-06-02,TAKE_PROFIT_DYN,5,106,876863.6852975998,752060.44536138,-124803.23993621976,-14.232912370394569
601012.SH,2022-03-29,2022-03-30,2022-06-06,TAKE_PROFIT_DYN,4,42,790893.4768534799,690035.85993348,-100857.61691999983,-12.752364240157288
002415.SZ,2022-05-06,2022-05-09,2022-06-06,TAKE_PROFIT_DYN,3,19,596366.6310201599,617508.05226156,21141.421241400065,3.5450375895839463
600276.SH,2022-01-13,2022-01-14,2022-06-07,TAKE_PROFIT_DYN,5,91,992205.8634688199,698939.70293772,-293266.1605310999,-29.55698724716474
601318.SH,2022-03-15,2022-03-16,2022-06-09,TAKE_PROFIT_DYN,3,55,593106.5276135999,590814.48259152,-2292.045022079954,-0.3864474449981416
600036.SH,2022-03-07,2022-03-08,2022-06-15,TAKE_PROFIT_DYN,5,65,989435.3763293999,927639.9590724001,-61795.41725699976,-6.245523329299984
300122.SZ,2022-04-14,2022-04-15,2022-06-16,TAKE_PROFIT_DYN,5,40,970556.6141270999,906053.8269123,-64502.7872147999,-6.645958234266682
002241.SZ,2022-06-23,2022-06-24,2022-08-05,TAKE_PROFIT_DYN,1,30,199643.28576191995,205313.20100028,5669.915238360059,2.8400230023871615
002466.SZ,2022-08-19,2022-08-22,2022-08-24,TAKE_PROFIT_DYN,1,2,196104.83200307997,222354.62172107998,26249.789718000015,13.385590477234006
600036.SH,2022-07-13,2022-07-14,2022-08-31,TAKE_PROFIT_DYN,3,34,591232.16840688,581978.48599296,-9253.682413919945,-1.5651520516643562
601888.SH,2022-08-08,2022-08-09,2022-09-26,TAKE_PROFIT_DYN,2,33,387908.2499291999,415782.72883224,27874.478903040057,7.1858432781792185
000858.SZ,2022-07-29,2022-08-01,2022-09-27,TAKE_PROFIT_DYN,4,40,772269.0347572198,753214.8319992,-19054.20275801979,-2.4673011477159523
300274.SZ,2022-08-31,2022-09-01,2022-10-12,TAKE_PROFIT_DYN,2,23,385710.48365849996,436686.4059705,50975.92231200007,13.216110132265186
300760.SZ,2022-09-21,2022-09-22,2022-10-14,TAKE_PROFIT_DYN,2,11,361725.29413019994,456151.34021184006,94426.04608164012,26.10435256088347
603259.SH,2022-07-27,2022-07-28,2022-10-17,TAKE_PROFIT_DYN,5,51,971719.0772889599,908033.3455721398,-63685.73171682004,-6.553924195303395
601012.SH,2022-08-03,2022-08-04,2022-10-27,TAKE_PROFIT_DYN,3,54,595402.4173897799,586047.2748512401,-9355.142538539832,-1.5712301907594528
688599.SH,2022-08-19,2022-08-22,2022-10-27,TAKE_PROFIT_DYN,2,42,393935.83669439994,413242.47958428,19306.64288988005,4.900961296612725
002459.SZ,2022-08-19,2022-08-22,2022-10-27,TAKE_PROFIT_DYN,2,42,395027.21037779993,417255.394932,22228.184554200096,5.627000867343111
601899.SH,2022-09-26,2022-09-27,2022-10-28,TAKE_PROFIT_DYN,2,18,399857.2898720399,427512.17508479994,27654.88521276001,6.916188828671841
002460.SZ,2022-08-25,2022-08-26,2022-11-01,TAKE_PROFIT_DYN,5,41,986643.8627245199,1008608.65780392,21964.795079400064,2.226213115920718
002271.SZ,2022-08-23,2022-08-24,2022-11-02,TAKE_PROFIT_DYN,3,44,595984.1496008399,560432.26348326,-35551.88611758,-5.965240206705305
600703.SH,2022-09-20,2022-09-21,2022-11-03,TAKE_PROFIT_DYN,2,26,397418.21987867996,403127.37869040004,5709.158811720088,1.4365619204532005
002594.SZ,2022-07-12,2022-07-13,2022-11-04,TAKE_PROFIT_DYN,5,76,937827.41874822,916941.1795414201,-20886.239206799888,-2.227087712436274
002466.SZ,2022-09-01,2022-09-02,2022-11-04,TAKE_PROFIT_DYN,2,39,393120.8108427599,394762.31596656004,1641.5051238001324,0.41755742217796255
002050.SZ,2022-10-11,2022-10-12,2022-11-04,TAKE_PROFIT_DYN,1,17,198878.32292327998,216078.82919568,17200.50627240003,8.648758708124946
603799.SH,2022-09-29,2022-09-30,2022-11-07,TAKE_PROFIT_DYN,2,21,391738.0704236999,399195.28038474004,7457.20996104012,1.9036214562895246
600030.SH,2022-09-16,2022-09-19,2022-11-11,TAKE_PROFIT_DYN,2,34,398260.27975734,411368.721498,13108.441740660055,3.2914258355483077
600036.SH,2022-10-10,2022-10-11,2022-11-11,TAKE_PROFIT_DYN,3,23,594843.7141646999,623081.4349399201,28237.720775220194,4.74708231806275
601166.SH,2022-08-29,2022-08-30,2022-11-14,TAKE_PROFIT_DYN,4,48,796843.9665786598,820677.1072941001,23833.14071544027,2.990941980494697
601318.SH,2022-10-24,2022-10-25,2022-11-14,TAKE_PROFIT_DYN,3,14,592517.7865807199,660897.8241764399,68380.03759572003,11.54058817209945
000651.SZ,2022-10-31,2022-11-01,2022-11-14,TAKE_PROFIT_DYN,1,9,198625.00407749997,220645.49094269998,22020.486865200015,11.08646263720554
300059.SZ,2022-08-02,2022-08-03,2022-11-15,TAKE_PROFIT_DYN,5,68,994437.6725883599,1007513.1379004399,13075.465312079992,1.3148602142200303
000625.SZ,2022-08-24,2022-08-25,2022-11-30,TAKE_PROFIT_DYN,3,63,598708.5787682999,612567.23754204,13858.658773740055,2.31475867645841
000858.SZ,2022-10-24,2022-10-25,2022-11-30,TAKE_PROFIT_DYN,2,26,390125.04014483996,440897.87182895996,50772.83168412,13.014502136358589
600519.SH,2022-09-05,2022-09-06,2022-12-01,TAKE_PROFIT_DYN,5,56,879689.2417513198,828125.2458,-51563.99595131981,-5.861614932184937
000568.SZ,2022-10-10,2022-10-11,2022-12-01,TAKE_PROFIT_DYN,5,37,956913.44182434,1013317.9965511201,56404.55472678004,5.894426001503926
600887.SH,2022-10-20,2022-10-21,2022-12-01,TAKE_PROFIT_DYN,3,29,596091.28444866,636069.0329213401,39977.748472680105,6.706648715667189
002714.SZ,2022-10-26,2022-10-27,2022-12-06,TAKE_PROFIT_DYN,3,28,592937.31462966,623962.4404725,31025.12584284006,5.23244617556544
