ts_code,signal_date,threshold,anchor_i,entry_i,entry_adj,cur_mae,recover_close,recover_touch,t_close,t_touch,final_return,future_min,future_max,exit_i,exit_date,shares,total_cost,anchor_close_raw,sell_i,sell_price,oracle_exit_return,exit_delay,executable,natural_remaining_hold,capital_days_saved,final_profit,r01,r05,layer_count,anchor_close_return,o1c_delta,o1_delta,o2_delta,o3_delta,o1_oracle_return,o2_oracle_return,o3_oracle_return
300916.SZ,2023-08-03,0.2,966,870,95.56066562461852,-0.2007992090241354,False,False,,,-1.8463244860079653,-0.2007992090241354,-0.09263398472031559,970,2024-01-02,38800.0,994005.125,22.420000076293945,967,22.33,-12.9904096392823,1,True,4,3.0,False,-2.5266014391716607,0.0016233766233766,5.0,-12.639721337859566,-10.7933968518516,-11.144085153274334,-11.144085153274334,-11.144085153274334,-12.9904096392823,-12.9904096392823,-12.9904096392823
300596.SZ,2023-08-15,0.2,922,878,59.10724700604676,-0.2247857723434319,False,False,,,-15.242981880431614,-0.31704180127492265,-0.14228249545896454,970,2024-01-02,28100.0,993189.109375,29.639999389648438,923,29.43,-16.88107223139274,1,True,48,47.0,False,-7.105775316701246,0.0006114961271911,5.0,-16.28797253381747,-1.044990653385856,-1.638090350961125,-1.638090350961125,-1.638090350961125,-16.88107223139274,-16.88107223139274,-16.88107223139274
300596.SZ,2023-08-15,0.3,960,878,59.10724700604676,-0.301226471974415,False,False,,,-15.242981880431614,-0.31704180127492265,-0.1897284833604873,970,2024-01-02,28100.0,993189.109375,26.639999389648438,961,26.65,-24.732605333558155,1,True,10,9.0,False,0.3168027988808664,0.0030463038180341,5.0,-24.76084998219742,-9.517868101765806,-9.48962345312654,-9.48962345312654,-9.48962345312654,-24.732605333558155,-24.732605333558155,-24.732605333558155
601966.SH,2023-08-16,0.2,960,879,24.16641254562974,-0.2002594125080004,False,False,,,-7.734965027329396,-0.2128537828672903,-0.12379383146181477,970,2024-01-02,47300.0,994333.53125,17.829999923706055,961,17.83,-15.33270249324703,1,True,10,9.0,False,0.3168027988808664,0.0030463038180341,5.0,-15.33270285553543,-7.597737828206034,-7.597737465917634,-7.597737465917634,-7.597737465917634,-15.33270249324703,-15.33270249324703,-15.33270249324703
000425.SZ,2023-10-10,0.2,961,912,261.24813650238036,-0.2030441805078308,False,False,,,-4.8959906804909235,-0.21266536875450237,-0.09560746372638662,970,2024-01-02,172000.0,998366.625,5.03000020980835,962,5.05,-13.150950520205942,1,True,9,8.0,False,-0.1850618595588993,0.0030463038180341,5.0,-13.49490354356044,-8.598912863069517,-8.254959839715019,-8.254959839715019,-8.254959839715019,-13.150950520205942,-13.150950520205942,-13.150950520205942
002319.SZ,2023-10-23,0.2,967,921,31.678578756508823,-0.21141720850919765,False,False,,,1.0837498797712382,-0.21141720850919765,-0.08775604482439836,970,2024-01-02,56000.0,796391.375,12.319999694824219,968,12.31,-13.591825336681973,1,True,3,2.0,True,-1.3878237229832946,0.0038547372692229,4.0,-13.521633998180688,0.0,0.0,-14.675575216453211,-14.675575216453211,1.0837498797712382,-13.591825336681973,-13.591825336681973
601886.SH,2023-08-07,0.2,919,872,23.091408202686306,-0.20102144160395108,False,False,,,-8.93907510467023,-0.32659110158145055,-0.17768548521918204,971,2024-01-03,45700.0,399360.65625,7.230000019073486,920,7.3,-16.610939327201184,1,True,52,51.0,False,-7.180327486752802,0.0024469820554649,2.0,-17.410560239060896,-8.471485134390665,-7.671864222530953,-7.671864222530953,-7.671864222530953,-16.610939327201184,-16.610939327201184,-16.610939327201184
601886.SH,2023-08-07,0.3,963,872,23.091408202686306,-0.30547761471009516,False,False,,,-8.93907510467023,-0.32659110158145055,-0.22991359826618052,971,2024-01-03,133800.0,998864.234375,6.329999923706055,964,6.28,-16.02604787571784,1,True,8,7.0,False,1.313363581080318,0.000812347684809,5.0,-15.35746647452198,-6.418391369851749,-7.086972771047609,-7.086972771047609,-7.086972771047609,-16.02604787571784,-16.02604787571784,-16.02604787571784
601991.SH,2023-08-09,0.2,963,874,8.219491055872439,-0.20476104957867314,False,False,,,-4.339222225121872,-0.2081164851500752,-0.1342968225793364,971,2024-01-03,375600.0,999463.984375,2.4100000858306885,964,2.42,-9.21604485319001,1,True,8,7.0,False,1.313363581080318,0.000812347684809,5.0,-9.591181943858903,-5.251959718737031,-4.876822628068138,-4.876822628068138,-4.876822628068138,-9.21604485319001,-9.21604485319001,-9.21604485319001
601390.SH,2023-08-24,0.2,955,885,8.938189473588466,-0.20138857067800253,False,False,,,-7.348817408222458,-0.21170276557770118,-0.15276463949030317,971,2024-01-03,161200.0,998658.96875,5.570000171661377,956,5.55,-10.571465706711013,1,True,16,15.0,False,1.5185964902664884,0.0002031281738777,5.0,-10.249197952244126,-2.900380544021668,-3.222648298488555,-3.222648298488555,-3.222648298488555,-10.571465706711013,-10.571465706711013,-10.571465706711013
601336.SH,2023-09-12,0.2,951,898,46.98894291453362,-0.2119050171583029,False,False,,,-11.863551728720799,-0.24449247145765696,-0.16315421337219427,971,2024-01-03,27600.0,990316.46875,30.229999542236328,952,30.21,-15.953215059066439,1,True,20,19.0,False,-0.2565615164297985,0.0002032933523073,5.0,-15.897574634529734,-4.034022905808936,-4.0896633303456404,-4.0896633303456404,-4.0896633303456404,-15.953215059066439,-15.953215059066439,-15.953215059066439
601199.SH,2023-06-26,0.2,911,842,32.282849124526976,-0.2006359251322115,False,False,,,-17.392903610697637,-0.3091734027733358,-0.18303519448491923,972,2024-01-04,158000.0,998565.875,5.53000020980835,912,5.54,-12.496498837074714,1,True,61,60.0,False,-3.9132294136628,0.0022458146182115,5.0,-12.654444081237914,4.738459529459723,4.896404773622923,4.896404773622923,4.896404773622923,-12.496498837074714,-12.496498837074714,-12.496498837074714
601199.SH,2023-06-26,0.3,968,842,32.282849124526976,-0.3091734027733358,False,False,,,-17.392903610697637,-0.3091734027733358,-0.22997035964635093,972,2024-01-04,158000.0,998565.875,4.920000076293945,969,4.91,-22.44725799459148,1,True,4,3.0,False,0.0927871797012924,0.0016227180527383,5.0,-22.28930823148381,-4.896404620786171,-5.054354383893845,-5.054354383893845,-5.054354383893845,-22.44725799459148,-22.44725799459148,-22.44725799459148
600970.SH,2023-08-18,0.2,920,881,176.70184703420637,-0.22050687546324332,False,False,,,-12.681267487934807,-0.29260795950592666,-0.1732405769992461,972,2024-01-04,69100.0,797987.40625,9.800000190734863,921,9.86,-14.769659430604573,1,True,52,51.0,False,-9.11153253337622,0.0026508972267536,4.0,-15.288300827943967,-2.60703334000916,-2.088391942669766,-2.088391942669766,-2.088391942669766,-14.769659430604573,-14.769659430604573,-14.769659430604573
300856.SZ,2023-08-21,0.2,967,882,109.09398262774944,-0.21092988939152835,False,False,,,-1.2653357285033104,-0.21092988939152835,-0.04335104523969646,972,2024-01-04,11600.0,787269.921875,56.939998626708984,968,56.99,-16.17601838361353,1,True,5,4.0,False,-1.3878237229832946,0.0038547372692229,4.0,-16.24956311418979,-14.98422738568648,-14.910682655110222,-14.910682655110222,-14.910682655110222,-16.17601838361353,-16.17601838361353,-16.17601838361353
301238.SZ,2023-04-04,0.2,882,789,23.183159999999997,-0.21492365462481777,False,False,,,-12.424521198846023,-0.2933879956174482,-0.11868572591555282,973,2024-01-05,48100.0,996762.59375,18.510000228881836,883,18.51,-10.879483306547375,1,True,91,90.0,False,-1.8872655702333652,0.0006152584085315,5.0,-10.879482204544827,1.545038994301196,1.545037892298648,1.545037892298648,1.545037892298648,-10.879483306547375,-10.879483306547375,-10.879483306547375
601800.SH,2023-08-25,0.2,919,886,13.830617108535765,-0.20475564417235947,False,False,,,-8.076420633470601,-0.27696066875900915,-0.18002789667233476,973,2024-01-05,66000.0,598061.765625,8.069999694824219,920,8.09,-10.878658019980314,1,True,54,53.0,False,-7.180327486752802,0.0024469820554649,3.0,-11.098986083920446,-3.0225654504498447,-2.802237386509713,-2.802237386509713,-2.802237386509713,-10.878658019980314,-10.878658019980314,-10.878658019980314
601021.SH,2023-08-03,0.2,920,870,121.517719030838,-0.2058313765460894,False,False,,,-4.791232963340631,-0.2076888937812471,-0.06195901399039505,975,2024-01-09,18100.0,985686.640625,47.43000030517578,921,47.71,-12.545045148205864,1,True,55,54.0,False,-9.11153253337622,0.0026508972267536,5.0,-13.058299406629015,-8.267066443288384,-7.753812184865232,-7.753812184865232,-7.753812184865232,-12.545045148205864,-12.545045148205864,-12.545045148205864
002868.SZ,2023-07-17,0.2,902,857,47.278432086658476,-0.2083497830982437,False,False,,,-29.234519889186117,-0.4322538148752252,-0.18453639605435102,976,2024-01-10,17700.0,596088.28125,27.329999923706055,903,27.37,-18.871624698419627,1,True,74,73.0,False,-2.460017117820845,0.0018397383483237,3.0,-18.990190325078984,10.244329564107133,10.36289519076649,10.36289519076649,10.36289519076649,-18.871624698419627,-18.871624698419627,-18.871624698419627
002868.SZ,2023-07-17,0.3,919,857,47.278432086658476,-0.3169620943659923,False,False,,,-29.234519889186117,-0.4322538148752252,-0.2548149569206343,976,2024-01-10,32400.0,992701.5,23.93000030517578,920,23.93,-22.03416586634351,1,True,57,56.0,False,-7.180327486752802,0.0024469820554649,5.0,-22.034164872056657,7.200355017129461,7.200354022842607,7.200354022842607,7.200354022842607,-22.03416586634351,-22.03416586634351,-22.03416586634351
002665.SZ,2023-07-18,0.2,920,858,44.75671261859893,-0.2229992288802204,False,False,,,-14.534541377954296,-0.2846659719161092,-0.12433248413027964,976,2024-01-10,325300.0,999273.78125,2.5299999713897705,921,2.54,-17.459216651580707,1,True,56,55.0,False,-9.11153253337622,0.0026508972267536,5.0,-17.78418129527948,-3.249639917325185,-2.924675273626411,-2.924675273626411,-2.924675273626411,-17.459216651580707,-17.459216651580707,-17.459216651580707
600277.SH,2023-08-11,0.2,963,876,17.523906279335023,-0.20755508599071126,False,False,,,-3.3263965587054476,-0.20755508599071126,-0.10253229074463055,976,2024-01-10,286800.0,799595.4375,2.559999942779541,964,2.55,-8.697153187745641,1,True,13,12.0,False,1.313363581080318,0.000812347684809,4.0,-8.339104856870444,-5.012708298164997,-5.370756629040194,-5.370756629040194,-5.370756629040194,-8.697153187745641,-8.697153187745641,-8.697153187745641
002326.SZ,2023-08-14,0.2,959,877,81.96916717185974,-0.20065810434579157,False,False,,,-12.476860705011712,-0.27191454768224577,-0.15480003455327662,977,2024-01-11,73800.0,998282.515625,11.369999885559082,960,11.33,-16.388097420050908,1,True,18,17.0,False,1.8148046543128735,0.0008121827411167,5.0,-16.092910612056656,-3.6160499070449443,-3.9112367150391965,-3.9112367150391965,-3.9112367150391965,-16.388097420050908,-16.388097420050908,-16.388097420050908
688363.SH,2023-08-22,0.2,922,883,94.18458917258978,-0.20306234274633472,False,False,,,-21.01179206095972,-0.3380945034582967,-0.14325157043603642,977,2024-01-11,11400.0,979253.546875,74.44999694824219,923,74.04,-13.957819646262367,1,True,55,54.0,False,-7.105775316701246,0.0006114961271911,5.0,-13.481360551649527,7.530431509310194,7.053972414697354,7.053972414697354,7.053972414697354,-13.957819646262367,-13.957819646262367,-13.957819646262367
688363.SH,2023-08-22,0.3,958,883,94.18458917258978,-0.3011303855354883,False,False,,,-21.01179206095972,-0.3380945034582967,-0.25985556724639136,977,2024-01-11,11400.0,979253.546875,64.95999908447266,959,65.38,-24.021640308922677,1,True,19,18.0,False,1.4037088137385911,0.0020304568527918,5.0,-24.509725053959663,-3.4979329929999423,-3.0098482479629567,-3.0098482479629567,-3.0098482479629567,-24.021640308922677,-24.021640308922677,-24.021640308922677
300286.SZ,2023-07-13,0.2,877,855,252.8287642660045,-0.2089531983378956,False,False,,,-14.111342095289588,-0.3870823884816832,-0.1815908045005633,978,2024-01-12,17000.0,592231.421875,29.139999389648438,878,29.03,-16.857621693951923,1,True,101,100.0,False,-0.5110342447065763,0.0004108463434675,3.0,-16.54258170540268,-2.4312396101130904,-2.746279598662335,-2.746279598662335,-2.746279598662335,-16.857621693951923,-16.857621693951923,-16.857621693951923
300286.SZ,2023-07-13,0.3,915,855,252.8287642660045,-0.32004450270436946,False,False,,,-14.111342095289588,-0.3870823884816832,-0.2089531983378956,978,2024-01-12,24300.0,790749.296875,25.280000686645508,916,25.39,-22.11291343331048,1,True,63,62.0,False,-5.063301075111171,0.0012247397428046,4.0,-22.45035045739545,-8.339008362105863,-8.001571338020893,-8.001571338020893,-8.001571338020893,-22.11291343331048,-22.11291343331048,-22.11291343331048
601778.SH,2023-07-19,0.2,885,859,4.782077254846096,-0.21220428217163678,False,False,,,-8.997838173822839,-0.30513461974536515,-0.16785116422257262,978,2024-01-12,139300.0,599682.8125,3.740000009536743,886,3.9,-9.566483083888624,1,True,93,92.0,False,-5.3789429858859155,0.0073770491803278,3.0,-13.319970556470198,-4.322132382647359,-0.5686449100657853,-0.5686449100657853,-0.5686449100657853,-9.566483083888624,-9.566483083888624,-9.566483083888624
601778.SH,2023-07-19,0.3,967,859,4.782077254846096,-0.30513461974536515,False,False,,,-8.997838173822839,-0.30513461974536515,-0.2291006888740369,978,2024-01-12,249600.0,999357.859375,3.3299999237060547,968,3.33,-16.976109386223325,1,True,11,10.0,False,-1.3878237229832946,0.0038547372692229,5.0,-16.976111288391554,-7.978273114568715,-7.978271212400486,-7.978271212400486,-7.978271212400486,-16.976109386223325,-16.976109386223325,-16.976109386223325
003022.SZ,2023-07-24,0.2,917,862,31.18986801721692,-0.20668822196223724,False,False,,,-15.218278708730326,-0.2860620992746541,-0.1392631257553234,978,2024-01-12,45700.0,995991.625,18.59000015258789,918,18.52,-15.172475210658517,1,True,61,60.0,False,-6.64417338981057,0.0014282799428688,5.0,-14.851852117844977,0.36642659088534835,0.045803498071808946,0.045803498071808946,0.045803498071808946,-15.172475210658517,-15.172475210658517,-15.172475210658517
300068.SZ,2023-07-27,0.2,904,865,45.32803324974774,-0.20366167658060486,False,False,,,-11.787508856640791,-0.3319001871312671,-0.15328225002201057,978,2024-01-12,50600.0,798326.828125,13.979999542236328,905,13.98,-11.547061947877593,1,True,74,73.0,False,-4.527014287712916,0.0,4.0,-11.547064844196733,0.24044401244405833,0.2404469087631984,0.2404469087631984,0.2404469087631984,-11.547061947877593,-11.547061947877593,-11.547061947877593
300068.SZ,2023-07-27,0.3,960,865,45.32803324974774,-0.31587038696174086,False,False,,,-11.787508856640791,-0.3319001871312671,-0.21682899878483775,978,2024-01-12,65400.0,997637.703125,11.979999542236328,961,11.99,-21.537999562464165,1,True,18,17.0,False,0.3168027988808664,0.0030463038180341,5.0,-21.6034420913573,-9.81593323471651,-9.750490705823374,-9.750490705823374,-9.750490705823374,-21.537999562464165,-21.537999562464165,-21.537999562464165
002266.SZ,2023-08-08,0.2,960,873,48.320853127880085,-0.20221960845810993,False,False,,,-12.803994898954219,-0.22589259533676886,-0.16671007169926888,978,2024-01-12,248600.0,998957.390625,3.4000000953674316,961,3.39,-15.78505736599069,1,True,18,17.0,False,0.3168027988808664,0.0030463038180341,5.0,-15.53663333716979,-2.73263843821557,-2.9810624670364714,-2.9810624670364714,-2.9810624670364714,-15.78505736599069,-15.78505736599069,-15.78505736599069
600301.SH,2023-08-11,0.2,934,876,29.01150347675681,-0.20043440317866712,False,False,,,-17.28612116855694,-0.3074484649055902,-0.16334424985350404,978,2024-01-12,64300.0,996398.140625,13.220000267028809,935,13.26,-14.58052703954182,1,True,44,43.0,False,-1.1291227463062992,0.002647118713093,5.0,-14.838200954244545,2.4479202143123935,2.705594129015118,2.705594129015118,2.705594129015118,-14.58052703954182,-14.58052703954182,-14.58052703954182
600301.SH,2023-08-11,0.3,961,876,29.01150347675681,-0.3007601041685034,False,False,,,-17.28612116855694,-0.3074484649055902,-0.21259508542187355,978,2024-01-12,64300.0,996398.140625,11.640000343322754,962,11.66,-24.887552434468894,1,True,17,16.0,False,-0.1850618595588993,0.0030463038180341,5.0,-25.016388040257766,-7.730266871700827,-7.601431265911955,-7.601431265911955,-7.601431265911955,-24.887552434468894,-24.887552434468894,-24.887552434468894
002372.SZ,2023-08-21,0.2,917,882,182.34731535390853,-0.20793836408430066,False,False,,,-26.05063885472017,-0.3463803125539422,-0.18816094944620543,978,2024-01-12,50300.0,995411.921875,16.559999465942383,918,16.5,-16.769138428498902,1,True,61,60.0,False,-6.64417338981057,0.0014282799428688,5.0,-16.466483444001042,9.584155410719127,9.281500426221267,9.281500426221267,9.281500426221267,-16.769138428498902,-16.769138428498902,-16.769138428498902
