ts_code,stock_name,entry_date,exit_date,date,pstar_adj,adjT,pstar_raw,executable_threshold,daily_open,daily_high,daily_low,daily_close,limit_down_px,limit_up_px,high_ge_threshold,high_ge_threshold_exact,legal_exit_hit,gap_to_threshold,eod_bb_upper,eod_upper_touch
300274.SZ,阳光电源,2026-07-02,2026-08-11,2026-07-13,1737.31,9.8706,176.009,176.01,112.54,114.05,106.8,108.0,91.83,137.75,False,False,False,-61.96,172.568,False
300274.SZ,阳光电源,2026-07-02,2026-08-11,2026-07-14,1757.204,9.8706,178.024,178.03,108.0,109.26,100.73,108.29,86.4,129.6,False,False,False,-68.77,173.205,False
300274.SZ,阳光电源,2026-07-02,2026-08-11,2026-07-15,1761.259,9.8706,178.435,178.44,110.09,111.15,107.65,108.95,86.63,129.95,False,False,False,-67.29,172.655,False
300274.SZ,阳光电源,2026-07-02,2026-08-11,2026-07-16,1761.045,9.8706,178.413,178.42,108.17,112.0,104.53,105.84,87.16,130.74,False,False,False,-66.42,172.29,False
300274.SZ,阳光电源,2026-07-02,2026-08-11,2026-07-17,1761.179,9.8706,178.427,178.43,106.07,106.24,100.2,101.61,84.67,127.01,False,False,False,-72.19,172.055,False
300274.SZ,阳光电源,2026-07-02,2026-08-11,2026-07-20,1724.891,9.8706,174.75,174.76,102.0,105.49,99.77,101.77,81.29,121.93,False,False,False,-69.27,168.129,False
300274.SZ,阳光电源,2026-07-02,2026-08-11,2026-07-21,1704.313,9.8706,172.666,172.67,102.88,104.88,101.16,104.08,81.42,122.12,False,False,False,-67.79,165.539,False
300274.SZ,阳光电源,2026-07-02,2026-08-11,2026-07-22,1666.131,9.8706,168.797,168.8,106.36,113.77,105.6,109.95,83.26,124.9,False,False,False,-55.03,161.48,False
300274.SZ,阳光电源,2026-07-02,2026-08-11,2026-07-23,1620.885,9.8706,164.213,164.22,109.78,118.27,108.5,117.79,87.96,131.94,False,False,False,-45.95,157.265,False
300274.SZ,阳光电源,2026-07-02,2026-08-11,2026-07-24,1571.924,9.8706,159.253,159.26,116.13,120.45,113.13,113.42,94.23,141.35,False,False,False,-38.81,152.792,False
300274.SZ,阳光电源,2026-07-02,2026-08-11,2026-07-27,1497.765,9.8706,151.74,151.75,114.43,116.69,112.01,116.21,90.74,136.1,False,False,False,-35.06,146.245,False
300274.SZ,阳光电源,2026-07-02,2026-08-11,2026-07-28,1386.04,9.8706,140.421,140.43,115.72,115.77,110.24,112.08,92.97,139.45,False,False,False,-24.66,136.362,False
300274.SZ,阳光电源,2026-07-02,2026-08-11,2026-07-29,1344.01,9.8706,136.163,136.17,109.3,110.0,100.71,106.55,89.66,134.5,False,False,False,-26.17,132.667,False
300274.SZ,阳光电源,2026-07-02,2026-08-11,2026-07-30,1324.02,9.8706,134.138,134.14,104.74,106.7,102.11,103.71,85.24,127.86,False,False,False,-27.44,130.896,False
300274.SZ,阳光电源,2026-07-02,2026-08-11,2026-07-31,1306.239,9.8706,132.336,132.34,107.0,107.7,103.02,103.37,82.97,124.45,False,False,False,-24.64,129.16,False
300274.SZ,阳光电源,2026-07-02,2026-08-11,2026-08-03,1278.193,9.8706,129.495,129.5,102.8,106.78,101.41,103.74,82.7,124.04,False,False,False,-22.72,126.515,False
300274.SZ,阳光电源,2026-07-02,2026-08-11,2026-08-04,1245.128,9.8706,126.145,126.15,105.0,107.28,104.76,106.34,82.99,124.49,False,False,False,-18.87,123.436,False
300274.SZ,阳光电源,2026-07-02,2026-08-11,2026-08-05,1214.558,9.8706,123.048,123.05,105.21,108.72,104.2,108.25,85.07,127.61,False,False,False,-14.33,120.738,False
300274.SZ,阳光电源,2026-07-02,2026-08-11,2026-08-06,1178.497,9.8706,119.395,119.4,107.0,109.0,104.76,106.7,86.6,129.9,False,False,False,-10.4,117.524,False
300274.SZ,阳光电源,2026-07-02,2026-08-11,2026-08-07,1168.138,9.8706,118.345,118.35,106.01,115.38,104.16,114.16,85.36,128.04,False,False,False,-2.97,117.402,False
300274.SZ,阳光电源,2026-07-02,2026-08-11,2026-08-10,1176.688,9.8706,119.211,119.22,113.0,116.77,112.18,113.71,91.33,136.99,False,False,False,-2.45,118.024,False
300274.SZ,阳光电源,2026-07-02,2026-08-11,2026-08-11,1183.473,9.8706,119.899,119.9,113.82,122.21,113.08,120.07,90.97,136.45,True,True,True,2.31,119.944,True
300418.SZ,昆仑万维,2023-06-27,2023-08-14,2023-06-28,274.45,4.042,67.899,67.9,43.0,43.43,40.0,40.82,34.48,51.72,False,False,False,-24.47,67.091,False
300418.SZ,昆仑万维,2023-06-27,2023-08-14,2023-06-29,280.195,4.042,69.321,69.33,40.98,41.44,40.5,40.5,32.66,48.98,False,False,False,-27.89,67.805,False
300418.SZ,昆仑万维,2023-06-27,2023-08-14,2023-06-30,283.682,4.042,70.183,70.19,40.03,40.98,39.38,40.28,32.4,48.6,False,False,False,-29.21,68.144,False
300418.SZ,昆仑万维,2023-06-27,2023-08-14,2023-07-03,285.585,4.042,70.654,70.66,40.51,41.12,39.48,40.71,32.22,48.34,False,False,False,-29.54,68.152,False
300418.SZ,昆仑万维,2023-06-27,2023-08-14,2023-07-04,285.478,4.042,70.628,70.63,40.51,41.45,40.3,41.08,32.57,48.85,False,False,False,-29.18,67.821,False
300418.SZ,昆仑万维,2023-06-27,2023-08-14,2023-07-05,282.897,4.042,69.989,69.99,40.8,41.57,40.09,40.09,32.86,49.3,False,False,False,-28.42,67.115,False
300418.SZ,昆仑万维,2023-06-27,2023-08-14,2023-07-06,281.559,4.042,69.658,69.66,40.0,42.09,39.9,40.79,32.07,48.11,False,False,False,-27.57,66.564,False
300418.SZ,昆仑万维,2023-06-27,2023-08-14,2023-07-07,279.023,4.042,69.031,69.04,40.48,40.84,38.6,39.38,32.63,48.95,False,False,False,-28.2,65.93,False
300418.SZ,昆仑万维,2023-06-27,2023-08-14,2023-07-10,278.06,4.042,68.793,68.8,39.43,39.87,38.28,38.36,31.5,47.26,False,False,False,-28.93,65.612,False
300418.SZ,昆仑万维,2023-06-27,2023-08-14,2023-07-11,276.218,4.042,68.337,68.34,38.4,39.2,38.01,38.67,30.69,46.03,False,False,False,-29.14,65.013,False
300418.SZ,昆仑万维,2023-06-27,2023-08-14,2023-07-12,274.184,4.042,67.834,67.84,38.6,38.78,37.25,37.26,30.94,46.4,False,False,False,-29.06,64.494,False
300418.SZ,昆仑万维,2023-06-27,2023-08-14,2023-07-13,270.821,4.042,67.002,67.01,37.88,38.03,36.55,37.58,29.81,44.71,False,False,False,-28.98,63.581,False
300418.SZ,昆仑万维,2023-06-27,2023-08-14,2023-07-14,265.854,4.042,65.773,65.78,37.85,39.93,37.7,39.1,30.06,45.1,False,False,False,-25.85,62.325,False
300418.SZ,昆仑万维,2023-06-27,2023-08-14,2023-07-17,259.596,4.042,64.225,64.23,39.1,40.38,38.56,39.18,31.28,46.92,False,False,False,-23.85,60.879,False
300418.SZ,昆仑万维,2023-06-27,2023-08-14,2023-07-18,244.172,4.042,60.409,60.41,38.99,40.95,38.42,39.3,31.34,47.02,False,False,False,-19.46,57.495,False
300418.SZ,昆仑万维,2023-06-27,2023-08-14,2023-07-19,223.986,4.042,55.415,55.42,39.8,40.3,38.21,38.53,31.44,47.16,False,False,False,-15.12,53.133,False
300418.SZ,昆仑万维,2023-06-27,2023-08-14,2023-07-20,190.979,4.042,47.249,47.25,38.08,38.53,36.79,36.95,30.82,46.24,False,False,False,-8.72,46.19,False
300418.SZ,昆仑万维,2023-06-27,2023-08-14,2023-07-21,177.712,4.042,43.966,43.97,37.5,39.29,37.2,38.43,29.56,44.34,False,False,False,-4.68,43.27,False
300418.SZ,昆仑万维,2023-06-27,2023-08-14,2023-07-24,173.894,4.042,43.022,43.03,37.78,39.31,37.71,38.27,30.74,46.12,False,False,False,-3.72,42.437,False
300418.SZ,昆仑万维,2023-06-27,2023-08-14,2023-07-25,170.464,4.042,42.173,42.18,38.81,40.55,37.68,38.97,30.62,45.92,False,False,False,-1.63,41.686,False
300418.SZ,昆仑万维,2023-06-27,2023-08-14,2023-07-26,169.512,4.042,41.938,41.94,38.98,39.0,36.97,37.2,31.18,46.76,False,False,False,-2.94,41.539,False
300418.SZ,昆仑万维,2023-06-27,2023-08-14,2023-07-27,169.078,4.042,41.83,41.84,36.63,37.5,36.33,36.4,29.76,44.64,False,False,False,-4.34,41.494,False
300418.SZ,昆仑万维,2023-06-27,2023-08-14,2023-07-28,169.061,4.042,41.826,41.83,36.29,36.6,35.7,35.81,29.12,43.68,False,False,False,-5.23,41.497,False
300418.SZ,昆仑万维,2023-06-27,2023-08-14,2023-07-31,168.697,4.042,41.736,41.74,35.43,37.8,35.28,37.05,28.65,42.97,False,False,False,-3.94,41.214,False
300418.SZ,昆仑万维,2023-06-27,2023-08-14,2023-08-01,166.775,4.042,41.26,41.27,36.85,36.95,35.72,36.64,29.64,44.46,False,False,False,-4.32,40.802,False
300418.SZ,昆仑万维,2023-06-27,2023-08-14,2023-08-02,165.792,4.042,41.017,41.02,36.0,36.48,35.88,36.22,29.31,43.97,False,False,False,-4.54,40.591,False
300418.SZ,昆仑万维,2023-06-27,2023-08-14,2023-08-03,163.774,4.042,40.518,40.52,35.88,36.59,35.66,35.89,28.98,43.46,False,False,False,-3.93,40.157,False
