ts_code,name,entry_date,exit_date,levels_used,pnl,return_pct,hold_days,exit_date_bad20,levels_used_bad20,pnl_bad20,return_pct_bad20,hold_days_bad20,exit_date_madd,levels_used_madd,pnl_madd,return_pct_madd,hold_days_madd,exit_date_mcombined,levels_used_mcombined,pnl_mcombined,return_pct_mcombined,hold_days_mcombined
600519.SH,贵州茅台,2021-08-23,2021-09-13,1.0,13729.513269780029,8.92,15.0,2021-09-13,1.0,13729.513269780029,8.92,15.0,2021-09-13,1.0,13729.513269780029,8.92,15.0,2021-09-13,1.0,13729.513269780029,8.92,15.0
000858.SZ,五粮液,2021-09-17,2021-09-27,2.0,36239.54992200009,9.26,4.0,2021-09-27,2.0,36239.54992200009,9.26,4.0,2021-09-27,2.0,36239.54992200009,9.26,4.0,2021-09-27,2.0,36239.54992200009,9.26,4.0
002466.SZ,天齐锂业,2021-09-23,2021-11-09,2.0,20545.878086640034,5.28,28.0,2021-11-09,2.0,20545.878086640034,5.28,28.0,2021-11-09,2.0,20545.878086640034,5.28,28.0,2021-11-09,2.0,20545.878086640034,5.28,28.0
601919.SH,中远海控,2021-09-29,2021-11-29,2.0,2471.317856280133,0.62,38.0,2021-11-29,2.0,2471.317856280133,0.62,38.0,2021-11-29,2.0,2471.317856280133,0.62,38.0,2021-11-29,2.0,2471.317856280133,0.62,38.0
600111.SH,北方稀土,2021-09-30,2021-10-25,1.0,40202.70692436001,20.46,12.0,2021-10-25,1.0,40202.70692436001,20.46,12.0,2021-10-25,1.0,40202.70692436001,20.46,12.0,2021-10-25,1.0,40202.70692436001,20.46,12.0
000651.SZ,格力电器,2021-10-28,2021-12-07,2.0,6244.073973000108,1.58,28.0,2021-12-07,2.0,6244.073973000108,1.58,28.0,2021-12-07,2.0,6244.073973000108,1.58,28.0,2021-12-07,2.0,6244.073973000108,1.58,28.0
600030.SH,中信证券,2021-11-17,2021-12-06,1.0,12634.460350380017,6.36,13.0,2021-12-06,1.0,12634.460350380017,6.36,13.0,2021-12-06,1.0,12634.460350380017,6.36,13.0,2021-12-06,1.0,12634.460350380017,6.36,13.0
601012.SH,隆基绿能,2021-12-02,2022-02-28,4.0,12595.416575400275,1.66,56.0,2022-02-28,4.0,12595.416575400275,1.66,56.0,2022-02-28,4.0,12595.416575400275,1.66,56.0,2022-02-28,4.0,12595.416575400275,1.66,56.0
002594.SZ,比亚迪,2021-12-17,2022-03-01,3.0,-21781.08946331998,-3.75,46.0,2022-03-01,3.0,-21781.08946331998,-3.75,46.0,2022-03-01,3.0,-21781.08946331998,-3.75,46.0,2022-03-01,3.0,-21781.08946331998,-3.75,46.0
300750.SZ,宁德时代,2021-12-21,2022-01-28,2.0,6548.417583120114,1.85,27.0,2022-01-28,2.0,6548.417583120114,1.85,27.0,2022-01-28,2.0,6548.417583120114,1.85,27.0,2022-01-28,2.0,6548.417583120114,1.85,27.0
000858.SZ,五粮液,2022-02-07,2022-04-14,5.0,-55624.53614507988,-6.14,46.0,2022-04-14,5.0,-55624.53614507988,-6.14,46.0,2022-04-14,5.0,-55624.53614507988,-6.14,46.0,2022-04-14,5.0,-55624.53614507988,-6.14,46.0
300014.SZ,亿纬锂能,2022-03-04,2022-06-01,5.0,156271.15207248018,22.75,58.0,2022-06-01,5.0,210584.44086738024,26.51,58.0,2022-06-01,4.0,110533.64571888011,18.53,58.0,2022-06-01,5.0,156271.15207248018,22.75,58.0
000002.SZ,万科A,2022-03-07,2022-03-31,3.0,25781.92911463004,6.4,18.0,2022-03-31,3.0,25781.92911463004,6.4,18.0,2022-03-31,3.0,25781.92911463004,6.4,18.0,2022-03-31,3.0,25781.92911463004,6.4,18.0
601012.SH,隆基绿能,2022-04-01,2022-05-19,2.0,32134.94694360008,8.07,29.0,2022-05-19,3.0,62211.39974424022,12.73,29.0,2022-05-19,3.0,62211.39974424022,12.73,29.0,2022-05-19,3.0,97927.18744500028,16.42,29.0
300122.SZ,智飞生物,2022-04-15,2022-06-15,4.0,-77538.79308365984,-10.03,39.0,,,,,,2022-06-15,4.0,-77538.79308365984,-10.03,39.0,,,,,
300274.SZ,阳光电源,2022-04-15,,,,,,2022-05-20,2.0,43517.88609480002,11.24,22.0,,,,,,2022-05-20,2.0,43517.88609480002,11.24,22.0
002241.SZ,歌尔股份,2022-06-24,2022-08-01,1.0,3628.53662040006,1.82,26.0,,,,,,2022-08-01,1.0,3628.53662040006,1.82,26.0,,,,,
002594.SZ,比亚迪,2022-07-13,2022-10-18,5.0,-19150.340666219894,-2.04,63.0,,,,,,2022-10-18,5.0,-19150.340666219894,-2.04,63.0,,,,,
