date,equity
2022-06-02,1987008.1876087592
2022-06-06,1987008.1876087592
2022-06-07,1987008.1876087592
2022-06-08,1987008.1876087592
2022-06-09,1987008.1876087592
2022-06-10,1987008.1876087592
2022-06-13,1987008.1876087592
2022-06-14,1987008.1876087592
2022-06-15,1987008.1876087592
2022-06-16,1987008.1876087592
2022-06-17,1987008.1876087592
2022-06-20,1987008.1876087592
2022-06-21,1987008.1876087592
2022-06-22,1987008.1876087592
2022-06-23,1987008.1876087592
2022-06-24,1987008.1876087592
2022-06-27,1987008.1876087592
2022-06-28,1987008.1876087592
2022-06-29,1987008.1876087592
2022-06-30,1987008.1876087592
2022-07-01,1987008.1876087592
2022-07-04,1987008.1876087592
2022-07-05,1987008.1876087592
2022-07-06,1987008.1876087592
2022-07-07,1987008.1876087592
2022-07-08,1987008.1876087592
2022-07-11,1987008.1876087592
2022-07-12,1987008.1876087592
2022-07-13,1987008.1876087592
2022-07-14,1991323.3309785393
2022-07-15,1999970.9309785394
2022-07-18,2005784.8614001395
2022-07-19,2003056.8614001395
2022-07-20,2004942.8614001395
2022-07-21,1996371.8614001395
2022-07-22,2000860.8614001395
2022-07-25,1999692.8614001395
2022-07-26,2006154.8614001395
2022-07-27,2003582.8614001395
2022-07-28,1999834.9840929396
2022-07-29,1983536.9840929396
2022-08-01,1984345.7966965395
2022-08-02,1968731.7966965395
2022-08-03,1959242.7966965395
2022-08-04,1981519.9703483195
2022-08-05,1992443.9703483195
2022-08-08,1977283.9703483195
2022-08-09,1969662.9703483195
2022-08-10,1944620.9703483195
2022-08-11,1984645.4806852397
2022-08-12,1982048.4806852397
2022-08-15,1974125.4806852397
2022-08-16,1967374.4806852397
2022-08-17,1987584.4806852397
2022-08-18,1971865.4806852397
2022-08-19,1964511.4806852397
2022-08-22,1968408.4806852397
2022-08-23,1948999.4806852397
2022-08-24,1924974.4806852397
2022-08-25,1944043.5220749597
2022-08-26,1957261.5220749597
2022-08-29,1941100.5220749597
2022-08-30,1939057.5220749597
2022-08-31,1930887.0804205597
2022-09-01,1918319.6585505598
2022-09-02,1895720.8896382898
2022-09-05,1854251.7826802898
2022-09-06,1861234.98040416
2022-09-07,1892495.98040416
2022-09-08,1862564.2804041598
2022-09-09,1886859.0804041598
2022-09-13,1835208.38040416
2022-09-14,1790248.88040416
2022-09-15,1770454.5048951597
2022-09-16,1724731.6048951598
2022-09-19,1735899.9048951599
2022-09-20,1754477.20489516
2022-09-21,1718771.9048951599
2022-09-22,1692663.1048951598
2022-09-23,1679658.8048951598
2022-09-26,1712082.0048951597
2022-09-27,1735229.5048951597
2022-09-28,1692194.88169516
2022-09-29,1710568.08169516
2022-09-30,1660291.7816951599
2022-10-10,1626382.5523863898
2022-10-11,1648790.15238639
2022-10-12,1681739.5523863898
2022-10-13,1710203.5523863898
2022-10-14,1802606.1175017697
2022-10-17,1788741.3175017699
2022-10-18,1837235.5086597695
2022-10-19,1840990.1700701695
2022-10-20,1846545.3257181696
2022-10-21,1838417.3783523696
2022-10-24,1796011.4165893698
2022-10-25,1795156.98453811
2022-10-26,1783635.1841903897
2022-10-27,1721029.1087019898
2022-10-28,1672094.136041005
2022-10-31,1651068.636041005
2022-11-01,1768087.557110135
2022-11-02,1809046.357110135
2022-11-03,1774256.857110135
2022-11-04,1867865.557110135
2022-11-07,1861016.457110135
2022-11-08,1830452.757110135
2022-11-09,1804867.257110135
2022-11-10,1827453.357110135
2022-11-11,1898329.957110135
2022-11-14,1884716.457110135
2022-11-15,1931364.657110135
2022-11-16,1931491.657110135
2022-11-17,1912914.557110135
2022-11-18,1920088.657110135
2022-11-21,1865691.657110135
2022-11-22,1870985.357110135
2022-11-23,1865968.157110135
2022-11-24,1843294.157110135
2022-11-25,1843254.757110135
2022-11-28,1838801.1571101353
2022-11-29,1929737.916767235
2022-11-30,1924302.0167672348
2022-12-01,1979645.750865415
2022-12-02,1979535.250865415
2022-12-05,1979071.1508654149
2022-12-06,1978607.050865415
2022-12-07,1981816.984040015
2022-12-08,1983821.6840400149
2022-12-09,1983244.6840400149
2022-12-12,1979429.5840400148
2022-12-13,1971872.5840400148
2022-12-14,1962601.864090955
2022-12-15,1969632.664090955
2022-12-16,1960137.7640909548
2022-12-19,1957206.364090955
2022-12-20,1956178.464090955
2022-12-21,1950163.964090955
2022-12-22,1945593.464090955
2022-12-23,1936685.718076155
2022-12-26,1981624.118076155
2022-12-27,2005967.5180761549
