ts_code,category,years_with_data,min_rows_per_year
002176.SZ,suspended_or_missing_days,5,237
002177.SZ,suspended_or_missing_days,5,241
002180.SZ,suspended_or_missing_days,5,237
002182.SZ,suspended_or_missing_days,5,240
002184.SZ,suspended_or_missing_days,5,235
002186.SZ,suspended_or_missing_days,5,237
002187.SZ,suspended_or_missing_days,5,238
002188.SZ,suspended_or_missing_days,5,241
002190.SZ,other_incomplete,5,242
002192.SZ,other_incomplete,5,242
002196.SZ,suspended_or_missing_days,5,237
002197.SZ,suspended_or_missing_days,5,241
002198.SZ,suspended_or_missing_days,5,234
002200.SZ,other_incomplete,5,242
002207.SZ,suspended_or_missing_days,5,240
002208.SZ,suspended_or_missing_days,5,232
002210.SZ,other_incomplete,5,242
002211.SZ,suspended_or_missing_days,5,241
002217.SZ,suspended_or_missing_days,5,237
002219.SZ,suspended_or_missing_days,5,240
002220.SZ,mid_year_IPO_or_delisted,1,128
002226.SZ,suspended_or_missing_days,5,233
002239.SZ,suspended_or_missing_days,5,239
002245.SZ,suspended_or_missing_days,5,239
002247.SZ,other_incomplete,5,242
002251.SZ,suspended_or_missing_days,5,236
002252.SZ,suspended_or_missing_days,5,235
002254.SZ,suspended_or_missing_days,5,231
002255.SZ,other_incomplete,5,242
002256.SZ,other_incomplete,5,242
002259.SZ,other_incomplete,5,242
002263.SZ,suspended_or_missing_days,5,240
002265.SZ,suspended_or_missing_days,5,233
002266.SZ,other_incomplete,5,242
002270.SZ,suspended_or_missing_days,5,233
002277.SZ,suspended_or_missing_days,5,232
002280.SZ,suspended_or_missing_days,5,114
002282.SZ,suspended_or_missing_days,5,238
002285.SZ,suspended_or_missing_days,5,238
002288.SZ,suspended_or_missing_days,5,114
002289.SZ,suspended_or_missing_days,5,231
002290.SZ,other_incomplete,5,242
002305.SZ,suspended_or_missing_days,5,233
002306.SZ,other_incomplete,5,242
002307.SZ,other_incomplete,5,242
002308.SZ,suspended_or_missing_days,5,111
002309.SZ,suspended_or_missing_days,5,204
002310.SZ,suspended_or_missing_days,5,240
002312.SZ,suspended_or_missing_days,5,233
002313.SZ,suspended_or_missing_days,5,241
002316.SZ,suspended_or_missing_days,5,241
002319.SZ,suspended_or_missing_days,5,224
002321.SZ,suspended_or_missing_days,5,241
002323.SZ,suspended_or_missing_days,5,239
002324.SZ,other_incomplete,5,242
002325.SZ,suspended_or_missing_days,5,116
002333.SZ,suspended_or_missing_days,5,241
002336.SZ,suspended_or_missing_days,5,238
002338.SZ,suspended_or_missing_days,5,233
002341.SZ,suspended_or_missing_days,5,118
002342.SZ,suspended_or_missing_days,5,235
002348.SZ,suspended_or_missing_days,5,240
002350.SZ,other_incomplete,5,242
002352.SZ,suspended_or_missing_days,5,240
002354.SZ,other_incomplete,5,242
002355.SZ,suspended_or_missing_days,5,233
002356.SZ,suspended_or_missing_days,5,237
002358.SZ,suspended_or_missing_days,5,241
002359.SZ,mid_year_IPO_or_delisted,2,30
002366.SZ,suspended_or_missing_days,5,240
002369.SZ,suspended_or_missing_days,5,238
002377.SZ,suspended_or_missing_days,5,241
002379.SZ,suspended_or_missing_days,5,235
002387.SZ,suspended_or_missing_days,5,232
002388.SZ,suspended_or_missing_days,5,237
002390.SZ,suspended_or_missing_days,5,238
002408.SZ,suspended_or_missing_days,5,237
002411.SZ,mid_year_IPO_or_delisted,4,93
002417.SZ,mid_year_IPO_or_delisted,4,92
002418.SZ,other_incomplete,5,242
002420.SZ,other_incomplete,5,242
002424.SZ,suspended_or_missing_days,5,241
002425.SZ,suspended_or_missing_days,5,241
002426.SZ,other_incomplete,5,242
002427.SZ,suspended_or_missing_days,5,240
002429.SZ,suspended_or_missing_days,5,237
002433.SZ,suspended_or_missing_days,5,92
002435.SZ,suspended_or_missing_days,5,117
002439.SZ,suspended_or_missing_days,5,237
002445.SZ,suspended_or_missing_days,5,241
002447.SZ,mid_year_IPO_or_delisted,3,92
002453.SZ,other_incomplete,5,242
002464.SZ,mid_year_IPO_or_delisted,3,91
002469.SZ,suspended_or_missing_days,5,233
002470.SZ,suspended_or_missing_days,5,241
002473.SZ,mid_year_IPO_or_delisted,3,92
002482.SZ,suspended_or_missing_days,5,240
002483.SZ,suspended_or_missing_days,5,238
002485.SZ,suspended_or_missing_days,5,241
002490.SZ,suspended_or_missing_days,5,241
002494.SZ,suspended_or_missing_days,5,240
002496.SZ,suspended_or_missing_days,5,241
002499.SZ,mid_year_IPO_or_delisted,4,33
002500.SZ,suspended_or_missing_days,5,237
002501.SZ,suspended_or_missing_days,5,241
002502.SZ,suspended_or_missing_days,5,129
002503.SZ,mid_year_IPO_or_delisted,4,89
002504.SZ,mid_year_IPO_or_delisted,4,105
002505.SZ,suspended_or_missing_days,5,119
002509.SZ,mid_year_IPO_or_delisted,1,113
002510.SZ,suspended_or_missing_days,5,240
002512.SZ,suspended_or_missing_days,5,238
002513.SZ,suspended_or_missing_days,5,238
002515.SZ,suspended_or_missing_days,5,239
002528.SZ,suspended_or_missing_days,5,241
002529.SZ,other_incomplete,5,242
002530.SZ,suspended_or_missing_days,5,238
002531.SZ,suspended_or_missing_days,5,238
002532.SZ,other_incomplete,5,242
002535.SZ,suspended_or_missing_days,5,241
002552.SZ,suspended_or_missing_days,5,234
002554.SZ,suspended_or_missing_days,5,232
002559.SZ,suspended_or_missing_days,5,238
002564.SZ,suspended_or_missing_days,5,203
002569.SZ,suspended_or_missing_days,5,232
002575.SZ,suspended_or_missing_days,5,240
002580.SZ,suspended_or_missing_days,5,241
002586.SZ,suspended_or_missing_days,5,241
002592.SZ,other_incomplete,5,242
002602.SZ,suspended_or_missing_days,5,241
002610.SZ,suspended_or_missing_days,5,108
002618.SZ,mid_year_IPO_or_delisted,3,92
002619.SZ,mid_year_IPO_or_delisted,3,58
002621.SZ,suspended_or_missing_days,5,105
002623.SZ,suspended_or_missing_days,5,234
002627.SZ,suspended_or_missing_days,5,232
002629.SZ,other_incomplete,5,242
002633.SZ,suspended_or_missing_days,5,237
002634.SZ,suspended_or_missing_days,5,233
002638.SZ,suspended_or_missing_days,5,237
002640.SZ,suspended_or_missing_days,5,241
002642.SZ,suspended_or_missing_days,5,238
002644.SZ,suspended_or_missing_days,5,234
002645.SZ,other_incomplete,5,242
002647.SZ,suspended_or_missing_days,5,238
002650.SZ,suspended_or_missing_days,5,241
002655.SZ,suspended_or_missing_days,5,239
002656.SZ,suspended_or_missing_days,5,203
002665.SZ,suspended_or_missing_days,5,115
002668.SZ,suspended_or_missing_days,5,238
002670.SZ,suspended_or_missing_days,5,212
002681.SZ,other_incomplete,5,242
002682.SZ,suspended_or_missing_days,5,240
002683.SZ,suspended_or_missing_days,5,233
002684.SZ,mid_year_IPO_or_delisted,3,92
002685.SZ,suspended_or_missing_days,5,238
002691.SZ,suspended_or_missing_days,5,234
002692.SZ,suspended_or_missing_days,5,241
002693.SZ,suspended_or_missing_days,5,232
002697.SZ,suspended_or_missing_days,5,237
002699.SZ,suspended_or_missing_days,5,75
002700.SZ,other_incomplete,5,242
002703.SZ,suspended_or_missing_days,5,237
002707.SZ,suspended_or_missing_days,5,233
002711.SZ,mid_year_IPO_or_delisted,2,30
002715.SZ,suspended_or_missing_days,5,232
002716.SZ,suspended_or_missing_days,5,232
002717.SZ,suspended_or_missing_days,5,238
002719.SZ,other_incomplete,5,242
002721.SZ,suspended_or_missing_days,5,240
002722.SZ,suspended_or_missing_days,5,241
002724.SZ,other_incomplete,5,242
002729.SZ,suspended_or_missing_days,5,232
002731.SZ,suspended_or_missing_days,5,238
002735.SZ,suspended_or_missing_days,5,234
002736.SZ,suspended_or_missing_days,5,232
002739.SZ,suspended_or_missing_days,5,237
002740.SZ,suspended_or_missing_days,5,14
002742.SZ,suspended_or_missing_days,5,241
002743.SZ,suspended_or_missing_days,5,232
002748.SZ,suspended_or_missing_days,5,238
002750.SZ,suspended_or_missing_days,5,241
002751.SZ,mid_year_IPO_or_delisted,4,93
002755.SZ,suspended_or_missing_days,5,234
002758.SZ,other_incomplete,5,242
002761.SZ,suspended_or_missing_days,5,232
002762.SZ,suspended_or_missing_days,5,238
002766.SZ,suspended_or_missing_days,5,241
002770.SZ,mid_year_IPO_or_delisted,3,92
002775.SZ,suspended_or_missing_days,5,238
002776.SZ,mid_year_IPO_or_delisted,4,201
002781.SZ,mid_year_IPO_or_delisted,4,93
002786.SZ,suspended_or_missing_days,5,240
002788.SZ,suspended_or_missing_days,5,237
002795.SZ,suspended_or_missing_days,5,240
002800.SZ,suspended_or_missing_days,5,239
002808.SZ,suspended_or_missing_days,5,241
002812.SZ,suspended_or_missing_days,5,238
002813.SZ,suspended_or_missing_days,5,232
002816.SZ,suspended_or_missing_days,5,233
002819.SZ,suspended_or_missing_days,5,226
002822.SZ,suspended_or_missing_days,5,241
002825.SZ,suspended_or_missing_days,5,234
002838.SZ,suspended_or_missing_days,5,232
002848.SZ,suspended_or_missing_days,5,239
002857.SZ,suspended_or_missing_days,5,241
002872.SZ,other_incomplete,5,242
