total_return_pct,cagr_pct,sharpe,maxdd_pct,n_trades,win_rate_pct,profit_factor,payoff_ratio,avg_holding_days,avg_exposure_pct,sim_id,seed
12.855,1.837,0.2307,-54.591,113,65.49,1.0607,0.559,31.2,66.26,141,183
148.757,14.7,0.6761,-34.505,112,78.57,2.0574,0.5611,31.8,57.9,142,184
25.526,3.481,0.2686,-34.83,114,65.79,1.1427,0.5942,31.4,67.27,143,185
9.62,1.392,0.1814,-38.724,106,64.15,0.9885,0.5524,33.0,67.9,144,186
194.421,17.646,0.8704,-40.621,112,80.36,2.4743,0.6048,31.1,55.01,145,187
-35.969,-6.489,-0.1555,-52.934,63,68.25,0.7992,0.3717,33.1,72.09,146,188
170.665,16.166,0.821,-32.977,134,79.85,1.811,0.457,24.8,44.82,147,189
2.813,0.418,0.1709,-59.222,111,71.17,0.9183,0.372,31.0,67.19,148,190
-22.083,-3.686,-0.0219,-58.434,108,63.89,0.7021,0.3969,32.5,67.25,149,191
184.288,17.028,0.8779,-28.949,122,78.69,2.229,0.6037,29.3,47.93,150,192
76.095,8.889,0.5553,-29.898,81,77.78,1.5978,0.4565,30.3,50.92,151,193
44.589,5.706,0.3535,-40.069,109,71.56,1.3525,0.5375,31.7,62.89,152,194
48.228,6.102,0.3694,-36.42,114,70.18,1.0798,0.4589,31.1,61.69,153,195
49.848,6.276,0.3745,-49.961,107,60.75,1.2857,0.8307,32.8,59.91,154,196
-61.912,-13.521,-0.4003,-71.578,85,49.41,0.4494,0.4601,37.3,72.42,155,197
4.301,0.636,0.1592,-49.481,103,58.25,0.8919,0.6392,31.9,64.41,156,198
169.757,16.107,0.8004,-24.66,119,72.27,1.9732,0.7572,29.8,51.5,157,199
70.744,8.384,0.4504,-41.123,105,67.62,1.2637,0.6051,33.6,61.32,158,200
10.241,1.478,0.1851,-50.181,101,69.31,1.0723,0.4749,35.0,63.02,159,201
-20.605,-3.413,0.0003,-56.681,99,61.62,0.9352,0.5826,36.3,68.25,160,202
103.044,11.248,0.5736,-37.391,124,78.23,1.4203,0.3954,29.1,51.87,161,203
-91.173,-30.602,-0.6643,-94.599,68,69.12,1.0031,0.4482,32.0,81.91,162,204
76.614,8.937,0.5147,-36.081,87,78.16,1.6964,0.474,32.1,55.75,163,205
64.387,7.767,0.4635,-38.419,115,69.57,1.2076,0.5283,29.9,53.81,164,206
74.224,8.714,0.4827,-45.05,108,68.52,1.4993,0.6889,33.0,64.27,165,207
89.382,10.087,0.5111,-42.898,113,75.22,1.5716,0.5177,29.9,54.3,166,208
33.519,4.446,0.3078,-40.513,117,70.09,1.2575,0.5368,29.9,64.17,167,209
60.257,7.355,0.4076,-45.596,123,76.42,1.3373,0.4126,29.5,62.1,168,210
-32.538,-5.752,-0.0642,-63.537,102,65.69,0.9247,0.483,35.5,73.08,169,211
153.378,15.018,0.7526,-30.157,114,74.56,1.9427,0.6628,32.1,57.82,170,212
98.8,10.895,0.5464,-42.684,110,69.09,1.6835,0.7531,32.5,61.7,171,213
139.806,14.069,0.6897,-36.551,106,77.36,1.9382,0.5673,34.6,57.38,172,214
9.101,1.32,0.1879,-53.797,115,65.22,1.1064,0.5901,30.0,63.77,173,215
36.165,4.755,0.3153,-57.56,113,65.49,1.1291,0.5951,31.5,62.51,174,216
73.261,8.623,0.4759,-36.163,120,71.67,1.3751,0.5436,29.6,59.35,175,217
76.7,8.945,0.5028,-39.814,116,75.0,1.4914,0.4971,30.1,57.33,176,218
3.431,0.509,0.1581,-43.427,103,63.11,1.1119,0.65,34.1,62.46,177,219
4.279,0.632,0.155,-43.059,107,67.29,1.0686,0.5194,33.2,67.81,178,220
6.808,0.996,0.1703,-56.182,105,66.67,0.9818,0.4909,35.0,70.78,179,221
3.259,0.484,0.1623,-65.384,114,65.79,0.9074,0.4719,30.6,62.71,180,222
137.383,13.895,0.7375,-33.145,126,71.43,1.9167,0.7667,28.0,49.76,181,223
35.204,4.644,0.3178,-39.222,112,70.54,1.1841,0.4946,31.0,63.55,182,224
101.476,11.118,0.581,-31.74,116,76.72,1.6124,0.4892,31.0,56.53,183,225
117.149,12.378,0.6271,-38.507,115,69.57,1.9118,0.8364,31.0,53.58,184,226
221.894,19.236,0.9087,-32.295,121,74.38,2.4846,0.8558,27.7,45.99,185,227
-19.885,-3.281,0.0304,-71.806,100,63.0,0.7342,0.4312,34.3,72.1,186,228
53.933,6.707,0.3957,-49.984,109,66.97,1.3641,0.6727,32.6,65.26,187,229
13.028,1.86,0.2021,-60.854,58,74.14,2.6112,0.9109,29.2,60.76,188,230
