hit_mid_20d,hit_mid_40d,hit_mid_60d,hit_mid_120d,hit_upper_20d,hit_upper_40d,hit_upper_60d,hit_upper_120d,days_to_mid,days_to_upper,ret_20d,ret_40d,mfe,mae,ts_code,entry_date,selected
False,False,False,False,False,False,False,False,,,-10.723779144831758,1.0685221211537144,13.044849886955156,-22.124658966764223,600519.SH,2022-10-13,Amount
True,True,True,True,False,True,True,True,4.0,26.0,0.271574375160033,7.082824214298333,30.164656061070417,-44.27617535187256,300750.SZ,2022-10-31,Amount
False,False,False,False,False,False,False,False,,,13.242114185955622,13.71356345400705,27.291302373888506,-14.516818716913104,300274.SZ,2022-12-07,Amount
False,False,False,False,False,False,False,False,,,-2.2644022644022543,-0.7659007659007511,35.975135975136,-8.258408258408235,002241.SZ,2022-11-14,Amount
False,False,False,False,False,False,False,False,,,19.626705053215886,9.912470021895547,22.931035639317177,-32.89476005218357,601012.SH,2022-12-23,Amount
False,False,False,False,False,False,False,False,,,-6.749000210223732,-27.549348534259043,7.507418304002722,-35.13329576026967,300014.SZ,2023-01-12,Amount
False,True,True,True,False,True,True,True,21.0,28.0,-5.7711475072785845,-1.801274322113633,0.024532332666860057,-51.07651761862741,300750.SZ,2023-02-20,Amount
False,False,False,False,False,False,False,False,,,11.192723983998153,-20.159166564719357,18.07726235093614,-31.055558224621183,300059.SZ,2023-03-08,Amount
False,False,False,False,False,False,False,False,,,-4.824457310645148,-5.944883845436322,4.078242199789162,-16.216380304778077,000858.SZ,2023-04-11,Amount
False,False,False,False,False,False,False,False,,,-1.5468888006547221,-0.048966097633529326,11.996925438408645,-6.35089128716011,600519.SH,2023-04-13,Amount
False,False,False,False,False,False,False,False,,,-3.6035054992400894,1.5666797657319043,24.936674699707883,-12.906998215055088,600809.SH,2023-05-23,Amount
False,False,False,False,False,False,False,False,,,-13.574797295727503,-17.594033873103633,0.0,-36.226564133540876,300418.SZ,2023-06-27,Amount
False,False,False,False,False,False,False,False,,,-2.640711889266789,4.658347432913934,14.890889457363476,-14.305347831359372,600276.SH,2023-08-01,Amount
False,False,False,False,False,False,False,False,,,-18.136471037494918,-11.573068569655598,0.0,-36.24123316956081,002230.SZ,2023-08-17,Amount
False,False,False,False,False,False,False,False,,,8.393492006793334,9.21543317840885,19.72943066532371,-14.792098542527066,002475.SZ,2023-09-08,Amount
False,False,False,False,False,False,False,False,,,-9.053590859556982,-13.362638436543284,0.8129199475611859,-26.732767367005472,300014.SZ,2023-02-21,Amount
False,False,False,False,False,False,False,False,,,1.4092290688035414,-1.766433681327284,6.276702021382885,-10.638527659804254,600519.SH,2023-10-16,Amount
False,False,False,False,False,False,False,False,,,-6.476502221183056,-9.357781698207212,4.977764552232666,-11.15267711012391,601318.SH,2023-11-10,Amount
False,False,False,False,False,False,False,False,,,-0.4345195593169593,-13.997401841810264,8.789103926867314,-24.224883706245116,300750.SZ,2023-10-17,Amount
False,False,False,False,False,False,False,False,,,-4.800239168521935,22.853024692050262,29.653007608584424,-10.765136463727332,002230.SZ,2024-01-04,Amount
