round,ts_code,entry_date,exit_date,exit_type,hold_days,pnl,return_pct,adj_ret_pct,delta_pp,factor_ratio,crossed,adj_pnl,year
90,601899.SH,2026-03-20,2026-04-15,TAKE_PROFIT_DYN,17,49074.12763110007,12.36,12.359999999999992,-7.105427357601002e-15,1.0,False,49074.12763110004,2026
89,688256.SH,2026-02-04,2026-04-08,TAKE_PROFIT_DYN,38,51051.05774010002,12.4,12.400000000000011,1.0658141036401503e-14,1.0,False,51051.05774010007,2026
42,300274.SZ,2022-09-01,2022-10-12,TAKE_PROFIT_DYN,23,50964.723537385114,13.21,13.209999999999988,-1.2434497875801753e-14,1.0,False,50964.72353738506,2022
63,601012.SH,2024-01-30,2024-03-12,TAKE_PROFIT_DYN,24,53420.627355815785,13.5,13.5,0.0,1.0,False,53420.627355815785,2024
2,000725.SZ,2020-03-17,2020-05-11,TAKE_PROFIT_DYN,35,27443.057094660355,13.64,13.640000000000008,7.105427357601002e-15,1.0,False,27443.05709466037,2020
20,600031.SH,2021-05-14,2021-06-01,TAKE_PROFIT_DYN,12,27764.97744095573,13.93,13.929999999999998,-1.7763568394002505e-15,1.0,False,27764.977440955725,2021
45,000858.SZ,2022-10-28,2022-11-30,TAKE_PROFIT_DYN,23,27609.88297261187,14.32,14.32,0.0,1.0,False,27609.88297261187,2022
85,300502.SZ,2026-01-13,2026-02-02,TAKE_PROFIT_DYN,14,35345.03866740002,18.33,18.330000000000002,3.552713678800501e-15,1.0,False,35345.038667400026,2026
73,600418.SH,2024-11-28,2025-01-22,TAKE_PROFIT_DYN,38,38042.75671524269,19.29,19.290000000000006,7.105427357601002e-15,1.0,False,38042.75671524271,2024
84,601138.SH,2025-11-25,2025-12-25,TAKE_PROFIT_DYN,22,38122.62467270161,19.3,19.300000000000004,3.552713678800501e-15,1.0,False,38122.62467270162,2025
11,300122.SZ,2020-11-12,2020-12-21,TAKE_PROFIT_DYN,27,82422.93707002525,21.59,21.589999999999996,-3.552713678800501e-15,1.0,False,82422.93707002523,2020
29,600111.SH,2021-09-30,2021-10-25,TAKE_PROFIT_DYN,12,43779.26533458289,22.28,22.279999999999987,-1.4210854715202004e-14,1.0,False,43779.26533458286,2021
26,002460.SZ,2021-08-17,2021-08-30,TAKE_PROFIT_DYN,9,47015.80635218954,24.02,24.019999999999996,-3.552713678800501e-15,1.0,False,47015.80635218953,2021
78,300502.SZ,2025-03-03,2025-05-08,TAKE_PROFIT_DYN,44,105008.7096425629,27.93,27.93000000000001,1.0658141036401503e-14,1.0,False,105008.70964256293,2025
5,002714.SZ,2020-05-12,2020-07-06,TAKE_PROFIT_DYN,37,-49309.44163747926,-25.08,27.939836871302283,53.01983687130228,1.7076860233756308,True,54932.12741491911,2020
21,002594.SZ,2021-05-06,2021-06-08,TAKE_PROFIT_DYN,23,131563.82552592183,34.99,34.99000000000001,7.105427357601002e-15,1.0,False,131563.82552592186,2021
82,300308.SZ,2025-10-15,2025-10-24,TAKE_PROFIT_DYN,7,64647.82947153278,37.43,37.43000000000001,7.105427357601002e-15,1.0,False,64647.82947153279,2025
