ts_code,date,level,avg_cost,entry_date,adjT,pstar_raw,threshold,eff_threshold,early_exit_pct,high_raw,close_raw,gap_raw,gap_legal,gap_eff,pct_legal,pct_eff,triggered,hold_days,float_pnl,adj_changed,pstar_old
300418.SZ,2023-07-04,1,44.5561,2023-06-27,4.042,70.62788640046733,70.63,70.63,0.0,41.45,41.08,29.17788640046733,29.179999999999993,29.179999999999993,0.41313889282174704,0.41313889282174704,False,5,-15294.76,False,70.62788640046733
300014.SZ,2023-07-05,5,67.0654,2023-02-21,17.877,62.930933271311154,62.940000000000005,62.940000000000005,0.0,60.38,59.74,2.550933271311152,2.5600000000000023,2.5600000000000023,0.04067365745154118,0.04067365745154118,False,90,-107682.88,True,63.00666025455592
600809.SH,2023-07-05,3,210.1835,2023-05-23,6.336,221.80486420720604,221.81,221.81,0.0,201.5,198.05,20.304864207206037,20.310000000000002,20.310000000000002,0.09156485280194762,0.09156485280194762,False,29,-33973.75,True,227.22542938361042
300418.SZ,2023-07-05,1,44.5561,2023-06-27,4.042,69.9894581667226,69.99,69.99,0.0,41.57,40.09,28.4194581667226,28.419999999999995,28.419999999999995,0.4060580082868981,0.4060580082868981,False,6,-19650.76,False,69.9894581667226
300014.SZ,2023-07-06,5,67.0654,2023-02-21,17.877,62.323147552192864,62.33,62.33,0.0,59.62,58.19,2.703147552192867,2.710000000000001,2.710000000000001,0.04347826086956523,0.04347826086956523,False,91,-130467.88,True,62.35722123343333
600809.SH,2023-07-06,3,210.1835,2023-05-23,6.336,221.09645497549226,221.1,221.1,0.0,201.5,197.93,19.596454975492264,19.599999999999994,19.599999999999994,0.08864767073722295,0.08864767073722295,False,30,-34309.75,True,226.35237496669382
300418.SZ,2023-07-06,1,44.5561,2023-06-27,4.042,69.65825397833288,69.66,69.66,0.0,42.09,40.79,27.568253978332876,27.569999999999993,27.569999999999993,0.3957795004306631,0.3957795004306631,False,7,-16570.76,False,69.65825397833288
300014.SZ,2023-07-07,5,67.0654,2023-02-21,17.877,62.2480691440125,62.25,62.25,0.0,58.08,56.89,4.168069144012499,4.170000000000002,4.170000000000002,0.06698795180722894,0.06698795180722894,False,92,-149577.88,True,62.27210071296411
600809.SH,2023-07-07,3,210.1835,2023-05-23,6.336,220.87937491350823,220.88,220.88,0.0,202.0,198.1,18.87937491350823,18.879999999999995,18.879999999999995,0.08547627671133645,0.08547627671133645,False,31,-33833.75,True,225.993694354433
300418.SZ,2023-07-07,1,44.5561,2023-06-27,4.042,69.03083224531278,69.04,69.04,0.0,40.84,39.38,28.190832245312777,28.200000000000003,28.200000000000003,0.4084588644264195,0.4084588644264195,False,8,-22774.76,False,69.03083224531278
300014.SZ,2023-07-10,5,67.0654,2023-02-21,17.877,62.298129640619976,62.300000000000004,62.300000000000004,0.0,60.65,59.34,1.6481296406199775,1.6500000000000057,1.6500000000000057,0.02648475120385242,0.02648475120385242,False,93,-113562.88,True,62.32034411120523
600809.SH,2023-07-10,3,210.1835,2023-05-23,6.336,220.43859001974522,220.44,220.44,0.0,205.0,201.37,15.43859001974522,15.439999999999998,15.439999999999998,0.07004173471239339,0.07004173471239339,False,32,-24677.75,True,225.3474990450755
300418.SZ,2023-07-10,1,44.5561,2023-06-27,4.042,68.79272192566017,68.8,68.8,0.0,39.87,38.36,28.922721925660177,28.93,28.93,0.4204941860465116,0.4204941860465116,False,9,-27262.76,False,68.79272192566017
300014.SZ,2023-07-11,5,67.0654,2023-02-21,17.877,62.3406355415818,62.35,62.35,0.0,59.8,59.63,2.5406355415818,2.5500000000000043,2.5500000000000043,0.04089815557337617,0.04089815557337617,False,94,-109299.88,True,62.35742434733011
600809.SH,2023-07-11,3,210.1835,2023-05-23,6.336,220.4710782359474,220.48000000000002,220.48000000000002,0.0,203.0,201.91,17.471078235947402,17.480000000000018,17.480000000000018,0.07928156748911473,0.07928156748911473,False,33,-23165.75,True,225.16048909962197
300418.SZ,2023-07-11,1,44.5561,2023-06-27,4.042,68.33693022179993,68.34,68.34,0.0,39.2,38.67,29.13693022179993,29.14,29.14,0.4263974246414984,0.4263974246414984,False,10,-25898.76,False,68.33693022179993
300014.SZ,2023-07-12,5,67.0654,2023-02-21,17.877,62.401796589452516,62.410000000000004,62.410000000000004,0.0,59.55,58.73,2.851796589452519,2.8600000000000065,2.8600000000000065,0.04582598942477177,0.04582598942477177,False,95,-122529.88,True,62.41032040317062
600809.SH,2023-07-12,3,210.1835,2023-05-23,6.336,220.4047241032016,220.41,220.41,0.0,208.0,204.34,12.404724103201602,12.409999999999997,12.409999999999997,0.05630416042829271,0.05630416042829271,False,34,-16361.75,True,224.81375866660184
300418.SZ,2023-07-12,1,44.5561,2023-06-27,4.042,67.83378510802095,67.84,67.84,0.0,38.78,37.26,29.053785108020946,29.060000000000002,29.060000000000002,0.42836084905660377,0.42836084905660377,False,11,-32102.76,False,67.83378510802095
300014.SZ,2023-07-13,5,67.0654,2023-02-21,17.877,62.368445626893376,62.370000000000005,62.370000000000005,0.0,60.49,58.39,1.8784456268933738,1.8800000000000026,1.8800000000000026,0.030142696809363514,0.030142696809363514,False,96,-127527.88,True,62.38525879008817
600809.SH,2023-07-13,3,210.1835,2023-05-23,6.336,220.66852305306884,220.67000000000002,220.67000000000002,0.0,215.33,212.96,5.338523053068826,5.340000000000003,5.340000000000003,0.024199030226129528,0.024199030226129528,False,35,7774.25,True,224.7709931793203
300418.SZ,2023-07-13,1,44.5561,2023-06-27,4.042,67.00184827436496,67.01,67.01,0.0,38.03,37.58,28.97184827436496,28.980000000000004,28.980000000000004,0.4324727652589166,0.4324727652589166,False,12,-30694.76,False,67.00184827436496
