date,equity,cash,stock_val,etf_val
2020-09-17,988782.8225111748,93884.82251117486,894898.0,0.0
2020-09-18,1011532.8225111748,93884.82251117486,917648.0,0.0
2020-09-21,1007596.8225111748,93884.82251117486,913712.0,0.0
2020-09-22,988842.8225111748,93884.82251117486,894958.0,0.0
2020-09-23,992406.8225111748,93884.82251117486,898522.0,0.0
2020-09-24,967976.8225111748,93884.82251117486,874092.0,0.0
2020-09-25,964740.8225111748,93884.82251117486,870856.0,0.0
2020-09-28,971900.8225111748,93884.82251117486,878016.0,0.0
2020-09-29,974784.8225111748,93884.82251117486,880900.0,0.0
2020-09-30,965484.8225111748,93884.82251117486,871600.0,0.0
2020-10-09,1000664.8225111748,93884.82251117486,906780.0,0.0
2020-10-12,1024890.1853471749,298418.1853471749,726472.0,0.0
2020-10-13,1014123.2567711748,100949.25677117487,913174.0,0.0
2020-10-14,992603.2567711748,100949.25677117487,891654.0,0.0
2020-10-15,991211.2567711748,100949.25677117487,890262.0,0.0
2020-10-16,979509.2071011749,95977.20710117486,883532.0,0.0
2020-10-19,984437.2071011749,95977.20710117486,888460.0,0.0
2020-10-20,997411.2071011749,95977.20710117486,901434.0,0.0
2020-10-21,979534.2071011749,95977.20710117486,883557.0,0.0
2020-10-22,980372.2071011749,95977.20710117486,884395.0,0.0
2020-10-23,971779.2071011749,95977.20710117486,875802.0,0.0
2020-10-26,969337.2071011749,95977.20710117486,873360.0,0.0
2020-10-27,977254.2071011749,95977.20710117486,881277.0,0.0
2020-10-28,1003538.4992211749,686270.4992211749,317268.0,0.0
2020-10-29,997760.4992211749,686270.4992211749,311490.0,0.0
2020-10-30,992240.4992211749,686270.4992211749,305970.0,0.0
2020-11-02,995450.4992211749,686270.4992211749,309180.0,0.0
2020-11-03,998045.4992211749,686270.4992211749,311775.0,0.0
2020-11-04,997859.4992211749,686270.4992211749,311589.0,0.0
2020-11-05,1009328.4992211749,686270.4992211749,323058.0,0.0
2020-11-06,1004927.4992211749,686270.4992211749,318657.0,0.0
2020-11-09,1030786.502183175,891802.502183175,138984.0,0.0
2020-11-10,1028338.502183175,891802.502183175,136536.0,0.0
2020-11-11,1020202.502183175,891802.502183175,128400.0,0.0
2020-11-12,1021482.3894831749,702858.3894831749,318624.0,0.0
2020-11-13,1019370.3894831749,702858.3894831749,316512.0,0.0
2020-11-16,1020655.7547051748,509212.7547051749,511443.0,0.0
2020-11-17,992589.7547051748,509212.7547051749,483377.0,0.0
2020-11-18,975060.9456851749,121384.9456851749,853676.0,0.0
2020-11-19,992041.9456851749,121384.9456851749,870657.0,0.0
2020-11-20,1002437.9456851749,121384.9456851749,881053.0,0.0
2020-11-23,1026032.9456851749,121384.9456851749,904648.0,0.0
2020-11-24,1013280.9456851749,121384.9456851749,891896.0,0.0
2020-11-25,997948.9456851749,121384.9456851749,876564.0,0.0
2020-11-26,996499.9456851749,121384.9456851749,875115.0,0.0
2020-11-27,1017134.9456851749,121384.9456851749,895750.0,0.0
2020-11-30,1027924.9456851749,121384.9456851749,906540.0,0.0
2020-12-01,1049282.9456851748,121384.9456851749,927898.0,0.0
2020-12-02,1047256.9456851749,121384.9456851749,925872.0,0.0
2020-12-03,1063491.9456851748,121384.9456851749,942107.0,0.0
2020-12-04,1080574.9456851748,121384.9456851749,959190.0,0.0
2020-12-07,1102717.148997175,259779.14899717493,842938.0,0.0
2020-12-08,1105905.148997175,259779.14899717493,846126.0,0.0
2020-12-09,1109910.585013175,693330.5850131749,416580.00000000006,0.0
2020-12-10,1119426.4481751749,497753.44817517494,621673.0,0.0
