date,K1,K2,K3
2021-05-26,1.5850249972844834,1.465771364460347,1.560097785149451
2021-05-27,1.5737260003444833,1.455316567520347,1.541685188209451
2021-05-28,1.5753587751444835,1.456245842320347,1.527937963009451
2021-05-31,1.5825202751444833,1.463641842320347,1.544311463009451
2021-06-01,1.6027262751444835,1.483754042320347,1.581339863009451
2021-06-02,1.6141467751444833,1.4952214423203471,1.6034811630094512
2021-06-03,1.6041587751444835,1.485045842320347,1.582337963009451
2021-06-04,1.6017627751444834,1.482837442320347,1.5800891630094513
2021-06-07,1.6069587751444834,1.4868059063053471,1.576140026994451
2021-06-08,1.5912087751444834,1.468315027680347,1.543649148369451
2021-06-09,1.5952772751444835,1.4630805219303469,1.5415087426194511
2021-06-10,1.5913937751444833,1.4784426219303468,1.5581199426194512
2021-06-11,1.5911907751444834,1.4592754219303468,1.534487257244451
2021-06-15,1.6001627751444834,1.440121354655347,1.512452700494451
2021-06-16,1.5885842751444834,1.417425372815347,1.478845700494451
2021-06-17,1.5765177751444834,1.4131566728153468,1.470262700494451
2021-06-18,1.5840837751444834,1.449435472815347,1.497584700494451
2021-06-21,1.5580387751444835,1.4276248728153471,1.469924700494451
2021-06-22,1.5911647751444835,1.444038072815347,1.500330700494451
2021-06-23,1.5991412751444833,1.478046772815347,1.516860700494451
2021-06-24,1.5938562751444834,1.446922172815347,1.493523700494451
2021-06-25,1.6055237751444835,1.4661434728153468,1.522368700494451
2021-06-28,1.6068402751444835,1.4822529728153468,1.529017700494451
2021-06-29,1.5965267751444834,1.447099872815347,1.486508700494451
2021-06-30,1.6013812751444834,1.4520811728153469,1.499810700494451
2021-07-01,1.6050477751444834,1.422983472815347,1.476566700494451
2021-07-02,1.6008287751444834,1.434623272815347,1.455672700494451
2021-07-05,1.5935161786694831,1.4753509508603468,1.457766700494451
2021-07-06,1.6024655556694836,1.4883914818788675,1.4716349534158752
2021-07-07,1.6086579556694833,1.4915894818788675,1.4771149534158754
2021-07-08,1.6317017556694835,1.5046135796988676,1.4918073750758754
2021-07-09,1.6388655556694833,1.5074564385888676,1.5015443676158753
2021-07-12,1.6544547556694835,1.5232762385888676,1.5139476676158754
2021-07-13,1.6386839556694832,1.5203130385888675,1.5149974676158755
2021-07-14,1.6674293556694832,1.5373426385888675,1.5283900676158755
2021-07-15,1.6661385556694832,1.5443784385888677,1.5374193676158754
2021-07-16,1.6402011556694833,1.5231448385888677,1.5035097676158755
2021-07-19,1.6930188545884979,1.560421805837719,1.5658933719934145
2021-07-20,1.6866388545884978,1.558003805837719,1.5750833719934147
2021-07-21,1.6987608545884978,1.564836605837719,1.5760077719934145
2021-07-22,1.708862421078498,1.5701894391027191,1.6063589384834147
2021-07-23,1.7145824210784981,1.5634634391027191,1.5954889384834148
2021-07-26,1.727447421078498,1.5415173816077192,1.5575935483134147
2021-07-27,1.727960921078498,1.4979260767077192,1.4914674434134148
2021-07-28,1.729078421078498,1.516553212067719,1.5081456787734147
2021-07-29,1.723513421078498,1.507262012067719,1.5091646787734145
2021-07-30,1.713569921078498,1.449970612067719,1.4430001787734146
2021-08-02,1.728497921078498,1.5070874120677191,1.5334681787734146
2021-08-03,1.719976421078498,1.525192812067719,1.5645672787666844
2021-08-04,1.738307921078498,1.518732612067719,1.5582384787666843
2021-08-05,1.742824980835987,1.497863471825208,1.5372817385241735
2021-08-06,1.7518549808359873,1.496689271825208,1.5363119385241735
2021-08-09,1.756369980835987,1.513563171825208,1.5532880385241734
2021-08-10,1.7544349808359871,1.5846440718252082,1.6243251385241735
2021-08-11,1.7570149808359872,1.575318871825208,1.6150583385241735
2021-08-12,1.758304980835987,1.5443222718252079,1.5840909385241735
