ts_code,signal_date,entry_date,exit_date,entry_adj_factor,min_adj_factor,max_adj_factor,factor_changed,old_raw_trig,new_adj_trig,old_raw_trig_date,new_adj_trig_date
000538.SZ,2020-02-28,2020-03-02,2020-03-27,17.6387996673584,17.6387996673584,17.6387996673584,0,0,0,2020-03-27,2020-03-27
300318.SZ,2020-03-16,2020-03-17,2020-03-27,6.443900108337402,6.443900108337402,6.443900108337402,0,0,0,2020-03-27,2020-03-27
600825.SH,2020-03-16,2020-03-17,2020-03-27,12.666999816894531,12.666999816894531,12.666999816894531,0,0,0,2020-03-27,2020-03-27
600865.SH,2020-03-16,2020-03-17,2020-03-27,4.902200222015381,4.902200222015381,4.902200222015381,0,0,0,2020-03-27,2020-03-27
002163.SZ,2020-03-18,2020-03-19,2020-03-27,4.6641998291015625,4.6641998291015625,4.6641998291015625,0,0,0,2020-03-27,2020-03-27
300125.SZ,2020-03-19,2020-03-20,2020-03-27,4.575399875640869,4.575399875640869,4.575399875640869,0,0,0,2020-03-27,2020-03-27
600191.SH,2020-03-23,2020-03-24,2020-03-27,2.546299934387207,2.546299934387207,2.546299934387207,0,0,0,2020-03-27,2020-03-27
600814.SH,2020-03-23,2020-03-24,2020-03-27,6.047100067138672,6.047100067138672,6.047100067138672,0,0,0,2020-03-27,2020-03-27
002852.SZ,2020-03-12,2020-03-13,2020-03-30,3.0055999755859375,3.0055999755859375,3.0055999755859375,0,0,0,2020-03-30,2020-03-30
600511.SH,2020-03-12,2020-03-13,2020-03-30,5.470699787139893,5.470699787139893,5.470699787139893,0,0,0,2020-03-30,2020-03-30
600729.SH,2020-03-13,2020-03-16,2020-03-30,3.0980000495910645,3.0980000495910645,3.0980000495910645,0,0,0,2020-03-30,2020-03-30
002094.SZ,2020-03-16,2020-03-17,2020-03-30,5.304500102996826,5.304500102996826,5.304500102996826,0,0,0,2020-03-30,2020-03-30
002734.SZ,2020-03-16,2020-03-17,2020-03-30,2.3896000385284424,2.3896000385284424,2.3896000385284424,0,0,0,2020-03-30,2020-03-30
600719.SH,2020-03-16,2020-03-17,2020-03-30,5.457900047302246,5.457900047302246,5.457900047302246,0,0,0,2020-03-30,2020-03-30
603800.SH,2020-03-16,2020-03-17,2020-03-30,1.047700047492981,1.047700047492981,1.047700047492981,0,0,0,2020-03-30,2020-03-30
002205.SZ,2020-03-17,2020-03-18,2020-03-30,1.3092999458312988,1.3092999458312988,1.3092999458312988,0,0,0,2020-03-30,2020-03-30
300273.SZ,2020-03-18,2020-03-19,2020-03-30,5.805600166320801,5.805600166320801,5.805600166320801,0,0,0,2020-03-30,2020-03-30
002588.SZ,2020-03-13,2020-03-16,2020-03-31,9.427000045776367,9.427000045776367,9.427000045776367,0,0,0,2020-03-31,2020-03-31
600366.SH,2020-03-13,2020-03-16,2020-03-31,11.709699630737305,11.709699630737305,11.709699630737305,0,0,0,2020-03-31,2020-03-31
603013.SH,2020-03-13,2020-03-16,2020-03-31,1.0240000486373901,1.0240000486373901,1.0240000486373901,0,0,0,2020-03-31,2020-03-31
000713.SZ,2020-03-16,2020-03-17,2020-03-31,4.448400020599365,4.448400020599365,4.448400020599365,0,0,0,2020-03-31,2020-03-31
000833.SZ,2020-03-16,2020-03-17,2020-03-31,1.65339994430542,1.65339994430542,1.65339994430542,0,0,0,2020-03-31,2020-03-31
000987.SZ,2020-03-16,2020-03-17,2020-03-31,4.094699859619141,4.094699859619141,4.094699859619141,0,0,0,2020-03-31,2020-03-31
002946.SZ,2020-03-16,2020-03-17,2020-03-31,1.003999948501587,1.003999948501587,1.003999948501587,0,0,0,2020-03-31,2020-03-31
600371.SH,2020-03-16,2020-03-17,2020-03-31,3.026700019836426,3.026700019836426,3.026700019836426,0,0,0,2020-03-31,2020-03-31
600419.SH,2020-03-16,2020-03-17,2020-03-31,3.166300058364868,3.166300058364868,3.166300058364868,0,0,0,2020-03-31,2020-03-31
600685.SH,2020-03-16,2020-03-17,2020-03-31,2.018699884414673,2.018699884414673,2.018699884414673,0,0,0,2020-03-31,2020-03-31
002041.SZ,2020-03-17,2020-03-18,2020-03-31,13.495200157165527,13.495200157165527,13.495200157165527,0,0,0,2020-03-31,2020-03-31
600573.SH,2020-03-17,2020-03-18,2020-03-31,1.3106000423431396,1.3106000423431396,1.3106000423431396,0,0,0,2020-03-31,2020-03-31
002495.SZ,2020-03-18,2020-03-19,2020-03-31,9.673399925231934,9.673399925231934,9.673399925231934,0,0,0,2020-03-31,2020-03-31
002770.SZ,2020-03-18,2020-03-19,2020-03-31,3.8592000007629395,3.8592000007629395,3.8592000007629395,0,0,0,2020-03-31,2020-03-31
600251.SH,2020-03-18,2020-03-19,2020-03-31,8.528400421142578,8.528400421142578,8.528400421142578,0,0,0,2020-03-31,2020-03-31
600429.SH,2020-03-18,2020-03-19,2020-03-31,1.4383000135421753,1.4383000135421753,1.4383000135421753,0,0,0,2020-03-31,2020-03-31
600300.SH,2020-03-23,2020-03-24,2020-03-31,7.172100067138672,7.172100067138672,7.172100067138672,0,0,0,2020-03-31,2020-03-31
603790.SH,2020-02-28,2020-03-02,2020-04-01,1.3158999681472778,1.3158999681472778,1.3158999681472778,0,0,0,2020-04-01,2020-04-01
300300.SZ,2020-03-09,2020-03-10,2020-04-01,6.662199974060059,6.662199974060059,6.662199974060059,0,0,0,2020-04-01,2020-04-01
603997.SH,2020-03-12,2020-03-13,2020-04-01,1.6282000541687012,1.6282000541687012,1.6282000541687012,0,0,0,2020-04-01,2020-04-01
000951.SZ,2020-03-16,2020-03-17,2020-04-01,3.203000068664551,3.203000068664551,3.203000068664551,0,0,0,2020-04-01,2020-04-01
300673.SZ,2020-03-16,2020-03-17,2020-04-01,1.8413000106811523,1.8413000106811523,1.8413000106811523,0,0,0,2020-04-01,2020-04-01
603638.SH,2020-03-16,2020-03-17,2020-04-01,2.2355000972747803,2.2355000972747803,2.2355000972747803,0,0,0,2020-04-01,2020-04-01
002141.SZ,2020-03-17,2020-03-18,2020-04-01,8.058799743652344,8.058799743652344,8.058799743652344,0,0,0,2020-04-01,2020-04-01
300629.SZ,2020-03-17,2020-03-18,2020-04-01,1.5042999982833862,1.5042999982833862,1.5042999982833862,0,0,0,2020-04-01,2020-04-01
601777.SH,2020-03-17,2020-03-18,2020-04-01,1.1746000051498413,1.1746000051498413,1.1746000051498413,0,0,0,2020-04-01,2020-04-01
300556.SZ,2020-03-16,2020-03-17,2020-04-02,1.0134999752044678,1.0134999752044678,1.0134999752044678,0,0,0,2020-04-02,2020-04-02
600327.SH,2020-03-16,2020-03-17,2020-04-02,12.966500282287598,12.966500282287598,12.966500282287598,0,0,0,2020-04-02,2020-04-02
300551.SZ,2020-03-18,2020-03-19,2020-04-02,1.5082999467849731,1.5082999467849731,1.5082999467849731,0,0,0,2020-04-02,2020-04-02
600785.SH,2020-03-18,2020-03-19,2020-04-02,4.606200218200684,4.606200218200684,4.606200218200684,0,0,0,2020-04-02,2020-04-02
002674.SZ,2020-02-28,2020-03-02,2020-04-03,1.162600040435791,1.162600040435791,1.162600040435791,0,0,0,2020-04-03,2020-04-03
002781.SZ,2020-03-09,2020-03-10,2020-04-03,1.0117000341415405,1.0117000341415405,1.0117000341415405,0,0,0,2020-04-03,2020-04-03
002203.SZ,2020-03-12,2020-03-13,2020-04-03,3.7060000896453857,3.7060000896453857,3.7060000896453857,0,0,0,2020-04-03,2020-04-03
603811.SH,2020-03-12,2020-03-13,2020-04-03,1.4592000246047974,1.4592000246047974,1.4592000246047974,0,0,0,2020-04-03,2020-04-03
603878.SH,2020-03-12,2020-03-13,2020-04-03,1.4945000410079956,1.4945000410079956,1.4945000410079956,0,0,0,2020-04-03,2020-04-03
000025.SZ,2020-03-13,2020-03-16,2020-04-03,2.730600118637085,2.730600118637085,2.730600118637085,0,0,0,2020-04-03,2020-04-03
002608.SZ,2020-03-13,2020-03-16,2020-04-03,2.6045000553131104,2.6045000553131104,2.6045000553131104,0,0,0,2020-04-03,2020-04-03
300522.SZ,2020-03-13,2020-03-16,2020-04-03,1.8458000421524048,1.8458000421524048,1.8458000421524048,0,0,0,2020-04-03,2020-04-03
600929.SH,2020-03-13,2020-03-16,2020-04-03,1.0092999935150146,1.0092999935150146,1.0092999935150146,0,0,0,2020-04-03,2020-04-03
000633.SZ,2020-03-16,2020-03-17,2020-04-03,7.478799819946289,7.478799819946289,7.478799819946289,0,0,0,2020-04-03,2020-04-03
000662.SZ,2020-03-16,2020-03-17,2020-04-03,6.042799949645996,6.042799949645996,6.042799949645996,0,0,0,2020-04-03,2020-04-03
000913.SZ,2020-03-16,2020-03-17,2020-04-03,2.6161000728607178,2.6161000728607178,2.6161000728607178,0,0,0,2020-04-03,2020-04-03
002860.SZ,2020-03-16,2020-03-17,2020-04-03,1.5240999460220337,1.5240999460220337,1.5240999460220337,0,0,0,2020-04-03,2020-04-03
300529.SZ,2020-03-16,2020-03-17,2020-04-03,1.0245000123977661,1.0245000123977661,1.0245000123977661,0,0,0,2020-04-03,2020-04-03
300791.SZ,2020-03-16,2020-03-17,2020-04-03,1.0,1.0,1.0,0,0,0,2020-04-03,2020-04-03
600078.SH,2020-03-16,2020-03-17,2020-04-03,6.637499809265137,6.637499809265137,6.637499809265137,0,0,0,2020-04-03,2020-04-03
603299.SH,2020-03-16,2020-03-17,2020-04-03,1.023900032043457,1.023900032043457,1.023900032043457,0,0,0,2020-04-03,2020-04-03
603619.SH,2020-03-16,2020-03-17,2020-04-03,1.011199951171875,1.011199951171875,1.011199951171875,0,0,0,2020-04-03,2020-04-03
603939.SH,2020-03-16,2020-03-17,2020-04-03,2.0527000427246094,2.0527000427246094,2.0527000427246094,0,0,0,2020-04-03,2020-04-03
000014.SZ,2020-03-17,2020-03-18,2020-04-03,5.420899868011475,5.420899868011475,5.420899868011475,0,0,0,2020-04-03,2020-04-03
002321.SZ,2020-03-17,2020-03-18,2020-04-03,2.060699939727783,2.060699939727783,2.060699939727783,0,0,0,2020-04-03,2020-04-03
002968.SZ,2020-03-17,2020-03-18,2020-04-03,1.0,1.0,1.0,0,0,0,2020-04-03,2020-04-03
300375.SZ,2020-03-17,2020-03-18,2020-04-03,6.575099945068359,6.575099945068359,6.575099945068359,0,0,0,2020-04-03,2020-04-03
300757.SZ,2020-03-17,2020-03-18,2020-04-03,1.3076000213623047,1.3076000213623047,1.3076000213623047,0,0,0,2020-04-03,2020-04-03
600097.SH,2020-03-17,2020-03-18,2020-04-03,1.4560999870300293,1.4560999870300293,1.4560999870300293,0,0,0,2020-04-03,2020-04-03
000554.SZ,2020-03-18,2020-03-19,2020-04-03,4.896299839019775,4.896299839019775,4.896299839019775,0,0,0,2020-04-03,2020-04-03
002170.SZ,2020-03-18,2020-03-19,2020-04-03,8.053099632263184,8.053099632263184,8.053099632263184,0,0,0,2020-04-03,2020-04-03
603918.SH,2020-03-18,2020-03-19,2020-04-03,2.637200117111206,2.637200117111206,2.637200117111206,0,0,0,2020-04-03,2020-04-03
300046.SZ,2020-03-30,2020-03-31,2020-04-03,4.376100063323975,4.376100063323975,4.376100063323975,0,0,0,2020-04-03,2020-04-03
300601.SZ,2020-03-12,2020-03-13,2020-04-07,1.5095000267028809,1.5095000267028809,1.5095000267028809,0,0,0,2020-04-07,2020-04-07
600096.SH,2020-03-12,2020-03-13,2020-04-07,2.4670000076293945,2.4670000076293945,2.4670000076293945,0,0,0,2020-04-07,2020-04-07
603707.SH,2020-03-12,2020-03-13,2020-04-07,1.7044999599456787,1.7044999599456787,1.7044999599456787,0,0,0,2020-04-07,2020-04-07
000038.SZ,2020-03-13,2020-03-16,2020-04-07,2.923799991607666,2.923799991607666,2.923799991607666,0,0,0,2020-04-07,2020-04-07
000731.SZ,2020-03-13,2020-03-16,2020-04-07,11.199799537658691,11.199799537658691,11.199799537658691,0,0,0,2020-04-07,2020-04-07
002020.SZ,2020-03-13,2020-03-16,2020-04-07,9.253999710083008,9.253999710083008,9.253999710083008,0,0,0,2020-04-07,2020-04-07
002638.SZ,2020-03-13,2020-03-16,2020-04-07,5.047500133514404,5.047500133514404,5.047500133514404,0,0,0,2020-04-07,2020-04-07
002778.SZ,2020-03-13,2020-03-16,2020-04-07,1.0104999542236328,1.0104999542236328,1.0104999542236328,0,0,0,2020-04-07,2020-04-07
300194.SZ,2020-03-13,2020-03-16,2020-04-07,6.2729997634887695,6.2729997634887695,6.2729997634887695,0,0,0,2020-04-07,2020-04-07
300690.SZ,2020-03-13,2020-03-16,2020-04-07,1.666599988937378,1.666599988937378,1.666599988937378,0,0,0,2020-04-07,2020-04-07
600491.SH,2020-03-13,2020-03-16,2020-04-07,10.682900428771973,10.682900428771973,10.682900428771973,0,0,0,2020-04-07,2020-04-07
603700.SH,2020-03-13,2020-03-16,2020-04-07,1.0204999446868896,1.0204999446868896,1.0204999446868896,0,0,0,2020-04-07,2020-04-07
000058.SZ,2020-03-16,2020-03-17,2020-04-07,3.261399984359741,3.261399984359741,3.261399984359741,0,0,0,2020-04-07,2020-04-07
000848.SZ,2020-03-16,2020-03-17,2020-04-07,22.391599655151367,22.391599655151367,22.391599655151367,0,0,0,2020-04-07,2020-04-07
