ts_code,signal_date,old_report_period,new_report_period,old_ann_date,new_ann_date,changed
300254.SZ,2020-03-12,20190930,20190930,20191029,20191029,0
002852.SZ,2020-03-12,20190930,20190930,20191023,20191023,0
002318.SZ,2020-03-12,20190930,20190930,20191030,20191030,0
600557.SH,2020-03-12,20190930,20190930,20191026,20191026,0
300035.SZ,2020-03-12,20190930,20190930,20191029,20191029,0
300632.SZ,2020-03-12,20191231,20191231,20200310,20200310,0
002399.SZ,2020-03-12,20190930,20190930,20191030,20191030,0
300483.SZ,2020-03-12,20190930,20190930,20191030,20191030,0
002833.SZ,2020-03-12,20190930,20190930,20191031,20191031,0
300639.SZ,2020-03-12,20190930,20190930,20191025,20191025,0
603707.SH,2020-03-12,20190930,20190930,20191029,20191029,0
300492.SZ,2020-03-12,20190930,20190930,20191028,20191028,0
600233.SH,2020-03-12,20190930,20190930,20191030,20191030,0
300705.SZ,2020-03-12,20190930,20190930,20191030,20191030,0
600812.SH,2020-03-12,20190930,20190930,20191018,20191018,0
300513.SZ,2020-03-12,20190930,20190930,20191030,20191030,0
000989.SZ,2020-03-12,20190930,20190930,20191031,20191031,0
600559.SH,2020-03-12,20190930,20190930,20191026,20191026,0
603567.SH,2020-03-12,20190930,20190930,20191031,20191031,0
002788.SZ,2020-03-12,20190930,20190930,20191024,20191024,0
000950.SZ,2020-03-12,20190930,20190930,20191024,20191024,0
002411.SZ,2020-03-12,20190930,20190930,20191029,20191029,0
601877.SH,2020-03-12,20190930,20190930,20191025,20191025,0
002082.SZ,2020-03-12,20190930,20190930,20191024,20191024,0
300601.SZ,2020-03-12,20190930,20190930,20191029,20191029,0
601058.SH,2020-03-12,20190930,20190930,20191031,20191031,0
000049.SZ,2020-03-12,20190930,20190930,20191029,20191029,0
002203.SZ,2020-03-12,20190930,20190930,20191031,20191031,0
002801.SZ,2020-03-12,20190930,20190930,20191029,20191029,0
000157.SZ,2020-03-12,20190930,20190930,20191031,20191031,0
600309.SH,2020-03-12,20190930,20190930,20191025,20191025,0
002424.SZ,2020-03-12,20190930,20190930,20191024,20191024,0
300226.SZ,2020-03-12,20190930,20190930,20191030,20191030,0
002619.SZ,2020-03-12,20190930,20190930,20191028,20191028,0
603637.SH,2020-03-12,20190930,20190930,20191018,20191018,0
000629.SZ,2020-03-12,20190930,20190930,20191025,20191025,0
000523.SZ,2020-03-12,20190930,20190930,20191029,20191029,0
300785.SZ,2020-03-12,20190930,20190930,20191026,20191026,0
002508.SZ,2020-03-12,20190930,20190930,20191029,20191029,0
300503.SZ,2020-03-12,20190930,20190930,20191029,20191029,0
600000.SH,2020-03-12,20190930,20190930,20191030,20191030,0
002219.SZ,2020-03-12,20190930,20190930,20191029,20191029,0
603997.SH,2020-03-12,20190930,20190930,20191030,20191030,0
603722.SH,2020-03-12,20190930,20190930,20191022,20191022,0
300792.SZ,2020-03-12,20190930,20190930,20191028,20191028,0
603600.SH,2020-03-12,20190930,20190930,20191029,20191029,0
000937.SZ,2020-03-12,20190930,20190930,20191023,20191023,0
300294.SZ,2020-03-12,20190930,20190930,20191025,20191025,0
600690.SH,2020-03-12,20190930,20190930,20191031,20191031,0
601116.SH,2020-03-12,20190930,20190930,20191030,20191030,0
