kind,ts_code,end_date,ann_date,n_rows,n_update_flag_vals,n_f_ann_vals,n_value_vals
income,000030.SZ,20221231,20230420,2,2,1,1
income,000030.SZ,20240930,20241030,2,2,1,1
income,000031.SZ,20180930,20181031,2,2,1,1
income,000031.SZ,20181231,20190404,2,2,1,1
income,000031.SZ,20190630,20190829,2,2,1,1
income,000031.SZ,20191231,20200331,2,2,1,1
income,000031.SZ,20200331,20200430,2,2,1,1
income,000031.SZ,20200630,20200829,2,2,1,1
income,000031.SZ,20200930,20201030,2,2,1,1
income,000031.SZ,20201231,20210327,2,2,1,1
income,000031.SZ,20210930,20211030,2,2,1,1
income,000031.SZ,20211231,20220412,2,2,1,1
income,000031.SZ,20220331,20220428,2,2,1,1
income,000031.SZ,20230630,20230830,2,2,1,1
income,000031.SZ,20240331,20240430,2,2,1,1
income,000032.SZ,20180930,20181027,2,2,1,1
income,000032.SZ,20181231,20190425,2,2,1,1
income,000032.SZ,20190630,20190824,2,2,1,1
income,000032.SZ,20190930,20191026,2,2,1,1
income,000032.SZ,20191231,20200424,2,2,1,1
income,000032.SZ,20200331,20200424,2,2,1,1
income,000032.SZ,20200630,20200829,2,2,1,1
income,000032.SZ,20200930,20201029,2,2,1,1
income,000032.SZ,20201231,20210423,2,2,1,1
income,000032.SZ,20220331,20220422,2,2,1,1
income,000032.SZ,20221231,20230426,2,2,1,1
income,000034.SZ,20180930,20181029,2,2,1,1
income,000034.SZ,20181231,20190327,2,2,1,1
income,000034.SZ,20190630,20190831,2,2,1,1
income,000034.SZ,20190930,20191023,2,2,1,1
income,000034.SZ,20191231,20200331,2,2,1,1
income,000034.SZ,20200331,20200430,2,2,1,1
income,000034.SZ,20200630,20200831,2,2,1,1
income,000034.SZ,20200930,20201031,2,2,1,1
income,000034.SZ,20201231,20210331,2,2,1,1
income,000034.SZ,20211231,20220329,2,2,1,1
income,000034.SZ,20220331,20220428,2,2,1,1
income,000034.SZ,20221231,20230331,2,2,1,1
income,000034.SZ,20230630,20230831,2,2,1,1
income,000034.SZ,20231231,20240329,2,2,1,1
income,000035.SZ,20180930,20181023,2,2,1,1
income,000035.SZ,20181231,20190429,2,2,1,1
income,000035.SZ,20190630,20190831,2,2,1,1
income,000035.SZ,20191231,20200430,2,2,1,1
income,000035.SZ,20200331,20200430,2,2,1,1
income,000035.SZ,20200630,20200831,2,2,1,1
income,000035.SZ,20200930,20201031,2,2,1,1
income,000035.SZ,20201231,20210430,2,2,1,1
income,000035.SZ,20210930,20211027,2,2,1,1
income,000035.SZ,20211231,20220331,2,2,1,1
income,000035.SZ,20220331,20220430,2,2,1,1
income,000035.SZ,20230630,20230831,2,2,1,1
income,000035.SZ,20240331,20240430,2,2,1,1
income,000036.SZ,20180930,20181031,2,2,1,1
income,000036.SZ,20181231,20190430,2,2,1,1
income,000036.SZ,20191231,20200428,2,2,1,1
income,000036.SZ,20200331,20200430,2,2,1,1
income,000036.SZ,20200630,20200831,2,2,1,1
income,000036.SZ,20200930,20201031,2,2,1,1
income,000036.SZ,20201231,20210420,2,2,1,1
income,000036.SZ,20210930,20211027,2,2,1,1
income,000036.SZ,20211231,20220429,2,2,1,1
income,000036.SZ,20221231,20230414,2,2,1,1
income,000036.SZ,20230930,20231031,2,2,1,1
income,000037.SZ,20171231,20180322,2,2,1,1
income,000037.SZ,20180930,20181026,2,2,1,1
income,000037.SZ,20190630,20190816,2,2,1,1
income,000037.SZ,20190930,20191025,2,2,1,1
income,000037.SZ,20191231,20200320,2,2,1,1
income,000037.SZ,20200331,20200421,2,2,1,1
income,000037.SZ,20200630,20200814,2,2,1,1
income,000037.SZ,20200930,20201027,2,2,1,1
income,000037.SZ,20201231,20210326,2,2,1,1
income,000037.SZ,20211231,20220325,2,2,1,1
income,000037.SZ,20220331,20220427,2,2,1,1
income,000037.SZ,20220930,20221026,2,2,1,1
income,000037.SZ,20221231,20230407,2,2,1,1
income,000037.SZ,20240930,20241025,2,2,1,1
income,000038.SZ,20180930,20181031,2,2,1,1
income,000038.SZ,20181231,20190430,2,2,1,1
income,000038.SZ,20191231,20200423,2,2,1,1
income,000038.SZ,20200331,20200423,2,2,1,1
income,000038.SZ,20200630,20200825,2,2,1,1
income,000038.SZ,20200930,20201028,2,2,1,1
income,000038.SZ,20201231,20210410,2,2,1,1
income,000038.SZ,20211231,20220430,2,2,1,1
income,000038.SZ,20220331,20220430,2,2,1,1
income,000039.SZ,20180630,20180829,2,2,1,1
income,000039.SZ,20180930,20181030,2,2,1,1
income,000039.SZ,20181231,20190328,2,2,1,1
income,000039.SZ,20190630,20190828,2,2,1,1
income,000039.SZ,20190930,20191029,2,2,1,1
income,000039.SZ,20191231,20200327,2,2,1,1
income,000039.SZ,20200331,20200430,2,2,1,1
income,000039.SZ,20200630,20200828,2,2,1,1
income,000039.SZ,20200930,20201028,2,2,1,1
income,000039.SZ,20201231,20210330,2,2,1,1
income,000039.SZ,20211231,20220329,2,2,1,1
income,000039.SZ,20220331,20220428,2,2,1,1
income,000039.SZ,20221231,20230329,2,2,1,1
income,000039.SZ,20230630,20230830,2,2,1,1
income,000039.SZ,20240331,20240430,2,2,1,1
income,000040.SZ,20180930,20181030,2,2,1,1
income,000040.SZ,20181231,20190430,2,2,1,1
income,000040.SZ,20191231,20200530,2,2,1,1
income,000040.SZ,20200331,20200430,2,2,1,1
income,000040.SZ,20200630,20200829,2,2,1,1
income,000040.SZ,20200930,20201031,2,2,1,1
income,000040.SZ,20201231,20210430,2,2,1,1
income,000040.SZ,20210930,20211030,2,2,1,1
income,000040.SZ,20211231,20220427,2,2,1,1
income,000040.SZ,20220331,20220427,2,2,1,1
income,000040.SZ,20221231,20230428,2,2,1,1
