stop_pct,sample,year,n,mean,median,win_rate,pf,p5,trig_rate,net_stop_value
-22.5,SECONDARY,2022,15514,4.320696622382026,5.617313833192222,74.80340337759444,1.19274298935687,-16.138047522355794,17.519659662240556,-165395149.9418788
-22.5,SECONDARY,2023,15487,1.8582890648984656,4.203448442514754,70.12332924388195,0.6818147384994582,-17.648409188090184,18.576870924000772,-185047565.2177571
-22.5,SECONDARY,2024,13576,2.5410155585037697,3.732560075774162,63.0819092516205,0.7403942140305149,-17.23761854723838,22.746022392457277,-341629930.115575
-22.5,SECONDARY,2025,14728,7.0796731480547335,6.4218915232505935,84.56681151548072,3.675627415890308,-11.458745137204243,6.31450298750679,-81569982.41573422
-22.5,SECONDARY,2026,10246,0.8632120224482176,2.198650650204799,58.05192270154207,0.5701437899674914,-19.543352650694782,28.030450907671284,-99584303.87375885
-25.0,PRIMARY,2020,33,6.400526130310817,5.218510332201447,87.87878787878788,4.313594427193206,-6.808960922990103,6.0606060606060606,-54273.7574959564
-25.0,PRIMARY,2021,58,4.015285012126185,4.988408913005223,70.6896551724138,0.8965126992779279,-14.316257214103786,20.689655172413794,-82903.3798836629
-25.0,PRIMARY,2022,59,1.6715320343403228,2.990941980494697,62.71186440677966,0.5762234153474728,-17.653274035549202,23.728813559322035,-1539646.5782453916
-25.0,PRIMARY,2023,45,0.14930220996975518,2.808164916171326,62.22222222222222,0.5365350653865203,-16.883048504394633,22.22222222222222,-576126.5642834299
-25.0,PRIMARY,2024,50,6.063565381247299,6.405456947530031,80.0,2.845424267204778,-11.210926891011487,8.0,-62265.51400919745
-25.0,PRIMARY,2025,34,5.294665948617082,4.860867341853121,76.47058823529412,1.8127757620486091,-13.51577860081562,14.705882352941178,-456276.8880611326
-25.0,PRIMARY,2026,20,-0.07266885281173022,1.4133863710598358,55.00000000000001,0.8675262206435713,-22.088809221455897,20.0,-85356.25715812971
-25.0,SECONDARY,2020,8963,3.6042022764353856,4.46044994646768,74.04886756666295,1.0569981668217217,-16.487438272635,12.09416490014504,-55242147.358212866
-25.0,SECONDARY,2021,10532,5.430110688129255,5.629028443169165,80.40258260539309,2.064259881500216,-13.634128135628067,7.387011014052412,-24246176.593895983
-25.0,SECONDARY,2022,15514,4.575948222963849,5.815236319242027,76.62756220188217,1.2545428846555613,-17.59362454156925,14.15495681320098,-146150630.2373823
-25.0,SECONDARY,2023,15487,1.7076149124301307,4.249419963576335,70.67217666429909,0.6478867789748823,-19.898455890863953,16.71724672305805,-210959148.33017784
-25.0,SECONDARY,2024,13576,2.7728843495711892,4.024409897968843,64.70241602828521,0.7760542150842898,-18.59500610499955,19.195639363582792,-328541629.08743554
-25.0,SECONDARY,2025,14728,7.385765118684606,6.579001107082288,86.01982618142314,4.333761691644435,-6.548982509744689,4.325095057034221,-59824552.55262548
-25.0,SECONDARY,2026,10246,1.0965021959594647,2.4844658279000016,59.56470817880148,0.5860169846161905,-20.63827803895951,22.857700566074566,-95432187.27823555
-27.5,PRIMARY,2020,33,6.347968381671244,5.218510332201447,87.87878787878788,4.081832744414677,-7.502723205032494,6.0606060606060606,-64673.12734608162
-27.5,PRIMARY,2021,58,3.8586686344937595,4.988408913005223,70.6896551724138,0.8395534372305913,-16.387677813015433,18.96551724137931,-179778.1577937935
-27.5,PRIMARY,2022,59,2.2083281493983886,3.2914258355483077,66.10169491525424,0.6720546861433251,-19.094005610889678,16.94915254237288,-1270284.6007926795
-27.5,PRIMARY,2023,45,-0.12864764541341323,2.808164916171326,62.22222222222222,0.5010816069720501,-19.17535966949143,20.0,-683106.2919323561
-27.5,PRIMARY,2024,50,6.115254795188196,6.405456947530031,80.0,2.7276292199899985,-12.964426552502403,6.0,-84374.70358127786
-27.5,PRIMARY,2025,34,5.533354316767252,4.860867341853121,79.41176470588235,1.9476009029564707,-14.261616951161447,11.76470588235294,-424954.79496455635
-27.5,PRIMARY,2026,20,0.5019328421175887,1.4133863710598358,55.00000000000001,0.9819656914918573,-23.030212402771202,10.0,-40295.82705058675
-27.5,SECONDARY,2020,8963,3.749269232348788,4.508521777911837,74.80754211759455,1.1107935761583028,-17.371449158214897,9.483431886645096,-46889296.049371034
-27.5,SECONDARY,2021,10532,5.497624619879822,5.647442885241528,80.8203570072161,2.0918586788410787,-13.130037722120468,5.858336498290924,-21926737.007896997
-27.5,SECONDARY,2022,15514,4.729343918065599,5.920628002143122,77.72979244553306,1.2946892740427913,-19.084314681786303,11.641098362769112,-134121126.509143
-27.5,SECONDARY,2023,15487,1.5812419533316546,4.284835874194378,71.08542648673081,0.6222138973873016,-22.140928574727187,15.031962290953704,-232814020.18690926
-27.5,SECONDARY,2024,13576,2.949810409973446,4.260612026120185,65.84413671184444,0.8056437560601147,-20.03038364462335,16.359752504419564,-317479112.614108
-27.5,SECONDARY,2025,14728,7.659901553887621,6.690301805145715,87.15372080391091,5.242355205397394,-4.14146212069409,2.7566539923954374,-39897823.133862786
-27.5,SECONDARY,2026,10246,1.3145049340361081,2.732468681812752,60.81397618582861,0.6023233792847218,-21.761831071407578,18.455982822564902,-89320577.77668695
