sample,signal_date,mean_return,median_return,win_rate,loss_rate,n_episodes,mean_mae,mean_hold
SECONDARY,2020-08-31,-3.4056141611480766,-1.464489875274772,38.88888888888889,61.111111111111114,18,-19.14503275579845,47.94444444444444
SECONDARY,2020-09-01,1.2688352563219996,1.9421685615747588,68.75,31.25,16,-13.681644818910913,33.9375
SECONDARY,2020-09-02,-1.8489101645254875,0.0783270104448126,54.166666666666664,45.83333333333333,24,-16.958390279563307,52.416666666666664
SECONDARY,2020-09-03,1.1806167852265832,1.839048296153546,56.666666666666664,43.333333333333336,30,-12.058138572719255,44.63333333333333
SECONDARY,2020-09-04,0.6884141206710301,1.467036930354234,63.41463414634146,36.58536585365854,41,-16.55981052678218,40.80487804878049
SECONDARY,2020-09-07,1.8588896480362918,2.103250402421276,66.50246305418719,33.497536945812804,203,-12.535409213315361,35.320197044334975
SECONDARY,2020-09-08,6.046856084198238,6.047258817644105,78.26086956521739,21.73913043478261,46,-14.146104993160572,36.21739130434783
SECONDARY,2020-09-09,3.3222965525647106,4.004573698750764,71.71052631578947,28.289473684210524,304,-12.595047577542685,36.45065789473684
SECONDARY,2020-09-10,4.93937612177938,4.822601886976685,79.2563600782779,20.743639921722114,511,-9.076785631044455,37.33463796477495
SECONDARY,2020-09-11,3.929318872003127,3.9586862197032664,81.25,18.75,32,-11.54392695573921,39.34375
SECONDARY,2020-09-14,0.6026047447540398,0.4444370689427041,71.42857142857143,28.57142857142857,7,-11.861834219878592,37.142857142857146
SECONDARY,2020-09-15,1.5045439660938347,2.177447753844019,60.0,40.0,10,-11.862037440953333,43.8
SECONDARY,2020-09-16,1.984912232783752,3.0563197859998805,68.42105263157895,31.57894736842105,19,-13.494850082151979,44.526315789473685
SECONDARY,2020-09-17,1.309179897834299,2.5913294783110405,66.66666666666666,33.33333333333333,18,-13.520428418755376,47.0
SECONDARY,2020-09-18,-36.15241886980152,-36.15241886980152,0.0,100.0,1,-45.82692482530931,161.0
SECONDARY,2020-09-21,-3.709790600375055,-4.065342908475368,0.0,100.0,4,-13.021677860351828,35.75
