date,mode,equity,cash,invested,stock_val,n_pos
2023-02-10,A2,1106650.1178045126,1106650.1178045126,0.0,0.0,0
2023-02-13,A2,1106650.1178045126,1106650.1178045126,0.0,0.0,0
2023-02-14,A2,1106650.1178045126,1106650.1178045126,0.0,0.0,0
2023-02-15,A2,1106650.1178045126,1106650.1178045126,0.0,0.0,0
2023-02-16,A2,1106650.1178045126,1106650.1178045126,0.0,0.0,0
2023-02-17,A2,1106650.1178045126,1106650.1178045126,0.0,0.0,0
2023-02-20,A2,1115873.8582499127,740979.8582499127,365670.25955459994,374894.0,2
2023-02-21,A2,1116400.0735555128,547296.0735555127,559354.0442489999,569104.0,3
2023-02-22,A2,1106797.8950195126,383489.89501951274,723160.2227849999,723308.0,3
2023-02-23,A2,1113474.0950715127,183438.09507151274,923212.0227329999,930036.0,3
2023-02-24,A2,1089952.0950715127,183438.09507151274,923212.0227329999,906514.0,3
2023-02-27,A2,1081536.0950715127,183438.09507151274,923212.0227329999,898098.0,3
2023-02-28,A2,1089517.6388868727,343.6388868727372,1106306.47891764,1089174.0,3
2023-03-01,A2,1102214.6388868727,343.6388868727372,1106306.47891764,1101871.0,3
2023-03-02,A2,1079962.6388868727,343.6388868727372,1106306.47891764,1079619.0,3
2023-03-03,A2,1091256.6388868727,343.6388868727372,1106306.47891764,1090913.0,3
2023-03-06,A2,1092801.6388868727,343.6388868727372,1106306.47891764,1092458.0,3
2023-03-07,A2,1065032.6388868727,343.6388868727372,1106306.47891764,1064689.0,3
2023-03-08,A2,1059361.6388868727,343.6388868727372,1106306.47891764,1059018.0,3
2023-03-09,A2,1047916.6388868727,343.6388868727372,1106306.47891764,1047573.0,3
2023-03-10,A2,1051113.6388868727,343.6388868727372,1106306.47891764,1050770.0,3
2023-03-13,A2,1036347.6388868727,343.6388868727372,1106306.47891764,1036004.0,3
2023-03-14,A2,1022321.6388868727,343.6388868727372,1106306.47891764,1021978.0,3
2023-03-15,A2,1022658.6388868727,343.6388868727372,1106306.47891764,1022315.0,3
2023-03-16,A2,1004945.6388868727,343.6388868727372,1106306.47891764,1004602.0,3
2023-03-17,A2,999369.6388868727,343.6388868727372,1106306.47891764,999026.0,3
2023-03-20,A2,1008199.6388868727,343.6388868727372,1106306.47891764,1007856.0,3
2023-03-21,A2,1035676.6388868727,343.6388868727372,1106306.47891764,1035333.0,3
2023-03-22,A2,1024578.6388868727,343.6388868727372,1106306.47891764,1024235.0,3
2023-03-23,A2,1033402.6388868727,343.6388868727372,1106306.47891764,1033059.0,3
2023-03-24,A2,1044664.6388868727,343.6388868727372,1106306.47891764,1044321.0,3
2023-03-27,A2,1055241.6388868727,343.6388868727372,1106306.47891764,1054898.0,3
2023-03-28,A2,1036489.6388868727,343.6388868727372,1106306.47891764,1036146.0,3
2023-03-29,A2,1046779.6388868727,343.6388868727372,1106306.47891764,1046436.0,3
2023-03-30,A2,1049057.6388868727,343.6388868727372,1106306.47891764,1048714.0,3
2023-03-31,A2,1064575.9417371128,330619.94173711276,775890.59311764,733956.0,2
2023-04-03,A2,1073116.9285761127,707416.9285761127,393735.58464240003,365700.0,1
2023-04-04,A2,1064318.9285761127,707416.9285761127,393735.58464240003,356902.0,1
2023-04-06,A2,1063841.9285761127,707416.9285761127,393735.58464240003,356425.0,1
2023-04-07,A2,1063152.9285761127,707416.9285761127,393735.58464240003,355736.0,1
2023-04-10,A2,1079370.9285761127,707416.9285761127,393735.58464240003,371954.00000000006,1
2023-04-11,A2,1068703.0785439126,523215.07854391274,577937.4346746,545488.0,2
2023-04-12,A2,1053075.0785439126,523215.07854391274,577937.4346746,529860.0,2
2023-04-13,A2,1056336.1082679129,160158.1082679128,940994.4049505999,896178.0,3
2023-04-14,A2,1065409.1082679129,160158.1082679128,940994.4049505999,905251.0,3
2023-04-17,A2,1075177.1082679129,160158.1082679128,940994.4049505999,915019.0,3
2023-04-18,A2,1070088.1082679129,160158.1082679128,940994.4049505999,909930.0,3
2023-04-19,A2,1063593.1082679129,160158.1082679128,940994.4049505999,903435.0,3
2023-04-20,A2,1040758.1082679128,160158.1082679128,940994.4049505999,880600.0,3
2023-04-21,A2,1021814.6214975528,917.6214975528101,1100234.89172096,1020897.0,4
2023-04-24,A2,1005394.6214975528,917.6214975528101,1100234.89172096,1004477.0,4
2023-04-25,A2,998962.6214975528,917.6214975528101,1100234.89172096,998045.0,4
2023-04-26,A2,1047298.6214975528,917.6214975528101,1100234.89172096,1046381.0,4
2023-04-27,A2,1048922.6214975528,917.6214975528101,1100234.89172096,1048005.0,4
2023-04-28,A2,1040091.6214975528,917.6214975528101,1100234.89172096,1039174.0,4
2023-05-04,A2,1035997.6214975528,917.6214975528101,1100234.89172096,1035080.0,4
2023-05-05,A2,1037594.6214975528,917.6214975528101,1100234.89172096,1036677.0,4
2023-05-08,A2,1028523.6214975528,917.6214975528101,1100234.89172096,1027606.0,4
2023-05-09,A2,1026150.6214975528,917.6214975528101,1100234.89172096,1025233.0,4
