pm,open,high,low,close,month_end_date,n_days,ts_code,bb_mid,bb_sd,bb_lower,bb_upper,bb_z,signal,prev_signal,NEW_EPISODE,next_open,f_close_1,f_maxhigh_1,f_minlow_1,ret_cc_1m,ret_ec_1m,mfe_1m,mae_1m,censored_1m,f_close_3,f_maxhigh_3,f_minlow_3,ret_cc_3m,ret_ec_3m,mfe_3m,mae_3m,censored_3m,f_close_6,f_maxhigh_6,f_minlow_6,ret_cc_6m,ret_ec_6m,mfe_6m,mae_6m,censored_6m,f_close_12,f_maxhigh_12,f_minlow_12,ret_cc_12m,ret_ec_12m,mfe_12m,mae_12m,censored_12m
2018-08,1568.1229,1580.8351,1404.1888,1435.2005,2018-08-31,23,399006,1777.0169099999998,124.57330566327977,1527.8702986734402,2026.1635213265595,-2.743897724958233,1,1.0,0,1433.6294,1411.3398,1461.108,1345.5798,-0.0166253425915055,-0.01554767222268183,0.018051484792543038,-0.06244472462209982,0,1329.3885,1645.445,1345.5798,-0.07372628423694105,-0.07271119021415162,0.14649137873070694,-0.06244472462209982,0,1535.6804,1918.218,1345.5798,0.07001105420462173,0.07118366852688696,0.3365505377123268,-0.06244472462209982,0,1610.8982,1927.0194,1345.5798,0.12242031688255417,0.12365036598719303,0.34268306065946885,-0.06244472462209982,0
2018-09,1433.6294,1461.108,1345.5798,1411.3398,2018-09-28,19,399006,1753.2722999999999,146.06547630697096,1461.141347386058,2045.4032526139417,-2.340953582223599,1,1.0,0,1380.6526,1275.5743,1388.1593,1184.9066,-0.09619618181248768,-0.07610770442905035,-0.016424464186441834,-0.16043847130223343,0,1250.5254,1580.8351,1184.9066,-0.11394449444421528,-0.0942505015381856,0.1200953165212233,-0.16043847130223343,0,1693.5475,1876.2018,1184.9066,0.1999573029825985,0.22662826260566926,0.3293763840571917,-0.16043847130223343,0,1627.5454,1918.218,1184.9066,0.15319174021734527,0.17882326082607602,0.3591468192139129,-0.16043847130223343,0
2018-10,1380.6526,1388.1593,1184.9066,1275.5743,2018-10-31,18,399006,1720.69303,175.03348832324167,1370.6260533535165,2070.7600066464834,-2.543048957454247,1,1.0,0,1291.882,1329.3885,1415.383,1286.3265,0.04218821279168128,0.029032450332151072,0.10960451304169427,0.00842930121749852,0,1227.9878,1461.108,1184.9066,-0.03730594133168086,-0.04945823225341006,0.14545111170709535,-0.07107990494948035,0,1623.7819,1751.97,1184.9066,0.27298104077512386,0.25691193158508274,0.3734754612099036,-0.07107990494948035,0,1671.3122,1918.218,1184.9066,0.31024292352080174,0.29370344969587014,0.5038073438764015,-0.07107990494948035,0
2022-04,2641.7521,2687.1525,2122.3178,2319.137,2022-04-29,19,399006,3017.2322350000004,341.65976319967797,2333.9127086006447,3700.551761399356,-2.0432468502063816,1,0.0,1,2263.9198,2405.0849,2426.5755,2187.4377,0.037060294411239925,0.06235428481167915,0.04632693109548924,-0.05678806383581492,0,2670.4507,2905.1283,2122.3178,0.15148466865045052,0.17956947944887425,0.25267644817878354,-0.08486743129017404,0,2265.0784,3520.4661,2122.3178,-0.02330979153021162,0.000511767245465089,0.5180069568981909,-0.08486743129017404,0,2324.7152,3576.119,2122.3178,0.002405291278609223,0.026854043151175233,0.5420042024252987,-0.08486743129017404,0
2024-01,1889.0226,1889.0226,1573.1644,1573.3719,2024-01-31,22,399006,2256.9399999999996,294.00366047601784,1668.932679047964,2844.947320952035,-2.325032616577775,1,0.0,1,1567.8317,1807.0344,1829.1432,1482.9858,0.1485106604484292,0.15256911822869768,0.16256251938909028,-0.057447384181705696,0,1858.3934,1934.0906,1482.9858,0.1811532924923851,0.18532709856549023,0.22926474026897248,-0.057447384181705696,0,1688.1419,2122.6238,1482.9858,0.0729452458125126,0.07673668034649395,0.3490922267011376,-0.057447384181705696,0,2063.8199,2463.2724,1482.9858,0.31171778268062367,0.31635296058881823,0.5656008601653555,-0.057447384181705696,0
2022-03,1254.5696,1259.677,1070.7745,1091.0588,2022-03-31,23,000688,1380.226675,116.5080426921267,1147.2105896157466,1613.2427603842532,-2.4819563381055842,1,0.0,1,1085.3059,947.1508,1095.4553,853.2135,-0.13189756592403634,-0.12729600014152698,0.004029572008401372,-0.21799494216077087,0,1105.6672,1263.9658,853.2135,0.013389195889350836,0.018760885755803924,0.15847633509761327,-0.21799494216077087,0,939.3763,1489.7134,853.2135,-0.13902321304772947,-0.13445941830777852,0.3653832405732853,-0.21799494216077087,0,1081.5406,1639.1861,853.2135,-0.008723819467841731,-0.003469344449339107,0.5023810815695724,-0.21799494216077087,0
2022-04,1085.3059,1095.4553,853.2135,947.1508,2022-04-29,19,000688,1356.4224399999998,150.83634886289468,1054.7497422742103,1658.0951377257893,-2.713348891599162,1,1.0,0,944.5541,1035.3156,1050.0646,929.8231,0.09308422692563845,0.0960892552369419,0.108656192868126,-0.018294552461973423,0,1088.9128,1259.677,853.2135,0.14967204799911493,0.15283264346637226,0.32996456319310496,-0.09917882136614364,0,1010.3269,1479.0866,853.2135,0.06670120534132473,0.06963370335272501,0.5616167985076927,-0.09917882136614364,0,1087.8686,1639.1861,853.2135,0.14856958363969075,0.15172714829145306,0.7306495438741116,-0.09917882136614364,0
2024-01,850.9687,850.9687,681.3837,684.8518,2024-01-31,22,000688,972.1876749999999,102.43055487882538,767.3265652423491,1177.0487847576505,-2.8051773744652286,1,0.0,1,680.7177,807.707,811.6468,635.7395,0.17938946791115962,0.18655207584583144,0.18514224537337842,-0.07171230330416012,0,767.4642,880.0279,635.7395,0.12062814173811032,0.12743388338513895,0.2849902708878038,-0.07171230330416012,0,743.3737,947.9514,635.7395,0.08545191821062592,0.09204402941189849,0.38417012264551254,-0.07171230330416012,0,955.09,1171.3049,635.7395,0.3945936916570856,0.40306326690197714,0.7103041855186774,-0.07171230330416012,0
2011-09,1845.465,1859.823,1678.424,1684.497,2011-09-30,21,000016,2005.4073,156.21190296453113,1692.983494070938,2317.8311059290622,-2.0543268080721395,1,0.0,1,1688.411,1792.051,1827.02,1657.346,0.06384932712851366,0.06138315848451592,0.08460863984916567,-0.01611816465093141,0,1617.613,1919.884,1657.346,-0.039705621321973306,-0.041931733446417985,0.13973726281495313,-0.01611816465093141,0,1705.633,2117.834,1657.346,0.012547365771503394,0.01020012307429874,0.25725008711799413,-0.01611816465093141,0,1613.092,2308.039,1657.346,-0.04238950855952839,-0.04460939901481331,0.37016509973006784,-0.01611816465093141,0
2011-11,1777.463,1843.95,1657.631,1662.748,2011-11-30,22,000016,1946.8900999999998,138.88025618264817,1669.1295876347035,2224.650612365296,-2.0459502870322384,1,0.0,1,1717.715,1617.613,1745.928,1571.513,-0.027144822907620436,-0.058276256538482785,0.05002562023830426,-0.05487001036837824,0,1822.769,1843.95,1571.513,0.0962388768472433,0.06115915620460899,0.10897742772807417,-0.05487001036837824,0,1804.593,2040.086,1571.513,0.0853075751707415,0.050577656945418825,0.22693637279972667,-0.05487001036837824,0,1547.759,2214.838,1571.513,-0.0691559995862272,-0.0989430726284628,0.3320346799394738,-0.05487001036837824,0
