anchor_day,n,n_failure,n_recovery,failure_component,recovery_component
395,3,2,1,7.582230123922208,-2.231562898040012
396,3,2,1,-0.8663110315215518,-5.356159213686489
397,14,8,6,2.6090109766591714,-6.2253969753986365
398,3,2,1,-1.3382572761027853,-3.307986609214087
399,1,0,1,0.0,-28.274931130228687
400,2,2,0,6.857504308218694,0.0
401,4,3,1,-4.01524453388574,-5.429573532990757
402,7,4,3,-0.854100018435098,-8.379562527059145
403,15,12,3,1.119358414377625,-1.6265459783530067
404,16,10,6,-3.4872576220602176,-5.742310111743979
405,7,7,0,-3.512976033395127,0.0
406,2,2,0,-7.34359176879571,0.0
407,3,2,1,-1.8705764799926203,-2.547116635659451
409,1,1,0,10.228571095598737,0.0
413,2,1,1,-4.377754775820482,-11.980967029486715
414,1,1,0,10.22225399792683,0.0
415,5,4,1,2.775534328250835,-3.0874123994773206
416,4,3,1,-5.782813155460771,-3.1668861286392325
417,12,7,5,-4.564515102891423,-6.14725795266432
418,3,3,0,-6.401338208814597,0.0
420,1,1,0,-11.209127395239411,0.0
421,8,6,2,-2.156587315600958,-1.5185561565411707
422,6,5,1,-2.117705079292101,-2.1065786376689277
423,22,15,7,-4.2680263518984685,-3.76100396270426
424,1,0,1,0.0,-10.370006823933798
425,1,1,0,-18.15495982544461,0.0
426,3,3,0,-1.0783121466539665,0.0
427,7,4,3,-2.8469374844712547,-6.216104989224443
428,7,6,1,2.6370075561659783,-7.121103293529075
429,4,3,1,-1.3841696117704412,-2.543187089960278
430,6,4,2,-1.9567280993286877,-4.33324704983038
431,11,8,3,-5.0008851111378085,-3.8207330288578234
432,3,2,1,-1.1432774608922902,-4.640050350202048
433,6,6,0,5.284667943176539,0.0
434,10,8,2,-1.63425548832857,-2.325897408260551
435,5,2,3,-2.798911861958479,-5.694083252725316
436,10,3,7,-1.6478720958938635,-8.502188161655903
437,7,1,6,-1.7002928363754464,-8.772910148455555
438,24,12,12,-3.6232942501045655,-6.987709523170122
439,48,27,21,-3.998777625203001,-6.602191953008184
440,16,11,5,-3.665840404283641,-3.710780281230153
441,6,4,2,-0.9195070610940649,-3.7554579868555464
442,16,12,4,-2.4929429731252766,-3.456377009912222
443,4,1,3,-1.7952510762717084,-8.396744834993969
444,2,2,0,0.8632106048652695,0.0
445,10,8,2,-4.553501614866017,-2.8424160218393433
446,5,1,4,4.5240606730286546,-11.131457871989266
447,4,3,1,-3.9632797362577534,-2.655768357748473
448,9,7,2,-3.305445498673058,-2.119882254134187
451,1,0,1,0.0,-12.764660542415085
453,2,1,1,-2.546544836076653,-6.229927997646967
455,1,1,0,-1.97974760420494,0.0
463,1,1,0,13.76113150200908,0.0
467,1,0,1,0.0,-12.310054136968123
476,2,2,0,5.336368463155501,0.0
479,1,1,0,12.069135173463817,0.0
480,4,3,1,5.914139396792384,-2.754733881786452
481,4,3,1,7.486327093649447,-1.0003656409475763
482,1,0,1,0.0,-4.8399926596359775
486,3,3,0,1.733352387957109,0.0
487,7,4,3,0.4014862351195124,-4.166469995825525
488,3,2,1,15.267853062891755,-1.6866896857715012
489,7,6,1,11.941343490945416,-3.7968209735675678
490,8,7,1,5.878968609081347,-0.8963525901139264
491,8,6,2,4.306850780619405,-2.0856678607853505
493,3,1,2,-0.2074554962222296,-6.9015342655570295
494,2,2,0,2.0222217118771173,0.0
495,6,6,0,-3.807318994174478,0.0
496,3,2,1,-0.7556297492053107,-3.8824924077420313
497,6,4,2,2.914873689559912,-3.8064840729325073
498,10,8,2,-1.5140387149010213,-1.7642870746387018
499,15,14,1,1.5148864285058532,-0.8470852612084961
500,12,9,3,4.663830778874849,-2.964078629840761
501,26,22,4,-0.6960203289086766,-1.8320842732739009
502,21,15,6,10.207402292597806,-2.9500701415784305
503,36,29,7,0.5601699193177935,-2.924993055616187
504,34,22,12,6.178171117926014,-4.58308822833221
505,11,11,0,15.350787162323336,0.0
506,24,17,7,1.1446570699012455,-5.299795608316166
507,9,7,2,13.517778108410901,-3.798208842275386
508,5,4,1,13.487205101698233,-3.6938758408130163
509,34,26,8,7.152709849940598,-4.587484836313097
510,29,23,6,6.9889509640944345,-2.498133642408433
511,3,3,0,12.291165050126517,0.0
512,1,1,0,13.799738230672826,0.0
513,1,1,0,-5.198717580355181,0.0
514,3,3,0,6.307502872345306,0.0
515,1,1,0,31.914755388627817,0.0
516,14,13,1,12.15908622893493,-0.6964085258198491
518,11,9,2,0.42289618640702803,-1.9611471143571615
519,1,1,0,2.7866605417118517,0.0
520,2,2,0,16.435631462650726,0.0
522,3,3,0,21.435281258002153,0.0
523,8,7,1,9.928987689620005,-2.901765248912819
524,12,11,1,8.75298683344907,-0.3212761512835835
525,41,40,1,9.897524633189432,-0.44063371160436926
526,76,65,11,5.458442920185563,-1.582277593019102
527,214,182,32,7.31572191723061,-1.8172764474903933
529,7,5,2,10.93916801507355,0.22517652067743452
530,4,3,1,6.897864171931779,-8.278637111630069
531,151,117,34,0.9799208288458469,-3.507282416194537
532,97,66,31,5.600661324422034,-3.649271412872012
537,1,1,0,0.4902757231214636,0.0
539,1,1,0,26.981926825711344,0.0
