horizon_day,variable,bucket,count,pct
6,high_ret,<-20%,750,0.479978496963336
6,high_ret,-20~-15%,663,0.4243009913155891
6,high_ret,-15~-10%,2128,1.3618589887173054
6,high_ret,-10~-8%,2229,1.4264960929750348
6,high_ret,-8~-5%,7689,4.920739550868121
6,high_ret,-5~-3%,11532,7.3801493693082545
6,high_ret,-3~-2%,8572,5.485834234626289
6,high_ret,-2~-1%,10565,6.761297093890193
6,high_ret,-1~0%,12351,7.904285887992218
6,high_ret,0~+1%,12895,8.252430291122957
6,high_ret,+1~+2%,12799,8.19099304351165
6,high_ret,+2~+3%,11656,7.4595058141395265
6,high_ret,+3~+5%,19035,12.181854252929469
6,high_ret,+5~+8%,18526,11.856108846323684
6,high_ret,+8~+10%,7634,4.8855411277574765
6,high_ret,+10~+15%,9679,6.194282496144172
6,high_ret,+15~+20%,3877,2.481168843635805
6,high_ret,>=+20%,3677,2.3531745777789155
6,low_ret,<-20%,1687,1.0796316325028639
6,low_ret,-20~-15%,1942,1.242824321470398
6,low_ret,-15~-10%,7007,4.484279104296127
6,low_ret,-10~-8%,6428,4.113735704640432
6,low_ret,-8~-5%,18553,11.873388072214365
6,low_ret,-5~-3%,20015,12.809026155628228
6,low_ret,-3~-2%,11868,7.59517973594783
6,low_ret,-2~-1%,12553,8.033560096507676
6,low_ret,-1~0%,13275,8.495619396251048
6,low_ret,0~+1%,11739,7.512623434470135
6,low_ret,+1~+2%,10097,6.461790511785072
6,low_ret,+2~+3%,8336,5.334801000915159
6,low_ret,+3~+5%,11947,7.6457374709613015
6,low_ret,+5~+8%,10323,6.606424032203358
6,low_ret,+8~+10%,3654,2.3384552372053733
6,low_ret,+10~+15%,4121,2.63732184798121
6,low_ret,+15~+20%,1576,1.00859481495229
6,low_ret,>=+20%,1136,0.7270074300671331
6,close_ret,<-20%,984,0.6297317880158968
6,close_ret,-20~-15%,1282,0.8204432441426623
6,close_ret,-15~-10%,4428,2.833793046071536
6,close_ret,-10~-8%,4182,2.6763600990675616
6,close_ret,-8~-5%,13418,8.587135296338724
6,close_ret,-5~-3%,16088,10.2958587455282
6,close_ret,-3~-2%,10461,6.69474007564461
6,close_ret,-2~-1%,11694,7.483824724652336
6,close_ret,-1~0%,12631,8.083477860191863
6,close_ret,0~+1%,12298,7.870367407540142
6,close_ret,+1~+2%,11393,7.291193354537717
6,close_ret,+2~+3%,9902,6.336996102574605
6,close_ret,+3~+5%,15611,9.990592421459517
6,close_ret,+5~+8%,14285,9.14199043882834
6,close_ret,+8~+10%,5484,3.509602769795913
6,close_ret,+10~+15%,7039,4.50475818683323
6,close_ret,+15~+20%,2652,1.6972039652623565
6,close_ret,>=+20%,2425,1.5519304735147865
7,high_ret,<-20%,645,0.41556332991862693
7,high_ret,-20~-15%,716,0.4613075104212975
7,high_ret,-15~-10%,2801,1.8046401350419752
7,high_ret,-10~-8%,2732,1.7601845230041686
7,high_ret,-8~-5%,8605,5.5440658200771855
7,high_ret,-5~-3%,11624,7.4891599177893315
7,high_ret,-3~-2%,8476,5.46095315409346
7,high_ret,-2~-1%,10174,6.554947780762961
7,high_ret,-1~0%,11319,7.292653226897578
