ts_code,stock_name,n_episodes,total_pnl,mean_ret_pct,best_ret_pct,worst_ret_pct,mean_pnl_per_ep
000529.SZ,广弘控股,14,236273.53905450102,5.59539450401613,31.402744106585505,-8.082695912142727,16876.681361035786
000530.SZ,冰山冷热,15,201010.46228604115,4.699899259865787,15.230572430245576,-3.846177188850293,13400.697485736076
000531.SZ,穗恒运A,18,383803.7384975406,5.748682312991201,27.319262683931605,-6.603793660845161,21322.429916530033
000532.SZ,华金资本,13,411310.6965016206,8.2538898995979,23.043436600789896,-2.9344510188997472,31639.284346278506
000533.SZ,顺钠股份,17,533514.4432912805,7.725957493153307,20.84393406502245,-3.990269527916258,31383.202546545916
000534.SZ,万泽股份,17,435896.76151998143,7.459256666151372,21.233650760074905,-3.990395043985351,25640.985971763614
000536.SZ,华映科技,13,127171.74687840068,4.473678442403452,20.921827372442365,-9.234039129964303,9782.442067569284
000537.SZ,绿发电力,10,-240242.90300423917,1.5055303981754335,29.984187883475546,-20.069486547033936,-24024.290300423916
000538.SZ,云南白药,15,96738.06514734059,4.0252623036018464,12.605428725736145,-28.907085523398695,6449.20434315604
000539.SZ,粤电力A,9,96216.29259840067,3.8033905521728126,16.746982549097186,-13.443432647478856,10690.699177600074
000540.SZ,中天金融,13,232080.5477296802,6.008895632823548,22.25583890667238,-3.74865152258488,17852.349825360016
000541.SZ,佛山照明,16,179565.195925621,3.1674802265162043,9.119272901788156,-5.598552540831883,11222.824745351312
000543.SZ,皖能电力,13,394216.86965490086,6.028370730344217,20.924850751689167,-1.0969009610767777,30324.374588838527
000544.SZ,中原环保,17,328614.0034750209,6.100840562642588,21.399240114465556,-2.5757129648256645,19330.23549853064
000545.SZ,金浦钛业,17,251884.86337836107,6.621717783170442,23.022892502827737,-12.611580960315528,14816.756669315357
000546.SZ,金圆股份,15,-304002.08334431914,1.7316749044745283,38.41223960543768,-33.08919999015278,-20266.80555628794
000547.SZ,航天发展,15,-63460.442323437914,2.9987286791819865,19.287759559908316,-26.406713075396837,-4230.696154895861
000548.SZ,湖南投资,16,333357.4342927807,6.730533004780504,32.77911518919889,-2.996027584205664,20834.839643298794
000550.SZ,江铃汽车,10,278790.3213321606,7.367818928488754,15.365641436208582,2.0507213025461004,27879.03213321606
000551.SZ,创元科技,17,291689.785353961,4.1911193165894165,15.07360963152098,-2.820438184500236,17158.222667880058
000552.SZ,甘肃能化,13,291385.2695697006,7.804683855845702,24.33259412211433,-13.317096487426324,22414.251505361583
000553.SZ,安道麦A,13,-63448.942278599076,1.6277911597545762,8.643639931103888,-9.93256585547554,-4880.687867584545
000554.SZ,泰山石油,14,328467.5104755604,6.485143429980111,18.846886060071174,-1.0153014979126047,23461.965033968598
000555.SZ,神州信息,12,-35179.50709097918,0.91306482578534,10.420730874896169,-13.178429493685687,-2931.6255909149318
000557.SZ,西部创业,14,124875.05738868058,2.821148339341069,9.84513801752485,-6.864916307637685,8919.646956334327
000558.SZ,莱茵体育,18,484527.35860452097,9.059900097577879,25.236347018655973,-1.9027054873826048,26918.186589140052
