ts_code,report_period,n_versions,ann_dates
000036.SZ,20200930,2,20201031;20201031
000036.SZ,20201231,2,20210420;20210420
000036.SZ,20210930,2,20211027;20211027
000036.SZ,20211231,2,20220429;20220429
000036.SZ,20221231,2,20230414;20230414
000036.SZ,20230930,2,20231031;20231031
000037.SZ,20171231,2,20180322;20180322
000037.SZ,20180930,2,20181026;20181026
000037.SZ,20190630,2,20190816;20190816
000037.SZ,20190930,2,20191025;20191025
000037.SZ,20191231,2,20200320;20200320
000037.SZ,20200331,2,20200421;20200421
000037.SZ,20200630,2,20200814;20200814
000037.SZ,20200930,2,20201027;20201027
000037.SZ,20201231,2,20210326;20210326
000037.SZ,20211231,2,20220325;20220325
000037.SZ,20220331,2,20220427;20220427
000037.SZ,20220930,2,20221026;20221026
000037.SZ,20221231,2,20230407;20230407
000037.SZ,20240930,2,20241025;20241025
000038.SZ,20180930,2,20181031;20181031
000038.SZ,20181231,2,20190430;20190430
000038.SZ,20191231,2,20200423;20200423
000038.SZ,20200331,2,20200423;20200423
000038.SZ,20200630,2,20200825;20200825
000038.SZ,20200930,2,20201028;20201028
000038.SZ,20201231,2,20210410;20210410
000038.SZ,20211231,2,20220430;20220430
000038.SZ,20220331,2,20220430;20220430
000039.SZ,20180630,2,20180829;20180829
000039.SZ,20180930,2,20181030;20181030
000039.SZ,20181231,2,20190328;20190328
000039.SZ,20190630,2,20190828;20190828
000039.SZ,20190930,2,20191029;20191029
000039.SZ,20191231,2,20200327;20200327
000039.SZ,20200331,2,20200430;20200430
000039.SZ,20200630,2,20200828;20200828
000039.SZ,20200930,2,20201028;20201028
000039.SZ,20201231,2,20210330;20210330
000039.SZ,20211231,2,20220329;20220329
000039.SZ,20220331,2,20220428;20220428
000039.SZ,20221231,2,20230329;20230329
000039.SZ,20230630,2,20230830;20230830
000039.SZ,20240331,2,20240430;20240430
000040.SZ,20180930,2,20181030;20181030
000040.SZ,20181231,2,20190430;20190430
000040.SZ,20191231,2,20200530;20200530
000040.SZ,20200331,2,20200430;20200430
000040.SZ,20200630,2,20200829;20200829
000040.SZ,20200930,2,20201031;20201031
000040.SZ,20201231,2,20210430;20210430
000040.SZ,20210930,2,20211030;20211030
000040.SZ,20211231,2,20220427;20220427
000040.SZ,20220331,2,20220427;20220427
000040.SZ,20221231,2,20230428;20230428
000040.SZ,20230630,2,20230831;20230831
000040.SZ,20230930,2,20231028;20231028
000040.SZ,20231231,2,20240705;20240705
000042.SZ,20180930,2,20181030;20181030
000042.SZ,20181231,2,20190413;20190413
000042.SZ,20190630,2,20190816;20190816
000042.SZ,20190930,2,20191029;20191029
000042.SZ,20191231,2,20200428;20200428
000042.SZ,20200331,2,20200428;20200428
000042.SZ,20200630,2,20200821;20200821
000042.SZ,20200930,2,20201028;20201028
000042.SZ,20201231,2,20210413;20210413
000042.SZ,20210930,2,20211027;20211027
000042.SZ,20211231,2,20220413;20220413
000042.SZ,20220331,2,20220428;20220428
000042.SZ,20221231,2,20230412;20230412
000042.SZ,20230630,2,20230818;20230818
000045.SZ,20180930,2,20181030;20181030
000045.SZ,20181231,2,20190427;20190427
000045.SZ,20190630,2,20190821;20190821
000045.SZ,20191231,2,20200314;20200314
000045.SZ,20200331,2,20200430;20200430
000045.SZ,20200630,2,20200820;20200820
000045.SZ,20200930,2,20201031;20201031
000045.SZ,20201231,2,20210312;20210312
000045.SZ,20210930,2,20211030;20211030
000045.SZ,20211231,2,20220317;20220317
000045.SZ,20220331,2,20220429;20220429
000045.SZ,20221231,2,20230404;20230404
000046.SZ,20180930,2,20181031;20181031
000046.SZ,20181231,2,20190417;20190417
000046.SZ,20191231,2,20200429;20200429
000046.SZ,20200331,2,20200430;20200430
000046.SZ,20200630,2,20200829;20200829
000046.SZ,20200930,2,20201031;20201031
000046.SZ,20201231,2,20210430;20210430
000046.SZ,20210930,2,20211030;20211030
000046.SZ,20211231,2,20220430;20220430
000046.SZ,20220331,2,20220430;20220430
000046.SZ,20221231,2,20230429;20230429
000046.SZ,20230630,2,20230831;20230831
000048.SZ,20180630,2,20180831;20180831
000048.SZ,20180930,2,20181031;20181031
000048.SZ,20181231,2,20190415;20190415
000048.SZ,20190630,2,20190831;20190831
000048.SZ,20191231,2,20200430;20200430
000048.SZ,20200331,2,20200430;20200430
000048.SZ,20200630,2,20200828;20200828
000048.SZ,20200930,2,20201031;20201031
000048.SZ,20201231,2,20210326;20210326
000048.SZ,20210930,2,20211029;20211029
000048.SZ,20211231,2,20220316;20220316
000048.SZ,20221231,2,20230315;20230315
000049.SZ,20180930,2,20181030;20181030
000049.SZ,20181231,2,20190430;20190430
000049.SZ,20190630,2,20190813;20190813
000049.SZ,20190930,2,20191029;20191029
000049.SZ,20191231,2,20200417;20200417
000049.SZ,20200331,2,20200430;20200430
000049.SZ,20200630,2,20200818;20200818
000049.SZ,20200930,2,20201030;20201030
000049.SZ,20201231,2,20210323;20210323
000049.SZ,20210930,2,20211029;20211029
000049.SZ,20211231,2,20220330;20220330
000049.SZ,20220331,2,20220426;20220426
000049.SZ,20220930,2,20221028;20221028
000049.SZ,20221231,2,20230428;20230428
000049.SZ,20230630,2,20230831;20230831
000050.SZ,20180930,2,20181026;20181026
000050.SZ,20181231,2,20190315;20190315
000050.SZ,20190630,2,20190821;20190821
000050.SZ,20191231,2,20200318;20200318
000050.SZ,20200331,2,20200425;20200425
000050.SZ,20200630,2,20200829;20200829
000050.SZ,20200930,2,20201028;20201028
000050.SZ,20201231,2,20210313;20210313
000050.SZ,20210930,2,20211030;20211030
000050.SZ,20211231,2,20220315;20220315
000050.SZ,20220331,2,20220430;20220430
000050.SZ,20221231,2,20230315;20230315
000050.SZ,20230630,2,20230831;20230831
000055.SZ,20180930,2,20181018;20181018
000055.SZ,20181231,2,20190130;20190130
000055.SZ,20190630,2,20190820;20190820
000055.SZ,20190930,2,20191026;20191026
000055.SZ,20191231,2,20200418;20200418
000055.SZ,20200331,2,20200418;20200418
000055.SZ,20200630,2,20200822;20200822
000055.SZ,20200930,2,20201021;20201021
000055.SZ,20201231,2,20210323;20210323
000055.SZ,20210930,2,20211030;20211030
000055.SZ,20211231,2,20220330;20220330
000055.SZ,20220331,2,20220428;20220428
000055.SZ,20221231,2,20230228;20230228
000056.SZ,20180930,2,20181030;20181030
000056.SZ,20181231,2,20190425;20190425
000056.SZ,20190930,2,20191029;20191029
000056.SZ,20191231,2,20200428;20200428
000056.SZ,20200331,2,20200429;20200429
000056.SZ,20200630,2,20200825;20200825
000056.SZ,20200930,2,20201027;20201027
000056.SZ,20201231,2,20210424;20210424
000056.SZ,20211231,2,20220428;20220428
000056.SZ,20220630,2,20220826;20220826
000056.SZ,20240331,2,20240430;20240430
000058.SZ,20180630,2,20180831;20180831
000058.SZ,20180930,2,20181030;20181030
000058.SZ,20181231,2,20190430;20190430
000058.SZ,20190630,2,20190827;20190827
000058.SZ,20191231,2,20200428;20200428
000058.SZ,20200331,2,20200428;20200428
000058.SZ,20200630,2,20200825;20200825
000058.SZ,20200930,2,20201029;20201029
000058.SZ,20201231,2,20210427;20210427
000058.SZ,20211231,2,20220318;20220318
000058.SZ,20220331,2,20220429;20220429
000059.SZ,20180930,2,20181023;20181023
000059.SZ,20181231,2,20190420;20190420
000059.SZ,20190630,2,20190821;20190821
000059.SZ,20190930,2,20191022;20191022
000059.SZ,20191231,2,20200403;20200403
000059.SZ,20200331,2,20200414;20200414
000059.SZ,20200630,2,20200812;20200812
000059.SZ,20200930,2,20201030;20201030
000059.SZ,20201231,2,20210410;20210410
000059.SZ,20211231,2,20220413;20220413
000059.SZ,20220331,2,20220427;20220427
000059.SZ,20221231,2,20230414;20230414
000059.SZ,20240331,2,20240427;20240427
000060.SZ,20180630,2,20180829;20180829
000060.SZ,20180930,2,20181030;20181030
000060.SZ,20181231,2,20190330;20190330
000060.SZ,20190630,2,20190829;20190829
000060.SZ,20190930,2,20191028;20191028
000060.SZ,20191231,2,20200310;20200310
000060.SZ,20200331,2,20200430;20200430
000060.SZ,20200630,2,20200829;20200829
000060.SZ,20200930,2,20201029;20201029
000060.SZ,20201231,2,20210331;20210331
000060.SZ,20210930,2,20211030;20211030
000060.SZ,20211231,2,20220329;20220329
000060.SZ,20220331,2,20220428;20220428
000060.SZ,20221231,2,20230410;20230410
000060.SZ,20230630,2,20230830;20230830
000060.SZ,20230930,2,20231031;20231031
000060.SZ,20240331,2,20240429;20240429
000060.SZ,20240930,2,20241029;20241029
000061.SZ,20180930,2,20181030;20181030
000061.SZ,20181231,2,20190427;20190427
000061.SZ,20190630,2,20190828;20190828
000061.SZ,20190930,2,20191030;20191030
000061.SZ,20191231,2,20200429;20200429
000061.SZ,20200331,2,20200429;20200429
000061.SZ,20200630,2,20200829;20200829
000061.SZ,20200930,2,20201030;20201030
000061.SZ,20201231,2,20210429;20210429
000061.SZ,20210930,2,20211029;20211029
000061.SZ,20211231,2,20220426;20220426
000061.SZ,20220331,2,20220426;20220426
000061.SZ,20221231,2,20230427;20230427
000061.SZ,20230630,2,20230829;20230829
000062.SZ,20180930,2,20181026;20181026
000062.SZ,20181231,2,20190328;20190328
000062.SZ,20190630,2,20190828;20190828
000062.SZ,20190930,2,20191024;20191024
000062.SZ,20191231,2,20200326;20200326
000062.SZ,20200331,2,20200428;20200428
000062.SZ,20200630,2,20200820;20200820
000062.SZ,20200930,2,20201028;20201028
000062.SZ,20201231,2,20210310;20210310
000062.SZ,20210930,2,20211027;20211027
000062.SZ,20211231,2,20220311;20220311
000062.SZ,20220331,2,20220428;20220428
000062.SZ,20220630,2,20220826;20220826
