date,leg_A,action,gross_A,fee_A,net_A,shares_A,px_A,amt_A,leg_B,gross_B,fee_B,net_B,shares_B,px_B,amt_B,_merge,diff_type
2021-06-18,,buy,,,,,,,etf,256.55629999999996,5.0,-261.55629999999996,100.0,2.563,-261.55629999999996,right_only,ONLY_NEW
2021-07-06,etf,buy,653066.0136000001,163.26650340000003,-653229.2801034001,244900.0,2.664,-653229.2801034001,etf,640799.3592,160.19983979999998,-640959.5590398,240300.0,2.664,-640959.5590398,both,SAME_DAY_DIR_DIFF_SHARES
2021-07-06,etf,sell,167146.686,41.7866715,167104.89932849997,62900.0,2.66,167104.89932849997,etf,154922.922,38.7307305,154884.19126949998,58300.0,2.66,154884.19126949998,both,SAME_DAY_DIR_DIFF_SHARES
2021-07-09,etf,buy,9829.6198,5.0,-9834.6198,3700.0,2.654,-9834.6198,etf,9829.6198,5.0,-9834.6198,3700.0,2.654,-9834.6198,both,IDENTICAL
2021-07-09,etf,sell,198780.2208,49.695055200000006,198730.5257448,75600.0,2.632,198730.5257448,etf,198780.2208,49.695055200000006,198730.5257448,75600.0,2.632,198730.5257448,both,IDENTICAL
2021-07-09,etf,sell,198780.2208,49.695055200000006,198730.5257448,75600.0,2.632,198730.5257448,etf,199043.15760000004,49.76078940000001,198993.39681060004,75700.0,2.632,198993.39681060004,both,SAME_DAY_DIR_DIFF_SHARES
2021-07-09,etf,sell,199043.15760000004,49.76078940000001,198993.39681060004,75700.0,2.632,198993.39681060004,etf,198780.2208,49.695055200000006,198730.5257448,75600.0,2.632,198730.5257448,both,SAME_DAY_DIR_DIFF_SHARES
2021-07-09,etf,sell,199043.15760000004,49.76078940000001,198993.39681060004,75700.0,2.632,198993.39681060004,etf,199043.15760000004,49.76078940000001,198993.39681060004,75700.0,2.632,198993.39681060004,both,IDENTICAL
2021-07-21,etf,buy,492995.0024999999,123.24875062499996,-493118.2512506249,185500.0,2.655,-493118.2512506249,etf,492995.0024999999,123.24875062499996,-493118.2512506249,185500.0,2.655,-493118.2512506249,both,IDENTICAL
2021-07-23,etf,sell,198790.5105,49.697627625,198740.812872375,74500.0,2.671,198740.812872375,etf,198790.5105,49.697627625,198740.812872375,74500.0,2.671,198740.812872375,both,IDENTICAL
2021-07-27,etf,buy,812.6117999999999,5.0,-817.6117999999999,300.0,2.706,-817.6117999999999,etf,812.6117999999999,5.0,-817.6117999999999,300.0,2.706,-817.6117999999999,both,IDENTICAL
2021-07-27,etf,sell,199748.052,49.937013,199698.114987,74000.0,2.702,199698.114987,etf,199748.052,49.937013,199698.114987,74000.0,2.702,199698.114987,both,IDENTICAL
2021-07-29,etf,buy,2159.7575999999995,5.0,-2164.7575999999995,800.0,2.697,-2164.7575999999995,etf,2159.7575999999995,5.0,-2164.7575999999995,800.0,2.697,-2164.7575999999995,both,IDENTICAL
2021-07-29,etf,sell,198668.33279999995,49.66708319999999,198618.66571679997,73600.0,2.702,198618.66571679997,etf,198668.33279999995,49.66708319999999,198618.66571679997,73600.0,2.702,198618.66571679997,both,IDENTICAL
2021-08-02,,buy,,,,,,,etf,2977.3743999999997,5.0,-2982.3743999999997,1100.0,2.704,-2982.3743999999997,right_only,ONLY_NEW
2021-08-02,etf,sell,166384.449,41.59611225,166342.85288775,61800.0,2.695,166342.85288775,etf,153999.846,38.4999615,153961.3460385,57200.0,2.695,153961.3460385,both,SAME_DAY_DIR_DIFF_SHARES
2021-08-04,,buy,,,,,,,etf,622431.8099999999,155.60795249999998,-622587.4179524999,230300.0,2.7,-622587.4179524999,right_only,ONLY_NEW
2021-08-05,,buy,,,,,,,etf,220050.23039999997,55.012557599999994,-220105.2429576,81600.0,2.694,-220105.2429576,right_only,ONLY_NEW
2021-08-10,etf,buy,858391.9343999999,214.5979836,-858606.5323835999,316200.0,2.712,-858606.5323835999,,,,,,,,left_only,ONLY_OLD
2021-08-17,etf,buy,2733.731,5.0,-2738.731,1000.0,2.731,-2738.731,etf,3007.1040999999996,5.0,-3012.1040999999996,1100.0,2.731,-3012.1040999999996,both,SAME_DAY_DIR_DIFF_SHARES
2021-08-17,etf,sell,198690.7104,49.67267760000001,198641.0377224,72800.0,2.732,198641.0377224,etf,198690.7104,49.67267760000001,198641.0377224,72800.0,2.732,198641.0377224,both,IDENTICAL
2021-08-17,etf,sell,198690.7104,49.67267760000001,198641.0377224,72800.0,2.732,198641.0377224,etf,194323.8816,48.580970400000005,194275.3006296,71200.0,2.732,194275.3006296,both,SAME_DAY_DIR_DIFF_SHARES
2021-08-17,etf,sell,194323.8816,48.580970400000005,194275.3006296,71200.0,2.732,194275.3006296,etf,198690.7104,49.67267760000001,198641.0377224,72800.0,2.732,198641.0377224,both,SAME_DAY_DIR_DIFF_SHARES
2021-08-17,etf,sell,194323.8816,48.580970400000005,194275.3006296,71200.0,2.732,194275.3006296,etf,194323.8816,48.580970400000005,194275.3006296,71200.0,2.732,194275.3006296,both,IDENTICAL
2021-08-23,etf,buy,12607.394799999998,5.0,-12612.394799999998,4600.0,2.738,-12612.394799999998,etf,12881.468599999998,5.0,-12886.468599999998,4700.0,2.738,-12886.468599999998,both,SAME_DAY_DIR_DIFF_SHARES
2021-08-23,etf,sell,198580.221,49.64505525,198530.57594475,73000.0,2.723,198530.57594475,etf,198852.2487,49.713062175,198802.535637825,73100.0,2.723,198802.535637825,both,SAME_DAY_DIR_DIFF_SHARES
2021-08-30,etf,buy,242670.6282,60.667657049999995,-242731.29585705,87900.0,2.758,-242731.29585705,etf,242670.6282,60.667657049999995,-242731.29585705,87900.0,2.758,-242731.29585705,both,IDENTICAL
2021-09-14,etf,buy,213542.92959999997,53.385732399999995,-213596.31533239997,78200.0,2.728,-213596.31533239997,etf,213269.8568,53.3174642,-213323.17426419997,78100.0,2.728,-213323.17426419997,both,SAME_DAY_DIR_DIFF_SHARES
2021-09-23,etf,buy,3514.8113,5.0,-3519.8113,1300.0,2.701,-3519.8113,etf,3785.181399999999,5.0,-3790.181399999999,1400.0,2.701,-3790.181399999999,both,SAME_DAY_DIR_DIFF_SHARES
2021-09-23,etf,sell,198815.3856,49.7038464,198765.6817536,73600.0,2.704,198765.6817536,etf,198815.3856,49.7038464,198765.6817536,73600.0,2.704,198765.6817536,both,IDENTICAL
2021-09-27,etf,buy,646379.2335,161.594808375,-646540.828308375,236100.0,2.735,-646540.828308375,,,,,,,,left_only,ONLY_OLD
2021-09-29,,buy,,,,,,,etf,252912.2596,63.2280649,-252975.4876649,94700.0,2.668,-252975.4876649,right_only,ONLY_NEW
2021-09-29,etf,sell,192922.884,48.230721,192874.653279,72600.0,2.66,192874.653279,,,,,,,,left_only,ONLY_OLD
2021-09-30,etf,buy,2148.5463999999993,5.0,-2153.5463999999993,800.0,2.683,-2153.5463999999993,etf,3491.3878999999993,5.0,-3496.3878999999993,1300.0,2.683,-3496.3878999999993,both,SAME_DAY_DIR_DIFF_SHARES
2021-09-30,etf,sell,199100.3004,49.7750751,199050.5253249,74700.0,2.668,199050.5253249,,,,,,,,left_only,ONLY_OLD
2021-10-25,,buy,,,,,,,etf,240327.88779999997,60.08197195,-240387.96977195,87400.0,2.747,-240387.96977195,right_only,ONLY_NEW
2021-10-27,etf,buy,40118.077999999994,10.0295195,-40128.107519499994,14500.0,2.764,-40128.107519499994,,,,,,,,left_only,ONLY_OLD
2021-10-28,etf,buy,3031.3282999999997,5.0,-3036.3282999999997,1100.0,2.753,-3036.3282999999997,etf,1653.4518,5.0,-1658.4518,600.0,2.753,-1658.4518,both,SAME_DAY_DIR_DIFF_SHARES
2021-10-28,,sell,,,,,,,etf,198828.5724,49.7071431,198778.8652569,72400.0,2.749,198778.8652569,right_only,ONLY_NEW
2021-11-11,etf,buy,409710.301,102.42757525,-409812.7285752499,145400.0,2.815,-409812.7285752499,etf,409710.301,102.42757525,-409812.7285752499,145400.0,2.815,-409812.7285752499,both,IDENTICAL
2021-11-16,etf,sell,198607.5936,49.6518984,198557.9417016,70200.0,2.832,198557.9417016,etf,198607.5936,49.6518984,198557.9417016,70200.0,2.832,198557.9417016,both,IDENTICAL
2021-11-17,etf,sell,198884.916,49.721229,198835.194771,70100.0,2.84,198835.194771,etf,198884.916,49.721229,198835.194771,70100.0,2.84,198835.194771,both,IDENTICAL
2021-11-30,,buy,,,,,,,etf,410672.1619,102.668040475,-410774.829940475,147100.0,2.789,-410774.829940475,right_only,ONLY_NEW
2021-11-30,etf,sell,198892.908,49.723227,198843.184773,70600.0,2.82,198843.184773,etf,198892.908,49.723227,198843.184773,70600.0,2.82,198843.184773,both,IDENTICAL
2021-12-01,etf,buy,210504.89459999997,52.62622364999999,-210557.52082364995,75700.0,2.778,-210557.52082364995,,,,,,,,left_only,ONLY_OLD
2021-12-02,etf,buy,8228.22,5.0,-8233.22,3000.0,2.74,-8233.22,etf,6856.85,5.0,-6861.85,2500.0,2.74,-6861.85,both,SAME_DAY_DIR_DIFF_SHARES
2021-12-02,,sell,,,,,,,etf,198763.4376,49.6908594,198713.7467406,72800.0,2.733,198713.7467406,right_only,ONLY_NEW
2021-12-06,etf,buy,215815.6,53.9539,-215869.55389999997,78400.0,2.75,-215869.55389999997,etf,216090.87499999997,54.02271875,-216144.89771874997,78500.0,2.75,-216144.89771874997,both,SAME_DAY_DIR_DIFF_SHARES
2021-12-06,etf,sell,198567.8334,49.64195835,198518.19144165,72200.0,2.753,198518.19144165,etf,198842.8581,49.710714525,198793.147385475,72300.0,2.753,198793.147385475,both,SAME_DAY_DIR_DIFF_SHARES
2021-12-09,,buy,,,,,,,etf,409896.8874,102.47422185,-409999.36162185,144900.0,2.826,-409999.36162185,right_only,ONLY_NEW
2021-12-10,etf,buy,409982.3728,102.4955932,-410084.8683932,145600.0,2.813,-410084.8683932,,,,,,,,left_only,ONLY_OLD
2021-12-17,etf,sell,198607.5936,49.6518984,198557.9417016,70200.0,2.832,198557.9417016,etf,198607.5936,49.6518984,198557.9417016,70200.0,2.832,198557.9417016,both,IDENTICAL
2021-12-21,etf,buy,16400.684299999997,5.0,-16405.684299999997,5900.0,2.777,-16405.684299999997,etf,16400.684299999997,5.0,-16405.684299999997,5900.0,2.777,-16405.684299999997,both,IDENTICAL
