date,leg,action,gross,fee,net,shares,px
2021-11-17,stock,buy,198651.45299999998,51.649377779999995,-198703.10237778,8300,23.933909999999997
2021-11-29,stock,sell,400726.87200000003,504.91585872,400221.95614128,24700,16.223760000000002
2021-11-29,etf,buy,200267.8678,50.06696695,-200317.93476695,71300,2.806
2021-11-30,stock,buy,197873.67599999998,51.447155759999994,-197925.12315575997,5700,34.714679999999994
2021-11-30,etf,buy,1954.2522999999999,5.0,-1959.2522999999999,700,2.789
2021-12-02,etf,sell,198490.41090000002,49.62260272500001,198440.78829727502,72700,2.733
2021-12-02,stock,buy,191781.58999999997,49.86321339999999,-191831.45321339997,2300,83.38329999999999
2021-12-02,etf,buy,6582.576,5.0,-6587.576,2400,2.74
2021-12-06,etf,sell,198567.8334,49.64195835,198518.19144165,72200,2.753
2021-12-06,stock,buy,196996.8,51.219167999999996,-197048.019168,2400,82.082
2021-12-06,stock,sell,211604.184,266.62127183999996,211337.56272816,8300,25.49448
2021-12-06,etf,buy,212787.57499999998,53.196893749999994,-212840.77189374997,77300,2.75
2021-12-07,stock,sell,401861.73600000003,506.3457873600001,401355.39021264005,11100,36.20376
2021-12-07,etf,buy,401431.3303,100.35783257499999,-401531.68813257496,144100,2.783
2021-12-17,etf,sell,198890.51039999997,49.722627599999996,198840.78777239998,70300,2.832
2021-12-17,stock,buy,198998.8,51.739687999999994,-199050.539688,700,284.284
2021-12-21,etf,sell,199144.85580000002,49.786213950000004,199095.06958605003,72200,2.761
2021-12-21,stock,buy,189539.34999999998,49.28023099999999,-189588.630231,700,270.77049999999997
2021-12-21,etf,sell,189215.1954,47.30379885,189167.89160115,68600,2.761
2021-12-21,stock,buy,181981.79999999996,47.31526799999999,-182029.11526799996,300,606.6059999999999
2021-12-21,etf,buy,16400.684299999997,5.0,-16405.684299999997,5900,2.777
2021-12-27,etf,sell,198806.2947,49.701573675,198756.593126325,69900,2.847
2021-12-27,stock,buy,172432.25999999998,44.8323876,-172477.0923876,300,574.7742
2021-12-27,etf,buy,26255.4292,6.5638573,-26261.9930573,9200,2.851
2022-01-28,stock,sell,361510.128,455.50276127999996,361054.62523872004,600,602.51688
2022-02-07,stock,buy,193513.31999999995,50.313463199999994,-193563.63346319995,2700,71.67159999999998
2022-02-07,etf,sell,28059.412499999995,7.014853124999999,28052.397646874993,10500,2.675
2022-02-07,stock,buy,192824.63199999998,50.134404319999994,-192874.76640432,800,241.03078999999997
2022-02-07,etf,sell,196148.655,49.03716375,196099.61783625,73400,2.675
2022-02-07,stock,buy,180180.0,46.8468,-180226.8468,900,200.2
2022-02-07,etf,buy,18600.2817,5.0,-18605.2817,6900,2.693
2022-02-09,etf,sell,198838.962,49.7097405,198789.2522595,73500,2.708
2022-02-09,stock,buy,189189.0,49.189139999999995,-189238.18914,1000,189.189
2022-02-09,etf,buy,9536.526999999998,5.0,-9541.526999999998,3500,2.722
2022-02-11,etf,sell,173987.4384,43.49685960000001,173943.9415404,64600,2.696
2022-02-11,stock,buy,174374.19999999998,45.33729199999999,-174419.537292,2600,67.067
2022-02-28,stock,sell,770428.8000000002,970.7402880000002,769458.0597120002,10000,77.04288000000001
2022-03-01,stock,sell,560439.0,706.1531399999999,559732.84686,2200,254.745
2022-03-04,stock,buy,198175.97799999994,51.52575427999999,-198227.50375427995,1100,180.15997999999996
2022-03-04,stock,buy,194619.42499999996,50.601050499999985,-194670.02605049996,2500,77.84776999999998
2022-03-07,stock,buy,198576.37799999997,51.62985827999999,-198628.00785827998,10700,18.558539999999997
2022-03-08,stock,buy,187175.989,48.665757140000004,-187224.65475714,1100,170.15999
2022-03-08,stock,buy,195767.57199999996,50.89956871999999,-195818.47156871995,2600,75.29521999999999
2022-03-08,etf,buy,153974.42059999998,38.49360514999999,-154012.91420514998,62200,2.473
2022-03-09,stock,buy,199223.02399999998,51.79798623999999,-199274.82198624,11200,17.78777
2022-03-10,etf,sell,158202.83879999997,39.55070969999999,158163.28809029996,62200,2.546
2022-03-10,stock,buy,151342.191,39.348969659999995,-151381.53996966,900,168.15798999999998
2022-03-10,stock,buy,7355.347999999999,5.07355348,-7360.421553479999,100,73.55348
2022-03-11,stock,buy,4909.905,5.04909905,-4914.95409905,300,16.36635
2022-03-31,stock,sell,429140.43000000005,540.7169418,428599.7130582,22200,19.330650000000002
2022-04-01,stock,buy,198998.8,51.739687999999994,-199050.539688,2800,71.071
2022-04-06,etf,buy,24839.915099999995,6.209978774999999,-24846.125078774996,18100,1.371
2022-04-07,stock,buy,198993.79499999995,51.738386699999985,-199045.53338669994,2900,68.61854999999998
2022-04-07,etf,buy,947.3464,5.0,-952.3464,700,1.352
2022-04-14,stock,sell,851747.4,1073.201724,850674.198276,5000,170.34948
2022-04-15,stock,buy,196631.43499999997,51.12417309999999,-196682.55917309996,1700,115.66554999999998
2022-04-19,stock,buy,192802.60999999996,50.128678599999986,-192852.73867859997,1700,113.41329999999998
2022-04-20,etf,buy,261098.33749999997,65.27458437499999,-261163.61208437497,192500,1.355
2022-04-21,stock,buy,191891.69999999998,49.891842,-191941.591842,1800,106.60649999999998
2022-04-22,etf,sell,190456.5528,47.6141382,190408.9386618,142700,1.336
2022-04-22,stock,buy,198536.33799999996,51.619447879999996,-198587.95744787995,3100,64.04397999999999
2022-04-26,etf,sell,90941.1678,22.73529195,90918.43250805,68600,1.327
2022-04-26,stock,buy,90522.43199999999,23.535832319999997,-90545.96783231999,1600,56.576519999999995
2022-04-26,etf,buy,267.0668,5.0,-272.0668,200,1.334
2022-05-19,stock,sell,430773.79500000004,542.7749817000001,430231.02001830004,5700,75.57435000000001
2022-05-24,etf,buy,430163.5338,107.54088345,-430271.07468345,347400,1.237
2022-05-27,etf,sell,198719.082,49.6797705,198669.4022295,154800,1.285
2022-05-27,stock,buy,191591.39999999997,49.81376399999999,-191641.21376399996,2200,87.08699999999999
