date,ts_code,name,event_type,shares_before,shares_change,shares_after,cash_before,cash_change,cash_after,price,fee,reason
2023-02-01,300014.SZ,,SELL,2300,-2300,0,1453066.0,210571.3,1663637.29,91.66824000000001,265.65,TAKE_PROFIT_DYN
2023-02-20,300750.SZ,,BUY,0,400,400,1663637.29,-166609.71,1497027.59,416.41599999999994,43.31,initial entry
2023-02-21,300014.SZ,,BUY,0,2600,2600,1497027.59,-193683.78,1303343.8,74.4744,50.34,initial entry
2023-02-22,300750.SZ,,BUY_ADD,400,400,800,1303343.8,-163806.18,1139537.62,409.40899999999993,42.58,level 2
2023-02-23,300014.SZ,,BUY_ADD,2600,2700,5300,1139537.62,-200051.8,939485.82,74.074,52.0,level 2
2023-03-08,300059.SZ,,BUY,0,9900,9900,939485.82,-198745.16,740740.67,20.07005,51.66,initial entry
2023-03-20,300750.SZ,,BUY_ADD,800,500,1300,740740.67,-187506.01,553234.66,374.91454,48.74,level 3
2023-03-20,300014.SZ,,BUY_ADD,5300,3200,8500,553234.66,-199098.6,354136.06,62.20213999999999,51.75,level 3
2023-03-23,300059.SZ,,BUY_ADD,9900,10600,20500,354136.06,-199000.48,155135.58,18.768749999999997,51.73,level 2
2023-03-31,300750.SZ,,SELL,1300,-1300,0,155135.58,536698.99,691834.58,413.36622000000006,677.09,TAKE_PROFIT_DYN
2023-04-03,300059.SZ,,SELL,20500,-20500,0,691834.58,424414.19,1116248.76,20.72925,535.44,TAKE_PROFIT_DYN
2023-04-11,000858.SZ,,BUY,0,1000,1000,1116248.76,-184201.85,932046.91,184.15397,47.88,initial entry
2023-04-13,000858.SZ,,BUY_ADD,1000,1100,2100,932046.91,-193843.99,738202.93,176.176,50.39,level 2
2023-04-13,600519.SH,,BUY,0,100,100,738202.93,-169212.98,568989.94,1691.6899999999998,43.98,initial entry
2023-04-21,300014.SZ,,BUY_ADD,8500,3000,11500,568989.94,-194344.62,374645.33,64.76469999999999,50.52,level 4
2023-04-25,300014.SZ,,BUY_ADD,11500,3200,14700,374645.33,-198682.08,175963.25,62.07200999999999,51.64,level 5
2023-05-22,000858.SZ,,SELL,2100,-2100,0,175963.25,368031.83,543995.08,175.47435000000002,464.31,TAKE_PROFIT_DYN
