date,leg,action,gross,fee,net,shares,px
2021-08-17,stock,buy,195675.47999999998,50.8756248,-195726.3556248,1200,163.06289999999998
2021-08-17,etf,buy,2733.7309999999998,5.0,-2738.7309999999998,1000,2.731
2021-08-23,etf,sell,198580.221,49.64505525,198530.57594475,73000,2.723
2021-08-23,stock,buy,185936.75099999996,48.34355525999999,-185985.09455525997,900,206.59638999999996
2021-08-23,etf,buy,12607.394799999998,5.0,-12612.394799999998,4600,2.738
2021-08-30,stock,sell,243056.69999999998,306.251442,242750.44855799997,1200,202.54725
2021-08-30,etf,buy,242670.62819999998,60.667657049999995,-242731.29585705,87900,2.758
2021-09-14,stock,sell,213662.12400000004,269.21427624000006,213392.90972376004,400,534.1553100000001
2021-09-14,etf,buy,213542.92959999997,53.385732399999995,-213596.31533239997,78200,2.728
2021-09-23,etf,sell,198815.3856,49.7038464,198765.68175360002,73600,2.704
2021-09-23,stock,buy,195026.832,50.70697632,-195077.53897632,1800,108.34823999999999
2021-09-23,etf,buy,3514.8113,5.0,-3519.8113,1300,2.701
2021-09-27,stock,sell,847479.672,1067.8243867200001,846411.84761328,3900,217.30248
2021-09-27,etf,buy,646379.2335,161.59480837499999,-646540.828308375,236100,2.735
2021-09-28,stock,buy,194254.05999999997,50.506055599999996,-194304.56605559998,2000,97.12702999999999
2021-09-29,etf,sell,192922.884,48.230720999999996,192874.653279,72600,2.66
2021-09-29,stock,buy,198888.68999999994,51.71105939999998,-198940.40105939994,11100,17.917899999999996
2021-09-30,etf,sell,199100.3004,49.7750751,199050.5253249,74700,2.668
2021-09-30,stock,buy,196478.28199999998,51.08435331999999,-196529.36635332,4600,42.712669999999996
2021-09-30,etf,buy,2148.5463999999993,5.0,-2153.5463999999993,800,2.683
2021-10-25,stock,sell,240615.144,303.17508144,240311.96891856001,4600,52.30764
2021-10-27,etf,buy,40118.077999999994,10.0295195,-40128.107519499994,14500,2.764
2021-10-28,stock,buy,197134.93799999997,51.255083879999994,-197186.19308387997,5400,36.50646999999999
2021-10-28,etf,buy,3031.3282999999997,5.0,-3036.3282999999997,1100,2.753
2021-11-09,stock,sell,410445.14400000003,517.1608814400001,409927.98311856005,3800,108.01188
2021-11-11,etf,buy,409710.301,102.42757524999999,-409812.72857524996,145400,2.815
2021-11-16,etf,sell,198607.5936,49.6518984,198557.94170159998,70200,2.832
2021-11-16,stock,buy,198758.55999999997,51.67722559999999,-198810.23722559997,13600,14.614599999999998
2021-11-17,etf,sell,198884.916,49.721229,198835.194771,70100,2.84
2021-11-17,stock,buy,198651.45299999998,51.649377779999995,-198703.10237778,8300,23.933909999999997
2021-11-30,etf,sell,198892.908,49.723227,198843.184773,70600,2.82
2021-11-30,stock,buy,197873.67599999998,51.447155759999994,-197925.12315575997,5700,34.714679999999994
2021-11-30,stock,sell,410350.239,517.04130114,409833.19769886,24700,16.61337
2021-12-01,etf,buy,210504.89459999997,52.62622364999999,-210557.52082364997,75700,2.778
2021-12-02,stock,buy,191781.58999999997,49.86321339999999,-191831.45321339997,2300,83.38329999999999
2021-12-02,etf,buy,8228.22,5.0,-8233.22,3000,2.74
2021-12-06,etf,sell,198567.8334,49.64195835,198518.19144165,72200,2.753
2021-12-06,stock,buy,196996.8,51.219167999999996,-197048.019168,2400,82.082
2021-12-06,stock,sell,214755.03000000003,270.5913378,214484.43866220003,8300,25.874100000000002
2021-12-06,etf,buy,215815.59999999998,53.9539,-215869.55389999997,78400,2.75
2021-12-09,stock,sell,410511.07800000004,517.2439582800001,409993.83404172,11100,36.982980000000005
2021-12-10,etf,buy,409982.3728,102.4955932,-410084.8683932,145600,2.813
2021-12-17,etf,sell,198607.5936,49.6518984,198557.94170159998,70200,2.832
2021-12-17,stock,buy,198998.8,51.739687999999994,-199050.539688,700,284.284
2021-12-21,etf,sell,199144.85580000002,49.786213950000004,199095.06958605003,72200,2.761
2021-12-21,stock,buy,189539.34999999998,49.28023099999999,-189588.630231,700,270.77049999999997
2021-12-21,etf,sell,189491.0193,47.372754825,189443.64654517503,68700,2.761
2021-12-21,stock,buy,181981.79999999996,47.31526799999999,-182029.11526799996,300,606.6059999999999
2021-12-21,etf,buy,16400.684299999997,5.0,-16405.684299999997,5900,2.777
2021-12-27,etf,sell,198806.2947,49.701573675,198756.593126325,69900,2.847
2021-12-27,stock,buy,172432.25999999998,44.8323876,-172477.0923876,300,574.7742
2021-12-27,etf,buy,26255.4292,6.5638573,-26261.9930573,9200,2.851
2022-02-07,etf,sell,198553.7475,49.638436875000004,198504.109063125,74300,2.675
2022-02-07,stock,buy,193513.31999999995,50.313463199999994,-193563.63346319995,2700,71.67159999999998
2022-02-07,etf,sell,193743.5625,48.435890625,193695.126609375,72500,2.675
2022-02-07,stock,buy,192824.63199999998,50.134404319999994,-192874.76640432,800,241.03078999999997
2022-02-07,etf,buy,5660.9553,5.0,-5665.9553,2100,2.693
2022-02-11,etf,sell,156750.29280000002,39.18757320000001,156711.10522680002,58200,2.696
2022-02-11,stock,buy,160960.8,41.849807999999996,-161002.649808,2400,67.067
2022-03-01,stock,sell,788111.1,993.019986,787118.080014,9800,80.4195
2022-03-04,stock,buy,198175.97799999994,51.52575427999999,-198227.50375427995,1100,180.15997999999996
2022-03-04,etf,buy,584695.7115999999,146.1739279,-584841.8855279,225700,2.588
2022-03-08,etf,sell,198911.88899999997,49.72797224999999,198862.16102774997,78700,2.53
2022-03-08,stock,buy,199170.97199999998,51.78445272,-199222.75645271997,900,221.30107999999998
2022-03-08,etf,sell,199164.63599999997,49.79115899999999,199114.84484099998,78800,2.53
2022-03-08,stock,buy,185777.59199999998,48.302173919999994,-185825.89417391998,400,464.44397999999995
2022-03-08,etf,sell,172373.454,43.0933635,172330.3606365,68200,2.53
2022-03-08,stock,buy,187175.989,48.665757140000004,-187224.65475714,1100,170.15999
2022-05-05,stock,sell,769238.991,969.2411286600001,768269.74987134,3100,248.14161000000001
2022-05-09,stock,buy,197397.19999999998,51.323272,-197448.523272,5800,34.034
2022-05-11,stock,buy,199719.52,51.9270752,-199771.44707519998,5800,34.4344
2022-05-13,etf,buy,168978.80999999997,42.244702499999995,-169021.05470249997,132400,1.275
2022-05-16,stock,buy,199094.89599999995,51.764672959999984,-199146.66067295996,6200,32.11207999999999
