ep,ts_code,entry_date,exit_date,hold_days,days,pnl,return_pct,exit_type,levels_used,in_0.1,n_days_in_0.1,in_0.2,n_days_in_0.2,in_0.5,n_days_in_0.5,in_0.75,n_days_in_0.75,in_1.0,n_days_in_1.0,in_1.5,n_days_in_1.5,in_2.0,n_days_in_2.0
300122.SZ|2020-11-12,300122.SZ,2020-11-12,2020-12-21,27,27,82452.34540584008,21.59,TAKE_PROFIT_DYN,2,0,0,1,1,1,1,1,2,1,2,1,4,1,4
300136.SZ|2020-10-13,300136.SZ,2020-10-13,2020-11-09,19,19,3092.143930660037,1.53,TAKE_PROFIT_DYN,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300274.SZ|2022-09-01,300274.SZ,2022-09-01,2022-10-12,23,23,39453.066744840005,12.73,TAKE_PROFIT_DYN,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1
300274.SZ|2022-12-07,300274.SZ,2022-12-07,2023-01-03,18,18,48201.52225410007,12.35,TAKE_PROFIT_DYN,2,0,0,0,0,0,0,1,1,1,1,1,1,1,2
300274.SZ|2026-07-02,300274.SZ,2026-07-02,2026-08-11,28,28,-31658.43649319996,-8.36,TAKE_PROFIT_DYN,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1
300308.SZ|2025-02-06,300308.SZ,2025-02-06,2025-05-08,61,61,44170.89691013994,5.7,TAKE_PROFIT_DYN,4,0,0,0,0,1,1,1,1,1,1,1,1,1,1
300308.SZ|2025-10-15,300308.SZ,2025-10-15,2025-10-24,7,7,64444.64491080004,37.31,TAKE_PROFIT_DYN,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
300308.SZ|2026-02-09,300308.SZ,2026-02-09,2026-03-18,21,21,5792.713827119995,3.44,TAKE_PROFIT_DYN,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2
300418.SZ|2023-06-27,300418.SZ,2023-06-27,2023-08-14,34,34,-21454.011303119943,-10.94,TAKE_PROFIT_DYN,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1
300502.SZ|2025-03-03,300502.SZ,2025-03-03,2025-05-08,44,44,87838.17433776014,25.69,TAKE_PROFIT_DYN,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1
300502.SZ|2026-01-13,300502.SZ,2026-01-13,2026-02-02,14,14,35345.03866740002,18.33,TAKE_PROFIT_DYN,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1
300750.SZ|2020-03-02,300750.SZ,2020-03-02,2020-04-15,31,31,-17564.68204523984,-4.33,TAKE_PROFIT_DYN,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2
300750.SZ|2021-02-01,300750.SZ,2021-02-01,2021-04-14,46,46,9928.487663820037,2.68,TAKE_PROFIT_DYN,2,0,0,1,1,1,2,1,2,1,3,1,4,1,4
300750.SZ|2021-08-17,300750.SZ,2021-08-17,2021-09-14,20,20,19148.41928376007,9.86,TAKE_PROFIT_DYN,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1
300750.SZ|2021-12-21,300750.SZ,2021-12-21,2022-06-02,106,106,-97943.60455811996,-18.13,TAKE_PROFIT_DYN,3,1,1,1,1,1,1,1,2,1,2,1,3,1,4
300750.SZ|2022-10-31,300750.SZ,2022-10-31,2022-12-07,27,27,22683.793246200046,12.59,TAKE_PROFIT_DYN,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
300750.SZ|2023-02-20,300750.SZ,2023-02-20,2023-03-31,29,29,18777.097441440157,3.63,TAKE_PROFIT_DYN,3,0,0,0,0,1,1,1,1,1,1,1,1,1,1
300750.SZ|2025-11-24,300750.SZ,2025-11-24,2026-02-06,52,52,12846.735693000024,1.78,TAKE_PROFIT_DYN,4,0,0,0,0,0,0,0,0,1,1,1,6,1,6
600030.SH|2020-09-08,600030.SH,2020-09-08,2020-10-12,18,18,6613.851740760059,3.34,TAKE_PROFIT_DYN,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
600030.SH|2021-11-17,600030.SH,2021-11-17,2021-12-06,13,13,15781.336284420046,7.94,TAKE_PROFIT_DYN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600030.SH|2025-01-02,600030.SH,2025-01-02,2025-02-07,20,20,-115.76196719997095,-0.03,TAKE_PROFIT_DYN,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1
600031.SH|2021-05-14,600031.SH,2021-05-14,2021-06-01,12,12,27818.873655840027,13.96,TAKE_PROFIT_DYN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
600031.SH|2021-06-15,600031.SH,2021-06-15,2021-08-03,35,35,26446.78991808009,4.43,TAKE_PROFIT_DYN,3,0,0,0,0,0,0,0,0,0,0,1,1,1,1
600036.SH|2022-07-14,600036.SH,2022-07-14,2022-08-31,34,34,-9253.682413919943,-1.57,TAKE_PROFIT_DYN,3,0,0,0,0,0,0,0,0,0,0,1,1,1,1
600111.SH|2021-09-30,600111.SH,2021-09-30,2021-10-25,12,12,43782.60256524003,22.28,TAKE_PROFIT_DYN,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
600150.SH|2024-09-23,600150.SH,2024-09-23,2024-12-18,57,48,25549.931969100027,6.49,TAKE_PROFIT_DYN,2,0,0,0,0,1,1,1,1,1,1,1,2,1,2
600276.SH|2023-08-01,600276.SH,2023-08-01,2023-08-28,19,19,13381.668178560212,2.24,TAKE_PROFIT_DYN,3,0,0,1,1,1,1,1,1,1,1,1,1,1,1
600276.SH|2026-08-21,600276.SH,2026-08-21,2026-08-25,2,2,-9625.774603499916,-2.44,FINAL_SETTLE,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600418.SH|2024-11-28,600418.SH,2024-11-28,2025-01-22,38,38,38096.99451360002,19.32,TAKE_PROFIT_DYN,1,0,0,0,0,1,1,1,1,1,1,1,2,1,3
600487.SH|2026-07-07,600487.SH,2026-07-07,2026-08-18,30,30,-69151.9018964399,-17.71,TAKE_PROFIT_DYN,2,0,0,0,0,1,1,1,2,1,2,1,2,1,2
600519.SH|2022-10-13,600519.SH,2022-10-13,2022-12-01,35,35,-3317.012517959927,-0.99,TAKE_PROFIT_DYN,2,0,0,0,0,0,0,0,0,0,0,1,2,1,2
600519.SH|2023-04-13,600519.SH,2023-04-13,2023-06-16,43,43,21578.429080440023,6.51,TAKE_PROFIT_DYN,2,1,1,1,1,1,1,1,1,1,2,1,4,1,5
600519.SH|2023-10-16,600519.SH,2023-10-16,2023-12-29,54,54,-440.7696889199433,-0.13,TAKE_PROFIT_DYN,2,0,0,0,0,1,1,1,2,1,3,1,6,1,7
600519.SH|2025-06-16,600519.SH,2025-06-16,2025-07-10,18,18,2204.277340319997,1.57,TAKE_PROFIT_DYN,1,1,1,1,1,1,1,1,2,1,2,1,2,1,5
600745.SH|2020-09-09,600745.SH,2020-09-09,2020-12-07,57,57,-12521.759578559984,-6.35,TAKE_PROFIT_DYN,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
600809.SH|2023-05-23,600809.SH,2023-05-23,2023-07-25,43,43,38917.840032540145,6.61,TAKE_PROFIT_DYN,3,0,0,0,0,0,0,0,0,1,2,1,3,1,5
601012.SH|2020-11-16,601012.SH,2020-11-16,2020-12-09,17,17,44963.39024784003,11.57,TAKE_PROFIT_DYN,2,0,0,0,0,1,1,1,2,1,2,1,2,1,2
601012.SH|2021-12-02,601012.SH,2021-12-02,2022-03-01,57,57,19851.603143400163,3.19,TAKE_PROFIT_DYN,4,0,0,0,0,0,0,1,1,1,1,1,1,1,1
601012.SH|2022-12-23,601012.SH,2022-12-23,2023-01-18,17,17,22382.58724128001,11.35,TAKE_PROFIT_DYN,1,0,0,0,0,0,0,0,0,0,0,1,2,1,3
601012.SH|2024-01-30,601012.SH,2024-01-30,2024-03-12,24,24,19728.62540352001,10.13,TAKE_PROFIT_DYN,1,0,0,0,0,0,0,1,1,1,3,1,3,1,3
601138.SH|2024-07-19,601138.SH,2024-07-19,2024-09-24,45,45,-48761.90547227982,-8.82,TAKE_PROFIT_DYN,3,0,0,0,0,0,0,1,1,1,1,1,1,1,1
601138.SH|2025-11-25,601138.SH,2025-11-25,2025-12-25,22,22,38151.08852940003,19.32,TAKE_PROFIT_DYN,1,0,0,0,0,0,0,0,0,0,0,1,2,1,2
601166.SH|2021-04-16,601166.SH,2021-04-16,2021-05-12,15,15,18968.43769794001,10.16,TAKE_PROFIT_DYN,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1
601318.SH|2020-03-02,601318.SH,2020-03-02,2020-04-17,33,33,-17726.73409781989,-3.03,TAKE_PROFIT_DYN,3,0,0,0,0,0,0,1,1,1,1,1,3,1,6
601318.SH|2021-01-29,601318.SH,2021-01-29,2021-02-25,14,14,55426.92252624011,9.42,TAKE_PROFIT_DYN,3,0,0,0,0,0,0,0,0,0,0,1,1,1,2
601318.SH|2023-11-10,601318.SH,2023-11-10,2024-01-25,53,53,-19102.226359200024,-4.76,TAKE_PROFIT_DYN,3,1,1,1,1,1,2,1,3,1,4,1,5,1,7
601318.SH|2024-03-25,601318.SH,2024-03-25,2024-04-29,23,23,32025.780640259967,8.1,TAKE_PROFIT_DYN,2,0,0,0,0,0,0,0,0,1,1,1,2,1,3
601888.SH|2022-08-09,601888.SH,2022-08-09,2022-09-26,33,33,27874.478903040057,7.19,TAKE_PROFIT_DYN,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2
601899.SH|2022-09-27,601899.SH,2022-09-27,2022-10-28,18,18,27654.88521276001,6.92,TAKE_PROFIT_DYN,2,1,1,1,1,1,1,1,2,1,2,1,2,1,2
601899.SH|2024-07-24,601899.SH,2024-07-24,2024-09-25,43,43,23685.022253150004,5.92,TAKE_PROFIT_DYN,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2
601899.SH|2026-03-20,601899.SH,2026-03-20,2026-04-15,17,17,49074.12763110007,12.36,TAKE_PROFIT_DYN,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1
601919.SH|2021-09-29,601919.SH,2021-09-29,2021-11-30,39,39,12082.559413860145,3.04,TAKE_PROFIT_DYN,2,0,0,0,0,0,0,1,1,1,1,1,1,1,1
601919.SH|2024-07-15,601919.SH,2024-07-15,2024-09-20,47,47,-320.17370615992695,-0.08,TAKE_PROFIT_DYN,2,0,0,0,0,0,0,1,1,1,1,1,1,1,4
603019.SH|2024-03-28,603019.SH,2024-03-28,2024-07-17,73,73,-12591.667527119862,-3.17,TAKE_PROFIT_DYN,2,1,1,1,1,1,2,1,2,1,3,1,4,1,5
688256.SH|2025-05-28,688256.SH,2025-05-28,2025-06-26,20,20,4541.464932840026,2.45,TAKE_PROFIT_DYN,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
688256.SH|2026-02-04,688256.SH,2026-02-04,2026-04-08,38,38,51051.05774010002,12.4,TAKE_PROFIT_DYN,3,0,0,0,0,0,0,1,1,1,1,1,1,1,1
688525.SH|2026-07-16,688525.SH,2026-07-16,2026-08-25,28,28,-71016.53428584,-19.37,FINAL_SETTLE,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688981.SH|2025-05-12,688981.SH,2025-05-12,2025-06-23,29,29,-951.4458161999936,-0.24,TAKE_PROFIT_DYN,2,0,0,0,0,1,1,1,1,1,1,1,1,1,1
