round,ts_code,name,entry_date,exit_date,exit_type,levels_used,shares,pnl,div_income,return_pct,hold_days
55,300014.SZ,,2023-02-21,2023-05-15,TAKE_PROFIT_DYN,5,14700,50934.968938980135,0.0,5.17,55
56,000858.SZ,,2023-04-11,2023-05-22,TAKE_PROFIT_DYN,2,2100,-11836.879780319985,0.0,-3.13,26
57,600519.SH,,2023-04-13,2023-06-15,TAKE_PROFIT_DYN,2,200,17437.802851440094,0.0,5.26,42
58,600809.SH,,2023-05-23,2023-07-25,TAKE_PROFIT_DYN,4,3800,76246.07502438,5378.4,9.82,43
59,300059.SZ,,2023-05-30,2023-07-25,TAKE_PROFIT_DYN,2,27900,12933.061394940014,0.0,3.24,38
60,300418.SZ,,2023-06-27,2023-08-14,TAKE_PROFIT_DYN,2,9200,-29776.937835599936,0.0,-7.58,34
61,600276.SH,,2023-08-01,2023-08-28,TAKE_PROFIT_DYN,3,14100,10285.125341039966,0.0,1.73,19
62,002475.SZ,,2023-09-08,2023-10-11,TAKE_PROFIT_DYN,1,6700,12311.447092560033,0.0,6.22,17
63,002594.SZ,,2023-08-15,2023-10-18,TAKE_PROFIT_DYN,4,3200,26774.578749599983,0.0,3.46,40
64,600519.SH,,2023-10-16,2023-11-01,TAKE_PROFIT_DYN,3,300,43402.916925720056,0.0,8.5,12
65,000977.SZ,,2023-10-20,2023-11-13,TAKE_PROFIT_DYN,2,13300,70653.31376796006,0.0,17.89,16
66,601012.SH,,2023-11-03,2023-12-28,TAKE_PROFIT_DYN,3,27300,-11141.912101319758,0.0,-1.87,39
67,002594.SZ,,2023-11-27,2024-01-11,TAKE_PROFIT_DYN,3,2700,-27439.916581439902,0.0,-4.89,32
68,002230.SZ,,2024-01-04,2024-02-08,TAKE_PROFIT_DYN,2,9400,12165.579035280098,0.0,3.09,25
69,000063.SZ,,2023-08-08,2024-02-22,TAKE_PROFIT_DYN,5,34400,-112131.80811161967,0.0,-11.32,129
70,000661.SZ,,2024-01-15,2024-02-28,TAKE_PROFIT_DYN,2,3100,18539.594627400045,0.0,4.8,26
71,601318.SH,,2024-03-25,2024-04-29,TAKE_PROFIT_DYN,2,10100,29908.511988300015,0.0,7.57,23
72,000628.SZ,,2024-04-01,2024-05-21,TAKE_PROFIT_DYN,3,8700,-133600.97646521986,0.0,-22.56,31
73,603019.SH,,2024-03-28,2024-06-19,TAKE_PROFIT_DYN,2,9000,-5097.192407519906,1295.4,-1.28,53
74,000977.SZ,,2024-05-29,2024-06-19,TAKE_PROFIT_DYN,1,5400,13089.71553515998,0.0,6.56,14
75,000625.SZ,,2024-05-07,2024-07-10,TAKE_PROFIT_DYN,2,28300,8694.006287060038,3649.52,2.18,45
76,600519.SH,,2024-07-09,2024-07-19,TAKE_PROFIT_DYN,1,100,9540.661470120045,0.0,6.71,8
77,300059.SZ,,2024-07-01,2024-07-31,TAKE_PROFIT_DYN,2,38400,13402.831036320073,0.0,3.36,22
78,002594.SZ,,2024-08-05,2024-08-30,TAKE_PROFIT_DYN,2,1600,21553.17208704003,0.0,5.85,19
79,601919.SH,,2024-07-15,2024-09-20,TAKE_PROFIT_DYN,4,64400,32409.470487240003,0.0,4.07,47
80,601899.SH,,2024-07-24,2024-09-25,TAKE_PROFIT_DYN,4,52400,89045.82912468014,1992.0,11.16,43
81,688256.SH,,2024-09-06,2024-09-30,TAKE_PROFIT_DYN,2,1700,77652.84757824003,0.0,21.64,14
82,600150.SH,,2024-09-23,2024-12-17,TAKE_PROFIT_DYN,2,11500,24287.157407700026,0.0,6.17,56
83,600418.SH,,2024-11-28,2025-01-22,TAKE_PROFIT_DYN,1,5700,36902.100323879975,0.0,18.71,38
84,600030.SH,,2025-01-02,2025-02-07,TAKE_PROFIT_DYN,2,14200,-2100.264598079957,0.0,-0.53,20
85,300059.SZ,,2025-01-03,2025-02-07,TAKE_PROFIT_DYN,2,17100,19949.19793812005,0.0,5.01,19
86,300308.SZ,,2025-02-06,2025-05-07,TAKE_PROFIT_DYN,4,9100,32634.228446820052,0.0,4.21,60
87,000063.SZ,,2025-03-04,2025-05-07,TAKE_PROFIT_DYN,2,12200,16661.973426640092,6361.27,4.21,42
88,300502.SZ,,2025-03-03,2025-05-08,TAKE_PROFIT_DYN,2,4900,109398.45037968003,0.0,28.09,44
89,688981.SH,,2025-05-12,2025-06-23,TAKE_PROFIT_DYN,2,4600,-2880.0469645200064,0.0,-0.74,29
90,688256.SH,,2025-05-28,2025-06-26,TAKE_PROFIT_DYN,1,300,3592.137970080046,0.0,1.94,20
91,600519.SH,,2025-06-16,2025-07-09,TAKE_PROFIT_DYN,1,100,4056.7541851999995,2213.84,2.89,17
92,300308.SZ,,2025-10-15,2025-10-24,TAKE_PROFIT_DYN,1,500,63256.73840640002,0.0,36.62,7
93,002460.SZ,,2025-11-25,2025-12-19,TAKE_PROFIT_DYN,1,3300,16969.960790639947,0.0,8.7,18
94,601138.SH,,2025-11-25,2025-12-25,TAKE_PROFIT_DYN,1,3500,36963.18202500002,0.0,18.71,22
