request_index,generator,formula,canonical_expression,expression_hash,family,expected_direction,lookback,status,eval_status,coverage,disc_ic,disc_days,q5q1_disc,ic_2020,ic_2021,ic_2022,n_same_sign,disc_pval,pass_discovery,fdr_pass,val_ic,val_q5q1,test_ic,test_q5q1
99,TEMPLATE,"diff(bb_z,gap_pct)","diff(bb_z,gap_pct)",f58e6e1e4c95e04b,BB_CONDITIONAL,NA,NA,PROPOSED,OK,1.0,-0.020407353439137604,608,0.0006124711967557295,-0.044829063844749766,-0.025364844564249332,0.0033252512207760294,2,0.030104711576849574,True,True,-0.008359236682166019,0.00018081166088002032,0.0037202202777415943,-0.00131939900702283
100,TEMPLATE,"interaction(bb_z,gap_pct)","interaction(bb_z,gap_pct)",1bc17cc2614cbae4,BB_CONDITIONAL,NA,NA,PROPOSED,OK,1.0,-0.026237687020375017,606,-0.003695482786235601,-0.05160904156421775,-0.025333850452804323,-0.00791993201611932,3,0.004527452672220766,True,True,-0.003848437033695944,2.694907592667956e-05,0.0024586730040866336,-0.000829574681864265
102,TEMPLATE,"max(bb_z,gap_pct)","max(bb_z,gap_pct)",76fc2c66dd45afdc,BB_CONDITIONAL,NA,NA,PROPOSED,OK,1.0,0.026200417505182677,606,0.003562851792262144,0.05134160439959728,0.027255381326372608,0.006007933827993234,3,0.003916671201545707,True,True,0.0024223206898397864,0.00047248150471284575,0.001970541505845581,0.005111587172215955
104,TEMPLATE,"diff(distance_to_lower_band,ret_5d)","diff(distance_to_lower_band,ret_5d)",830866afb3a4fc13,BB_CONDITIONAL,NA,NA,PROPOSED,OK,1.0,-0.03854302942452079,608,-0.006840992474368178,-0.08317507264120674,-0.04183788694879934,-0.0011747117690363072,3,8.4652760314885e-05,True,True,-0.03104607543230308,-0.002884538491066924,-0.054750715760973595,-0.0053503824560721495
105,TEMPLATE,"interaction(distance_to_lower_band,ret_5d)","interaction(distance_to_lower_band,ret_5d)",7c79f64451143b79,BB_CONDITIONAL,NA,NA,PROPOSED,OK,1.0,-0.026687342106209266,608,-0.0020297550213177083,0.020936439716386836,-0.07266552637746204,-0.015013859873145817,2,0.009077109698836017,True,True,-0.07961808949119799,-0.013395327281619613,-0.03248767406060189,0.001788125546440798
106,TEMPLATE,"min(distance_to_lower_band,ret_5d)","min(distance_to_lower_band,ret_5d)",27190575c437f65b,BB_CONDITIONAL,NA,NA,PROPOSED,OK,1.0,0.03791797501397494,608,0.0061754928741024565,0.046795182398339796,0.05512962562667037,0.013242526825544693,3,0.00011759555602175453,True,True,0.04876641939886168,0.007721023722478913,0.044900530355328004,0.00324417717472632
114,TEMPLATE,"diff(distance_to_lower_band,atr14_pct)","diff(distance_to_lower_band,atr14_pct)",71f03c22145cf43d,BB_CONDITIONAL,NA,NA,PROPOSED,OK,1.0,0.03479939705502451,608,0.0027993675064408403,-0.00954217103239696,0.09045069092828714,0.010555923871002322,2,0.000908121252149785,True,True,0.06310791220158017,0.01368141091203885,0.055113453335215765,0.006757931361725999
117,TEMPLATE,"max(distance_to_lower_band,atr14_pct)","max(atr14_pct,distance_to_lower_band)",b7680a340776f46a,BB_CONDITIONAL,NA,NA,PROPOSED,OK,1.0,-0.04479156667277601,608,-0.005461569710345564,-0.03401395000794111,-0.0797381591630437,-0.01659053831746387,3,1.733100844214519e-05,True,True,-0.03857458128270553,-0.008502226316848072,-0.06369659422202115,-0.008054947383707916
123,TEMPLATE,"diff(distance_to_lower_band,drawdown_20)","diff(distance_to_lower_band,drawdown_20)",3915140489d033ab,BB_CONDITIONAL,NA,NA,PROPOSED,OK,1.0,-0.032509476667958996,608,-0.006297422340864259,-0.06183521140710091,-0.05560615393526151,0.013843497038809605,2,0.0010085919325018011,True,True,-0.03128466558846536,-0.006092882797235541,-0.04990723623530125,-0.0008462797657435395
125,TEMPLATE,"min(distance_to_lower_band,drawdown_20)","min(distance_to_lower_band,drawdown_20)",268c2f95c0dee7e0,BB_CONDITIONAL,NA,NA,PROPOSED,OK,1.0,0.034687286211447614,608,0.0053001474206301295,0.037146779864158895,0.0643211988897862,0.00195419534507949,3,0.000540441017855553,True,True,0.05185991128984434,0.009737361511847595,0.046620692214432616,-0.0008053616368905184
