factor_id,factor_name,formula,failure_stage,failure_reason,discovery_metric,validation_metric,test_metric,date_killed
AFS_000137,SYMBOLIC_TEMPLATE_137,"ratio(distance_to_lower_band,amount_ratio_5_20)",DISCOVERY_FAIL,NO_SIGNAL,0.0188,nan,nan,2026-09-11
AFS_000138,SYMBOLIC_TEMPLATE_138,"diff(distance_to_lower_band,amount_ratio_5_20)",DISCOVERY_FAIL,NO_SIGNAL,0.0059,nan,nan,2026-09-11
AFS_000139,SYMBOLIC_TEMPLATE_139,"min(distance_to_lower_band,amount_ratio_5_20)",DISCOVERY_FAIL,NO_SIGNAL,0.0161,nan,nan,2026-09-11
AFS_000140,SYMBOLIC_TEMPLATE_140,"max(distance_to_lower_band,amount_ratio_5_20)",DISCOVERY_FAIL,NO_SIGNAL,0.0106,nan,nan,2026-09-11
AFS_000141,SYMBOLIC_TEMPLATE_141,"ratio(distance_to_lower_band,turnover_rank)",DISCOVERY_FAIL,NO_SIGNAL,-0.0043,nan,nan,2026-09-11
AFS_000142,SYMBOLIC_TEMPLATE_142,"diff(distance_to_lower_band,turnover_rank)",TEST_FAIL,OOS_FAIL,0.0323,0.1084,-0.0046,2026-09-11
AFS_000143,SYMBOLIC_TEMPLATE_143,"interaction(distance_to_lower_band,turnover_rank)",NO_KEEP_WEAK,UNSTABLE,0.0256,0.1016,0.0091,2026-09-11
AFS_000144,SYMBOLIC_TEMPLATE_144,"min(distance_to_lower_band,turnover_rank)",DISCOVERY_FAIL,NO_SIGNAL,0.0161,nan,nan,2026-09-11
AFS_000145,SYMBOLIC_TEMPLATE_145,"max(distance_to_lower_band,turnover_rank)",VALIDATION_FAIL,OOS_FAIL,-0.0479,-0.1048,0.0379,2026-09-11
AFS_000146,SYMBOLIC_TEMPLATE_146,"ratio(distance_to_lower_band,daily_bb_signal_count)",DISCOVERY_FAIL,NO_SIGNAL,0.0161,nan,nan,2026-09-11
AFS_000147,SYMBOLIC_TEMPLATE_147,"diff(distance_to_lower_band,daily_bb_signal_count)",DISCOVERY_FAIL,NO_SIGNAL,0.0161,nan,nan,2026-09-11
AFS_000148,SYMBOLIC_TEMPLATE_148,"interaction(distance_to_lower_band,daily_bb_signal_count)",DISCOVERY_FAIL,NO_SIGNAL,0.0161,nan,nan,2026-09-11
AFS_000149,SYMBOLIC_TEMPLATE_149,"min(distance_to_lower_band,daily_bb_signal_count)",DISCOVERY_FAIL,NO_SIGNAL,0.0161,nan,nan,2026-09-11
AFS_000150,SYMBOLIC_TEMPLATE_150,"max(distance_to_lower_band,daily_bb_signal_count)",DISCOVERY_FAIL,NO_SIGNAL,nan,nan,nan,2026-09-11
AFS_000151,SYMBOLIC_TEMPLATE_151,"ratio(distance_to_lower_band,market_up_ratio)",DISCOVERY_FAIL,NO_SIGNAL,0.0161,nan,nan,2026-09-11
AFS_000152,SYMBOLIC_TEMPLATE_152,"diff(distance_to_lower_band,market_up_ratio)",DISCOVERY_FAIL,NO_SIGNAL,0.0161,nan,nan,2026-09-11
