episode_id,ts_code,pnl,signal_date,entry_date,exit_date,exit_type,levels_used,total_cost,simple_return_pct,hold_days,MAE_close_pct,MAE_intraday_pct,MFE_close_pct,MFE_intraday_pct,final_price_path_return_pct,time_to_MAE_days,time_to_break_even_days,max_underwater_duration_days,n_path_days,turnover_rank,entry_k,bb_z_signal,rsi14_signal,macd_dif_signal,macd_dea_signal,macd_hist_signal
5542,600650.SH,42194.344626719976,2024-01-22,2024-01-23,2024-01-25,TAKE_PROFIT_DYN,1,199699.35633648,21.128933713549554,2,1.3005685902882202,-3.3676603770061764,20.90713025292463,22.54101039147769,21.252579196504428,0,0.0,0,3,4697,3.0,-3.32374020341037,24.276466369628906,-0.5265486836433411,-0.08985385298728943,-0.43669483065605164
5543,600683.SH,32962.73183874009,2024-01-22,2024-01-23,2024-01-25,TAKE_PROFIT_DYN,1,199660.30718633992,16.5094065531896,2,2.707596852795935,-1.2696904968567457,14.405500822362672,18.148830092624046,16.62833653465976,0,0.0,0,3,3494,3.0,-3.3986591766549425,26.507959365844727,-1.1947031021118164,-1.1459777355194092,-0.048725321888923645
5544,600689.SH,48392.882275320066,2024-01-22,2024-01-23,2024-01-25,TAKE_PROFIT_DYN,1,199877.58066275995,24.21126077014617,2,2.812639255787963,-1.7503390681233189,19.025775002451397,24.462515133069097,24.33805261793602,0,0.0,0,3,3288,3.0,-3.0180690692570753,32.045169830322266,-0.7050864696502686,-0.39565157890319824,-0.3094348907470703
5545,600708.SH,29040.823848960048,2024-01-22,2024-01-23,2024-01-25,TAKE_PROFIT_DYN,1,199931.64871679997,14.525376064945034,2,1.9493327185635012,-2.149132918363672,18.85550347088809,18.85550347088809,14.642280796126972,0,0.0,0,3,3412,3.0,-3.3549509985215566,25.978185653686523,-0.5434080362319946,-0.4096107482910156,-0.13379725813865662
5546,601512.SH,18473.80044510003,2024-01-22,2024-01-23,2024-01-25,TAKE_PROFIT_DYN,1,199814.50126637996,9.245475342388659,2,2.2233580373115513,-1.6031847769193752,9.466456935677204,10.013105909138776,9.356990478741501,0,0.0,0,3,4356,3.0,-3.114487074528992,30.438678741455078,-0.11527534574270248,-0.10098430514335632,-0.014291037805378437
5547,600826.SH,34908.31399176008,2023-10-11,2023-10-12,2024-01-26,TAKE_PROFIT_DYN,2,399258.53623656,8.74328557150171,75,-20.643872256775474,-22.960104411717307,-0.20060584576712115,0.6050401211691536,-3.620371563919944,71,,76,76,1438,3.0,-3.520334164608088,19.80081558227539,-1.4673409461975098,-0.9418334364891052,-0.5255075693130493
5548,000538.SZ,8735.36952420004,2023-10-18,2023-10-19,2024-01-26,TAKE_PROFIT_DYN,2,395309.5657711199,2.2097541472744746,70,-7.9494747080410715,-8.697053242149744,1.1198332978561432,1.454276326273174,-1.791729341945958,43,8.0,56,71,226,3.0,-3.151989442614794,32.309444427490234,-8.423672676086426,-3.2435338497161865,-5.18013858795166
5549,600089.SH,13005.32222880001,2023-10-23,2023-10-24,2024-01-26,TAKE_PROFIT_DYN,1,199190.7161244,6.52908051230552,67,-6.434673198521601,-6.944367585767008,6.016432547044803,7.108634805427805,6.637822818580852,39,0.0,17,68,197,3.0,-3.1477996024211525,27.37921905517578,-10.49781608581543,-7.050705432891846,-3.447110176086426
5550,601117.SH,-2380.6121308199654,2023-11-27,2023-11-28,2024-01-26,TAKE_PROFIT_DYN,1,199538.15343461998,-1.1930611213158235,42,-13.945964616605433,-15.434788758186668,-0.09990009990008542,0.19786472841616387,-1.0922013902639582,38,,43,43,443,3.0,-3.1918304820771857,33.013675689697266,-0.15984410047531128,-0.16947226226329803,0.00962816458195448
5551,002116.SZ,32010.479602200037,2023-12-08,2023-12-11,2024-01-26,TAKE_PROFIT_DYN,1,199637.27820036,16.034319787747094,33,-12.699018955225494,-15.079954801901163,16.26903384599514,16.26903384599514,16.152764812149133,29,0.0,7,34,3359,3.0,-3.2484226356995607,35.11958694458008,-0.27749547362327576,-0.14559823274612427,-0.13189725577831268
5552,600662.SH,41861.700397440116,2023-12-25,2023-12-26,2024-01-26,TAKE_PROFIT_DYN,2,400039.51923935994,10.464391237404861,22,-6.773810740407815,-9.485086938114073,5.531212003028285,7.616809078186959,6.259085382258678,18,1.0,5,23,1165,3.0,-3.0204079727203466,36.3899040222168,-2.7133002281188965,-1.8250908851623535,-0.8882092237472534
5553,300061.SZ,12560.336923860043,2023-12-26,2023-12-27,2024-01-26,TAKE_PROFIT_DYN,1,199776.45337649997,6.287195868968978,21,-15.215219563045634,-16.778873300612418,1.811232246014871,7.7183685879338215,6.395691265256498,18,2.0,16,22,695,3.0,-3.11066587996654,35.629207611083984,-0.39212897419929504,-0.14866581559181213,-0.2434631735086441
5554,600097.SH,81612.9506709,2024-01-18,2024-01-19,2024-01-26,TAKE_PROFIT_DYN,2,399938.3919531,20.406380660867036,5,-8.099712787212788,-10.0508866133866,11.216908091908095,22.338598901098905,16.953359140859135,2,0.0,2,6,4601,3.0,-3.0439772136553898,36.358497619628906,-0.0547037273645401,0.05808987841010094,-0.11279360949993134
5555,000514.SZ,34911.55022651996,2024-01-22,2024-01-23,2024-01-26,TAKE_PROFIT_DYN,1,199907.61847056,17.463841795334737,3,-0.36559185495353974,-3.2882011605415706,17.170063978574635,18.232830998788472,17.58374604119286,0,1.0,1,4,3757,3.0,-3.217517025754645,29.623395919799805,-0.42987334728240967,-0.3171805441379547,-0.11269279569387436
5556,000517.SZ,30981.089858400024,2024-01-22,2024-01-23,2024-01-26,TAKE_PROFIT_DYN,1,200035.77978383997,15.487774183137837,3,1.7082465046265982,-1.9080467044267913,15.269346038576813,16.173419340840155,15.605661307018792,0,0.0,0,4,3485,3.0,-3.266031087469994,25.599590301513672,-0.945969820022583,-0.7985524535179138,-0.14741738140583038
5557,000736.SZ,59997.33871956004,2024-01-22,2024-01-23,2024-01-26,TAKE_PROFIT_DYN,1,199577.20258475997,30.062220505410338,3,2.2957857490231603,-1.1779587319155516,30.564878766317637,30.564878766317637,30.194984871243904,0,0.0,0,4,1675,3.0,-3.0687107765634996,24.960561752319336,-1.2753795385360718,-1.131174921989441,-0.14420467615127563
5558,000793.SZ,34524.9321219,2024-01-22,2024-01-23,2024-01-26,TAKE_PROFIT_DYN,1,200006.74323629998,17.261884056134132,3,5.076270879379696,-1.1351342957560462,20.604783817219065,20.604783817219065,17.381582148421536,0,0.0,0,4,1809,3.0,-3.008124443055081,27.1743221282959,-0.9910783171653748,-0.8271846175193787,-0.1638936996459961
5559,000797.SZ,39987.93965562005,2024-01-22,2024-01-23,2024-01-26,TAKE_PROFIT_DYN,1,199796.47858169995,20.014336558623754,3,1.0310444272708663,-1.9848076451849828,18.372193843891992,21.388045916347842,20.136844287787703,0,0.0,0,4,2880,3.0,-3.376230217461048,22.07944107055664,-0.5045309662818909,-0.34657788276672363,-0.15795305371284485
5560,000965.SZ,36407.96143776007,2024-01-22,2024-01-23,2024-01-26,TAKE_PROFIT_DYN,1,199891.59830639994,18.21385278132242,3,1.684030255458846,-1.8838304552590057,19.523333809048115,23.091194519765978,18.33452262023694,0,0.0,0,4,3917,3.0,-3.2671467912997807,26.372915267944336,-0.25377318263053894,-0.2099561244249344,-0.04381706565618515
5561,001323.SZ,15959.90351340003,2024-01-22,2024-01-23,2024-01-26,TAKE_PROFIT_DYN,1,199260.8043426,8.009554897690412,3,1.9030213543052232,-1.5757369608934702,8.298314418609888,8.54428722877547,8.119808436375454,0,0.0,0,4,4273,3.0,-3.1333555363292405,28.94422721862793,-0.45629405975341797,-0.45657622814178467,0.0002821872185450047
5562,002320.SZ,33825.231778140034,2024-01-22,2024-01-23,2024-01-26,TAKE_PROFIT_DYN,1,199984.71551057996,16.913908491346955,3,2.174864983214153,-2.3746651830143017,19.614730620423227,19.614730620423227,17.033251378602454,0,0.0,0,4,2191,3.0,-3.2776658621793646,25.277881622314453,-1.0513030290603638,-0.36373627185821533,-0.6875668168067932
5563,300086.SZ,51972.95409768005,2024-01-22,2024-01-23,2024-01-26,TAKE_PROFIT_DYN,1,199751.42186999996,26.018815591462737,3,0.4995004995005159,-4.095904095904079,14.485514485514518,26.67332667332669,26.147452547452588,0,0.0,0,4,3595,3.0,-3.16506050075187,20.735502243041992,-1.015712022781372,-0.7747308611869812,-0.24098125100135803
5564,300917.SZ,39471.52310640001,2024-01-22,2024-01-23,2024-01-26,TAKE_PROFIT_DYN,1,198249.53148,19.910020877089444,3,2.443011533920636,-1.1897193715375343,37.54427390791029,37.54427390791029,20.03242212333123,0,0.0,0,4,2664,3.0,-3.066701709684411,28.01945686340332,-1.3884416818618774,-1.1864477396011353,-0.2019939422607422
5565,600064.SH,14206.783179599966,2024-01-22,2024-01-23,2024-01-26,TAKE_PROFIT_DYN,1,199661.30844660001,7.11544128911667,3,0.4186125293391685,-1.3097629014584,8.369139511008017,9.060489683327045,7.224782138276953,0,0.0,0,4,2549,3.0,-3.3262331657000046,28.175487518310547,-1.3290886878967285,-0.8795198798179626,-0.44956880807876587
5566,600606.SH,27996.920671500033,2024-01-22,2024-01-23,2024-01-26,TAKE_PROFIT_DYN,1,199846.5415947,14.009209490489638,3,0.8560817173257407,-2.011863734351771,14.239827158487461,15.195808975713309,14.125587331328981,0,0.0,0,4,1504,3.0,-3.0241368850766945,28.974502563476562,-8.093324661254883,-7.3804192543029785,-0.7129050493240356
5567,600657.SH,41562.75594240002,2024-01-22,2024-01-23,2024-01-26,TAKE_PROFIT_DYN,1,199931.6487168,20.7884825684967,3,3.4222188068341985,-0.7402853556699562,27.43666589820437,27.43666589820437,20.911780527165156,0,0.0,0,4,3183,3.0,-3.0525025304688884,21.43143653869629,-2.157702922821045,-1.8290390968322754,-0.32866376638412476
5568,600684.SH,25558.96007807998,2024-01-22,2024-01-23,2024-01-26,TAKE_PROFIT_DYN,1,199931.6487168,12.783849001457416,3,0.2122877122877176,-2.9095904095904124,13.011988011988018,14.885114885114902,12.898976023976028,0,0.0,0,4,3220,3.0,-3.341987186840602,28.94036293029785,-1.3630045652389526,-1.2250704765319824,-0.137934148311615
5569,600692.SH,45306.23427990006,2024-01-22,2024-01-23,2024-01-26,TAKE_PROFIT_DYN,1,199906.61721029994,22.663699137201803,3,1.543794413995525,-2.474125508860403,20.172332238145785,23.459721265937006,22.788911271543853,0,0.0,0,4,3179,3.0,-3.3109011800696186,29.18758201599121,-1.5686712265014648,-0.9713906049728394,-0.5972805619239807
5570,600710.SH,35559.728546760016,2024-01-22,2024-01-23,2024-01-26,TAKE_PROFIT_DYN,1,199801.48488299997,17.79752966680059,3,4.6645662030277535,-2.0979020979020824,18.189502804887447,18.804272650426523,17.917774533159168,0,0.0,0,4,2179,3.0,-3.3606945093369145,27.545286178588867,-0.6720954179763794,-0.33098578453063965,-0.34110963344573975
5571,600743.SH,32389.731370260066,2024-01-22,2024-01-23,2024-01-26,TAKE_PROFIT_DYN,1,199994.72811317997,16.19529258387763,3,2.7749229188078317,-2.9747231186079803,14.992920748316463,17.149038012347372,16.313901925412754,0,0.0,0,4,3161,3.0,-3.3038151822589032,29.23805809020996,-0.4748738706111908,-0.3876928985118866,-0.0871809646487236
5572,601588.SH,30688.883109720045,2024-01-22,2024-01-23,2024-01-26,TAKE_PROFIT_DYN,1,199943.66383991996,15.348765007272425,3,1.642543503008631,-2.423158237111711,15.582092326278385,17.324535929187125,15.466510233952114,0,0.0,0,4,4214,3.0,-3.2120968304720017,25.867891311645508,-0.05595153570175171,-0.045709069818258286,-0.010242465883493423
5573,603860.SH,50389.77690450006,2024-01-22,2024-01-23,2024-01-26,TAKE_PROFIT_DYN,1,197423.49176549996,25.52369854969091,3,0.4700890589061313,-2.113861794348648,21.559687934735507,31.819492793247093,25.651830102191497,0,0.0,0,4,3520,3.0,-3.2033675941331246,27.12879753112793,-1.0018528699874878,-0.6735014915466309,-0.32835131883621216
5574,600004.SH,-37148.27795711998,2023-08-21,2023-08-22,2024-01-29,TAKE_PROFIT_DYN,1,199186.71108335996,-18.649978080903885,107,-25.888443803753248,-26.051147549518873,-0.913418828728263,0.5509148831624566,-18.566937948045435,92,,108,108,42,3.0,-3.6982694494988886,26.283584594726562,-0.503790020942688,-0.22655275464057922,-0.27723729610443115
5575,600528.SH,32176.595840400143,2023-10-10,2023-10-11,2024-01-29,TAKE_PROFIT_DYN,2,399434.7580423199,8.05553227217924,77,-16.208791208791197,-17.582417582417577,3.521478521478527,7.76723276723279,-1.5720529470529265,72,0.0,59,78,502,3.0,-3.7729814041772127,30.41843032836914,-0.6387596726417542,-0.6272310018539429,-0.011528708040714264
5576,600339.SH,-17432.75965859997,2023-10-11,2023-10-12,2024-01-29,TAKE_PROFIT_DYN,1,199761.43447259997,-8.726789384860528,76,-23.738233597388515,-25.145277257953303,4.6840483460201865,5.246865810246115,-8.63361990122552,71,0.0,72,77,896,3.0,-3.2689108612534055,32.9522819519043,-0.19312115013599396,-0.10883493721485138,-0.08428621292114258
5577,000651.SZ,24123.425863679993,2023-12-20,2023-12-21,2024-01-29,TAKE_PROFIT_DYN,1,199290.84215039999,12.104633410839133,26,1.152866426178334,-0.22838897436967542,12.620498472588526,13.23082062631904,12.219067106526914,0,0.0,0,27,2,3.0,-3.8116025144495285,25.627622604370117,-49.95795822143555,-39.795223236083984,-10.16273307800293
5578,601198.SH,4190.071248000022,2023-12-20,2023-12-21,2024-01-29,TAKE_PROFIT_DYN,1,199451.04379199998,2.100801865128212,26,-12.256418280514659,-13.098949243527546,0.26118459853401443,3.2702237521514688,2.2050238917708853,21,0.0,26,27,729,3.0,-3.0465972154267296,39.06490707397461,0.01730690896511078,0.06840194016695023,-0.05109502747654915
5579,000009.SZ,15748.974568800011,2024-01-22,2024-01-23,2024-01-29,TAKE_PROFIT_DYN,1,199691.34625439998,7.886658517859033,4,2.1541635260047043,-1.4523382754429548,8.104891498393329,15.227732556252427,7.9967866068949345,0,0.0,0,5,667,3.0,-3.3619378349269637,32.388248443603516,-0.39938080310821533,0.08978282660245895,-0.4891636371612549
5580,000720.SZ,48001.56283889999,2024-01-22,2024-01-23,2024-01-29,TAKE_PROFIT_DYN,1,199880.58444354,24.015120314228884,4,0.44156385619800176,-3.3486838364887084,18.851338363533475,25.890369792808833,24.141711946589982,0,0.0,0,5,4602,3.0,-3.0334592084139804,20.265077590942383,-0.7676509618759155,-0.4432871341705322,-0.3243638277053833
