ts_code,trade_date,name,market,close,pre_close,pct_change,old_is_limit_down,correct_is_limit_down
300204.SZ,2022-03-08,舒泰神,创业板,19.47,22.37,-12.963790791238273,1,0
300204.SZ,2022-04-01,舒泰神,创业板,19.48,22.0,-11.45454545454545,1,0
300204.SZ,2022-12-19,舒泰神,创业板,14.37,15.95,-9.905956112852666,1,0
300204.SZ,2022-12-27,舒泰神,创业板,13.68,16.26,-15.867158671586722,1,0
300204.SZ,2024-02-05,舒泰神,创业板,6.15,6.97,-11.764705882352933,1,0
300204.SZ,2024-02-07,舒泰神,创业板,5.65,6.3,-10.317460317460315,1,0
300204.SZ,2024-10-09,舒泰神,创业板,7.77,9.05,-14.143646408839794,1,0
300204.SZ,2025-04-07,舒泰神,创业板,6.27,7.54,-16.843501326259958,1,0
300204.SZ,2025-06-24,舒泰神,创业板,34.22,37.97,-9.876218066894914,1,0
300204.SZ,2025-09-02,舒泰神,创业板,48.49,53.86,-9.97029335313776,1,0
300204.SZ,2025-09-05,舒泰神,创业板,40.55,46.05,-11.943539630836053,1,0
300204.SZ,2026-07-17,舒泰神,创业板,24.5,27.68,-11.488439306358378,1,0
300205.SZ,2020-09-10,*ST天喻,创业板,11.83,14.0,-15.500000000000004,1,0
300205.SZ,2020-10-30,*ST天喻,创业板,12.88,14.26,-9.677419354838701,1,0
300205.SZ,2021-01-07,*ST天喻,创业板,9.19,10.18,-9.724950884086446,1,0
300205.SZ,2022-03-04,*ST天喻,创业板,16.93,18.74,-9.658484525080036,1,0
300205.SZ,2022-04-07,*ST天喻,创业板,17.13,19.02,-9.936908517350162,1,0
300205.SZ,2022-04-25,*ST天喻,创业板,11.39,12.89,-11.636927851047318,1,0
300205.SZ,2024-01-30,*ST天喻,创业板,6.17,7.55,-18.278145695364234,1,0
300205.SZ,2024-01-31,*ST天喻,创业板,5.44,6.17,-11.831442463533214,1,0
300205.SZ,2024-04-15,*ST天喻,创业板,5.65,6.53,-13.476263399693721,1,0
300205.SZ,2024-05-21,*ST天喻,创业板,6.86,7.67,-10.560625814863101,1,0
300205.SZ,2024-08-20,*ST天喻,创业板,5.6,6.3,-11.111111111111116,1,0
300205.SZ,2024-09-10,*ST天喻,创业板,4.23,4.82,-12.240663900414939,1,0
300205.SZ,2024-11-01,*ST天喻,创业板,5.5,6.27,-12.280701754385959,1,0
300205.SZ,2025-04-07,*ST天喻,创业板,3.42,4.17,-17.985611510791365,1,0
300205.SZ,2025-04-28,*ST天喻,创业板,2.62,3.1,-15.48387096774193,1,0
300205.SZ,2026-03-31,*ST天喻,创业板,5.98,6.63,-9.803921568627437,1,0
300206.SZ,2020-07-14,理邦仪器,创业板,24.28,26.9,-9.739776951672852,1,0
300206.SZ,2021-02-05,理邦仪器,创业板,14.44,16.31,-11.465358675659099,1,0
300206.SZ,2021-07-15,理邦仪器,创业板,13.65,15.16,-9.96042216358839,1,0
300206.SZ,2022-12-19,理邦仪器,创业板,12.13,13.68,-11.330409356725134,1,0
300206.SZ,2023-08-23,理邦仪器,创业板,11.01,12.45,-11.566265060240966,1,0
300206.SZ,2025-04-07,理邦仪器,创业板,10.1,12.25,-17.551020408163264,1,0
300207.SZ,2020-03-09,欣旺达,创业板,18.87,20.95,-9.928400954653927,1,0
300207.SZ,2021-06-16,欣旺达,创业板,29.89,33.29,-10.21327726043857,1,0
300207.SZ,2022-04-25,欣旺达,创业板,19.32,21.89,-11.740520785746922,1,0
300207.SZ,2024-10-09,欣旺达,创业板,22.06,26.29,-16.089767972613167,1,0
300207.SZ,2025-12-29,欣旺达,创业板,26.36,29.75,-11.394957983193276,1,0
300208.SZ,2020-09-10,中程退(退),创业板,6.95,8.23,-15.552855407047394,1,0
300208.SZ,2020-09-28,中程退(退),创业板,11.55,13.04,-11.426380368098144,1,0
300208.SZ,2020-10-15,中程退(退),创业板,15.18,17.95,-15.431754874651805,1,0
300208.SZ,2021-08-03,中程退(退),创业板,13.02,14.41,-9.646079111727968,1,0
300208.SZ,2021-09-01,中程退(退),创业板,15.41,17.2,-10.406976744186046,1,0
300208.SZ,2021-09-03,中程退(退),创业板,13.76,15.48,-11.111111111111116,1,0
300208.SZ,2022-01-25,中程退(退),创业板,10.34,11.63,-11.092003439380916,1,0
300208.SZ,2022-03-09,中程退(退),创业板,14.75,18.42,-19.92399565689469,1,0
300208.SZ,2022-04-25,中程退(退),创业板,9.0,10.17,-11.504424778761058,1,0
300208.SZ,2024-02-02,中程退(退),创业板,3.23,3.62,-10.773480662983426,1,0
300208.SZ,2024-04-15,中程退(退),创业板,3.54,4.03,-12.158808933002485,1,0
300208.SZ,2024-04-16,中程退(退),创业板,3.18,3.54,-10.169491525423723,1,0
300208.SZ,2024-06-06,中程退(退),创业板,1.37,1.59,-13.83647798742138,1,0
300208.SZ,2024-08-09,中程退(退),创业板,1.98,2.25,-12.0,1,0
300208.SZ,2024-10-09,中程退(退),创业板,2.14,2.53,-15.415019762845839,1,0
300208.SZ,2024-12-23,中程退(退),创业板,2.42,2.84,-14.7887323943662,1,0
300208.SZ,2025-03-24,中程退(退),创业板,2.07,2.29,-9.60698689956333,1,0
300208.SZ,2025-04-07,中程退(退),创业板,1.68,1.97,-14.720812182741117,1,0
300208.SZ,2025-04-24,中程退(退),创业板,1.68,1.88,-10.638297872340418,1,0
300208.SZ,2025-04-28,中程退(退),创业板,1.29,1.59,-18.867924528301895,1,0
300208.SZ,2025-04-29,中程退(退),创业板,1.07,1.29,-17.05426356589147,1,0
300208.SZ,2025-07-18,中程退(退),创业板,0.28,0.32,-12.49999999999999,1,0
300209.SZ,2020-07-15,行云科技,创业板,16.65,18.41,-9.560021727322122,1,0
300209.SZ,2020-09-10,行云科技,创业板,14.15,16.48,-14.138349514563108,1,0
300209.SZ,2021-01-25,行云科技,创业板,7.62,8.8,-13.409090909090915,1,0
300209.SZ,2021-07-07,行云科技,创业板,6.52,7.35,-11.292517006802727,1,0
300209.SZ,2021-08-30,行云科技,创业板,4.94,5.63,-12.2557726465364,1,0
300209.SZ,2022-04-08,行云科技,创业板,6.7,7.42,-9.703504043126676,1,0
300209.SZ,2022-04-25,行云科技,创业板,4.21,4.81,-12.474012474012463,1,0
300209.SZ,2022-08-05,行云科技,创业板,8.51,9.58,-11.169102296450939,1,0
300209.SZ,2022-08-11,行云科技,创业板,7.53,8.34,-9.712230215827333,1,0
300209.SZ,2023-05-29,行云科技,创业板,2.75,3.05,-9.836065573770492,1,0
300209.SZ,2024-01-29,行云科技,创业板,2.14,2.48,-13.709677419354838,1,0
300209.SZ,2024-01-30,行云科技,创业板,1.87,2.14,-12.616822429906538,1,0
300209.SZ,2024-02-05,行云科技,创业板,1.46,1.67,-12.574850299401197,1,0
300209.SZ,2024-02-28,行云科技,创业板,2.86,3.23,-11.455108359133126,1,0
300209.SZ,2024-04-08,行云科技,创业板,2.44,2.75,-11.272727272727279,1,0
300209.SZ,2024-04-15,行云科技,创业板,2.19,2.43,-9.876543209876553,1,0
300209.SZ,2024-04-16,行云科技,创业板,1.91,2.19,-12.785388127853881,1,0
300209.SZ,2024-06-03,行云科技,创业板,2.3,2.6,-11.538461538461553,1,0
300209.SZ,2024-10-09,行云科技,创业板,3.98,4.46,-10.76233183856502,1,0
300209.SZ,2025-04-07,行云科技,创业板,4.0,4.94,-19.028340080971663,1,0
300209.SZ,2026-05-26,行云科技,创业板,26.11,29.59,-11.760729976343365,1,0
300209.SZ,2026-07-17,行云科技,创业板,22.37,26.65,-16.060037523452152,1,0
300209.SZ,2026-08-19,行云科技,创业板,32.51,36.47,-10.858239649026602,1,0
300210.SZ,2020-04-27,森远股份,创业板,3.22,3.57,-9.803921568627437,1,0
300210.SZ,2021-04-28,森远股份,创业板,3.66,4.18,-12.440191387559796,1,0
300210.SZ,2022-04-25,森远股份,创业板,3.17,3.56,-10.95505617977528,1,0
300210.SZ,2023-11-08,森远股份,创业板,9.25,10.51,-11.988582302568984,1,0
300210.SZ,2023-11-10,森远股份,创业板,7.85,8.97,-12.486064659977714,1,0
300210.SZ,2023-11-21,森远股份,创业板,9.13,10.78,-15.306122448979576,1,0
300210.SZ,2023-12-08,森远股份,创业板,11.48,13.0,-11.69230769230769,1,0
300210.SZ,2023-12-22,森远股份,创业板,9.58,10.89,-12.02938475665749,1,0
300210.SZ,2024-02-02,森远股份,创业板,7.53,8.47,-11.097992916174737,1,0
300210.SZ,2024-02-05,森远股份,创业板,6.38,7.53,-15.272244355909702,1,0
300210.SZ,2024-02-28,森远股份,创业板,10.92,12.77,-14.48707909162098,1,0
300210.SZ,2024-04-15,森远股份,创业板,9.49,10.51,-9.705042816365362,1,0
300210.SZ,2024-04-16,森远股份,创业板,8.35,9.49,-12.012644889357226,1,0
300210.SZ,2024-09-18,森远股份,创业板,7.66,9.06,-15.45253863134658,1,0
300210.SZ,2024-10-09,森远股份,创业板,9.78,12.01,-18.567860116569534,1,0
300210.SZ,2024-11-01,森远股份,创业板,13.24,14.84,-10.78167115902965,1,0
300211.SZ,2020-02-03,*ST亿通,创业板,6.35,7.05,-9.9290780141844,1,0
300211.SZ,2020-09-09,*ST亿通,创业板,8.2,9.32,-12.017167381974259,1,0
300211.SZ,2020-09-10,*ST亿通,创业板,7.33,8.2,-10.609756097560963,1,0
300211.SZ,2020-10-30,*ST亿通,创业板,8.4,9.6,-12.49999999999999,1,0
300211.SZ,2022-04-25,*ST亿通,创业板,7.27,8.11,-10.357583230579525,1,0
300211.SZ,2023-04-17,*ST亿通,创业板,10.15,11.31,-10.256410256410254,1,0
300211.SZ,2023-06-01,*ST亿通,创业板,11.32,12.58,-10.015898251192368,1,0
300211.SZ,2024-02-05,*ST亿通,创业板,5.56,6.59,-15.62974203338392,1,0
300211.SZ,2024-02-07,*ST亿通,创业板,4.57,5.26,-13.117870722433455,1,0
300211.SZ,2024-02-28,*ST亿通,创业板,6.31,7.36,-14.266304347826097,1,0
300211.SZ,2024-04-15,*ST亿通,创业板,5.83,6.62,-11.933534743202411,1,0
