etf_code,etf_name,exchange,list_date,delist_date,found_date,fund_manager,fund_type,invest_type,status,index_code,index_name,index_publisher,publisher_confidence,index_category,passive_index_flag,domestic_a_share_flag,cross_mixed_flag,is_csi_publisher,asset_class,eligible,exclusion_reason,match_level,match_status,bench_idx_name,benchmark,data_source,retrieval_date
512790.SH,华安中证民企成长ETF,SH,20190906,20200731,20190726,华安基金管理有限公司,股票型,被动指数型,D,,中证民企成长,中证指数有限公司,RULE_BASED,,True,True,False,True,EQUITY,True,,L5_RULE,RULE,中证民企成长,中证民企成长指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
512710.SH,富国中证军工龙头ETF,SH,20190826,,20190723,富国基金管理有限公司,股票型,被动指数型,L,,中证军工龙头,中证指数有限公司,RULE_BASED,,True,True,False,True,EQUITY,True,,L5_RULE,RULE,中证军工龙头,中证军工龙头指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
515000.SH,华宝中证科技龙头ETF,SH,20190816,,20190722,华宝基金管理有限公司,股票型,被动指数型,L,,中证科技龙头,中证指数有限公司,RULE_BASED,,True,True,False,True,EQUITY,True,,L5_RULE,RULE,中证科技龙头,中证科技龙头指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
159973.SZ,弘毅远方国证民企领先100ETF,SZ,20190809,,20190716,弘毅远方基金管理有限公司,股票型,被动指数型,L,931267.CSI,国证民企领先100,中证指数有限公司,INDEX_BASIC,主题指数,True,True,False,True,EQUITY,True,,L2B_EX_REVSUB,OK,国证民企领先100,国证民企领先100指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
512930.SH,平安中证人工智能主题ETF,SH,20190823,,20190712,平安基金管理有限公司,股票型,被动指数型,L,931071.CSI,中证人工智能主题,中证指数有限公司,INDEX_BASIC,主题指数,True,True,False,True,EQUITY,True,,L2B_EX_REVSUB,OK,中证人工智能主题,中证人工智能主题指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
512720.SH,国泰中证计算机主题ETF,SH,20190816,,20190711,国泰基金管理有限公司,股票型,被动指数型,L,,中证计算机主题,中证指数有限公司,RULE_BASED,,True,True,False,True,EQUITY,True,,L5_RULE,RULE,中证计算机主题,中证计算机主题指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
512670.SH,鹏华中证国防ETF,SH,20190801,,20190705,鹏华基金管理有限公司,股票型,被动指数型,L,399973.SZ,中证国防,中证指数有限公司,INDEX_BASIC,主题指数,True,True,False,True,EQUITY,True,,L1_EX_EXACT,OK,中证国防,中证国防指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
159969.SZ,银华深证100ETF,SZ,20190828,20260312,20190628,银华基金管理股份有限公司,股票型,被动指数型,D,399330.SZ,深证100,深圳证券信息有限公司、深圳证券交易所,INDEX_BASIC,规模指数,True,True,False,False,EQUITY,True,,L1_EX_EXACT,OK,深证100,深证100指数收益率(价格)×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
159967.SZ,华夏创业板动量成长ETF,SZ,20190715,,20190621,华夏基金管理有限公司,股票型,被动指数型,L,395004.SZ,创业板动量成长,深圳证券交易所,INDEX_BASIC,其他指数,True,True,False,False,EQUITY,True,,L2B_EX_REVSUB,OK,创业板动量成长,创业板动量成长指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
159966.SZ,华夏创业板低波价值ETF,SZ,20190715,,20190614,华夏基金管理有限公司,股票型,被动指数型,L,395004.SZ,创业板低波价值,深圳证券交易所,INDEX_BASIC,其他指数,True,True,False,False,EQUITY,True,,L2B_EX_REVSUB,OK,创业板低波价值,创业板低波价值指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
159971.SZ,富国创业板ETF,SZ,20190702,,20190611,富国基金管理有限公司,股票型,被动指数型,L,395004.SZ,创业板,深圳证券交易所,INDEX_BASIC,其他指数,True,True,False,False,EQUITY,True,,L1_EX_EXACT,OK,创业板,创业板指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
512910.SH,广发中证A100ETF,SH,20190701,,20190527,广发基金管理有限公司,股票型,被动指数型,L,000903.SH,中证A100,中证指数有限公司,INDEX_BASIC,规模指数,True,True,False,True,EQUITY,True,,L1_EX_EXACT,OK,中证A100,中证A100指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
512750.SH,嘉实中证锐联基本面50ETF,SH,20190705,,20190523,嘉实基金管理有限公司,股票型,被动指数型,L,,中证锐联基本面50,中证指数有限公司,RULE_BASED,,True,True,False,True,EQUITY,True,,L5_RULE,RULE,中证锐联基本面50,中证锐联基本面50指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
510350.SH,工银瑞信沪深300ETF,SH,20190816,,20190520,工银瑞信基金管理有限公司,股票型,被动指数型,L,000300.SH,沪深300,中证指数有限公司、上海证券交易所,INDEX_BASIC,规模指数,True,True,False,True,EQUITY,True,,L1_EX_EXACT,OK,沪深300,沪深300指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
512170.SH,华宝中证医疗ETF,SH,20190617,,20190520,华宝基金管理有限公司,股票型,被动指数型,L,399989.SZ,中证医疗,中证指数有限公司,INDEX_BASIC,主题指数,True,True,False,True,EQUITY,True,,L1_EX_EXACT,OK,中证医疗,中证医疗指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
512760.SH,国泰CES半导体芯片行业ETF,SH,20190612,,20190516,国泰基金管理有限公司,股票型,被动指数型,L,,中华交易服务半导体芯片行业,中华交易服务有限公司,RULE_BASED,,True,False,True,False,EQUITY,False,CROSS/MIXED;NOT_DOMESTIC_A_SHARE,L5_RULE,RULE,中华交易服务半导体芯片行业,中华交易服务半导体芯片行业指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
512480.SH,国联安中证全指半导体产品与设备ETF,SH,20190612,,20190508,国联安基金管理有限公司,股票型,被动指数型,L,,中证全指半导体产品与设备,中证指数有限公司,RULE_BASED,,True,True,False,True,EQUITY,True,,L5_RULE,RULE,中证全指半导体产品与设备,中证全指半导体产品与设备指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
510890.SH,兴业上证红利低波动ETF,SH,20190624,20210907,20190422,兴业基金管理有限公司,股票型,被动指数型,D,,上证红利低波动,中证指数有限公司/上海证券交易所,RULE_BASED,,True,True,False,True,EQUITY,True,,L5_RULE,RULE,上证红利低波动,上证红利低波动指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
512290.SH,国泰中证生物医药ETF,SH,20190520,,20190418,国泰基金管理有限公司,股票型,被动指数型,L,399441.SZ,中证生物医药,深圳证券信息有限公司,INDEX_BASIC,主题指数,True,True,False,False,EQUITY,True,,L2B_EX_REVSUB,OK,中证生物医药,中证生物医药指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
512690.SH,鹏华中证酒ETF,SH,20190506,,20190404,鹏华基金管理有限公司,股票型,被动指数型,L,399987.SZ,中证酒,中证指数有限公司,INDEX_BASIC,主题指数,True,True,False,True,EQUITY,True,,L1_EX_EXACT,OK,中证酒,中证酒指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
159965.SZ,国联央视财经50ETF,SZ,20190424,,20190319,国联基金管理有限公司,股票型,被动指数型,L,,央视财经50,UNKNOWN,RULE_BASED,,True,True,False,False,EQUITY,True,,L5_RULE,RULE,央视财经50,央视财经50指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
159964.SZ,平安创业板ETF,SZ,20190419,,20190315,平安基金管理有限公司,股票型,被动指数型,L,395004.SZ,创业板,深圳证券交易所,INDEX_BASIC,其他指数,True,True,False,False,EQUITY,True,,L1_EX_EXACT,OK,创业板,创业板指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
