model,signal_date,horizon_days,group,n_signals,mean_fwd_return_pct,median_fwd_return_pct
Model1,2013-10-29,10,selected_Top10,10,-0.722,-0.712
Model1,2013-10-29,10,non_selected,17,0.276,0.096
Model1,2013-10-29,20,selected_Top10,10,2.044,2.547
Model1,2013-10-29,20,non_selected,17,3.572,3.143
Model1,2022-09-01,1,selected_Top10,10,0.128,0.123
Model1,2022-09-01,1,non_selected,185,-0.119,-0.236
Model1,2022-09-01,3,selected_Top10,10,2.221,2.738
Model1,2022-09-01,3,non_selected,185,1.46,1.384
Model1,2022-09-01,5,selected_Top10,10,1.985,2.472
Model1,2022-09-01,5,non_selected,185,1.309,1.207
Model1,2022-09-01,10,selected_Top10,10,-4.647,-4.151
Model1,2022-09-01,10,non_selected,185,-4.619,-4.656
Model1,2022-09-01,20,selected_Top10,10,-8.967,-8.858
Model1,2022-09-01,20,non_selected,185,-8.66,-8.727
Model1,2023-10-24,1,selected_Top10,10,0.638,0.496
Model1,2023-10-24,1,non_selected,124,0.473,0.556
Model1,2023-10-24,3,selected_Top10,10,2.804,2.856
Model1,2023-10-24,3,non_selected,124,2.125,2.09
Model1,2023-10-24,5,selected_Top10,10,3.202,3.485
Model1,2023-10-24,5,non_selected,124,2.408,2.726
Model1,2023-10-24,10,selected_Top10,10,4.858,4.932
Model1,2023-10-24,10,non_selected,124,4.709,4.811
Model1,2023-10-24,20,selected_Top10,10,5.487,5.555
Model1,2023-10-24,20,non_selected,124,4.496,4.058
Model1,2010-08-25,1,selected_Top10,1,0.142,0.142
Model1,2010-08-25,3,selected_Top10,1,2.036,2.036
Model1,2010-08-25,5,selected_Top10,1,1.042,1.042
Model1,2010-08-25,10,selected_Top10,1,3.362,3.362
Model1,2010-08-25,20,selected_Top10,1,-0.568,-0.568
Model1,2017-12-12,1,selected_Top10,3,0.241,0.21
Model1,2017-12-12,3,selected_Top10,3,-2.126,-2.191
Model1,2017-12-12,5,selected_Top10,3,-2.192,-2.204
Model1,2017-12-12,10,selected_Top10,3,-4.63,-4.617
Model1,2017-12-12,20,selected_Top10,3,-1.133,-1.096
Model1,2026-08-31,1,selected_Top10,8,-0.774,-0.706
Model1,2026-08-31,3,selected_Top10,8,-2.161,-1.842
Model1,2019-11-15,1,selected_Top10,10,0.736,0.648
Model1,2019-11-15,1,non_selected,7,1.303,0.514
Model1,2019-11-15,3,selected_Top10,10,1.113,1.311
Model1,2019-11-15,3,non_selected,7,2.351,1.295
Model1,2019-11-15,5,selected_Top10,10,0.907,0.85
Model1,2019-11-15,5,non_selected,7,1.267,1.157
Model1,2019-11-15,10,selected_Top10,10,1.02,1.067
Model1,2019-11-15,10,non_selected,7,0.73,0.681
Model1,2019-11-15,20,selected_Top10,10,4.635,4.031
Model1,2019-11-15,20,non_selected,7,3.819,3.375
Model1,2023-06-05,1,selected_Top10,10,-0.978,-0.812
Model1,2023-06-05,1,non_selected,3,-1.863,-2.362
Model1,2023-06-05,3,selected_Top10,10,-2.481,-2.164
Model1,2023-06-05,3,non_selected,3,-4.016,-4.837
Model1,2023-06-05,5,selected_Top10,10,-0.632,-0.124
Model1,2023-06-05,5,non_selected,3,-2.175,-2.7
Model1,2023-06-05,10,selected_Top10,10,3.689,5.163
Model1,2023-06-05,10,non_selected,3,-0.462,-3.037
Model1,2023-06-05,20,selected_Top10,10,4.357,5.186
Model1,2023-06-05,20,non_selected,3,-1.174,-4.049
Model1,2023-03-21,1,selected_Top10,1,-0.148,-0.148
Model1,2023-03-21,3,selected_Top10,1,-1.111,-1.111
Model1,2023-03-21,5,selected_Top10,1,-2.963,-2.963
Model1,2023-03-21,10,selected_Top10,1,-1.63,-1.63
Model1,2023-03-21,20,selected_Top10,1,0.593,0.593
Model1,2025-10-24,1,selected_Top10,5,0.374,0.383
Model1,2025-10-24,3,selected_Top10,5,-0.028,0.0
Model1,2025-10-24,5,selected_Top10,5,0.537,0.512
Model1,2025-10-24,10,selected_Top10,5,-0.555,-0.51
Model1,2025-10-24,20,selected_Top10,5,-0.228,-0.221
Model1,2026-02-02,1,selected_Top10,10,1.712,1.91
Model1,2026-02-02,1,non_selected,306,1.641,1.509
Model1,2026-02-02,3,selected_Top10,10,1.401,1.552
Model1,2026-02-02,3,non_selected,306,1.608,1.657
Model1,2026-02-02,5,selected_Top10,10,2.747,2.797
Model1,2026-02-02,5,non_selected,306,2.874,2.819
Model1,2026-02-02,10,selected_Top10,10,2.56,2.759
Model1,2026-02-02,10,non_selected,306,2.921,2.611
Model1,2026-02-02,20,selected_Top10,10,1.973,2.21
Model1,2026-02-02,20,non_selected,306,2.134,1.781
Model1,2011-04-29,1,selected_Top10,2,1.835,1.835
Model1,2011-04-29,3,selected_Top10,2,-0.294,-0.294
Model1,2011-04-29,5,selected_Top10,2,0.906,0.906
Model1,2011-04-29,10,selected_Top10,2,0.095,0.095
Model1,2011-04-29,20,selected_Top10,2,-8.763,-8.763
Model1,2010-09-17,1,selected_Top10,5,-0.046,-0.083
Model1,2010-09-17,3,selected_Top10,5,1.028,1.059
Model1,2010-09-17,5,selected_Top10,5,0.286,0.323
Model1,2010-09-17,10,selected_Top10,5,12.561,13.036
Model1,2010-09-17,20,selected_Top10,5,18.702,18.773
Model1,2008-06-12,1,selected_Top10,5,-2.728,-2.7
Model1,2008-06-12,3,selected_Top10,5,-6.536,-6.16
Model1,2008-06-12,5,selected_Top10,5,-9.888,-9.099
Model1,2008-06-12,10,selected_Top10,5,-2.778,-2.603
Model1,2008-06-12,20,selected_Top10,5,-1.799,-2.304
Model1,2024-01-04,1,selected_Top10,10,-1.503,-1.523
Model1,2024-01-04,1,non_selected,6,-1.3,-1.165
Model1,2024-01-04,3,selected_Top10,10,-4.511,-4.556
Model1,2024-01-04,3,non_selected,6,-4.09,-3.878
Model1,2024-01-04,5,selected_Top10,10,-4.321,-4.454
Model1,2024-01-04,5,non_selected,6,-3.872,-3.546
Model1,2024-01-04,10,selected_Top10,10,-6.422,-6.369
Model1,2024-01-04,10,non_selected,6,-6.778,-6.76
Model1,2024-01-04,20,selected_Top10,10,-15.9,-16.309
Model1,2024-01-04,20,non_selected,6,-15.98,-15.658
Model1,2022-01-13,1,selected_Top10,10,-0.774,-0.787
Model1,2022-01-13,1,non_selected,76,-0.357,-0.433
Model1,2022-01-13,3,selected_Top10,10,0.742,0.74
Model1,2022-01-13,3,non_selected,76,1.597,0.954
Model1,2022-01-13,5,selected_Top10,10,1.11,1.377
