date,equity,cash,invested,invested_pct
2016-10-17,837689.691775,637757.921325,199931.77044999995,0.23867044373717902
2016-10-18,837689.691775,637757.921325,199931.77044999995,0.23867044373717902
2016-10-19,837689.691775,637757.921325,199931.77044999995,0.23867044373717902
2016-10-20,837689.691775,637757.921325,199931.77044999995,0.23867044373717902
2016-10-21,837689.691775,637757.921325,199931.77044999995,0.23867044373717902
2016-10-24,837689.691775,637757.921325,199931.77044999995,0.23867044373717902
2016-10-25,837689.691775,637757.921325,199931.77044999995,0.23867044373717902
2016-10-26,837689.691775,637757.921325,199931.77044999995,0.23867044373717902
2016-10-27,837689.691775,637757.921325,199931.77044999995,0.23867044373717902
2016-10-28,837689.691775,637757.921325,199931.77044999995,0.23867044373717902
2016-10-31,837689.691775,637757.921325,199931.77044999995,0.23867044373717902
2016-11-01,837689.691775,637757.921325,199931.77044999995,0.23867044373717902
2016-11-02,837689.691775,637757.921325,199931.77044999995,0.23867044373717902
2016-11-03,837689.691775,637757.921325,199931.77044999995,0.23867044373717902
2016-11-04,837689.691775,637757.921325,199931.77044999995,0.23867044373717902
2016-11-07,837689.691775,637757.921325,199931.77044999995,0.23867044373717902
2016-11-08,837689.691775,637757.921325,199931.77044999995,0.23867044373717902
2016-11-09,837689.691775,637757.921325,199931.77044999995,0.23867044373717902
2016-11-10,837689.691775,637757.921325,199931.77044999995,0.23867044373717902
2016-11-11,837689.691775,637757.921325,199931.77044999995,0.23867044373717902
2016-11-14,837689.691775,637757.921325,199931.77044999995,0.23867044373717902
2016-11-15,837689.691775,637757.921325,199931.77044999995,0.23867044373717902
2016-11-16,837689.691775,637757.921325,199931.77044999995,0.23867044373717902
2016-11-17,837689.691775,637757.921325,199931.77044999995,0.23867044373717902
2016-11-18,837689.691775,637757.921325,199931.77044999995,0.23867044373717902
2016-11-21,837689.691775,637757.921325,199931.77044999995,0.23867044373717902
2016-11-22,837689.691775,637757.921325,199931.77044999995,0.23867044373717902
2016-11-23,837689.691775,637757.921325,199931.77044999995,0.23867044373717902
2016-11-24,837689.691775,637757.921325,199931.77044999995,0.23867044373717902
2016-11-25,837689.691775,637757.921325,199931.77044999995,0.23867044373717902
2016-11-28,837689.691775,637757.921325,199931.77044999995,0.23867044373717902
2016-11-29,837689.691775,637757.921325,199931.77044999995,0.23867044373717902
2016-11-30,837689.691775,637757.921325,199931.77044999995,0.23867044373717902
2016-12-01,837689.691775,637757.921325,199931.77044999995,0.23867044373717902
2016-12-02,837689.691775,637757.921325,199931.77044999995,0.23867044373717902
2016-12-05,837689.691775,637757.921325,199931.77044999995,0.23867044373717902
2016-12-06,837689.691775,637757.921325,199931.77044999995,0.23867044373717902
2016-12-07,837689.691775,637757.921325,199931.77044999995,0.23867044373717902
2016-12-08,837689.691775,637757.921325,199931.77044999995,0.23867044373717902
2016-12-09,837689.691775,637757.921325,199931.77044999995,0.23867044373717902
2016-12-12,837689.691775,637757.921325,199931.77044999995,0.23867044373717902
2016-12-13,837787.68785,438092.3174,399695.37045,0.4770843212983128
2016-12-14,835273.38785,438092.3174,397181.07045000006,0.4755102655339554
2016-12-15,833932.6254749999,238192.855025,595739.77045,0.7143739820835915
2016-12-16,836024.748825,38236.278374999994,797788.47045,0.9542641788670256
2016-12-19,832162.148825,38236.278374999994,793925.87045,0.9540518894917427
2016-12-20,828804.848825,38236.278374999994,790568.57045,0.9538657641431421
2016-12-21,833067.348825,38236.278374999994,794831.07045,0.9541018161029473
2016-12-22,832713.948825,38236.278374999994,794477.67045,0.9540823371231463
2016-12-23,826560.448825,38236.278374999994,788324.17045,0.9537404935968629
2016-12-26,829350.448825,38236.278374999994,791114.17045,0.9538961142070013
2016-12-27,828659.148825,38236.278374999994,790422.87045,0.9538576525351621
2016-12-28,825416.548825,38236.278374999994,787180.27045,0.9536763850574231
2016-12-29,825633.548825,38236.278374999994,787397.27045,0.9536885602221277
2016-12-30,826603.848825,38236.278374999994,788367.57045,0.9537429224055125
2017-01-03,833306.0488250001,38236.278374999994,795069.7704500001,0.9541149636092107
2017-01-04,836975.5095249999,637043.7390749999,199931.77044999995,0.23887409867400441
2017-01-05,836975.5095249999,637043.7390749999,199931.77044999995,0.23887409867400441
2017-01-06,836975.5095249999,637043.7390749999,199931.77044999995,0.23887409867400441
2017-01-09,836975.5095249999,637043.7390749999,199931.77044999995,0.23887409867400441
2017-01-10,836975.5095249999,637043.7390749999,199931.77044999995,0.23887409867400441
2017-01-11,836975.5095249999,637043.7390749999,199931.77044999995,0.23887409867400441
2017-01-12,836975.5095249999,637043.7390749999,199931.77044999995,0.23887409867400441
2017-01-13,836975.5095249999,637043.7390749999,199931.77044999995,0.23887409867400441
2017-01-16,836975.5095249999,637043.7390749999,199931.77044999995,0.23887409867400441
2017-01-17,840495.5820249999,437283.81157499994,403211.77044999995,0.4797309814271061
2017-01-18,840810.5820249999,437283.81157499994,403526.77044999995,0.4799258942223944
2017-01-19,839970.5820249999,437283.81157499994,402686.77044999995,0.47940580190225623
2017-01-20,842910.5820249999,437283.81157499994,405626.77044999995,0.48122158992894154
2017-01-23,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-01-24,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-01-25,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-01-26,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-02-03,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-02-06,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-02-07,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-02-08,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-02-09,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-02-10,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-02-13,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-02-14,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-02-15,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-02-16,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-02-17,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-02-20,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-02-21,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-02-22,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-02-23,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-02-24,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-02-27,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-02-28,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-03-01,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-03-02,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-03-03,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-03-06,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-03-07,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-03-08,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-03-09,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-03-10,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-03-13,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-03-14,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-03-15,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-03-16,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-03-17,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-03-20,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-03-21,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-03-22,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-03-23,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-03-24,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-03-27,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-03-28,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-03-29,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-03-30,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-03-31,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-04-05,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-04-06,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-04-07,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-04-10,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-04-11,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-04-12,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-04-13,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-04-14,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-04-17,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-04-18,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-04-19,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-04-20,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-04-21,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-04-24,844013.869525,644082.0990749999,199931.77045000007,0.23688209124160373
2017-04-25,845476.673925,444049.70347499993,401426.9704500001,0.4747936670877446
2017-04-26,848060.8413249999,648129.070875,199931.77044999995,0.23575168278920766
2017-04-27,848060.8413249999,648129.070875,199931.77044999995,0.23575168278920766
2017-04-28,848060.8413249999,648129.070875,199931.77044999995,0.23575168278920766
2017-05-02,848060.8413249999,648129.070875,199931.77044999995,0.23575168278920766
2017-05-03,848060.8413249999,648129.070875,199931.77044999995,0.23575168278920766
2017-05-04,848060.8413249999,648129.070875,199931.77044999995,0.23575168278920766
2017-05-05,848060.8413249999,648129.070875,199931.77044999995,0.23575168278920766
2017-05-08,843632.054125,448130.28367499996,395501.77045000007,0.4688083726977484
2017-05-09,844323.8762749999,248168.90582499997,596154.9704499999,0.7060738031951967
2017-05-10,840526.3391,48370.268649999955,792156.07045,0.9424524058320495
2017-05-11,844621.2391,48370.268649999955,796250.97045,0.9427314085760599
2017-05-12,847427.4391000001,48370.268649999955,799057.1704500001,0.9429210497345105
2017-05-15,851442.2390999999,48370.268649999955,803071.9704499999,0.9431901937339533
2017-05-16,857965.38515,658033.6147,199931.77044999995,0.23303011276503358
2017-05-17,857965.38515,658033.6147,199931.77044999995,0.23303011276503358
2017-05-18,857965.38515,658033.6147,199931.77044999995,0.23303011276503358
2017-05-19,857965.38515,658033.6147,199931.77044999995,0.23303011276503358
2017-05-22,857965.38515,658033.6147,199931.77044999995,0.23303011276503358
2017-05-23,857965.38515,658033.6147,199931.77044999995,0.23303011276503358
2017-05-24,857965.38515,658033.6147,199931.77044999995,0.23303011276503358
2017-05-25,857965.38515,658033.6147,199931.77044999995,0.23303011276503358
2017-05-26,857965.38515,658033.6147,199931.77044999995,0.23303011276503358
2017-05-31,857965.38515,658033.6147,199931.77044999995,0.23303011276503358
2017-06-01,857965.38515,658033.6147,199931.77044999995,0.23303011276503358
2017-06-02,857965.38515,658033.6147,199931.77044999995,0.23303011276503358
2017-06-05,857965.38515,658033.6147,199931.77044999995,0.23303011276503358
2017-06-06,857965.38515,658033.6147,199931.77044999995,0.23303011276503358
2017-06-07,857965.38515,658033.6147,199931.77044999995,0.23303011276503358
2017-06-08,857965.38515,658033.6147,199931.77044999995,0.23303011276503358
2017-06-09,857965.38515,658033.6147,199931.77044999995,0.23303011276503358
2017-06-12,857965.38515,658033.6147,199931.77044999995,0.23303011276503358
2017-06-13,857965.38515,658033.6147,199931.77044999995,0.23303011276503358
2017-06-14,857965.38515,658033.6147,199931.77044999995,0.23303011276503358
2017-06-15,857965.38515,658033.6147,199931.77044999995,0.23303011276503358
2017-06-16,857965.38515,658033.6147,199931.77044999995,0.23303011276503358
2017-06-19,857965.38515,658033.6147,199931.77044999995,0.23303011276503358
2017-06-20,857965.38515,658033.6147,199931.77044999995,0.23303011276503358
2017-06-21,857965.38515,658033.6147,199931.77044999995,0.23303011276503358
2017-06-22,857965.38515,658033.6147,199931.77044999995,0.23303011276503358
2017-06-23,857965.38515,658033.6147,199931.77044999995,0.23303011276503358
2017-06-26,857965.38515,658033.6147,199931.77044999995,0.23303011276503358
2017-06-27,857965.38515,658033.6147,199931.77044999995,0.23303011276503358
2017-06-28,857965.38515,658033.6147,199931.77044999995,0.23303011276503358
2017-06-29,857965.38515,658033.6147,199931.77044999995,0.23303011276503358
2017-06-30,857965.38515,658033.6147,199931.77044999995,0.23303011276503358
2017-07-03,857965.38515,658033.6147,199931.77044999995,0.23303011276503358
2017-07-04,857965.38515,658033.6147,199931.77044999995,0.23303011276503358
2017-07-05,857965.38515,658033.6147,199931.77044999995,0.23303011276503358
2017-07-06,857965.38515,658033.6147,199931.77044999995,0.23303011276503358
2017-07-07,857965.38515,658033.6147,199931.77044999995,0.23303011276503358
2017-07-10,857965.38515,658033.6147,199931.77044999995,0.23303011276503358
2017-07-11,857965.38515,658033.6147,199931.77044999995,0.23303011276503358
2017-07-12,857965.38515,658033.6147,199931.77044999995,0.23303011276503358
2017-07-13,857965.38515,658033.6147,199931.77044999995,0.23303011276503358
2017-07-14,857965.38515,658033.6147,199931.77044999995,0.23303011276503358
2017-07-17,857965.38515,658033.6147,199931.77044999995,0.23303011276503358
2017-07-18,857965.38515,658033.6147,199931.77044999995,0.23303011276503358
2017-07-19,857965.38515,658033.6147,199931.77044999995,0.23303011276503358
