date,action,index_key,etf,shares,price,amount,fee,cash_after,level,pnl,holding_days
2010-02-25,EXIT_PSTAR,399330.SZ,159901.SZ,101400,3.9514178640391657,400673.7714135714,100.16844285339285,400728.8858729204,2,1090.5729746680147,66.0
2010-03-01,EXIT_PSTAR,上海证券交易所50成份,510050.SH,84400,2.3198315481551117,195793.78266429142,48.94844566607286,596473.7200915457,2,-9295.091276774598,91.0
2010-03-01,EXIT_PSTAR,上海证券交易所上证红利,510880.SH,6200,2.569468920167232,15930.707305036838,5.0,612399.4273965826,1,-265.0622949631611,34.0
2010-04-20,ENTRY,上海证券交易所50成份,510050.SH,90200,2.216214,199902.5028,49.975625699999995,412446.9489708826,1,,
2010-04-20,ENTRY,399330.SZ,159901.SZ,52900,3.776773,199791.2917,49.947822925000004,212605.70944795758,1,,
2010-04-20,ENTRY,上海证券交易所180成份,510180.SH,292500,0.6836829999999999,199977.27749999997,49.994319374999996,12578.437628582615,1,,
2010-04-23,ADD,上海证券交易所50成份,510050.SH,5700,2.1881859999999995,12472.660199999997,5.0,100.77742858261809,2,,
2010-04-28,ADD,上海证券交易所180成份,510180.SH,100,0.654654,65.4654,5.0,30.312028582618083,2,,
2010-07-23,EXIT_PSTAR,上海证券交易所50成份,510050.SH,95900,1.973411084195667,189250.12297436447,47.31253074359112,189233.12247220348,2,-23227.328182079058,94.0
2010-07-28,EXIT_PSTAR,上海证券交易所180成份,510180.SH,292600,0.6167110474300913,180449.6524780447,45.112413119511174,369637.66253712866,2,-19693.197154449757,99.0
2010-08-19,EXIT_PSTAR,399330.SZ,159901.SZ,52900,3.686337592087549,195007.25862143136,48.75181465535784,564596.1693439047,1,-4882.732716149006,121.0
2010-08-26,ENTRY,上海证券交易所上证红利,510880.SH,94500,2.1151129999999996,199878.17849999995,49.96954462499999,364668.02129927976,1,,
2010-09-17,ENTRY,上海证券交易所50成份,510050.SH,105300,1.8988969999999998,199953.8541,49.988463525,164664.17873575477,1,,
2010-09-20,ENTRY,000029.SH,510030.SH,67600,2.4344319999999997,164567.60319999998,41.141900799999995,55.43363495479571,1,,
2010-10-08,EXIT_PSTAR,上海证券交易所50成份,510050.SH,105300,2.025036970550949,213236.39299901493,53.30909824975373,213238.51753571996,1,13179.241337240186,21.0
2010-10-11,EXIT_PSTAR,上海证券交易所上证红利,510880.SH,94500,2.2292996887086196,210668.82058296454,52.667205145741136,423854.6709135388,1,10688.005333193845,46.0
2010-10-11,EXIT_PSTAR,000029.SH,510030.SH,67600,2.6554847766853675,179510.77090393085,44.87769272598271,603320.5641247437,1,14857.148110404893,21.0
2010-11-15,ENTRY,上海证券交易所50成份,510050.SH,92500,2.16216,199999.80000000002,49.999950000000005,403270.7641747437,1,,
2010-11-15,ENTRY,上海证券交易所180成份,510180.SH,288300,0.6936929999999999,199991.69189999998,49.997922974999994,203229.0743517687,1,,
2010-11-15,ENTRY,深圳证券交易所成份,159903.SZ,156300,1.279278,199951.15139999997,49.98778785,3227.935163918737,1,,
2010-11-17,ADD,上海证券交易所50成份,510050.SH,1600,2.0040019999999994,3206.403199999999,5.0,16.531963918738256,2,,
2010-12-13,EXIT_PSTAR,上海证券交易所50成份,510050.SH,94100,2.0515987351996676,193055.4409822887,48.263860245572175,193023.70908596186,2,-10254.026027956901,28.0
2010-12-13,EXIT_PSTAR,上海证券交易所180成份,510180.SH,288300,0.6742901779907673,194397.8583147382,48.599464578684554,387372.9679361214,1,-5692.430972815451,28.0
2010-12-13,EXIT_PSTAR,深圳证券交易所成份,159903.SZ,156300,1.2947469900415187,202368.95454348938,50.59223863587235,589691.3302409749,1,2317.223117003545,28.0
2010-12-28,ENTRY,中小企业100,159902.SZ,65500,3.0500469999999997,199778.07849999997,49.944519625,389863.3072213499,1,,
2010-12-29,ENTRY,399330.SZ,159901.SZ,253800,0.7877869999999999,199940.34059999997,49.985085149999996,189872.98153619995,1,,
2010-12-29,ENTRY,上海证券交易所50成份,510050.SH,97200,1.9519499999999996,189729.53999999995,47.43238499999999,96.00915120000718,1,,
