model,trade_id,index_key,etf,entry_date,entry_fill,first_mid_touch_date,mid_touch_close_adj,return_from_entry_to_mid_pct,holding_days_to_mid
Model1,68,中证全指证券公司,512880.SH,2020-05-25,0.903,2020-06-01,0.946,4.76,7
Model1,69,国证半导体芯片,159995.SZ,2020-08-27,1.211,2020-10-09,1.176,-2.89,43
Model1,70,399971.SZ,512980.SH,2020-10-26,0.932,2020-12-01,0.931,-0.11,36
Model1,71,931079.CSI,515050.SH,2021-01-29,1.17,2021-03-01,1.146,-2.05,31
Model1,72,中证全指通信设备,515880.SH,2021-05-07,0.917,2021-05-24,0.924,0.76,17
Model1,73,000949.CSI,159825.SZ,2021-06-08,0.986,2021-06-28,0.981,-0.51,20
Model1,74,399995.SZ,516970.SH,2021-10-12,1.154,2021-11-23,1.118,-3.12,42
Model1,75,399989.SZ,512170.SH,2021-12-07,0.6880000000000001,2021-12-09,2.2271,3.78,2
Model1,76,399971.SZ,512980.SH,2022-07-07,0.611,2022-07-21,0.621,1.64,14
Model1,77,国证绿色电力,159625.SZ,2022-12-13,1.046,2022-12-30,1.047,0.1,17
Model1,78,930633.CSI,159766.SZ,2023-02-01,1.082,2023-02-13,1.136,4.99,12
Model1,79,000126.SH,515650.SH,2023-04-17,1.239,2023-05-22,1.206,-2.66,35
Model1,80,上海证券交易所上证红利,510880.SH,2023-06-21,2.927,2023-07-03,4.6988,1.57,12
Model1,81,399971.SZ,512980.SH,2023-07-28,0.806,2023-08-04,0.841,4.34,7
Model1,82,000300.SH,510300.SH,2023-11-28,3.579,2023-12-28,4.1257,-2.51,30
Model1,83,中证全指证券公司,512880.SH,2024-03-26,0.865,2024-04-26,0.878,1.5,31
Model1,84,399673.SZ,159949.SZ,2024-05-29,0.769,2024-06-04,0.787,2.34,6
Model1,85,399967.SZ,512660.SH,2024-09-23,0.789,2024-09-24,0.821,4.06,1
Model1,86,中证全指家用电器,159996.SZ,2024-11-19,1.29,2024-12-02,1.323,2.56,13
Model1,87,中证稀有金属主题,562800.SH,2024-12-19,0.51,2025-01-14,0.501,-1.76,26
Model1,88,399998.SZ,515220.SH,2025-02-19,1.017,2025-03-13,2.3553,2.85,22
Model1,89,上证科创板100,588030.SH,2025-03-25,0.993,2025-04-21,0.969,-2.42,27
Model1,90,上证主要消费行业,510630.SH,2025-06-11,0.948,2025-07-09,3.6371,-2.85,28
Model1,91,399986.SZ,512800.SH,2025-07-30,0.85,2025-08-07,1.747,2.82,8
Model1,92,中证主要消费,159928.SZ,2025-10-27,0.8280000000000001,2025-11-10,3.392,2.42,14
Model1,93,399282.SZ,515400.SH,2025-11-17,0.946,2025-12-26,0.923,-2.43,39
Model1,94,中证红利低波动,512890.SH,2026-01-09,1.162,2026-01-29,2.392,0.6,20
Model1,95,395004.SZ,159915.SZ,2026-02-09,3.291,2026-02-09,3.321,0.91,0
Model1,96,000300.SH,510300.SH,2026-03-24,4.4670000000000005,2026-04-08,5.8312,3.02,15
Model1,97,中证主要消费,159928.SZ,2026-04-28,0.731,2026-04-29,2.98,1.92,1
Model1,98,399007.SZ,159912.SZ,2012-03-26,0.921,2012-04-12,0.922,0.11,17
Model1,99,000010.SH,510010.SH,2015-12-02,1.013,2015-12-02,1.055,4.15,0
Model1,100,980018.SZ,159206.SZ,2026-07-16,1.458,2026-08-06,1.398,-4.12,21
Model2,0,399330.SZ,159901.SZ,2006-08-01,1.284,2006-08-22,1.27,-1.09,21
Model2,1,399330.SZ,159901.SZ,2007-07-06,3.814,2007-07-20,4.129,8.26,14
Model2,2,399330.SZ,159901.SZ,2007-10-26,5.402,2007-10-31,5.802,7.4,5
Model2,3,399330.SZ,159901.SZ,2008-01-23,5.005,2008-02-19,5.386,7.61,27
Model2,4,399330.SZ,159901.SZ,2008-08-06,2.873,2008-09-22,2.281,-20.61,47
Model2,5,399330.SZ,159901.SZ,2009-08-13,3.836,2009-09-08,3.648,-4.9,26
Model2,6,399330.SZ,159901.SZ,2009-12-21,3.97,2009-12-30,4.215,6.17,9
Model2,7,399330.SZ,159901.SZ,2010-04-20,3.777,2010-05-27,3.417,-9.53,37
Model2,8,000044.SH,510130.SH,2010-11-18,3.143,2010-12-13,3.292,4.74,25
Model2,9,000044.SH,510130.SH,2010-12-29,3.063,2011-01-04,3.228,5.39,6
Model2,10,399330.SZ,159901.SZ,2010-11-17,3.959,2010-12-17,0.843,-78.71,30
Model2,11,399330.SZ,159901.SZ,2011-04-26,0.8200000000000001,2011-06-23,0.756,-7.8,58
Model2,12,000029.SH,510030.SH,2010-11-18,2.557,2010-12-13,2.658,3.95,25
Model2,13,399330.SZ,159901.SZ,2011-08-09,0.71,2011-08-25,0.748,5.35,16
Model2,14,399330.SZ,159901.SZ,2012-03-26,0.628,2012-04-12,0.632,0.64,17
Model2,15,399330.SZ,159901.SZ,2012-06-26,0.601,2012-07-12,0.616,2.5,16
Model2,16,000300.SH,510300.SH,2013-06-14,2.426,2013-07-11,2.371,-2.27,27
Model2,17,000037.SH,510660.SH,2013-08-19,1.055,2013-08-26,1.099,4.17,7
Model2,18,000300.SH,510300.SH,2013-10-28,2.4250000000000003,2013-11-18,2.477,2.14,21
Model2,19,000037.SH,510660.SH,2014-04-25,0.998,2014-05-26,0.995,-0.3,31
Model2,20,000300.SH,510300.SH,2014-10-28,2.4170000000000003,2014-10-29,2.489,2.98,1
Model2,21,000029.SH,510030.SH,2015-02-03,3.575,2015-02-26,3.739,4.59,23
Model2,22,000044.SH,510130.SH,2011-04-26,3.219,2011-06-24,2.955,-8.2,59
Model2,23,000029.SH,510030.SH,2015-05-19,4.504,2015-05-22,4.935,9.57,3
Model2,24,000300.SH,510300.SH,2015-06-23,4.621,2015-07-20,4.188,-9.37,27
Model2,25,000300.SH,510300.SH,2016-01-05,3.47,2016-02-17,3.249,-10.61,43
Model2,26,399330.SZ,159901.SZ,2016-04-22,3.755,2016-05-03,4.0001,3.36,11
Model2,27,000300.SH,510300.SH,2016-09-13,3.322,2016-10-10,3.5757,1.14,27
Model2,28,399330.SZ,159901.SZ,2016-12-13,4.049,2017-01-04,4.1589,-0.35,22
Model2,29,399330.SZ,159901.SZ,2017-04-25,4.098,2017-05-16,4.2351,0.27,21
Model2,30,000300.SH,510300.SH,2017-08-14,3.705,2017-08-17,4.0874,2.0,3
Model2,31,399967.SZ,512660.SH,2017-10-31,0.887,2017-11-14,0.908,2.37,14
Model2,32,399330.SZ,159901.SZ,2018-04-18,4.657,2018-05-07,4.8505,1.05,19
Model2,33,000905.SH,510590.SH,2019-02-01,4.273,2019-02-01,4.387,2.67,0
Model2,34,399967.SZ,512660.SH,2019-04-26,0.778,2019-05-27,0.745,-4.24,31
Model2,35,399986.SZ,512800.SH,2019-07-10,1.055,2019-07-19,1.074,1.8,9
Model2,36,000016.SH,510850.SH,2019-08-05,2.869,2019-08-19,2.916,1.64,14
Model2,37,399967.SZ,512660.SH,2019-09-27,0.767,2019-11-06,0.753,-1.83,40
Model2,38,399986.SZ,512800.SH,2020-01-22,1.109,2020-02-20,1.066,-3.88,29
Model2,39,399971.SZ,512980.SH,2020-03-10,0.867,2020-04-08,0.823,-5.07,29
Model2,40,399437.SZ,159993.SZ,2020-05-25,0.896,2020-06-01,0.933,4.13,7
