index_key,n_tracking_etfs,n_live,largest_current_etf,largest_current_fund_size,largest_historical_etf,most_liquid_etf
国证成长100,1.0,1.0,159259.SZ,6549357984.333,159259.SZ,159259.SZ
国证新能源电池,6.0,6.0,159566.SZ,4642750857.024,159566.SZ,159566.SZ
国证新能源车电池,7.0,6.0,159755.SZ,7142845305.13,159755.SZ,159755.SZ
国证消费电子主题,3.0,3.0,159732.SZ,3213875712.32,159732.SZ,159732.SZ
国证疫苗与生物科技,4.0,3.0,159643.SZ,159937667.499,159643.SZ,159643.SZ
国证石油天然气,12.0,12.0,159697.SZ,1339981223.9680002,159697.SZ,159697.SZ
国证粮食产业,13.0,10.0,159698.SZ,1693836769.746,159698.SZ,159698.SZ
国证绿色电力,5.0,5.0,159625.SZ,2431194756.393,159625.SZ,159625.SZ
国证航天航空行业,7.0,6.0,159227.SZ,4701858534.97,159227.SZ,159227.SZ
国证财富管理,1.0,0.0,,,159503.SZ,159503.SZ
国证通用航空产业,6.0,6.0,159378.SZ,573078517.3759999,159378.SZ,159378.SZ
国证食品饮料行业,1.0,1.0,159843.SZ,327008910.717,159843.SZ,159843.SZ
央视财经50,1.0,1.0,159965.SZ,35140202.919999994,159965.SZ,159965.SZ
富时中国A50,2.0,2.0,512550.SH,196357518.0,512550.SH,512550.SH
富时中国国企开放共赢,3.0,3.0,517180.SH,135586894.49999997,517180.SH,517180.SH
巨潮小盘价值,1.0,0.0,,,159990.SZ,159990.SZ
沪深300ESG基准,4.0,4.0,516830.SH,91649791.8,516830.SH,516830.SH
沪深300价值,2.0,2.0,562320.SH,75035993.5,562320.SH,562320.SH
沪深300医药卫生,1.0,1.0,512010.SH,15187172367.1,512010.SH,512010.SH
沪深300成长,2.0,2.0,562310.SH,439475192.00000006,562310.SH,562310.SH
沪深300等权重,1.0,0.0,,,159924.SZ,159924.SZ
沪深300红利,1.0,1.0,512530.SH,158533320.0,512530.SH,512530.SH
沪深300红利低波动,1.0,1.0,515300.SH,4236580614.4,515300.SH,515300.SH
沪深300自由现金流,5.0,4.0,561420.SH,1110250463.0,561420.SH,562080.SH
沪深300行业中性低波动,1.0,0.0,,,512270.SH,512270.SH
沪深300质量,2.0,2.0,563960.SH,343813008.0,563960.SH,563960.SH
沪深300金融地产,1.0,1.0,159933.SZ,108045460.71000001,159933.SZ,159933.SZ
沪深300非银行金融,1.0,1.0,512070.SH,13375510394.599998,512070.SH,512070.SH
深圳证券交易所成份,3.0,2.0,159903.SZ,762990872.183,159903.SZ,159903.SZ
深证300价值价格,1.0,1.0,159913.SZ,54551439.99900001,159913.SZ,159913.SZ
深证基本面120,1.0,1.0,159910.SZ,198689746.62399998,159910.SZ,159910.SZ
深证基本面60,1.0,1.0,159916.SZ,217555025.329,159916.SZ,159916.SZ
深证成长40价格,1.0,1.0,159906.SZ,232758744.875,159906.SZ,159906.SZ
深证电子信息传媒产业50,1.0,1.0,159909.SZ,685183407.688,159909.SZ,159909.SZ
粤港澳大湾区创新100,4.0,1.0,159976.SZ,82285003.136,159976.SZ,159984.SZ
