trade_id,model,index_key,index_name,etf,entry_date,entry_price,avg_cost,exit_date,exit_price,exit_action,shares,holding_days,trade_return,pnl,n_adds,max_level,cluster,MAE_pct,MAE_day,MFE_pct,MFE_day,hit_mid,hit_upper,days_to_mid,days_to_upper,mfe_at_mid_pct,hit_mid_then_failed,hit_mid_then_upper,never_hit_mid,failure_class,mae_5d_pct,mae_10d_pct
45,Model1,中小企业100,中小企业100,159902.SZ,2013-10-29,2.362,2.3625905,2013-11-28,2.416,EXIT_PSTAR,83100,30,0.022606329789271518,4388.137049999991,0,1,6,-4.77,2013-11-13,1.58,2013-11-28,True,False,20,,-0.15,False,False,False,E_OTHER,-2.9,-4.68
46,Model1,上海证券交易所50成份,上海证券交易所50成份,510050.SH,2013-12-17,1.607,1.6073933951807229,2014-02-11,1.52,EXIT_PSTAR,124500,56,-0.05436963685600875,-10927.787699999995,1,2,42,-8.86,2014-01-20,-0.52,2013-12-18,True,True,55,56.0,-0.52,True,True,False,B_REBOUND_RELAPSE,-4.07,-5.0
47,Model1,上证180金融股,上证180金融股,510230.SH,2014-02-25,2.944,2.944736,2014-03-24,2.98,EXIT_PSTAR,64200,27,0.01197526705280208,2216.119800000012,0,1,26,-4.68,2014-03-20,0.59,2014-03-24,True,False,24,,-0.16,False,False,False,E_OTHER,-1.79,-4.54
48,Model1,000300.SH,沪深300,510300.SH,2013-10-28,2.4250000000000003,2.4256064691656594,2014-04-08,2.202,EXIT_PSTAR,82700,162,-0.09218579848303825,-18537.78135000007,1,2,6,-14.17,2014-03-20,4.06,2013-12-04,True,True,21,162.0,2.12,True,True,False,B_REBOUND_RELAPSE,-0.31,-2.7
49,Model1,395004.SZ,创业板成长,159915.SZ,2014-03-28,1.327,1.32733175,2014-05-26,1.294,EXIT_PSTAR,144200,59,-0.025111845625631936,-4853.087049999983,0,1,6,-9.44,2014-05-16,1.48,2014-04-10,True,False,20,,1.48,True,False,False,B_REBOUND_RELAPSE,-2.66,-2.66
50,Model1,000037.SH,上证医药卫生行业,510660.SH,2014-04-25,0.998,0.9982495000000001,2014-05-29,1.007,EXIT_PSTAR,182400,34,0.008765844610991311,1550.171999999999,0,1,46,-4.43,2014-04-28,0.08,2014-05-28,True,False,31,,-0.33,False,False,False,E_OTHER,-4.43,-4.43
51,Model1,深圳证券交易所成份,深圳证券交易所成份,159903.SZ,2014-08-29,0.8190000000000001,0.8192047499999999,2014-09-04,0.862,EXIT_PSTAR,244200,6,0.05223999250492635,10397.974949999989,0,1,15,0.95,2014-08-29,5.35,2014-09-04,True,True,4,6.0,3.52,False,True,False,E_OTHER,0.95,0.95
52,Model1,000300.SH,沪深300,510300.SH,2014-10-28,2.4170000000000003,2.41760425,2014-10-31,2.5460000000000003,EXIT_PSTAR,82700,3,0.05310867152884933,10565.689975000012,0,1,6,1.67,2014-10-28,5.64,2014-10-31,True,True,1,3.0,2.95,False,True,False,E_OTHER,1.67,1.67
53,Model1,上海证券交易所50成份,上海证券交易所50成份,510050.SH,2014-10-28,1.609,1.60940225,2014-10-31,1.691,EXIT_PSTAR,112200,3,0.050700656097628805,9107.835000000005,0,1,42,1.22,2014-10-28,5.94,2014-10-31,True,True,2,3.0,3.33,False,True,False,E_OTHER,1.22,1.22
54,Model1,395004.SZ,创业板成长,159915.SZ,2014-11-12,1.424,1.4243749637010679,2014-12-03,1.554,EXIT_PSTAR,140500,21,0.09100485448165772,18157.73335,1,2,6,-1.29,2014-11-14,9.45,2014-12-03,True,True,7,21.0,2.78,False,True,False,E_OTHER,-1.29,-1.29
55,Model1,中小企业100,中小企业100,159902.SZ,2014-11-12,2.484,2.484621,2014-12-03,2.648,EXIT_PSTAR,80500,21,0.06575610525709955,13098.718499999995,0,1,6,-0.79,2014-11-13,6.7,2014-12-03,True,True,13,21.0,4.12,False,True,False,E_OTHER,-0.79,-0.79
56,Model1,上海证券交易所50成份,上海证券交易所50成份,510050.SH,2015-02-03,2.331,2.33158275,2015-03-12,2.468,EXIT_PSTAR,85800,37,0.05850843166514251,11651.661450000003,0,1,42,-1.74,2015-02-06,5.08,2015-02-26,True,False,14,,3.41,False,False,False,E_OTHER,-1.74,-1.74
57,Model1,上海证券交易所上证红利,上海证券交易所上证红利,510880.SH,2015-01-20,2.432,2.432608,2015-03-16,2.635,EXIT_PSTAR,82200,55,0.08319959483813244,16582.473150000013,0,1,38,-4.42,2015-02-06,9.18,2015-03-16,True,True,37,55.0,5.07,False,True,False,E_OTHER,-0.27,-1.09
58,Model1,上海证券交易所上证红利,上海证券交易所上证红利,510880.SH,2015-05-08,3.198,3.1987995,2015-05-25,3.655,EXIT_PSTAR,62500,17,0.14261615959362256,28455.42187500003,0,1,38,1.85,2015-05-08,16.98,2015-05-25,True,True,4,17.0,6.67,False,True,False,E_OTHER,1.85,1.85
59,Model1,上证金融地产行业,上证金融地产行业,510650.SH,2015-05-18,1.775,1.7754437500000002,2015-06-08,1.988,EXIT_PSTAR,112600,21,0.11972006998250423,23877.871549999974,0,1,26,-1.43,2015-05-18,14.39,2015-06-08,True,True,4,21.0,6.62,False,True,False,E_OTHER,-1.43,-1.43
