date,action,index_key,etf,shares,price,amount,fee,cash_after,level,pnl,holding_days
2020-11-09,EXIT_MIDLINE,399971.SZ,512980.SH,432600,0.9480000000000001,410104.80000000005,102.52620000000002,723916.2567499997,2,9990.595874999986,14.0
2020-11-12,ENTRY,399441.SZ,512290.SH,104800,1.907,199853.6,49.9634,524012.6933499997,1,,
2020-11-18,ENTRY,980086.CNI,159992.SZ,155100,1.289,199923.9,49.980975,324038.81237499975,1,,
2020-11-19,ADD,399441.SZ,512290.SH,107200,1.865,199928.0,49.982,124060.83037499976,2,,
2020-11-26,ADD,980086.CNI,159992.SZ,100900,1.229,124006.1,31.001525,23.72884999975213,2,,
2020-12-03,EXIT_MIDLINE,399441.SZ,512290.SH,212000,1.8880000000000001,400256.0,100.06400000000001,400179.6648499997,2,274.39060000004525,21.0
2020-12-03,EXIT_MIDLINE,980086.CNI,159992.SZ,256000,1.284,328704.0,82.176,728801.4888499997,2,4610.8414999999395,15.0
2020-12-14,ENTRY,399971.SZ,512980.SH,229000,0.873,199917.0,49.97925,528834.5095999998,1,,
2020-12-14,ENTRY,399324.SZ,159905.SZ,77000,2.597,199969.0,49.99225,328815.51734999975,1,,
2020-12-17,EXIT_MIDLINE,399324.SZ,159905.SZ,77000,2.658,204666.0,51.1665,533430.3508499998,1,4595.841249999966,3.0
2021-01-04,EXIT_MIDLINE,399971.SZ,512980.SH,229000,0.867,198543.0,49.63575,731923.7150999998,1,-1473.6149999999955,21.0
2021-02-01,ENTRY,399967.SZ,512660.SH,167900,1.191,199968.90000000002,49.992225000000005,531904.8228749998,1,,
2021-02-01,ENTRY,399973.SZ,512670.SH,102800,1.944,199843.19999999998,49.9608,332011.6620749999,1,,
2021-02-25,EXIT_MIDLINE,399967.SZ,512660.SH,167900,1.198,201144.19999999998,50.286049999999996,533105.5760249998,1,1075.0217249999662,24.0
2021-02-25,EXIT_MIDLINE,399973.SZ,512670.SH,102800,1.947,200151.6,50.0379,733207.1381249998,1,208.4013000000131,24.0
2021-02-26,ENTRY,399673.SZ,159949.SZ,160900,1.243,199998.7,49.999675,533158.4384499998,1,,
2021-02-26,ENTRY,000827.SH,512580.SH,166300,1.202,199892.6,49.973150000000004,333215.8652999998,1,,
2021-03-05,ADD,000827.SH,512580.SH,169900,1.177,199972.30000000002,49.993075000000005,133193.57222499975,2,,
2021-03-10,ADD,399673.SZ,159949.SZ,116900,1.139,133149.1,33.287275,11.184949999733362,2,,
2021-03-29,EXIT_MIDLINE,399673.SZ,159949.SZ,277800,1.159,321970.2,80.49255000000001,321900.8923999997,2,-11341.37950000003,31.0
2021-03-30,EXIT_MIDLINE,000827.SH,512580.SH,336200,1.164,391336.8,97.8342,713139.8581999997,2,-8725.900425000016,32.0
2021-04-13,ENTRY,399437.SZ,159993.SZ,191500,1.044,199926.0,49.981500000000004,513163.8766999997,1,,
2021-04-13,ENTRY,399324.SZ,159905.SZ,75900,2.6350000000000002,199996.50000000003,49.99912500000001,313117.37757499964,1,,
2021-04-19,EXIT_MIDLINE,399437.SZ,159993.SZ,191500,1.074,205671.0,51.41775,518736.9598249997,1,5643.600750000035,6.0
2021-04-19,EXIT_MIDLINE,399324.SZ,159905.SZ,75900,2.7,204930.0,51.2325,723615.7273249996,1,4832.268374999968,6.0
2021-05-06,ENTRY,399967.SZ,512660.SH,201400,0.993,199990.2,49.997550000000004,523575.5297749996,1,,
2021-05-06,ENTRY,399973.SZ,512670.SH,128300,1.558,199891.4,49.97285,323634.1569249996,1,,
2021-05-10,ADD,399967.SZ,512660.SH,201200,0.994,199992.8,49.9982,123591.35872499962,2,,
2021-05-10,ADD,399973.SZ,512670.SH,79500,1.553,123463.5,30.865875,96.99284999961674,2,,
2021-05-14,EXIT_MIDLINE,399967.SZ,512660.SH,402600,1.0210000000000001,411054.60000000003,102.76365000000001,411048.8291999997,2,10868.840600000114,8.0
2021-05-14,EXIT_MIDLINE,399973.SZ,512670.SH,207800,1.596,331648.80000000005,82.91220000000001,742614.7169999997,2,8130.149074999997,8.0
2021-06-15,ENTRY,399324.SZ,159905.SZ,74500,2.684,199958.0,49.9895,542606.7274999997,1,,
2021-06-17,ENTRY,000300.SH,510300.SH,39100,5.105,199605.50000000003,49.90137500000001,342951.3261249997,1,,
2021-06-17,ADD,399324.SZ,159905.SZ,75900,2.634,199920.6,49.98015,142980.74597499968,2,,
2021-06-25,EXIT_MIDLINE,000300.SH,510300.SH,39100,5.226,204336.6,51.08415,347266.2618249997,1,4630.114474999979,8.0
2021-07-05,ENTRY,399967.SZ,512660.SH,187900,1.064,199925.6,49.9814,147290.6804249997,1,,
2021-07-08,EXIT_MIDLINE,399967.SZ,512660.SH,187900,1.127,211763.3,52.940825,359001.03959999967,1,11734.777775000013,3.0
2021-07-09,ENTRY,399986.SZ,512800.SH,166800,1.199,199993.2,49.9983,158957.84129999965,1,,
2021-07-12,ADD,399324.SZ,159905.SZ,63500,2.5,158750.0,39.6875,168.1537999996508,3,,
2021-07-13,ADD,399986.SZ,512800.SH,100,1.187,118.7,5.0,44.4537999996508,2,,
2021-08-10,EXIT_MIDLINE,399324.SZ,159905.SZ,213900,2.414,516354.60000000003,129.08865,516269.9651499997,3,-42542.74579999992,56.0
2021-08-10,EXIT_MIDLINE,399986.SZ,512800.SH,166900,1.143,190766.7,47.691675000000004,706988.9734749997,2,-9447.889975000053,32.0
2021-08-18,ENTRY,399673.SZ,159949.SZ,141100,1.417,199938.7,49.984675,507000.28879999963,1,,
2021-08-23,ENTRY,399987.SZ,512690.SH,183900,1.087,199899.3,49.974824999999996,307051.01397499966,1,,
2021-09-06,EXIT_MIDLINE,399987.SZ,512690.SH,183900,1.16,213323.99999999997,53.330999999999996,520321.68297499965,1,13321.394174999989,14.0
2021-09-07,EXIT_MIDLINE,399673.SZ,159949.SZ,141100,1.431,201914.1,50.478525000000005,722185.3044499997,1,1874.9367999999704,20.0
2021-09-28,ENTRY,000852.SH,512100.SH,184800,1.082,199953.6,49.988400000000006,522181.7160499997,1,,
2021-09-30,ENTRY,399967.SZ,512660.SH,162400,1.231,199914.40000000002,49.97860000000001,322217.33744999964,1,,
2021-09-30,ADD,000852.SH,512100.SH,190100,1.052,199985.2,49.996300000000005,122182.14114999963,2,,
2021-10-20,EXIT_MIDLINE,000852.SH,512100.SH,374900,1.093,409765.7,102.44142500000001,531845.3997249997,2,9624.473874999934,22.0
2021-10-20,EXIT_MIDLINE,399967.SZ,512660.SH,162400,1.258,204299.2,51.0748,736093.5249249997,1,4283.7465999999595,20.0
2021-10-28,ENTRY,399441.SZ,512290.SH,121800,1.6420000000000001,199995.6,49.9989,536047.9260249997,1,,
2021-10-28,ENTRY,980086.CNI,159992.SZ,154700,1.292,199872.4,49.9681,336125.55792499974,1,,
2021-11-01,ADD,980086.CNI,159992.SZ,152500,1.311,199927.5,49.981875,136148.07604999974,2,,
2021-11-02,ADD,399441.SZ,512290.SH,83400,1.631,136025.4,34.00635,88.66969999973662,2,,
2021-11-15,EXIT_MIDLINE,399441.SZ,512290.SH,205200,1.645,337554.0,84.38850000000001,337558.28119999974,2,1364.6062500000319,18.0
2021-11-15,EXIT_MIDLINE,980086.CNI,159992.SZ,307200,1.288,395673.60000000003,98.9184,733132.9627999997,2,-4325.16837499995,18.0
2021-11-17,ENTRY,000827.SH,512580.SH,108200,1.847,199845.4,49.96135,533237.6014499997,1,,
2021-11-22,EXIT_MIDLINE,000827.SH,512580.SH,108200,1.9040000000000001,206012.80000000002,51.50320000000001,739198.8982499997,1,6065.935450000025,5.0
2021-12-07,ENTRY,399989.SZ,512170.SH,290600,0.6880000000000001,199932.80000000002,49.983200000000004,539216.1150499997,1,,
2021-12-07,ENTRY,980086.CNI,159992.SZ,155500,1.286,199973.0,49.99325,339193.1217999997,1,,
2021-12-09,EXIT_MIDLINE,399989.SZ,512170.SH,290600,0.706,205163.59999999998,51.29089999999999,544305.4308999997,1,5129.525899999987,2.0
2021-12-09,EXIT_MIDLINE,980086.CNI,159992.SZ,155500,1.312,204016.0,51.004,748270.4268999997,1,3942.002750000025,2.0
2021-12-16,ENTRY,399989.SZ,512170.SH,293600,0.681,199941.6,49.985400000000006,548278.8414999997,1,,
2021-12-16,ENTRY,980086.CNI,159992.SZ,157800,1.2670000000000001,199932.6,49.98315,348296.2583499998,1,,
2021-12-21,ADD,399989.SZ,512170.SH,302500,0.661,199952.5,49.988125000000004,148293.77022499978,2,,
2021-12-30,EXIT_MIDLINE,399989.SZ,512170.SH,596100,0.682,406540.2,101.63505,554732.3351749998,2,6444.491425000028,14.0
2022-01-06,ENTRY,399673.SZ,159949.SZ,146000,1.369,199874.0,49.9685,354808.3666749998,1,,
2022-01-07,ADD,980086.CNI,159992.SZ,166500,1.201,199966.5,49.991625,154791.87504999983,2,,
2022-01-25,ADD,980086.CNI,159992.SZ,139000,1.113,154707.0,38.67675,46.19829999981448,3,,
2022-02-23,EXIT_MIDLINE,980086.CNI,159992.SZ,463300,1.06,491098.0,122.7745,491021.4237999998,3,-63769.526024999934,69.0
2022-02-25,ENTRY,399324.SZ,159905.SZ,90200,2.216,199883.2,49.970800000000004,291088.2529999998,1,,
2022-02-25,EXIT_MIDLINE,399673.SZ,159949.SZ,146000,1.243,181478.00000000003,45.36950000000001,472520.8834999998,1,-18491.337999999967,50.0
2022-03-01,ADD,399324.SZ,159905.SZ,90900,2.199,199889.09999999998,49.972274999999996,272581.81122499984,2,,
2022-03-04,ENTRY,000126.SH,515650.SH,149200,1.34,199928.0,49.982,72603.82922499985,1,,
2022-03-07,ADD,399324.SZ,159905.SZ,33800,2.146,72534.8,18.1337,50.895524999839836,3,,
2022-03-31,EXIT_MIDLINE,399324.SZ,159905.SZ,214900,2.004,430659.6,107.6649,430602.8306249998,3,-41873.24167499999,34.0
2022-04-01,EXIT_MIDLINE,000126.SH,515650.SH,149200,1.223,182471.6,45.617900000000006,613028.8127249999,1,-17551.999899999963,28.0
2022-04-07,ENTRY,399967.SZ,512660.SH,182100,1.098,199945.80000000002,49.986450000000005,413033.02627499984,1,,
2022-04-07,ENTRY,399973.SZ,512670.SH,230100,0.869,199956.9,49.989225,213026.13704999984,1,,
2022-04-11,ADD,399967.SZ,512660.SH,187000,1.069,199903.0,49.97575,13073.161299999832,2,,
2022-04-11,ADD,399973.SZ,512670.SH,15400,0.848,13059.199999999999,5.0,8.9612999998335,2,,
2022-05-05,EXIT_MIDLINE,399967.SZ,512660.SH,369100,1.008,372052.8,93.0132,371968.74809999985,2,-27988.97540000001,28.0
2022-05-05,EXIT_MIDLINE,399973.SZ,512670.SH,245500,0.797,195663.5,48.915875,567583.3322249998,2,-17456.505099999995,28.0
2022-06-23,ENTRY,399995.SZ,516970.SH,173700,1.151,199928.7,49.982175000000005,367604.65004999976,1,,
2022-06-27,EXIT_MIDLINE,399995.SZ,516970.SH,173700,1.169,203055.30000000002,50.763825000000004,570609.1862249998,1,3025.8539999999975,4.0
2022-07-07,ENTRY,399971.SZ,512980.SH,327300,0.611,199980.3,49.995075,370578.8911499998,1,,
2022-07-12,ENTRY,399437.SZ,159993.SZ,201800,0.991,199983.8,49.99595,170545.0951999998,1,,
2022-07-13,ADD,399971.SZ,512980.SH,281800,0.605,170489.0,42.62225,13.47294999982114,2,,
2022-07-20,EXIT_MIDLINE,399971.SZ,512980.SH,609100,0.618,376423.8,94.10594999999999,376343.1669999998,2,5767.77672499993,13.0
2022-07-26,ENTRY,399995.SZ,516970.SH,173700,1.151,199928.7,49.982175000000005,176364.48482499976,1,,
2022-08-03,ADD,399995.SZ,516970.SH,161000,1.095,176295.0,44.073750000000004,25.411074999748962,2,,
2022-08-10,EXIT_MIDLINE,399437.SZ,159993.SZ,201800,0.96,193728.0,48.432,193704.97907499975,1,-6354.227950000003,29.0
2022-08-16,EXIT_MIDLINE,399995.SZ,516970.SH,334700,1.121,375198.7,93.79967500000001,568809.8793999997,2,-1212.8556000000194,21.0
2022-08-25,ENTRY,399987.SZ,512690.SH,246300,0.812,199995.6,49.9989,368764.28049999976,1,,
2022-08-25,ENTRY,399989.SZ,512170.SH,400800,0.499,199999.2,49.9998,168715.08069999976,1,,
2022-08-26,EXIT_MIDLINE,399987.SZ,512690.SH,246300,0.8320000000000001,204921.6,51.2304,373585.4502999998,1,4824.7707000000155,1.0
2022-08-29,ENTRY,399967.SZ,512660.SH,175200,1.141,199903.2,49.97580000000001,173632.2744999998,1,,
2022-09-01,ADD,399967.SZ,512660.SH,152800,1.1360000000000001,173580.80000000002,43.3952,8.079299999779323,2,,
2022-09-07,EXIT_MIDLINE,399967.SZ,512660.SH,328000,1.191,390648.0,97.662,390558.41729999974,2,16972.96700000001,9.0
2022-09-08,ENTRY,399987.SZ,512690.SH,252500,0.792,199980.0,49.995000000000005,190528.42229999974,1,,
2022-09-15,EXIT_MIDLINE,399987.SZ,512690.SH,252500,0.8140000000000001,205535.0,51.38375,396012.0385499997,1,5453.621250000025,7.0
2022-09-19,ENTRY,000300.SH,510300.SH,50000,3.998,199900.0,49.975,196062.0635499997,1,,
2022-09-22,ADD,000300.SH,510300.SH,49600,3.9490000000000003,195870.40000000002,48.967600000000004,142.69594999967376,2,,
2022-09-22,ADD,399989.SZ,512170.SH,300,0.446,133.8,5.0,3.8959499996737463,2,,
