date,open_positions,cash,equity,invested_pct,n_entries,n_exits,eligible_count,n_signal,n_amount_pos,signal_ratio,cash_pct
2016-07-28,3,23.30113922948658,467758.4011392295,0.9999501855248933,3,0,70,6,70,0.08571428571428572,4.9814475106657596e-05
2016-07-29,3,23.30113922948658,464554.0011392296,0.9999498419146701,0,0,68,8,68,0.11764705882352941,5.0158085329932156e-05
2016-08-01,3,23.30113922948658,458424.8011392295,0.9999491712944596,0,0,64,14,64,0.21875,5.082870554040664e-05
2016-08-02,3,23.30113922948658,461173.6011392295,0.9999494742561761,0,0,67,6,67,0.08955223880597014,5.052574382391484e-05
2016-08-03,3,23.30113922948658,461131.4011392295,0.9999494696323609,0,0,69,1,69,0.014492753623188406,5.053036763913443e-05
2016-08-04,3,23.30113922948658,465671.3011392295,0.9999499622605634,0,0,65,0,65,0.0,5.0037739436570305e-05
2016-08-05,3,23.30113922948658,463378.00113922945,0.9999497146192262,0,0,67,0,67,0.0,5.028538077378464e-05
2016-08-08,3,23.30113922948658,468217.6011392295,0.9999502343799703,0,0,68,0,68,0.0,4.976562002967366e-05
2016-08-09,3,23.30113922948658,472409.4011392295,0.9999506759620505,0,0,70,0,70,0.0,4.932403794954965e-05
2016-08-10,3,23.30113922948658,469259.2011392295,0.9999503448431636,0,0,66,1,66,0.015151515151515152,4.965515683641453e-05
2016-08-11,3,23.30113922948658,464240.8011392295,0.9999498080755239,0,0,67,1,67,0.014925373134328358,5.0191924476084004e-05
2016-08-12,3,23.30113922948658,467640.10113922955,0.9999501729232101,0,0,68,0,68,0.0,4.982707678991005e-05
2016-08-15,3,23.30113922948658,481055.9011392295,0.999951562512435,0,0,71,0,71,0.0,4.843748756500066e-05
2016-08-16,3,23.30113922948658,481732.3011392295,0.9999516305234787,0,0,70,0,70,0.0,4.836947652131496e-05
2016-08-17,3,23.30113922948658,483083.60113922955,0.9999517658244359,0,0,69,0,69,0.0,4.8234175564099147e-05
2016-08-18,3,23.30113922948658,482144.3011392295,0.9999516718559683,0,0,68,0,68,0.0,4.832814403166186e-05
2016-08-19,3,23.30113922948658,483082.3011392295,0.9999517656946352,0,0,68,0,68,0.0,4.823430536482487e-05
2016-08-22,3,23.30113922948658,475786.5011392295,0.9999510260606937,0,0,68,0,68,0.0,4.89739393062516e-05
2016-08-23,3,23.30113922948658,477382.3011392295,0.9999511897714392,0,0,66,0,66,0.0,4.881022856084716e-05
2016-08-24,3,23.30113922948658,479766.70113922947,0.9999514323541543,0,0,69,0,69,0.0,4.8567645845709606e-05
2016-08-25,3,23.30113922948658,477095.60113922955,0.999951160440017,0,0,68,1,68,0.014705882352941176,4.8839559983027137e-05
