date,eligible_count,n_signal,open_positions,n_entries,n_exits,invested_pct
2014-06-03,9,0,1,0,0,0.21306366106103772
2014-06-04,9,0,1,0,0,0.21306366106103772
2014-06-05,9,0,1,0,0,0.21306366106103772
2014-06-06,9,0,1,0,0,0.21306366106103772
2014-06-09,9,0,1,0,0,0.21306366106103772
2014-06-10,8,0,1,0,0,0.21306366106103772
2014-06-11,8,0,1,0,0,0.21306366106103772
2014-06-12,8,0,1,0,0,0.21306366106103772
2014-06-13,8,0,1,0,0,0.21306366106103772
2014-06-16,8,0,1,0,0,0.21306366106103772
2014-06-17,8,0,1,0,0,0.21306366106103772
2014-06-18,8,0,1,0,0,0.21306366106103772
2014-06-19,8,0,1,0,0,0.21306366106103772
2014-06-20,8,0,1,0,0,0.21306366106103772
2014-06-23,8,0,1,0,0,0.21306366106103772
2014-06-24,8,0,1,0,0,0.21306366106103772
2014-06-25,8,0,1,0,0,0.21306366106103772
2014-06-26,8,0,1,0,0,0.21306366106103772
2014-06-27,8,0,1,0,0,0.21306366106103772
2014-06-30,8,0,1,0,0,0.21306366106103772
2014-07-01,8,0,1,0,0,0.21306366106103772
2014-07-02,7,0,1,0,0,0.21306366106103772
2014-07-03,7,0,1,0,0,0.21306366106103772
2014-07-04,7,0,1,0,0,0.21306366106103772
2014-07-07,7,0,1,0,0,0.21306366106103772
2014-07-08,7,0,1,0,0,0.21306366106103772
2014-07-09,7,0,1,0,0,0.21306366106103772
2014-07-10,7,0,1,0,0,0.21306366106103772
2014-07-11,7,0,1,0,0,0.21306366106103772
2014-07-14,7,0,1,0,0,0.21306366106103772
2014-07-15,7,0,1,0,0,0.21306366106103772
2014-07-16,7,0,1,0,0,0.21306366106103772
2014-07-17,7,0,1,0,0,0.21306366106103772
2014-07-18,7,0,1,0,0,0.21306366106103772
2014-07-21,7,0,1,0,0,0.21306366106103772
2014-07-22,7,0,1,0,0,0.21306366106103772
2014-07-23,7,0,1,0,0,0.21306366106103772
2014-07-24,7,0,1,0,0,0.21306366106103772
2014-07-25,7,0,1,0,0,0.21306366106103772
2014-07-28,7,0,1,0,0,0.21306366106103772
2014-07-29,7,0,1,0,0,0.21306366106103772
2014-07-30,7,0,1,0,0,0.21306366106103772
2014-07-31,7,0,1,0,0,0.21306366106103772
2014-08-01,7,0,1,0,0,0.21306366106103772
2014-08-04,7,0,1,0,0,0.21306366106103772
2014-08-05,7,0,1,0,0,0.21306366106103772
2014-08-06,7,0,1,0,0,0.21306366106103772
2014-08-07,7,0,1,0,0,0.21306366106103772
2014-08-08,7,0,1,0,0,0.21306366106103772
2014-08-11,7,0,1,0,0,0.21306366106103772
2014-08-12,7,0,1,0,0,0.21306366106103772
2014-08-13,7,0,1,0,0,0.21306366106103772
2014-08-14,7,0,1,0,0,0.21306366106103772
2014-08-15,7,0,1,0,0,0.21306366106103772
2014-08-18,7,0,1,0,0,0.21306366106103772
2014-08-19,7,0,1,0,0,0.21306366106103772
2014-08-20,7,0,1,0,0,0.21306366106103772
2014-08-21,7,0,1,0,0,0.21306366106103772
2014-08-22,7,0,1,0,0,0.21306366106103772
2014-08-25,7,0,1,0,0,0.21306366106103772
2014-08-26,7,0,1,0,0,0.21306366106103772
2014-08-27,8,0,1,0,0,0.21306366106103772
2014-08-28,8,1,1,0,0,0.21306366106103772
2014-08-29,7,0,2,1,0,0.6397773023745589
2014-09-01,8,0,2,0,0,0.6416301324205449
2014-09-02,8,0,2,0,0,0.6436463546629867
2014-09-03,8,0,2,0,0,0.6450985065514554
2014-09-04,8,0,1,0,1,0.20845605250795393
2014-09-05,8,0,1,0,0,0.20845605250795393
2014-09-09,8,0,1,0,0,0.20845605250795393
2014-09-10,8,0,1,0,0,0.20845605250795393
2014-09-11,8,0,1,0,0,0.20845605250795393
2014-09-12,8,0,1,0,0,0.20845605250795393
2014-09-15,8,0,1,0,0,0.20845605250795393
2014-09-16,8,0,1,0,0,0.20845605250795393
2014-09-17,8,0,1,0,0,0.20845605250795393
2014-09-18,8,0,1,0,0,0.20845605250795393
2014-09-19,8,0,1,0,0,0.20845605250795393
2014-09-22,8,0,1,0,0,0.20845605250795393
2014-09-23,8,0,1,0,0,0.20845605250795393
2014-09-24,8,0,1,0,0,0.20845605250795393
2014-09-25,8,0,1,0,0,0.20845605250795393
2014-09-26,8,0,1,0,0,0.20845605250795393
2014-09-29,8,0,1,0,0,0.20845605250795393
2014-09-30,8,0,1,0,0,0.20845605250795393
2014-10-08,8,0,1,0,0,0.20845605250795393
2014-10-09,8,0,1,0,0,0.20845605250795393
2014-10-10,8,0,1,0,0,0.20845605250795393
2014-10-13,8,0,1,0,0,0.20845605250795393
2014-10-14,8,0,1,0,0,0.20845605250795393
2014-10-15,8,0,1,0,0,0.20845605250795393
2014-10-16,8,0,1,0,0,0.20845605250795393
2014-10-17,8,0,1,0,0,0.20845605250795393
2014-10-20,8,0,1,0,0,0.20845605250795393
2014-10-21,10,0,1,0,0,0.20845605250795393
2014-10-22,10,0,1,0,0,0.20845605250795393
2014-10-23,10,0,1,0,0,0.20845605250795393
