ts_code,sig_date,entry_date,cash_A1,invested_A1,npos_A1,layers_A1,hold_A1,av_cash_layer,npos_A0
000858.SZ,2022-03-03,2022-03-04 00:00:00,258649.82880538175,1014104.9638669898,5,1,56,1.2932491440269087,2
300014.SZ,2022-03-03,2022-03-04 00:00:00,258649.82880538175,1014104.9638669898,5,1,58,1.2932491440269087,2
300750.SZ,2022-02-10,2022-02-11 00:00:00,574162.3094999817,661140.6970117899,4,1,74,2.8708115474999083,3
601012.SH,2022-03-29,2022-03-30 00:00:00,290906.3053010618,1032720.9989496298,7,1,42,1.454531526505309,3
002415.SZ,2022-05-06,2022-05-09 00:00:00,504278.4165728419,727439.4181704599,7,3,19,2.5213920828642093,2
300122.SZ,2022-04-14,2022-04-15 00:00:00,33043.49028859184,1290727.8683899497,7,2,40,0.1652174514429592,3
002241.SZ,2022-06-23,2022-06-24 00:00:00,1177057.180839982,0.0,0,1,30,5.885285904199909,0
002466.SZ,2022-08-19,2022-08-22 00:00:00,16262.49659316198,1166464.5994851799,5,1,2,0.08131248296580991,3
600036.SH,2022-07-13,2022-07-14 00:00:00,791780.2428740619,385276.93796591996,2,2,34,3.9589012143703095,2
601888.SH,2022-08-08,2022-08-09 00:00:00,207022.60132836198,975704.4947499799,4,1,33,1.03511300664181,2
300274.SZ,2022-08-31,2022-09-01 00:00:00,378090.45869177196,789346.6164683899,6,1,23,1.8904522934588597,2
603259.SH,2022-07-27,2022-07-28 00:00:00,397442.9008154019,779614.28002458,3,4,51,1.9872145040770097,3
601012.SH,2022-08-22,2022-08-23 00:00:00,5365.506674351982,1177361.58940399,6,1,41,0.026827533371759908,3
601899.SH,2022-09-26,2022-09-27 00:00:00,199529.40065416202,975139.3454051999,6,1,18,0.9976470032708101,2
002594.SZ,2022-07-12,2022-07-13 00:00:00,977413.895078062,199643.28576191995,1,3,76,4.88706947539031,1
600036.SH,2022-10-12,2022-10-13 00:00:00,187512.02909998203,1005991.1777965799,6,1,21,0.9375601454999102,2
300059.SZ,2022-08-02,2022-08-03 00:00:00,8092.8361118019675,1168964.34472818,4,2,68,0.04046418055900984,3
000625.SZ,2022-08-24,2022-08-25 00:00:00,12364.23789574198,1171816.9949585998,6,2,63,0.061821189478709904,3
600519.SH,2022-10-12,2022-10-13 00:00:00,187512.02909998203,1005991.1777965799,6,2,35,0.9375601454999102,2
000568.SZ,2022-10-19,2022-10-20 00:00:00,354804.561807962,783811.8029141199,7,1,30,1.77402280903981,3
600887.SH,2022-10-20,2022-10-21 00:00:00,18491.253076562076,1120125.11164552,8,1,29,0.09245626538281038,3
600522.SH,2022-11-28,2022-11-29 00:00:00,49322.19166357207,1115707.7458576898,6,1,24,0.24661095831786034,3
300274.SZ,2022-12-06,2022-12-07 00:00:00,529691.8579956321,632959.6897423799,3,2,18,2.6484592899781605,2
002241.SZ,2022-11-11,2022-11-14 00:00:00,596486.814472752,563166.6780439499,5,2,37,2.9824340723637603,2
002812.SZ,2022-11-23,2022-11-24 00:00:00,435022.6627194721,730007.2748017898,5,3,30,2.1751133135973606,3
601012.SH,2022-12-22,2022-12-23 00:00:00,139529.77122117218,1023121.7765168399,4,1,17,0.6976488561058609,2
300014.SZ,2023-01-11,2023-01-12 00:00:00,1163998.3326020723,136852.25233679998,1,1,9,5.819991663010361,1
300750.SZ,2023-02-17,2023-02-20 00:00:00,1330123.9140287722,0.0,0,2,29,6.650619570143861,0
600519.SH,2023-03-08,2023-03-09 00:00:00,407227.2882776721,922896.6257511,3,2,16,2.0361364413883605,3
300059.SZ,2023-03-07,2023-03-08 00:00:00,605972.4435863721,724151.4704424,2,2,18,3.02986221793186,2
002594.SZ,2023-03-10,2023-03-13 00:00:00,230204.47430967208,1099919.4397191,4,1,33,1.1510223715483603,3
000858.SZ,2023-04-10,2023-04-11 00:00:00,902027.0727252822,446193.59513228,3,2,26,4.510135363626411,1
000651.SZ,2023-05-04,2023-05-05 00:00:00,54648.70886600222,1297342.9144325599,4,1,25,0.2732435443300111,3
601899.SH,2023-05-12,2023-05-15 00:00:00,1481.7890600022292,1350509.83423856,5,1,19,0.007408945300011146,3
600519.SH,2023-04-12,2023-04-13 00:00:00,717825.2226930822,630395.44516448,4,1,43,3.589126113465411,2
601012.SH,2023-03-16,2023-03-17 00:00:00,6478.876774232092,1323645.03725454,5,3,68,0.03239438387116046,3
600809.SH,2023-05-22,2023-05-23 00:00:00,368409.50993892225,973568.1068613399,5,4,43,1.8420475496946112,2
002415.SZ,2023-06-09,2023-06-12 00:00:00,56432.08101134229,1287069.4784046998,4,1,31,0.28216040505671147,3
600570.SH,2023-07-11,2023-07-12 00:00:00,15728.717951222265,1301011.7392322,3,1,17,0.07864358975611133,3
600276.SH,2023-07-31,2023-08-01 00:00:00,721287.1547693624,655375.14817274,2,3,19,3.6064357738468122,2
002475.SZ,2023-09-07,2023-09-08 00:00:00,611815.6899320426,780168.97820862,2,1,17,3.059078449660213,2
300014.SZ,2023-02-20,2023-02-21 00:00:00,1163514.206764772,166609.70726399997,1,5,172,5.81757103382386,1
300059.SZ,2023-10-23,2023-10-24 00:00:00,2638.972931892751,1402660.37426513,5,1,9,0.013194864659463755,3
300308.SZ,2023-09-18,2023-09-19 00:00:00,19199.7798458427,1372784.8882948197,4,1,33,0.0959988992292135,3
600519.SH,2023-10-13,2023-10-16 00:00:00,211752.7307848827,1193546.61641214,4,1,54,1.0587636539244136,1
601318.SH,2023-11-09,2023-11-10 00:00:00,453041.53123599273,753299.2942324698,4,3,53,2.265207656179964,2
300750.SZ,2023-09-08,2023-09-11 00:00:00,413916.59954304266,978068.0685976199,3,5,101,2.069582997715213,3
002230.SZ,2024-01-03,2024-01-04 00:00:00,174120.53118321276,1031293.1747818497,5,1,25,0.8706026559160638,2
000063.SZ,2023-08-07,2023-08-08 00:00:00,142173.7389151225,1236429.26104698,2,2,129,0.7108686945756124,3
000625.SZ,2024-01-04,2024-01-05 00:00:00,1903.7664632127853,1203509.9395018497,6,1,30,0.009518832316063926,3
002456.SZ,2023-12-14,2023-12-15 00:00:00,2396.048358092796,1204849.0702097698,5,1,48,0.011980241790463982,3
002594.SZ,2023-11-24,2023-11-27 00:00:00,70035.1904335928,1137209.9281342698,4,2,69,0.350175952167964,3
601012.SH,2024-01-29,2024-01-30 00:00:00,378675.51316891273,807522.1248794498,6,1,24,1.8933775658445637,2
